DOY2,HR2,TAU_1_1_1,H_1_1_1,LE_1_1_1,FC_1_1_1,WS_1_1_1,USTAR_1_1_1,T_SONIC_1_1_1,PA_1_1_1,CO2_1_1_1,H2O_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,TA_1_1_1,RH_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_1_1_1,G_1_2_1,G_1_3_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,NETRAD_1_1_1
1,0.25,-0.01897785,-1.888665,6.03063,0.931992,1.74758,0.1158225,17.49685,102.2975,458.628,10.328,0.3964555,0.3362385,0.1324425,0.2077135,7.108,89.75,10.13,10.19,10.23,-1.0358905,-0.766129,-0.1475409,-3.52588,1.4,284.16,354.17,0,-66.3487
1,0.75,-0.01805065,-2.66394,7.81057,0.919171,1.57222,0.120564,17.33735,102.278,457.531,9.96358,0.4143055,0.354355,0.135704,0.1981065,6.91,90.4,10.03,10.105,10.195,-1.411095,-1.04839,-0.3934425,-3.45086,1.433335,284.771,353.74,0,-63.3256
1,1.25,-0.01750785,-2.73492,5.421875,0.899491,1.45872,0.1191085,17.0556,102.2805,457.405,9.92583,0.397235,0.384252,0.132195,0.2052425,6.672,90.6,9.96,10.01,10.14,-1.68026,-1.16129,-0.7459015,-3.45086,1.26667,286.047,352.5515,0,-58.30645
1,1.75,-0.0194325,-1.95212,5.671235,1.29542,1.615015,0.114626,17.01955,102.29,457.1125,9.92134,0.3584615,0.331322,0.123169,0.2100015,6.507,91.3,9.86,9.98,10.16,-1.84339,-1.40323,-1.12295,-3.6009,1.4,286.144,351.469,0,-62.3788
1,2.25,-0.0237802,-2.23126,7.36659,1.006522,1.42782,0.122,16.7051,102.2995,456.4075,9.87634,0.3970995,0.375789,0.1317515,0.214604,6.336,91.4,9.75,9.89,10.13,-2.12072,-1.53226,-1.42623,-3.45086,1.33333,286.969,350.588,0,-60.7033
1,2.75,-0.026475,-1.96988,5.519185,1.09998,1.587325,0.135101,16.5822,102.2985,457.088,9.6838,0.429774,0.348055,0.1344775,0.198884,6.188,92,9.6,9.78,10.04,-2.49592,-1.67742,-1.606555,-3.45086,1.4,284.639,349.996,0,-57.8598
1,3.25,-0.026371,-0.983536,7.244255,0.90623,1.618455,0.121771,16.25025,102.293,455.732,9.65337,0.421082,0.384608,0.132377,0.2101335,6.011,92.3,9.47,9.65,9.98,-3.01794,-1.95161,-2.01639,-3.45086,1.26667,287.666,349.432,0,-62.2612
1,3.75,-0.02465375,-2.48359,8.55125,1.13734,1.77956,0.1294635,16.1893,102.3035,455.4795,9.58422,0.436902,0.3824045,0.14529,0.20813,6.017,92.7,9.39,9.53,9.96,-3.36052,-2.17742,-2.180325,-3.37584,1.2,288.851,348.751,0,-54.0407
1,4.25,-0.0253695,-0.652009,6.80032,0.6200525,1.73045,0.122144,16.24545,102.2735,452.5825,9.408755,0.453353,0.348604,0.139407,0.209675,5.835,92.6,9.31,9.44,9.91,-3.81729,-2.41935,-2.32787,-3.30083,1.26667,289.909,347.991,0,-56.4397
1,4.75,-0.01864465,-1.90804,5.99197,0.9280225,1.498935,0.1041535,15.8889,102.2695,449.2335,9.16057,0.3937005,0.3317655,0.1108525,0.2023635,5.545,92.8,9.29,9.37,9.91,-4.09462,-2.69355,-2.64754,-3.22581,1.33333,290.044,347.2955,0,-59.5571
1,5.25,-0.02480515,-1.55425,7.94926,0.818165,1.489065,0.121774,15.6425,102.2655,448.769,8.98671,0.4321715,0.379544,0.1316735,0.209793,5.497,92.9,9.19,9.34,9.82,-4.35563,-2.82258,-2.95082,-3.07577,1.2,292.504,345.5485,0,-53.27085
1,5.75,-0.0359317,-1.6027,6.15355,1.021635,1.61316,0.1421265,15.54235,102.2795,452.023,9.07309,0.4527085,0.369924,0.129458,0.2032475,5.414,93.3,9.09,9.34,9.78,-4.66558,-2.98387,-3.188525,-3.07577,1.13333,294.845,344.9005,0,-51.2694
1,6.25,-0.03035185,-0.682828,6.18444,0.925876,1.497045,0.118652,15.72915,102.282,448.488,9.21013,0.432546,0.3885605,0.124446,0.2143865,5.229,93.5,9.1,9.25,9.72,-4.99184,-3.3871,-3.508195,-2.92573,1.13333,296.165,344.4685,0,-52.04535
1,6.75,-0.0273153,-0.703312,6.188825,0.724289,1.75867,0.124068,15.53165,102.299,446.3905,9.37431,0.4206195,0.3892845,0.143328,0.204125,5.179,93.7,8.98,9.19,9.67,-5.33442,-3.69355,-3.811475,-2.92573,1.13333,294.736,342.622,0,-48.4682
1,7.25,-0.0317058,-1.89709,7.10451,0.981907,1.76119,0.1311665,15.23355,102.3,445.4505,9.1217,0.4465305,0.387275,0.157479,0.217178,5.06,93.6,8.87,9.13,9.62,-5.61175,-3.91935,-4.008195,0.750188,1.4,295.566,342.313,5.45073,-43.49705
1,7.75,-0.0296618,-0.585217,6.250135,0.919504,1.65266,0.139337,14.98715,102.332,448.373,9.18369,0.415259,0.393454,0.151679,0.203033,5.064,93.4,8.8,9.08,9.57,-5.98695,-4.1129,-4.262295,28.132,3.2,298.885,341.708,46.1216,-16.7188
1,8.25,-0.0282479,1.66378,10.5129,1.170645,1.78864,0.146018,15.19295,102.3685,453.426,9.505165,0.4372445,0.3697265,0.174468,0.2296285,5.591,92.9,8.75,9.03,9.53,-6.2969,-4.32258,-4.442625,92.7232,6.06667,298.874,343.602,135.22,24.5867
1,8.75,-0.02936045,2.88196,18.8093,0.859514,1.83293,0.1520085,15.5563,102.389,457.085,9.55174,0.462571,0.410682,0.181891,0.25572,6.198,91.2,8.705,8.95,9.475,-6.476345,-4.443545,-4.565575,169.13,8.433335,296.6275,347.09,250,79.843
1,9.25,-0.03460205,5.42676,20.7786,0.7838455,2.05846,0.16653,16.3014,102.424,457.995,9.73862,0.479648,0.428017,0.182566,0.248189,7.0065,88.85,8.725,8.915,9.44,-6.68026,-4.653225,-4.7377,229.1445,11.5333,299.264,350.404,368.7635,142.011
1,9.75,-0.0354428,10.66505,28.2779,0.587545,1.88555,0.170123,17.022,102.438,459.7845,10.0666,0.498911,0.459639,0.190085,0.246591,7.603,85.75,8.735,8.89,9.41,-6.81892,-4.57258,-4.93443,274.1935,14.9333,292.266,355.016,471.698,189.141
1,10.25,-0.0376197,10.3332,30.52735,0.518482,2.22466,0.170485,17.7378,102.438,453.989,10.2143,0.51464,0.46779,0.189927,0.263097,8.43,83.35,8.735,8.895,9.385,-6.574225,-4.556455,-5.03279,331.3205,21.1,295.6585,361.18,576.2055,231.848
1,10.75,-0.0350738,12.2895,35.6774,0.704407,2.07404,0.158518,18.2582,102.423,449.442,10.41145,0.499458,0.489583,0.192029,0.286135,9.37,78.99,8.79,8.94,9.355,-6.11746,-4.27419,-4.88525,396.587,26.73335,289.4815,364.984,671.4885,268.9115
1,11.25,-0.0415048,16.6426,41.7702,0.435679,2.37294,0.1642935,19.0059,102.382,446.682,10.726,0.506555,0.517681,0.200844,0.303588,10.01,78.34,8.97,8.99,9.31,-5.53018,-4.01613,-4.78689,439.31,30.8667,292.019,369.552,747.17,310.279
1,11.75,-0.0487647,17.0339,48.1754,0.643761,2.27022,0.177552,19.5079,102.3275,442.1365,10.7953,0.5168505,0.5403665,0.2100355,0.3215975,10.445,75.98,9.17,9.135,9.315,-4.91843,-3.77419,-4.4918,465.604,32.63335,290.4795,373.593,805.031,328.271
1,12.25,-0.0416715,18.48575,49.7044,0.535243,2.18312,0.1729315,20.3051,102.2775,440.611,10.9631,0.5857445,0.5771485,0.2097865,0.299733,11.17,73.36,9.33,9.28,9.31,-4.08646,-3.32258,-4.27869,469.88,33.73335,291.6075,375.9705,832.18,336.6025
1,12.75,-0.0537264,18.3355,59.0063,0.803699,2.20085,0.18571,20.9804,102.23,437.206,10.9556,0.632096,0.55224,0.213532,0.284297,12.065,70.265,9.52,9.425,9.325,-3.254485,-2.96774,-3.59016,479.0325,35.86665,294.209,377.4655,805.5555,332.813
1,13.25,-0.0444734,14.7214,58.2966,0.6078645,2.43116,0.190273,21.6039,102.177,436.377,11.0575,0.595602,0.571382,0.230903,0.259414,12.55,68.83,9.66,9.54,9.44,-2.38173,-2.46774,-2.88525,465.566,36,292.734,379.1975,793.291,284.5745
1,13.75,-0.0444588,13.715,63.142,0.5872165,2.47523,0.174623,22.0157,102.159,434.919,11.0694,0.591226,0.5684,0.216465,0.264606,12.94,67.42,9.77,9.63,9.56,-1.68026,-1.87097,-2.01639,428.282,37.4667,295.221,379.513,734.591,260.794
1,14.25,-0.04212435,12.0334,61.59325,0.697132,2.27706,0.180137,22.1879,102.149,432.625,11.08005,0.592486,0.559958,0.200875,0.229197,13.18,63.54,9.87,9.73,9.61,-1.2398,-1.48387,-1.33607,382.146,43.6667,297.299,380.431,666.457,208.094
1,14.75,-0.039023,8.591095,67.35915,0.7002505,2.60091,0.1805745,22.28115,102.1655,434.567,11.1514,0.5680705,0.5549065,0.212566,0.240649,13.575,62.29,10.05,9.85,9.68,-0.5709625,-1.145165,-0.721311,299.3625,44.5,295.461,380.637,542.977,149.214
1,15.25,-0.033699,5.25328,55.2869,0.811403,2.30782,0.15507,22.39085,102.149,432.44,11.1772,0.5734035,0.547586,0.190501,0.1982235,13.43,62.38,10.27,9.97,9.77,-0.179445,-0.903226,-0.2704915,249.962,44.4,292.094,379.78,447.17,108.6125
1,15.75,-0.0254043,3.779425,48.61715,0.6423965,2.29707,0.154296,22.6206,102.13,432.767,11.2457,0.473062,0.464903,0.177701,0.191123,13.52,62.81,10.36,10.14,9.82,0.179445,-0.516129,0.204918,184.771,32.1333,292.13,377.733,317.191,56.4289
1,16.25,-0.0297221,-0.667543,42.39695,0.760402,1.952535,0.142379,22.4943,102.137,432.622,11.4266,0.445077,0.414854,0.15726,0.148741,13.54,66.45,10.45,10.26,9.87,0.880914,-0.193548,0.5491805,98.1245,25.1333,290.883,376.024,172.537,2.38672
1,16.75,-0.01538045,-2.16212,26.13535,0.7812485,1.90167,0.111154,22.5998,102.128,433.212,11.7058,0.363779,0.321323,0.126814,0.155411,13.14,69.96,10.51,10.34,9.92,1.33768,-0.177419,0.770492,33.0083,7.73333,291.032,374.094,59.5388,-52.3717
1,17.25,-0.0155849,-3.49944,19.5209,1.35576,1.60164,0.109579,22.3524,102.145,434.9835,11.7075,0.336752,0.333017,0.111644,0.198047,12.065,72.705,10.595,10.4,10.045,1.60685,0.0322581,1.21311,0.4501125,1.73333,289.11,372.206,6.184485,-81.6896
1,17.75,-0.0152298,-2.92258,14.01345,1.03231,1.46216,0.105312,21.6575,102.143,441.552,11.6003,0.329795,0.331874,0.105669,0.239739,11.24,76.74,10.65,10.45,10.13,1.92496,0.16129,1.5082,-4.12603,1.26667,285.603,369.947,0,-83.9292
1,18.25,-0.01476145,-3.26978,12.6798,1.172685,1.52327,0.102905,21.26715,102.146,443.662,11.4159,0.359318,0.308123,0.105143,0.217859,10.67,79.25,10.6,10.48,10.17,2.15334,0.306452,1.82787,-4.05101,1.4,285.722,368.316,0,-81.9474
1,18.75,-0.0130445,-2.18082,10.6009,1.042065,1.50837,0.102957,20.9021,102.1535,449.13,11.6546,0.345542,0.345596,0.103589,0.2354885,10.29,80.7,10.51,10.42,10.23,2.23491,0.33871,1.82787,-3.90098,1.46667,285.031,366.464,0,-79.1642
