DOY2,HR2,CO2,H2O,FC,G,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,478.889499999999,17.544,6.169,7.19735,49.744,38.6528,3.6865,0.5411,1.591375,1.773775,0.716499999999999,101.85875,100,16.6411,6.4735,18.61225,1.06,0.937,0.993499999999999,3.498,391.50375,391.92125
1,0.75,459.152999999999,17.068275,9.71197499999995,6.00175,30.6263999999999,47.444375,3.5877,0.53815,1.6559,1.771975,0.7658,101.87,100,16.4163,6.1095,18.5811,0.884225,0.91125,0.783099999999999,3.4734,391.375,390.375
1,1.25,427.4265,17.3837,42.1665,5.76295000000001,3.88539999999996,40.48075,3.351425,0.6055,1.456425,1.58815,0.67195,101.821,100,16.4723,6.131,18.66955,0.813925,0.9163,0.808199999999999,3.4496,391.125,390.5
1,1.75,432.178,17.844125,14.5911000000001,6.71005000000001,1.702775,58.842775,3.42195,0.496874999999999,1.318,1.451,0.5658,101.85,100,16.54205,5.71,18.4437,0.9886,0.9333,0.465899999999998,3.9489,391.5,390.75
1,2.25,436.2855,17.668725,5.776125,7.17805000000001,2.5154,30.819375,3.304,0.4524,1.3036,1.4534,0.582,101.835,100,16.531875,5.561,18.6178,1.2686,0.9237,0.600799999999999,3.359,390.75,391
1,2.75,423.948,17.3103,8.37359999999999,7.18675000000001,9.2951,70.3148749999999,3.4109,0.490525,1.388775,1.3752,0.578975,101.787,100,16.5618,5.53,18.555875,0.919,10.72455,0.664899999999999,3.8431,391.875,392.125
1,3.25,438.928,17.3888,7.10575,7.02100000000001,12.591,50.962,3.32575,0.5458,1.4212,1.3799,0.6787,101.749,100,16.3406,5.483,18.053225,0.8972,10.7434,0.659099999999999,3.5397,389.875,390
1,3.75,428.3505,16.44275,7.61772499999999,5.6368,8.87419999999997,37.976725,3.81225,0.595,1.3136,1.4264,0.6172,101.768,100,16.2176,5.771,18.363875,0.8399,10.73885,0.546699999999999,3.3914,387.5,387.625
1,4.25,424.97225,16.851,20.3654,5.7252,16.0659999999999,37.0652249999999,4.2045,0.4758,1.404,1.5285,0.62525,101.805,100,15.962,5.212,18.102875,0.93925,10.7071,0.7199,3.368,385.375,388.125
1,4.75,426.45925,17.115125,7.1515,5.08115000000001,11.4989249999999,30.443,4.012,0.464775,1.3693,1.4632,0.6082,101.798,100,15.951,5.179,17.6185,1.1377,10.71395,0.8988,3.5691,383.625,386.25
1,5.25,425.27,16.675,10.92195,4.01045,47.6196749999999,31.8512999999999,3.545375,0.4777,1.3957,1.4509,0.6051,101.797,100,15.7422,5.194,17.4812,1.0243,10.73225,0.761999999999999,3.4582,385.30625,385.25
1,5.75,427.648,18.237325,7.52880000000001,3.5483,23.896,44.794,3.4008,0.4998,1.294625,1.389575,0.55485,101.805,100,15.5134,4.93,16.8495,0.88205,10.73805,0.5354,3.5998,386.25,385
1,6.25,427.40125,17.2538,10.68325,3.5681,35.467,159.16125,3.3436,0.4512,1.2653,1.3332,0.5463,101.833,100,15.6812,4.945,16.91275,0.995799999999998,10.73605,0.612,3.4064,385.375,385.43125
1,6.75,424.522,18.22545,5.68199999999999,3.5049,28.4308499999997,41.9564,3.44995,0.439375,1.295,1.382,0.573,101.8655,100,15.8431,4.95474999999999,17.164,0.907,10.74405,0.623,3.6036,385.59125,385.67
1,7.25,442.114,18.857675,15.8661999999999,3.57465,42.3531,66.9824999999999,3.559,0.4558,1.4401,1.5175,0.6269,101.9055,100,15.7448,5.043,17.747225,0.989399999999999,30.5153,3.298,4.3191,382.825,387.01125
1,7.75,442.3815,18.30385,23.94,4.0438,10.0689999999999,67.898875,3.0597,0.50865,1.4132,1.332,0.6364,101.927,100,15.741,5.2105,17.9184,0.95585,123.3315,64.88,26.7059,386.58125,389
1,8.25,438.5085,17.543075,7.29319999999997,5.21855,20.3011250000001,59.6261999999998,4.0713,0.5613,1.674625,1.586375,0.709625,101.955,100,15.913875,5.274,18.16225,1.10025,291.3795,164.411,53.0399999999999,387.1725,390.125
1,8.75,432.0545,16.59975,11.2083,7.121,43.821975,72.008425,4.016675,0.522925,1.6929,1.64715,0.740750000000001,101.966,100,15.9,5.018,17.9683,1.248,463.942,256.31,72.0666,388.89,391.125
1,9.25,433.607,16.5955,6.23279999999995,8.86645,82.7155250000001,93.3075,4.44519999999999,0.579399999999999,1.522,1.8432,0.6987,101.978,100,16.374375,5.717,18.490775,0.9572,635.008,354.056,93.2202,391.61375,394.1375
1,9.75,414.8995,17.849925,4.411,10.151,113.928,106.863,4.320325,0.6553,1.79935,1.8596,0.7778,101.988,100,17.047925,6.52,19.116,0.73005,785.7975,436.179,108.14125,397.19625,398.07625
1,10.25,412.264,17.8832,7.12699999999993,16.5445,144.006,132.89825,4.41625,0.6395,1.761125,1.7755,0.809625,102.009,100,17.9919,7.89375,19.91875,0.7545,915.332,525.473,127.34625,386.19625,406.475
1,10.75,409.06725,16.3,6.98149999999994,25.4814,175.2315,132.748,5.18025,0.70575,1.9886,1.986,0.8908,102.0555,100,18.6769,8.648,20.459875,0.7888,1047.575,592.204,134.199,389.96125,408.41
1,11.25,413.759,17.0588,5.81004999999999,29.606825,189.593,161.337,4.653625,0.599775,2.01385,1.91785,0.793999999999999,102.061,100,19.3594,10.0605,20.6419,0.78885,1122.225,609.818,144.216,388.03,415.125
1,11.75,410.56775,16.21225,7.39992499999985,29.3245,188.63075,137.637,4.839575,0.653999999999999,1.932325,1.992325,0.832774999999999,102.0235,100,19.996625,10.592,20.8654,0.811575,1188.08,660.8775,151.713,388.3815,421.2055
1,12.25,422.999,16.2906,6.775,37.7701,202.493,145.858,5.0966,0.658599999999999,1.9965,2.1295,0.862,101.966,100,20.365,10.7955,21.6211,0.8645,1210.315,657.15,153.9515,395.7805,427.3565
1,12.75,420.51375,16.523475,4.03525,38.27475,201.5985,130.10125,4.8434,0.6054,1.953775,2.001825,0.8201,101.888,100,20.5293,12.0785,21.7823,0.864,1187.4675,648.2525,153.263,390.9795,431.3865
1,13.25,417.91275,16.5873,3.17875,44.0035,184.3215,124.476,5.05775,0.625375,1.9435,2.106,0.8355,101.8275,100,21.0087,12.878,21.82,0.8195,1167.1,636.58,151.20375,382.625,427.515
1,13.75,404.31875,17.71205,8.179,44.769275,179.82125,118.46875,4.76405,0.6876,1.981,2.113,0.844,101.768,100,21.471925,13.9215,22.3173,0.7275,1097.755,600.23775,144.073,385.533,430.33
1,14.25,405.37125,16.570325,6.28717499999996,37.632125,166.85625,108.225,4.9465,0.73655,1.919525,2.167725,0.856825,101.728,100,21.62575,14.12475,22.2242,0.7117,1008.01,547.76375,134.174,390.211,427.2
1,14.75,404.71125,15.911625,5.8077,33.94475,132.835,99.1940749999999,4.728,0.644125,1.864625,2.112725,0.88095,101.698,100,21.33325,14.16175,22.3117,0.669125,878.8955,476.50175,119.883,388.942,424.751
1,15.25,404.41,16.5225,3.975,32.1045,109.9135,93.82415,4.24785,0.60215,1.7504,1.8339,0.801349999999999,101.6725,100,21.351425,13.979,22.4762,0.563249999999999,737.558,398.37475,106.075,387.099,420.024
1,15.75,405.921,16.1692,3.37502499999999,30.760625,73.5136,87.158875,4.7831,0.63,1.918,1.991,0.7835,101.6575,100,21.3771,13.297,22.5477,0.703,571.6985,316.54025,88.399875,386.24,415.707
1,16.25,404.164,16.56805,3.708,24.787125,35.079,69.1642499999999,3.736225,0.699,1.603175,1.7396,0.716449999999999,101.64925,100,21.064525,12.68125,22.70295,0.607574999999999,373.7985,220.4025,70.9625,393.3775,410.396
1,16.75,403.8,16.3218,4.774,22.253125,26.97925,59.9805,3.3192,0.6294,1.5005,1.694675,0.6858,101.64,100,20.504875,12.1425,22.599975,0.54965,218.376,120.416,49.724,389.577,403.3515
1,17.25,410.01925,16.32745,5.2342,18.756875,17.7934499999996,41.1,3.56145,0.61865,1.5466,1.7478,0.67565,101.66,100,20.074575,11.3885,22.7212,0.945549999999999,77.7615999999999,36.7006,18.4014,383.5235,397.251
1,17.75,407.13675,16.064825,15.8295999999998,15.361625,34.7463999999999,39,3.29815,0.575325,1.3498,1.4876,0.6332,101.668,100,19.4306,9.923,21.303025,0.7668,11.2884,1.7188,2.6429,378.02,396.45125
1,18.25,412.2665,16.442325,4.67759999999998,12.4375,34.910975,45.3881249999997,3.292,0.623599999999999,1.3915,1.594375,0.662,101.67,100,18.9922,9.26449999999999,20.411725,0.725125,10.7818,0.394699999999999,3.0475,378.1725,393.9925
1,18.75,407.564,16.6112,10.4536,11.681575,13.6368,43.018,3.767,0.813499999999999,1.694,1.93665,0.78855,101.68,100,19.0213,8.864,20.49075,0.909650000000001,10.75675,0.4699,3.276,378.04375,394.9675
1,19.25,409.52975,16.68745,5.198725,10.56595,6.12495,43.50175,3.48665,0.640775,1.5392,1.7333,0.695199999999999,101.697,100,18.8671,8.345,20.5017,0.984899999999999,10.76065,0.504999999999999,3.756,375.14125,394.63625
1,19.75,415.3925,16.596275,3.399,8.30872499999999,5.732,45.8285000000001,3.57485,0.65445,1.696175,1.65625,0.6613,101.679,100,18.66765,8.01799999999999,19.9839,1.19425,10.7513,0.8255,4.03795,377.461,395.813
1,20.25,411.89125,16.3885,5.327,5.925825,5.004825,31.1715,3.4434,0.6284,1.671675,1.806,0.757349999999999,101.67875,100,18.468775,7.74149999999999,19.9102,1.096,10.75,0.59045,3.80385,375.203,396.365
1,20.75,411.4665,16.39125,7.19399999999998,10.004325,3.083625,30.8725,3.462425,0.635975,1.5775,1.7003,0.6509,101.7225,100,18.399,8.411,19.9515,1.0887,10.74405,0.703675,4.132475,381.093,397.213
1,21.25,411.145,15.967,4.313,7.29952499999999,5.54875,29.75625,3.6787,0.6413,1.4638,1.512,0.667499999999999,101.74125,100,17.669925,7.23649999999998,19.79425,1.2972,10.72655,0.4361,3.87315,381.798,397.572
1,21.75,414.3475,16.5129,4.00465,6.131675,12.068225,36.7,3.736,0.673,1.342725,1.7227,0.633999999999999,101.7875,100,17.5344,7.64899999999999,19.6685,1.164875,0.90525,0.49115,3.9972,390.791,397.156
1,22.25,412.308,16.6059,4.7826,5.780575,4.55039999999997,27.96,3.3506,0.4646,1.46625,1.60075,0.63275,101.8275,100,17.0275,7.218,19.245,1.0745,0.90945,0.5056,3.907225,388.231,394.3
1,22.75,420.513,16.1625,5.48229999999999,9.22874999999998,14.59925,32.02,3.4278,0.53525,1.51005,1.6709,0.71165,101.85375,100,17.255275,6.62949999999999,18.9541,0.90125,0.90415,0.55325,3.615375,386.655,393.6
