DOY2,HR2,CO2,H2O,FC,G,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,378.53,4.841,0.182,-7.97,-22.3,1.373,2.424,0.333,0.65683,0.73478,0.44279,99.868,66.3,2.86,2.38,4.3668,0.17584,5.2495,6.247,0,-1.705,1.326,276.015,321.435
1,0.75,378.61,4.641,0.1715,-7.43,-23.835,1.359,2.44,0.355,0.66123,0.74166,0.43353,99.84,66.25,2.87,2.355,3.9849,0.18276,5.232,6.241,0,-1.7455,1.415,276.415,322.23
1,1.25,378.715,4.6545,0.177,-7.085,-22.87,1.096,2.398,0.354,0.61981,0.73803,0.42099,99.852,66.083,2.782,2.23,3.8277,0.17519,5.1625,6.2325,0,-1.6955,1.41,276.135,321.925
1,1.75,379.215,4.842,0.077,-6.885,-22.5815,0.678,2.347,0.332,0.59854,0.71366,0.39792,99.856,67.4,2.635,2.21,3.7983,0.17444,5.1405,6.21,0,-1.6,1.348,277.61,320.51
1,2.25,379.65,4.962,0.0605,-6.9,-22.728,0.608,2.4,0.351,0.62899,0.70353,0.407675,99.863,68.2,2.453,2.2,3.54495,0.18067,5.1125,6.1875,0,-1.686,1.355,276.5,321.825
1,2.75,379.81,4.9685,0.063,-6.96,-23.688,0.763,2.261,0.352,0.60461,0.73101,0.4164,99.864,68.8,2.219,2.08,3.3418,0.17141,5.0995,6.178,0,-1.6635,1.46,278.925,321.5
1,3.25,379.51,4.947,0.126,-7.2875,-21.415,0.984,2.219,0.338,0.59988,0.71337,0.41934,99.86,69.8,2.042,1.99,3.2657,0.17757,5.079,6.1785,0,-1.543,1.558,282.24,320.24
1,3.75,380.08,4.948,0.0645,-7.5325,-19.0415,0.8675,2.263,0.345,0.62647,0.75097,0.43591,99.832,70.6,1.877,1.84,3.2192,0.18636,5.077,6.175,0,-1.4565,1.4935,283.05,319.305
1,4.25,379.85,4.861,0.138,-7.84,-19.434,0.9115,2.2305,0.3355,0.61282,0.74018,0.42159,99.842,71.4,1.68,1.84,3.0982,0.18171,5.0765,6.2015,0,-1.301,1.515,286.26,319
1,4.75,379.62,4.5355,0.065,-7.82,-19.969,1.2515,2.206,0.324,0.597245,0.74497,0.416315,99.843,71.6,1.591,1.8,2.8926,0.18032,5.059,6.177,0,-1.3395,1.3205,282.265,318.9
1,5.25,379.11,4.58,0.0755,-7.975,-20.29,1.3625,2.192,0.34,0.615185,0.751515,0.42614,99.868,71.8,1.46,1.79,2.8145,0.170015,5.059,6.155,0,-1.3405,1.245,284.655,318
1,5.75,379.25,4.5235,0.1435,-8.265,-18.969,1.372,2.2625,0.3525,0.629,0.75851,0.41033,99.889,73.149,1.472,1.69,2.6979,0.17164,5.0185,6.125,0,-1.324,1.1715,283.52,317.47
1,6.25,379.14,4.873,0.067,-8.31,-19.6,1.7085,2.191,0.349,0.63842,0.771295,0.416285,99.875,75.1865,1.201,1.59,2.55135,0.174315,5.0085,6.088,0,-1.39,1.137,284.57,317.43
1,6.75,379.625,4.76,0.1,-8.1575,-19.4245,1.81,2.2735,0.344,0.63344,0.78933,0.41833,99.889,74.6,0.997,1.565,2.3577,0.18267,4.9885,6.0805,0,-1.3095,1.1725,283.975,317.48
1,7.25,380.6,4.8185,0.106,-7.6625,-19.98,1.336,2.191,0.339,0.62027,0.76699,0.41088,99.917,77.24,0.723,1.53,2.1501,0.17453,4.968,6.0605,1,0.535,1.55,287.985,316.25
1,7.75,380.73,4.639,-0.002,-6.955,-15.177,1.701,2.1655,0.36,0.61043,0.74769,0.409885,99.941,76.973,0.877,1.45,2.3201,0.161245,4.9645,6.0655,41.41,20.7215,4.73,293.78,317.915
1,8.25,380.84,4.594,-0.186,-6.37,-9.617,3.048,2.197,0.381,0.66889,0.82439,0.46416,99.941,72.507,1.121,1.67,2.2699,0.18423,4.963,6.0325,137,63.7,10.3545,288.51,322.7
1,8.75,382.32,4.677,0.3295,-5.385,-0.777,8.927,2.24,0.422,0.744235,0.880275,0.535765,99.978,67.3,2.028,2.115,2.49415,0.216015,4.978,6.0025,277.3,120.205,18.2955,283.12,326
1,9.25,380.7,4.6945,-0.203,-4.2175,19.404,13.011,2.403,0.467,0.86378,0.97416,0.60882,99.988,63.558,2.987,2.475,3.6865,0.26809,4.9475,5.976,410,217.81,31.6,277.64,333.265
1,9.75,380.765,4.9455,-0.1695,-2.7725,45.1135,21.1155,2.5965,0.5455,0.97924,1.1025,0.68721,100,58.9,4.167,3.08,4.3213,0.28997,4.948,5.941,538,281.49,39.762,279.99,341
1,10.25,379.78,5.135,-1.142,-1.7415,77.3285,23.4315,2.734,0.589,1.045,1.13835,0.70833,100,55.987,5.053,3.595,4.9408,0.32612,4.9475,5.9295,642.4,342.86,44.9995,278.27,347.78
1,10.75,378.64,4.843,-0.696,0.053,102,30.99,2.818,0.617,1.0502,1.1874,0.73888,100,52.1,5.605,4.03,5.7517,0.35739,5.023,5.9355,754,417.97,51.7,280.9,355
1,11.25,378.49,4.8695,-0.698,1.4295,124,32.3,3.0425,0.625,1.08705,1.25925,0.75752,99.988,49.7165,6.229,4.37,6.3033,0.355665,5.129,5.9375,837,443.765,54.215,285.05,358
1,11.75,377.59,4.878,-1.2695,1.94,139.82,33.6875,2.871,0.666,1.147,1.2452,0.77316,99.932,48.3,6.802,4.67,6.8377,0.37593,5.3465,5.958,872,452.43,57.2,285.07,363.295
1,12.25,377.14,4.8005,-1.67,2.051,152.835,32.1,3.0205,0.65,1.1473,1.289,0.77883,99.886,46.6,7.101,5.1,7.0977,0.38267,5.637,5.979,894,486.1,61.1295,286.445,368
1,12.75,377.02,4.841,-0.857,3.385,169.25,35.404,2.985,0.668,1.1639,1.3413,0.81505,99.846,44.418,7.47,5.44,7.748,0.38248,5.7725,6.0075,912,484.515,62.9005,285.005,370.605
1,13.25,376.33,4.654,-1.055,3.91,164.725,33.9705,3.056,0.676,1.1979,1.373,0.81728,99.791,42.176,7.862,5.93,7.9679,0.37703,5.8405,6.0155,870.5,497.805,66.45,284.2,372.5
1,13.75,376.035,4.639,-0.787,4.11,146.595,34.008,3.14,0.6995,1.2081,1.2936,0.82552,99.756,41.563,8.28,6.145,8.3455,0.34667,5.9835,6.023,808.53,433.59,60.141,286.265,369
1,14.25,376.08,4.61,-0.914,3.265,140.71,28.376,3.06,0.655,1.1949,1.2955,0.784215,99.7385,40.3,8.64,6.395,8.5111,0.30691,5.9395,6.031,730,387,58.2215,289.16,367.575
1,14.75,376.05,4.6975,-0.6,2.625,117.33,24.282,3.02,0.638,1.1549,1.2689,0.76978,99.7355,40.0615,8.77,6.6,8.4655,0.27824,6.041,6.0755,615,329.94,50.956,288.16,366.665
1,15.25,376.09,4.489,-0.897,1.31,88.36,20.5975,3.006,0.641,1.1213,1.1929,0.76076,99.7245,39.867,8.81,6.5,8.6577,0.22222,6.085,6.13,498,268.16,45.3,285,364
1,15.75,375.685,4.475,-0.775,0.2855,59.222,14.805,2.818,0.568,1.0587,1.1626,0.69271,99.724,39.7,8.917,6.355,8.7421,0.17257,6.0935,6.172,329,185.07,33.8,279.32,359
1,16.25,375.95,4.6855,-0.673,-0.532,22.1105,11.16,2.745,0.525,0.98642,1.0096,0.62999,99.737,40.35,8.605,6.19,8.73075,0.11811,5.971,6.227,210.3,120,22.9,278,353
1,16.75,376.065,4.645,-0.365,-1.81,-0.51,8.1535,2.4195,0.4405,0.81167,0.8704,0.54849,99.743,42,8.394,5.85,8.5854,0.11203,5.964,6.254,86,52.1,12.993,277.6,346.32
1,17.25,376.21,4.699,-0.088,-3.6825,-11.795,3.15,2.027,0.324,0.63298,0.6759,0.42347,99.752,44.7,7.6445,5.42,8.4652,0.15975,5.96,6.269,9,8.401,4.02,275,337.74
1,17.75,376.025,4.698,0.0215,-4.6275,-13.971,1.3,1.99,0.257,0.5337,0.58905,0.33795,99.769,49.8885,6.869,4.865,7.7791,0.19667,5.9105,6.282,0,-1.4535,1.804,274.6,334
1,18.25,375.49,4.6805,0.145,-5.34,-13.725,0.888,1.986,0.2335,0.489765,0.52738,0.30573,99.786,51.3,6.43,4.44,7.2032,0.189265,5.795,6.2935,0,-2.3195,1.7395,275.235,330.87
