DOY2,HR2,CO2,H2O,FC,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,370.3675,2.74075,-0.29725,-44.5025,0.24925,0.744,0.139,0.30375,0.35875,0.189,99.5695,49.7915,-1.6125,0.58,-0.0635,0.187,6.206,7.77,0,-2.558,1.014,214.24,307.3
1,0.75,368.5,2.6905,-0.35675,-44.902,0.4155,0.739,0.137,0.301,0.35375,0.1695,99.5625,50.48375,-1.8855,0.65,-0.198,0.18325,6.193,7.75,0,-2.513,1.235,212.66,306.85
1,1.25,370.98,2.6455,-0.44125,-40.60975,0.261,0.7095,0.12,0.30725,0.35175,0.1635,99.543,52.358,-2.04725,0.59,-0.4545,0.196,6.184,7.767,0,-2.535,1.215,214.58,305.03
1,1.75,371.15,2.54525,-0.32525,-42.14775,0.114,0.703,0.13825,0.28225,0.33,0.171,99.52475,53.706,-2.257,0.54,-0.84025,0.2005,6.182,7.794,0,-2.533,1.027,210.84,304.44
1,2.25,369.945,2.62575,-0.294,-40.118,0.096,0.6715,0.1275,0.271,0.3325,0.169,99.5295,53.868,-2.33825,0.49,-0.86475,0.204,6.1775,7.8,0,-2.438,0.978,211.79,303.41
1,2.75,370.3625,2.732,-0.337,-40.776,-0.0845,0.637,0.112,0.27075,0.3235,0.1495,99.5155,55.99,-2.36525,0.5,-1.188,0.1915,6.159,7.757,0,-2.589,0.945,211.89,304.09
1,3.25,369.38,2.696,-0.517,-38.7175,-0.124,0.641,0.101,0.2715,0.312,0.139,99.5285,56.458,-2.368,0.47,-1.391,0.18725,6.14,7.76,0,-2.381,0.784,215.63,302.89
1,3.75,369.905,2.591,-0.362,-38.888,-0.12675,0.7075,0.1275,0.28675,0.3355,0.17225,99.5355,56.023,-2.46575,0.45,-1.7035,0.18925,6.13,7.737,0,-2.492,0.891,214.77,303.59
1,4.25,369.35,2.644,-0.373,-37.204,-0.0155,0.7135,0.10775,0.264,0.314,0.15,99.5055,57.291,-2.85325,0.45,-1.99025,0.182,6.126,7.73,0,-2.404,0.875,213.85,303.42
1,4.75,368.4625,2.655,-0.446,-37.246,-0.1385,0.623,0.10375,0.27525,0.329,0.13975,99.5055,57.751,-3.016,0.49,-1.9015,0.171,6.1285,7.72,0,-2.354,0.896,213.75,303.22
1,5.25,370.1,2.6205,-0.6875,-33.7,0.13,0.67925,0.1085,0.2585,0.327,0.1465,99.525,58.016,-3.097,0.42,-1.804,0.1605,6.119,7.72,0,-2.326,0.875,212.96,301.62
1,5.75,370.44,2.633,-0.54675,-36.11825,-0.03,0.6535,0.103,0.29975,0.31575,0.14825,99.547,57.429,-3.20675,0.42,-1.942,0.16575,6.1035,7.714,0,-2.288,0.735,212.03,302.34
1,6.25,371.285,2.7215,-0.51075,-35.322,-0.10625,0.67175,0.115,0.263,0.328,0.146,99.56925,59.46375,-3.35225,0.4075,-2.309,0.163,6.092,7.72,0,-2.314,0.753,212.13,301.82
1,6.75,371.1475,2.7495,-0.647,-33.472,-0.214,0.6035,0.095,0.24725,0.32325,0.13725,99.55825,59.38875,-3.596,0.3825,-2.492,0.1595,6.0725,7.724,0,-2.387,0.854,215.04,299.94
1,7.25,370.495,2.68825,-0.457,-33.68175,-0.114,0.679,0.1115,0.26325,0.31575,0.14,99.58,60.368,-3.58225,0.3,-2.205,0.16625,6.052,7.717,0,-0.085,0.822,217.4,298.35
1,7.75,371.015,2.663,-0.544,-28.6885,-0.02575,0.6515,0.1065,0.25425,0.33725,0.14175,99.58875,60.202,-3.4865,0.275,-2.22175,0.141,6.0265,7.707,19,10.097,1.686,216.24,301.59
1,8.25,370.77,2.60025,-1.3725,-22.35325,1.26075,0.6885,0.1395,0.293,0.35,0.175,99.60325,57.202,-2.812,0.28,-1.9535,0.155,6.0025,7.697,64,31.119,3.903,215.86,304.77
1,8.75,372.13,2.70925,-3.178,-12.03,4.11775,0.739,0.1925,0.35775,0.417,0.23025,99.62725,54.412,-1.84525,0.55,-1.286,0.1675,5.9785,7.687,126,55.985,6.697,212.76,310.83
1,9.25,372.83,2.7425,-4.75125,0.133,8.411,0.9015,0.2715,0.456,0.5075,0.33,99.6535,48.7935,-0.884,1.0925,-0.526,0.205,5.9615,7.694,189.3,87.351,9.896,212.9,316.15
1,9.75,373.2175,2.8175,-7.199,16.772,9.555,1.0395,0.3245,0.536,0.584,0.3855,99.67075,44.168,0.01025,1.515,0.1705,0.21375,5.9445,7.68,273.83,118.31,13.098,215.76,320.96
1,10.25,373.17,2.814,-8.829,24.192,14.2945,1.062,0.34925,0.58275,0.6535,0.431,99.66975,40.42175,0.682,2.1325,1.049,0.25425,5.9695,7.69,296.5,142.47,15.759,220.96,325.32
1,10.75,372.6,2.718,-9.32125,37.8475,18.1405,1.146,0.404,0.6385,0.7315,0.459,99.66675,38.228,1.36225,2.51,1.661,0.3055,5.983,7.7,393.09,190.6,20.291,223.32,332.2
1,11.25,371.5825,2.67225,-9.86925,60.578,19.6225,1.265,0.392,0.66425,0.78125,0.48,99.6465,35.4735,1.73875,2.9175,2.39375,0.29775,5.971,7.7,464,239.94,25.835,229.44,333.88
1,11.75,369.81,2.683,-9.262,56.835,23.5535,1.21775,0.3995,0.69025,0.79875,0.49225,99.5755,34.684,2.386,3.185,2.88,0.296,5.967,7.72,449,224.5,22.983,229.95,337.41
1,12.25,369.41,2.6015,-10.08475,70.37625,27.48925,1.2725,0.43425,0.72325,0.8395,0.505,99.52875,33.093,2.972,3.42,3.116,0.306,5.982,7.7385,530,223.44,22.569,229.5,339.37
1,12.75,368.2475,2.6105,-10.304,72.2765,31.141,1.288,0.436,0.7325,0.875,0.5095,99.5035,31.3645,3.24125,3.695,3.523,0.3255,5.986,7.75,544.175,265.08,27.647,229.04,340.83
1,13.25,367.765,2.5745,-9.834,54.0185,29.956,1.352,0.423,0.7585,0.8475,0.5065,99.49775,30.337,3.662,3.92,3.9045,0.3105,5.99,7.76,507.5,252.98,27.267,222.09,342.24
1,13.75,367.27,2.567,-9.589,39.23075,27.354,1.3725,0.438,0.73375,0.9135,0.511,99.45475,30.19575,3.91025,3.98,4.04125,0.28375,6.011,7.78,476.945,201.74,23.203,228.23,342.09
1,14.25,366.51,2.595,-8.182,40.748,26.0805,1.36625,0.4265,0.7195,0.8635,0.503,99.4115,29.74475,4.25575,4.1275,4.481,0.2645,6.0295,7.777,426.23,195.98,20.714,227.91,341.1
1,14.75,367.16,2.56675,-7.993,19.657,29.837,1.327,0.418,0.708,0.8575,0.484,99.41825,29.14475,4.4555,4.1975,4.9465,0.2195,6.0555,7.764,296.1,156.48,15.382,229.33,340.01
1,15.25,367.16,2.64025,-6.3835,6.969,22.0145,1.1925,0.39825,0.64625,0.7915,0.4515,99.42175,29.386,4.3315,4.065,5.40425,0.187,6.0635,7.764,297,138.19,13.619,230.42,339.73
1,15.75,365.945,2.6135,-5.48675,-13.5495,20.5185,1.1615,0.38,0.62325,0.75925,0.43275,99.428,29.5105,4.25,4.16,5.3635,0.16125,6.1105,7.754,221.7,102.4325,10.49925,227.2475,337.28
1,16.25,366.9375,2.52625,-3.331,-28.8215,17.52,1.101,0.327,0.5615,0.633,0.38825,99.443,29.88675,4.0065,3.975,5.16025,0.14,6.1375,7.747,128,58.785,6.781,226.02,330.34
1,16.75,366.6375,2.694,-1.915,-44.03075,9.086,0.878,0.247,0.42,0.527,0.30875,99.473,31.2405,3.56175,3.705,4.77125,0.164,6.162,7.74,59.917,26.935,4.29075,223.7725,328.5175
