DOY2,HR2,CO2,H2O,FC,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,390.9975,8.12275,0.85625,-9.131,8.49325,1.7715,0.4755,0.82575,0.92475,0.5245,100.5,92.287,8.2035,3.43,10.2035,0.39525,8.845,9.96,0,-0.731,2.861,313.6,351.26
1,0.75,389.81,8.263,0.566,-9.396,8.583,1.716,0.452,0.8105,0.90775,0.52325,100.505,93.107,8.0315,3.31,10.227,0.368,8.805,9.95,0,-0.672,2.889,313.8,351.38
1,1.25,390.96,7.9215,0.459,-9.0415,9.3,1.69625,0.4505,0.77625,0.91775,0.521,100.5075,92.549,7.939,3.24,10.3155,0.3635,8.7825,9.94,0,-0.475,2.95,314.49,353.02
1,1.75,391.22,7.93625,0.63175,-8.3945,5.921,1.63,0.44825,0.79275,0.895,0.539,100.4975,92.455,7.9675,3.16,10.17075,0.369,8.7715,9.92,0,-0.4,3.035,317.22,351.53
1,2.25,392.22,8.0835,0.6575,-7.097,8.855,1.6215,0.4625,0.7815,0.895,0.5245,100.4975,93.397,7.6005,3,10.0195,0.391,8.7615,9.917,0,-0.426,2.917,314.39,351.77
1,2.75,391.775,8.3145,0.49,-6.03125,6.729,1.575,0.409,0.76775,0.85675,0.5155,100.505,93.667,7.467,2.89,9.80525,0.3755,8.6965,9.92,0.89,-0.392,2.954,316.2,352.03
1,3.25,392.05,8.282,0.4425,-5.668,8.1115,1.648,0.418,0.736,0.88125,0.49875,100.4975,94.904,7.40125,2.75,9.7505,0.392,8.763,9.9,0.887,-0.354,2.947,315.71,351.11
1,3.75,392.0125,8.344,0.865,-5.758,6.92575,1.641,0.42,0.74275,0.83025,0.48325,100.49,95.445,7.0885,2.64,9.53825,0.3825,8.7455,9.88,0.884,-0.472,2.961,313.61,350.87
1,4.25,392.34,8.274,0.7845,-4.88,8.25225,1.6915,0.43675,0.727,0.879,0.504,100.49,95.098,7.10475,2.63,9.423,0.365,8.7765,9.85,0.882,-0.45,2.869,316.08,349.87
1,4.75,392.2275,8.083,0.9035,-5.1885,8.0745,1.64875,0.40175,0.7345,0.78675,0.47875,100.49,94.894,7.10375,2.45,9.1485,0.36825,8.78,9.83,0.872,-0.191,2.83,321.46,350.49
1,5.25,392.4825,7.91125,0.3715,-6.171,7.904,1.5745,0.41275,0.66675,0.80375,0.469,100.5,94.421,7.02425,2.46,9.219,0.345,8.795,9.81,0.876,-0.199,2.799,319.74,348.3
1,5.75,392.5625,8.204,0.6475,-7.41575,6.6135,1.5545,0.4115,0.71625,0.786,0.4715,100.51,94.609,6.714,2.46,9.151,0.34075,8.7875,9.82,0.878,-0.325,2.774,318.59,347.94
1,6.25,394.13,8.128,0.5685,-3.608,9.5245,1.626,0.44025,0.74,0.809,0.4875,100.5075,94.91575,6.3455,2.2075,8.863,0.318,8.783,9.83,0.879,-0.288,2.769,317.48,346.87
1,6.75,393.0175,8.1235,0.661,-3.9565,6.9045,1.616,0.40825,0.738,0.783,0.4695,100.5275,94.985,5.99675,2.145,8.775,0.35075,8.764,9.84,0.888,-0.293,2.896,322.93,348.53
1,7.25,395.58,8.119,1.115,-4.333,9.7065,1.5275,0.3995,0.70075,0.7385,0.46675,100.5925,95.3935,5.8945,2.195,8.765,0.3555,8.733,9.86,3,1.196,3.321,326.72,348.73
1,7.75,394.5425,7.899,1.139,-3.129,8.367,1.5515,0.4115,0.7065,0.7735,0.4455,100.615,96.039,5.753,2.28,8.56325,0.36525,8.7125,9.85,52.43,33.925,12.018,323,349.36
1,8.25,394.39,7.91175,0.7425,-1.21175,16.04675,1.791,0.47275,0.808,0.918,0.495,100.6525,95.434,6.07675,2.44,8.733,0.381,8.725,9.827,184.1,109.45,24.005,321.58,351.57
1,8.75,393.71,8.014,0.15175,11.505,22.969,1.938,0.5335,0.88875,1.044,0.5735,100.6375,92.66275,6.8375,2.9125,9.014,0.42225,8.7315,9.86,334.4,196.29,32.094,323.98,356.43
1,9.25,393.995,8.12025,0.081,43.776,33.02325,2.007,0.579,1.0155,1.0895,0.617,100.6375,88.682,7.71325,3.46,10.179,0.47,8.7215,9.854,495.6,284.08,38.167,322.18,361.38
1,9.75,393.5575,8.7585,-0.448,75.208,42.88075,2.2885,0.6115,1.103,1.189,0.6605,100.705,83.2785,8.545,4.205,11.1555,0.48775,8.7265,9.774,645.6,368.78,44.091,317.48,366.96
1,10.25,391.27,8.843,-1.15,113.7,51.191,2.399,0.63375,1.15075,1.2495,0.70475,100.72,78.21725,9.702,4.95,11.452,0.47375,8.723,9.787,766,440.1,49.658,315.84,370.77
1,10.75,389.67,8.949,-1.46125,145.39,62.619,2.369,0.657,1.205,1.3025,0.7355,100.7025,76.717,10.475,5.51,12.3555,0.5275,8.71,9.787,894,507.59,54.277,317.51,375.42
1,11.25,389.5575,9.38375,-1.5705,156.91,68.697,2.4,0.669,1.20575,1.36275,0.76725,100.645,74.30075,11.5165,6.1775,13.0155,0.5265,8.7165,9.794,965.11,542.79,57.685,315.96,377.08
1,11.75,388.38,9.635,-1.678,174.185,80.8775,2.4395,0.68,1.266,1.42125,0.77825,100.62,72.1445,12.1325,6.76,13.201,0.56775,8.73,9.807,1030,561.47,57.699,316.43,384.12
1,12.25,387.7275,9.2195,-1.62525,181.0275,85.78575,2.4985,0.687,1.28,1.3735,0.773,100.52,68.8365,12.6245,7.155,13.701,0.5565,8.6875,9.8015,1057,575.56,58.893,317.65,384.64
1,12.75,386.5375,8.82525,-1.345,188.44,93.553,2.571,0.693,1.329,1.408,0.806,100.5,66.632,13.31,7.795,14.255,0.57125,8.695,9.81125,1039.1,581.82,59.567,314.61,390.16
1,13.25,387.54,8.733,-1.777,181.22,87.421,2.41,0.698,1.2875,1.4315,0.7915,100.48,66.3175,13.872,8.095,14.87975,0.545,8.705,9.71,1008,560.48,58.97,315.27,390.41
1,13.75,387.37,9.318,-2.016,163.935,92.276,2.52125,0.69875,1.3,1.39,0.7765,100.4525,65.4485,14.305,8.3825,15.13725,0.496,8.719,9.717,937.0675,514.89,56.593,320.48,391.39
1,14.25,387.14,8.52825,-0.931,144.615,87.5535,2.3595,0.67575,1.25,1.341,0.7645,100.3975,64.67775,14.43775,8.725,15.8345,0.452,8.794,9.66,864.13,478.81,52.468,315.11,391.6
1,14.75,387.13,8.63475,-1.864,112.28,86.53475,2.438,0.663,1.199,1.3725,0.749,100.38,63.7805,14.4425,8.97,16.065,0.392,8.8525,9.677,738,410.2,48.299,314.71,389.31
1,15.25,386.75,8.7605,-0.89425,74.125,74.754,2.266,0.6505,1.17275,1.311,0.7195,100.365,65.207,14.44125,8.95,15.925,0.311,8.899,9.714,595.54,325.13,41.823,313.89,386.94
1,15.75,385.66,9.021,-0.7905,42.07375,65.19575,2.27225,0.62875,1.10775,1.26275,0.7085,100.38,65.22625,14.5,8.64,15.809,0.261,8.9275,9.71,429.16,243.75,34.32475,313.6325,383.8375
1,16.25,386.8425,9.15275,1.751,5.34625,54.404,2.066,0.578,1.01025,1.18525,0.65825,100.4,65.43925,14.1185,8.23,15.4685,0.254,8.9415,9.724,261,160.57,25.418,311.98,381.71
1,16.75,387.8825,9.46,2.1765,-8.138,39.067,1.835,0.524,0.9305,1.04525,0.59025,100.445,69.5345,13.57,7.73,15.037,0.32,8.949,9.747,132.2,59.13825,16.366,311.005,377.5325
1,17.25,388.95,9.432,3.3015,-9.241,19.44125,1.6775,0.473,0.773,0.901,0.52,100.47,75.2655,12.52325,6.9,14.584,0.379,8.9625,9.77,28,17.84775,6.6315,310.305,370.745
1,17.75,389.8225,9.425,1.57975,-7.631,12.4665,1.42875,0.37,0.69625,0.743,0.45825,100.47,80.19975,11.4485,6.215,14.0535,0.408,8.9715,9.787,1.267,-0.27225,2.9625,308.7975,365.83
1,18.25,388.945,9.406,1.093,-4.35275,8.79525,1.478,0.383,0.6505,0.751,0.432,100.485,81.863,10.81025,5.66,13.797,0.41325,8.949,9.797,0.855,-1.55975,2.98,311.495,361.2375
1,18.75,389.56,9.028,0.7315,-4.335,6.39275,1.49325,0.3945,0.6655,0.731,0.44125,100.5,83.9185,10.2425,5.35,13.072,0.41375,8.9465,9.814,0.846,-1.40325,3.08475,312.1175,358.8775
1,19.25,390.06,8.82,0.797,-5.879,9.0255,1.5925,0.3855,0.66425,0.742,0.455,100.515,85.02,9.9135,5.09,12.73275,0.4365,8.924,9.83,0.841,-1.2915,3.15975,309.815,359
1,19.75,389.56,8.65675,0.926,-6.60275,7.249,1.6265,0.452,0.7,0.804,0.457,100.515,86.6905,9.23625,4.825,12.507,0.427,8.935,9.84,0.86,-1.27925,3.22,311.22,358.8775
1,20.25,389.195,8.47475,0.5545,-8.23125,9.0525,1.6205,0.41575,0.662,0.828,0.482,100.515,87.4735,9.215,4.605,12.09375,0.4465,8.92,9.857,0.851,-1.0835,3.1155,308.605,358.4825
1,20.75,388.35,8.6685,0.956,-6.441,9.53,1.61025,0.427,0.69375,0.79175,0.474,100.505,88.085,8.785,4.425,12.1775,0.40475,8.9165,9.86,0.87,-0.9715,3.10175,308.935,357
1,21.25,389.33,8.46875,0.9015,-7.491,9.803,1.6155,0.4625,0.6875,0.835,0.484,100.505,89.5575,8.69,4.19,12.059,0.4275,8.904,9.874,0.874,-0.96525,3.08475,311.3075,354.6925
1,21.75,389.8825,8.4415,0.85375,-9.65025,7.7185,1.5015,0.42175,0.711,0.814,0.479,100.515,90.022,8.76,4.05,11.486,0.4355,8.924,9.87,0,-0.837,3.15675,311.7375,355.0175
1,22.25,389.635,8.49125,0.51175,-8.116,7.0075,1.6305,0.41175,0.70225,0.8305,0.478,100.51,91.0575,8.62775,3.76,11.1505,0.40575,8.899,9.82,0,-0.887,3.105,310.0825,352.93
1,22.75,390.12,8.421,0.65325,-8.4915,7.2925,1.731,0.45825,0.7675,0.871,0.5115,100.5175,90.461,8.2145,3.695,11.15425,0.39625,8.8565,9.82,0,-0.6745,2.97225,311.97,353.7375
1,23.25,390.8425,8.159,0.798,-10.0255,7.5645,1.758,0.472,0.825,0.911,0.54,100.51,91.647,8.21825,3.55,10.866,0.39,8.8725,9.82,0,-0.5915,2.99425,311.0625,352.87
1,23.75,390.81,8.19075,0.686,-10.22625,9.677,1.792,0.5,0.8205,0.982,0.544,100.5,91.522,8.142,3.53,10.44325,0.4145,8.8315,9.747,0,-0.64925,2.97425,312.395,351.1025
2,0.25,390.735,6.98,0.76575,-6.89925,7.5745,1.683,0.44925,0.799,0.85925,0.51925,100.415,93.7305,7.0305,3.91,8.34575,0.438,8.25,8.285,0,-0.509,3.012,311.02,340.66
2,0.75,392.225,7.0395,0.836,-8.3805,7.804,1.60375,0.414,0.80025,0.829,0.49,100.4,94.096,6.799,3.76,7.85775,0.45075,8.24,8.2735,0,-0.714,3.005,309.53,340.43
2,1.25,393.215,7.03,0.656,-7.375,6.99,1.6605,0.41925,0.8125,0.8435,0.4955,100.38,96.167,6.6295,3.52,7.8935,0.41625,8.258,8.26,0,-0.647,3.056,310.69,339.76
2,1.75,393.3275,7.0035,0.837,-10.1245,9.999,1.69825,0.44575,0.812,0.87,0.501,100.38,96.303,6.513,3.44,7.543,0.437,8.235,8.225,0,-0.612,3.036,309.62,339.52
2,2.25,392.79,6.842,0.7845,-11.013,6.92,1.7405,0.45325,0.83675,0.82225,0.483,100.39,96.7315,6.3205,3.29,7.334,0.439,8.273,8.2385,0,-0.62,3.023,310.8,337.48
2,2.75,391.235,6.801,0.73675,-9.70125,7.06675,1.67,0.41525,0.7415,0.787,0.4535,100.405,95.7595,5.915,3.305,7.5045,0.381,8.25,8.195,0.85225,-0.656,2.964,306.94,336.71
2,3.25,391.8225,6.9,0.631,-8.344,10.3045,1.6515,0.384,0.7885,0.7695,0.439,100.385,95.9685,5.7695,3.32,7.32925,0.385,8.23,8.225,0.8535,-0.58,3,307.34,336.61
2,3.75,391.79,6.75225,0.926,-7.797,9.097,1.567,0.398,0.755,0.7365,0.4485,100.39,97.00925,5.774,3.18,7.2225,0.3895,8.2,8.21,0.862,-0.492,2.972,313.48,336.08
2,4.25,393.51,6.48075,0.852,-9.35,8.049,1.614,0.415,0.7685,0.79375,0.48675,100.38,96.4725,5.4805,2.8275,7.015,0.36975,8.16,8.197,0.863,-0.57,3.038,313.83,335.02
2,4.75,393.63,6.88175,0.87025,-5.87725,8.31,1.61475,0.39325,0.746,0.7535,0.4495,100.39,96.622,5.39,2.87,6.95225,0.37275,8.143,8.2,0.86325,-0.512,3.037,314.46,334.82
2,5.25,392.27,6.85875,0.829,-5.962,8.0265,1.57875,0.39375,0.71525,0.761,0.47825,100.415,96.28875,5.2565,2.755,6.544,0.364,8.123,8.18,0.85425,-0.499,2.993,315.87,332.89
2,5.75,393.62,7.0685,0.82825,-6.45075,7.94,1.4745,0.3625,0.7305,0.79625,0.45825,100.43,96.70875,4.8925,2.5975,6.34875,0.349,8.09,8.155,0.85875,-0.437,3.109,315.83,333.5
