DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,LE,H,G,SG,WS,USTAR,TAU,U_SIGMA,V_SIGMA,W_SIGMA,PA,TA_1_1_1,RH_1_1_1,TA_1_1_2,RH_1_1_2,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_1_2,TS_2_1_1,NETRAD_1_1_1,NETRAD_1_1_2,PPFD_IN,SW_IN_1_1_1,SW_OUT,LW_IN,LW_OUT
1,0.25,419.661825,0.45465465,3.354376,0.02833894,0.8798186,-1.868855,-29.28773,-45.91108,-32.73746,1.10541875,0.1077763,-0.195547,0.401496325,0.280911525,0.156216075,97.8197,3.473059,44.90376,4.386958,41.88516,2.77677225,4.694748,0.13168355,9.539342,8.709547,12.0694425,-57.94077,-78.6912025,0.00549123575,0.055208335,0.04259722,243.119375,322.7675
1,0.75,419.3716,0.4193801,3.3605055,0.02514754,0.8230773,-3.469605,-27.691485,-46.131715,-34.7440475,1.138832,0.107567,-0.24226845,0.41295645,0.3169318,0.1648056,97.81964,3.12209,48.30695,3.9269795,40.8379675,2.696073,4.327481,0.13348965,9.423167,8.4400645,11.9877225,-57.25886,-77.277835,0.005749111,0.055208335,0.04623611,242.574,317.450125
1,1.25,417.8282,0.421450725,3.29666825,0.03082505,0.843299,-1.958611,-41.2792775,-46.33942,-31.5657175,1.18518775,0.101272775,-0.2090218,0.4207719,0.2894802,0.160522875,97.8102,3.009019,50.45031,3.3727375,44.35607,2.76931175,3.88385625,0.14379525,9.27869,8.190192,11.93601,-56.92685,-76.5434325,0.00570192475,0.055208335,0.065409715,242.117925,314.99315
1,1.75,419.08775,0.55832935,3.303942,0.027196145,0.887938,-2.150041,-23.6460825,-44.27607,-31.1712025,1.1292465,0.095827505,-0.271498,0.43547975,0.31504605,0.16134375,97.82074,2.321814,52.44324,3.065147,39.911155,2.660167,3.4610995,0.13963595,9.077092,7.977677,11.88002,-56.16505,-75.7589425,0.0058591435,0.055208335,0.052361105,239.933625,312.39965
1,2.25,419.201475,0.5541435,3.38048325,0.0289523675,0.95981755,-2.1142018,-29.469555,-44.7112875,-29.6982675,1.131193,0.10234485,-0.22801665,0.4112317,0.3124629,0.15321135,97.82323,1.919506,52.9714,2.36175075,39.90469,2.458328,3.097351,0.1067417,8.907865,7.819787,11.83286,-55.50309,-74.9153325,0.00563773475,0.055208335,0.05009722,241.635025,312.62725
1,2.75,418.53335,0.402386,3.27562,0.03018888,0.917610275,-0.00422049999999996,-28.90023,-45.16253,-28.3753925,1.138755,0.100005075,-0.2643786,0.4165636,0.305132625,0.150067025,97.81995,1.782041,49.9651675,2.16678825,37.309345,2.366361,2.94822925,0.1066945,8.817742,7.824632,11.7914225,-54.3594,-75.15661,0.00577633375,0.055208335,0.05091666,240.1108,310.197575
1,3.25,417.3608,0.399607,3.29072075,0.032904465,0.7265952,2.66723825,-29.5351375,-43.91821,-29.1850675,1.07878775,0.110509175,-0.2806547,0.434651775,0.302173175,0.150716875,97.82841,1.250036,46.28196,1.7511,35.40378,2.388962,2.56359675,0.1099358,8.679883,7.7382615,11.80741,-55.21196,-75.3748825,0.0059885935,0.055208335,0.055152775,241.482,310.511625
1,3.75,416.864125,0.5302835,3.0464275,0.0295379675,0.71990525,1.229311,-25.5483425,-42.4647625,-25.909185,1.109968,0.109299,-0.303213225,0.4676743,0.3193226,0.1593464,97.83102,0.9069481,50.2371775,1.47989025,36.00057,2.536942,2.193354,0.1086955,8.50055,7.583691,11.8236225,-54.20539,-72.7632975,0.00532841775,0.055208335,0.0570902725,244.6672,310.140025
1,4.25,415.2471,0.404465,2.884833,0.03334809,0.890261625,2.277368,-26.7328475,-43.60115,-23.6291525,1.21289225,0.09721832,-0.22714625,0.437285775,0.283990425,0.149586225,97.83577,1.291889,42.90435,1.6656895,32.62044,2.396106,2.37117225,0.124448625,8.388034,7.4864105,11.833505,-54.38913,-70.9623775,0.00523906525,0.055208335,0.07183333,244.70175,310.448475
1,4.75,415.3923,0.392456075,2.9585005,0.029953685,0.9043054,2.5427815,-28.238915,-42.1863275,-26.14,1.2013745,0.096862735,-0.29058445,0.45180925,0.30455155,0.17289095,97.8144,0.8054418,45.10689,1.611393,36.629165,2.466941,2.20339,0.1153957,8.246591,7.397755,11.8242625,-54.6871,-70.3397625,0.005476381,0.055208335,0.051048605,245.92475,311.332225
1,5.25,413.4682,0.322499375,2.83683825,0.02447594,0.8346856,3.38581775,-27.2016525,-42.5965875,-22.3885025,1.183431,0.1142058,-0.303158925,0.4251321,0.3252486,0.1605234,97.8269,0.6624848,43.122725,1.25934625,37.1236,2.279414,1.740944,0.10486415,8.109867,7.302082,11.7679125,-55.09143,-70.9707775,0.0057605735,0.055208335,0.0590208325,242.894425,310.33145
1,5.75,414.986,0.38859955,2.91532325,0.03018521,0.8816683,2.605509,-26.80005,-42.140175,-21.952835,1.1961095,0.09194838,-0.261410675,0.44458955,0.340172275,0.1589922,97.82281,0.6901064,46.24244,1.3719875,37.939555,2.249819,1.910031,0.1238212,8.03454,7.1918725,11.673315,-54.43123,-73.01112,0.00561639025,0.055208335,0.0493888825,240.67725,309.316975
1,6.25,415.42325,0.350717875,2.881088,0.02985533,0.672451975,2.78188325,-29.344395,-42.5880475,-22.70668,1.20497025,0.101582025,-0.24011365,0.44585055,0.322191625,0.171925825,97.84405,0.3914672,46.066695,1.2798495,37.7897,2.25959,1.81909925,0.113095175,7.950599,7.0577365,11.575675,-53.95715,-71.84926,0.00545952525,0.055208335,0.06217361,240.780025,308.72345
1,6.75,414.9292,0.3199567,2.86127125,0.027650785,0.90213755,3.24583575,-31.20148,-41.1714925,-22.00871,1.1607655,0.1227367,-0.254056325,0.49806465,0.3412345,0.1736891,97.87804,0.2811925,47.91559,0.947113375,37.79397,2.231713,1.3916105,0.1277093,7.881678,6.9764635,11.4975375,-53.89198,-71.3615875,0.00948280825,0.055208335,0.06404166,240.501675,307.2665
