DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,LE,H,G,SG,WS,USTAR,TAU,U_SIGMA,V_SIGMA,W_SIGMA,PA,TA_1_1_1,RH_1_1_1,TA_1_1_2,RH_1_1_2,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_1_2,TS_2_1_1,NETRAD_1_1_1,NETRAD_1_1_2,PPFD_IN,SW_IN_1_1_1,SW_OUT,LW_IN,LW_OUT
1,0.25,425.9141,0.8167571,5.67938,0.047924345,1.6157905,3.763182,-16.06492,-30.43633,-24.69951,1.6810125,0.18559555,-0.0394615,0.59563515,0.4510054,0.24465565,98.32331,6.579791,63.04865,6.658691,58.29623,3.9639935,7.6620445,0.2957904,11.75517,10.84105,13.762735,-43.41174,-57.418845,0.01353291,0.1543611,0.09266666,291.88045,339.7889
1,0.75,426.4258,0.9126243,6.0927715,0.04702429,1.625583,3.277368,-17.926085,-28.53232,-19.631695,1.697957,0.1948198,-0.04777065,0.6110383,0.4339916,0.2356546,98.29823,6.389452,63.99113,6.398686,58.7514,4.195545,7.136178,0.2860758,11.64846,10.70651,13.6512,-44.20445,-55.2379,0.01311215,0.1543611,0.090402775,289.97565,339.4778
1,1.25,426.616,0.985947,5.8914555,0.05258819,1.496907,3.108734,-19.235975,-31.51094,-22.23329,1.652259,0.17764445,-0.037825095,0.63061185,0.44194755,0.24132245,98.29657,6.094895,63.04212,5.973891,57.06901,3.980498,7.030838,0.3114779,11.43964,10.62631,13.56041,-45.43532,-58.35336,0.012412055,0.1543611,0.10679165,291.4247,339.5649
1,1.75,427.48395,1.283774,5.677146,0.06793046,1.321215,5.190424,-13.59853,-30.59166,-21.15147,1.662323,0.1829586,-0.04098678,0.565791,0.414959,0.2327528,98.29508,5.815708,62.05064,6.329375,57.06399,4.08879,7.135424,0.2816726,11.38641,10.40194,13.48545,-45.54561,-55.43808,0.012941815,0.1543611,0.1066667,289.4696,337.18355
1,2.25,427.9167,1.0605795,5.698758,0.07350925,1.3580315,4.536009,-19.17012,-31.70868,-22.02187,1.710683,0.1868254,-0.050307565,0.5732049,0.4171695,0.2585446,98.25484,6.512981,63.01048,5.8306915,57.5653,3.94602,7.314878,0.2366319,11.38247,10.20328,13.41294,-42.46398,-48.915855,0.013134505,0.1543611,0.1003889,288.7916,336.8639
1,2.75,428.7303,0.8326391,5.168083,0.05445924,1.39899,4.915532,-10.33459,-30.87448,-17.75591,1.6475625,0.2116364,-0.07819495,0.5935459,0.42733555,0.2513667,98.26582,6.326998,63.21054,5.415087,57.17259,3.934093,7.390281,0.24054245,11.37681,10.08986,13.38866,-40.82994,-41.676555,0.01299474,0.1543611,0.106,288.89625,335.6589
1,3.25,426.8369,0.9122097,5.091063,0.056241745,1.257273,5.8742365,-15.627815,-31.61483,-18.497795,1.6151695,0.1912303,-0.06400976,0.55550055,0.42840335,0.2474164,98.25323,6.381626,65.37994,5.606631,57.20823,3.814961,7.4596445,0.2565787,11.24106,10.03249,13.33299,-37.87987,-41.25461,0.01245802,0.1543611,0.11041665,287.53755,336.1854
1,3.75,426.0589,1.009368,5.0926515,0.057436805,1.272979,5.422122,-13.76892,-29.58552,-15.068325,1.667151,0.2038126,-0.050611435,0.6308461,0.4692808,0.261103,98.28175,6.637052,64.45636,6.1692185,56.75972,3.8747995,7.544704,0.2391515,11.05904,9.9446,13.255755,-41.32096,-40.196665,0.01312528,0.1543611,0.11809725,287.45635,337.71245
1,4.25,426.4311,0.7942629,4.99093,0.05144896,1.0990135,5.082737,-13.675085,-28.83084,-14.479295,1.6992205,0.2129955,-0.06117513,0.63116495,0.45488585,0.26226075,98.27367,6.562995,61.64446,5.384859,54.14834,3.899424,7.53132,0.2759173,10.95125,9.79494,13.180625,-42.06014,-34.043525,0.01313547,0.1543611,0.1184444,285.65935,335.9399
1,4.75,424.8873,0.9281803,4.9362985,0.04878471,1.1966685,5.135229,-12.29295,-31.36003,-18.089035,1.649092,0.2098377,-0.05314912,0.6347852,0.4446885,0.24883,98.23486,6.455462,62.13646,5.6326695,55.89706,3.736514,7.447146,0.2546353,10.98055,9.889818,13.13319,-38.9648,-30.233105,0.012963825,0.1543611,0.134625,285.736,334.87625
