DOY2,HR2,FC,FCH4,H,LE,WS,USTAR,PA,RH,TA,VPD,T_SONIC,TS_8,TS_7,TS_6,TS_5,TS_4,TS_3,TS_2,TS_1,NETRAD,SW_IN,LW_IN,SW_OUT,LW_OUT,PPFD_IN,G,CH4,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA
1,0.25,2.16031,4.72822,-1.63831,5.19114,1.80374,0.143883,102.309,92.75,11.645,1.99515445864254,16.997,11.3234,11.5100666666667,10.8267333333333,10.8034,10.4867333333333,13.43,14.4466666666667,13.8766666666667,-24.9447944386937,-1.49077141504969,341.604089881943,1.43551236749117,360.085117385789,0,-5.47122002182276,2405.79,483.5145,12.2773,0.616528182648612,0.568160188679214,0.121243556529821
1,0.75,1.45297,10.03409,-2.24755,6.8136575,1.89186,0.192794,102.317,93.05,11.5,1.84591220031021,17.241,11.3234,11.4500666666667,10.5734,10.6967333333333,10.3634,13.47,14.24,13.92,-23.0236490670664,-1.46710837671557,344.501729444232,1.45759717314488,359.051088006673,0,-4.78718903887902,2439.09176825,480.247,12.2108,0.691346512249827,0.734038827310926,0.140356688476182
1,1.25,1.112745,10.4287625,-1.165,10.115825,1.7425,0.161198,102.332,93.4,11.345,2.03211328951206,17.325,11.3367333333333,11.3867333333333,10.3934,10.5734,10.2600666666667,13.4666666666667,13.95,13.9,-23.4145254808594,-1.20681495504023,345.42359291072,1.36925795053004,358.888161557667,0,-3.75630212396916,2423.993619,479.515,12.1069,0.710218276306658,0.628759890578272,0.139283882771841
1,1.75,2.35629,1.5041,-1.21394,9.8366275,1.7508,0.166101,102.34,93.8,11.28,2.00010929856173,17.004,11.3334,11.3834,10.5000666666667,10.4634,10.2334,13.3233333333333,13.76,13.5633333333333,-19.9595746830964,-1.20681495504023,345.996286580758,1.41342756183746,359.419391695858,0,-3.14373423320535,2431.5425,473.1175,12.15895,0.650538238691624,0.562346868044982,0.141774468787578
1,2.25,1.699925,6.5748,-1.74989,7.7780325,1.9473375,0.1565585,102.33375,93.9,11.205,1.80110752874191,16.88875,11.3842333333334,11.2925666666667,10.6225666666666,10.4917333333334,10.2692333333334,13.0941666666667,13.6666666666667,13.5083333333333,-24.5104974335017,-1.37245622337908,341.614575718312,1.39134275618375,360.254464141747,0,-3.19035065623629,2407.03,475.069,11.9255,0.570845227521851,0.555730868308889,0.147415159058495
1,2.75,1.04206,14.09845,-1.21885,8.04123,1.6586975,0.161627,102.3205,93.975,11.0625,1.69608987014111,17.04675,11.3762333333333,11.2475666666666,10.5749833333333,10.4400666666667,10.2384,13.0066666666666,13.2275,13.2491666666667,-19.5529088847126,-1.23047799337435,346.327230385598,1.44655477031803,360.100612612252,0,-2.60003900907226,2482.79,476.94325,12.09465,0.558116156734309,0.615678132618277,0.127533874913949
1,3.25,1.5744575,6.782385,-1.731075,10.73065,1.7534075,0.1688435,102.3195,94.3,11.035,1.46128832569513,16.79325,11.37515,11.2200666666666,10.5467333333333,10.4709,10.3217333333334,12.855,13.4083333333333,13.2383333333334,-15.6575149032392,-1.13582584003786,347.387528177158,1.36925795053004,358.735918331718,0,-2.01640998561392,2527.1025,484.2945,11.9144,0.649520764206575,0.597376069796756,0.128062484748657
1,3.75,1.26236,3.3225,-1.16848,6.58061,1.672445,0.15144025,102.335,94.55,11.065,1.41383016880373,16.52075,11.3839,11.19515,10.6209,10.5517333333333,10.3742333333334,12.6633333333333,13.42,12.9666666666666,-14.4873824693979,-1.27780407004259,347.922455851402,1.53489399293287,358.654621232027,0,-2.26042820454809,2619.875,482.28125,12.0117,0.588263872314668,0.547293128532563,0.157309691149122
1,4.25,1.686715,8.716835,-1.96495,9.64737,1.912705,0.1368965,102.324,94.7,10.9775,1.55645122141969,16.64825,11.3870666666667,11.1659,10.5225666666667,10.5725666666667,10.4017333333333,12.63,13.0466666666666,12.9725,-17.104532233339,-1.3369616658779,346.593389351444,1.49072438162544,359.238909297495,0,-2.81015596728156,2505.198906,483.79825,12.0586,0.628430858571904,0.542652958879577,0.13738192817679
1,4.75,1.573665,4.98819,-0.8664275,9.9356975,1.9050075,0.16239075,102.32675,94.675,10.9475,1.63384165461883,16.82925,11.3889833333333,11.1759,10.3900666666667,10.4200666666667,10.4807333333334,12.5483333333333,12.8466666666666,12.9308333333333,-15.6509825411343,-1.19498343587317,346.672705723228,1.6232332155477,359.704284677247,0,-1.81324037819182,2519.731939,492.9295,12.022675,0.602458437443257,0.55817012617515,0.142249161064378
