DOY2,HR2,CO2,FC,G_1,H,H2O,LE,NEE,NETRAD,PA,PPFD_IN,SC,SW_IN,RH,SW_OUT,TA,TS_1_1_1,TS_2_1_1,USTAR,VPD,WS,CO2_SIGMA,CH4,FCH4,SCH4,H2O_SIGMA,G_2,SH,SLE,T_SONIC,T_SONIC_SIGMA,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,U_SIGMA,V_SIGMA,W_SIGMA
1,0.25,338.011275,-6.64940825,-44.482,-50.13764,5.883718975,-6.9417,0.1757,-91.04,101.101,0,-3.94830817613787,0,37.264576,0.325,6.62025,13.348,12.735,0.018175,0.34275,0.007,0.00914415686914223,1931.495,-115.5435,-83.85488,1.60790079380206,-24.16875,-1.2322534,-3.347923175,9.46477250000003,0.0496079806388598,17.4915,18.266,18.95075,14.206,14.956,14.9975,15.488,13.8575,0.12661135837075,0.12217206541146,0.028297566232887
1,0.75,332.46885,-5.223655,-45.655,-47.700575,5.479153325,-11.39545175,0.001,-91.3275,101,0,-3.75735,0,23.9488475,0.5,6.49425,13.288,12.654,0.018175,0.3114396,0.007,0.00711299834866562,1943.2478,-39.0390355486219,-16.439095,1.81549848019238,-24.96175,-1.2411276,-3.13923205020638,9.15401250000002,0.0485145438121891,17.39675,18.21975,18.96075,13.9975,14.752,14.92375,15.4215,13.891,0.125435098544129,0.115096945045856,0.0268568211866429
1,1.25,330.94277,-6.5082075,-46.787,-50.88956,5.965168275,-10.046025,0.27195,-90.8125,101.00588,0,-2.335875,0,35.1134770349409,0.435,6.216,13.181,12.486,0.017603072,0,0.007,0.00731594550325805,1940.79,-96.0496,-30.687223,1.70314936108189,-26.8615,-1.258848,-2.42089660017548,9.33313250000001,0.0406254894789383,17.43675,18.38,19,13.86825,14.5625,14.7905,15.36275,13.721,0.116991425458902,0.110566525637098,0.0243415166280683
1,1.75,331.371125,-6.8015,-48.766,-48.437785,5.52345625,-11.396125,0.0745,-90.6425,101.00926,0,-2.767925,0,32.9236,0.4,6.23190000000002,13.0795,12.247,0.01845,0.4188448725,0.007,0.00752036386368987,1942.585,-77.9519,-17.1566,1.68426154417985,-27.56125,-1.155617,-3.6252855,9.02418250000004,0.0500627023411967,17.386,18.403,18.98525,13.816,14.52025,14.5795,15.28375,13.632,0.136560856899777,0.11654373946905,0.0370513181476824
1,2.25,324.815645,-6.5545,-51.248,-52.22915,5.452652,-7.1267,0.1487,-90.055,101,0,-4.931875,0,24.528744,0.4,5.91750000000003,12.86,12.3125,0.01711107,0.8548394,0.007,0.00826913612836542,1937.363275,-65.29137175,-33.22315725,1.88075038738443,-27.7825,-1.40214,-5.71005135272271,8.67085000000003,0.0530264925120994,17.445,18.362,18.966,13.7315,13.9625,14.2225,15.2815,13.54,0.118890343416986,0.111550167112001,0.0292061941672005
1,2.75,323.72775,-6.05494,-53.637,-43.23656275,5.1186029,-9.334925,0.071,-90.2,101,0,-6.2179,0,25.36675725,0.293,5.73377500000003,12.828,12.253,0.0231,0,0.007,0.00731183080491871,1907.239375,-44.9214625,-23.9432322635434,1.86618486726372,-27.75575,-1.0706104,-1.8876636,8.61826250000003,0.0478353094927643,17.41725,18.299,19.0015,13.793,14.062,14.41525,15.219,13.63225,0.135294050099513,0.123125134884808,0.0289066938657357
1,3.25,327.8153375,-9.844,-54.55,-44.137823,5.45697,-9.4820639,0.1132,-89.8425,101,0,-4.44591825,0,27.09448,0.114,5.6375,12.8015,12.156,0.01754055,0,0.007,0.00738369940575594,1944.27625641899,-40.69471025,-63.51386925,1.92362042426976,-27.5095,-0.932584625,-4.0995412,8.52729750000003,0.0472948650763403,17.40025,18.2405,19.0115,13.7935,13.96125,14.25375,15.126,13.6315,0.126338688159106,0.11259938959537,0.0288706767253684
1,3.75,323.511935,-6.07686055,-55.378,-41.5864987000076,5.371875,-12.712975,0.0115,-87.985,101,0,-2.9673455,0,27.1199225,0.328,5.3025,12.618,12.009,0.018,0,0.007,0.00662497673845827,1948.16422533603,-74.512141,-123.667976,1.95590000842036,-27.17925,-1.0478014,-2.922964375,8.32433000000001,0.0507333934116627,17.50975,18.1935,19.066,13.622,13.75575,14.0775,14.882,13.5715,0.138496795174186,0.11882956450928,0.0293739966690112
1,4.25,332.1541,-5.421532,-56.069,-41.9264,5.0593124,-10.0387018,0.0615000000000001,-86.555,101.01216,0,-4.9375,0,26.515296,0.3425,5.465,12.5045,12.1,0.01892772,0.244443735494322,0.007,0.00780622111700063,1953.4606171157,-94.146175,-34.35990325,1.32787558343468,-27.17425,-1.207678425,-2.066929825,8.10537000000004,0.046760995809876,17.47975,18.18075,19.039,13.483,13.572,13.91425,14.933,13.2735,0.118514077306559,0.116846490093625,0.0291854190944516
1,4.75,318.1693825,-9.4216,-56.699,-38.35201875,5.430348425,-10.04704725,0.083925,-87.4,101.01504,0,-4.55645,0,24.6729838690365,0.1875,5.325,12.4555,11.88,0.018,0.247419057372558,0.007,0.00755730934853371,1940.87475,-106.6998375,-13.0677875,1.29642083212122,-28.10575,-1.155497425,-2.776286575,7.70151250000002,0.0473292435743651,17.42125,18.1215,19.1115,13.3415,13.42525,13.708,14.84,13.2375,0.116898328223339,0.111113788478265,0.0244047140033788
1,5.25,317.350125,-9.0592,-57.322,-39.61006,5.324761625,-13.96926,0.026,-87.6,101.01504,0,-3.319,0,20.0026444160338,0.3375,4.90625,12.3045,11.828,0.023,0.0125,0.007,0.00683055410197395,1933.2205,-50.67003,-22.884725,1.53701965447839,-28.70275,-1.1181575,-2.15162875,7.44492500000001,0.0493090797929029,17.41825,18.1115,19.13375,13.2445,13.26075,13.595,14.5875,13.18275,0.130975745965293,0.120593479130377,0.0236745604739541
1,5.75,310.4868,-10.876875,-57.779,-47.2910565,4.57935775,-13.4257925,0.134825,-87.385,101.07136,0,-3.3605,0,23.02689525,0.177,4.848,11.9195,11.446,0.0233,0,0.007,0.00740908231699526,1929.3364,-60.352922,-72.721663,1.43047871582971,-28.327,-1.03760204392356,-4.23880924743042,7.28316500000003,0.0451806629852229,17.4215,18.169,19.1315,13.1145,13.1255,13.532,14.36825,12.877,0.133956243132705,0.127241608850005,0.0292124460935486
1,6.25,296.159675,-12.578425,-58.389,-47.4009745,4.3628,-12.3999,0.126625,-86.45,101.0905,0,-5.656125,0,22.83548625,0.2,4.78375,11.806,11.377,0.021075,0.560939428304861,0.007,0.00760592147413403,1930.88895,-80.100406,-24.420265,1.5467025436687,-28.0715,-0.8248004,-2.44479,7.09147250000004,0.0501273226065783,17.195,18.1445,19.123,12.93075,13.001,13.439,14.14075,12.7625,0.143766915341638,0.13892022332069,0.0273840784690165
1,6.75,337.476175,-6.03540155,-59.051,-51.006162,4.12745,-10.04095,0.1255,-86.09,101.101,0,-4.0004,0,15.9918936190601,0.284,4.822,11.6105,11.023,0.02,0.0225000000000001,0.007,0.0100110264261158,1932.02815106152,-56.418495,-7.769537625,1.24680114371619,-29.4585,-0.998168275,-1.8791185,6.82099500000003,0.0507365065600237,17.17075,18.2545,19.11075,12.7995,13.1,13.40825,14.0205,12.86525,0.132779619795463,0.123112683270452,0.0314392234136375
1,7.25,331.65384,-7.6198,-59.753,-49.7935765,4.10675,-10.40965,-0.427,-80.1,101.101,5.7,-2.762,2.8875,12.97096525,-0.154,4.716,11.546,11.325,0.021,0.21261832,0.007,0.00814404101163433,1929.04786003322,-68.239749065121,-39.517596,1.78088361674107,-30.6705,-0.810197455634649,-2.71428457250182,6.50963000000001,0.0576047299078429,17.2365,18.286,19.23075,12.67975,13.25075,13.53225,13.93875,12.64025,0.130173666917438,0.120560687229,0.0349005634492096
1,7.75,343.567,-19.283425,-60.335,-33.83474375,3.5367,-8.817625,-0.154925,-47.27675,101.1242,23.98,-3.276957,10.95,20.12185,-0.3593,5.35,11.859,12.304,0.024,0,0.007,0.00921962887019922,1943.5285,-86.0866925,-22.0520650164673,2.901313636783,-31.3445,-0.000898904249999966,-2.795488,7.01277500000002,0.0687376832161499,17.413,18.29675,19.28125,12.82525,13.4745,13.69425,14.10425,12.76325,0.166238698300092,0.150775821748069,0.0621472180796605
1,8.25,358.366125,-14.0948,-60.459,-22.865546,5.99719395,0.843600000000001,-1.9327,6.118675,101.13716,74.925,-8.8587,31.6215,28.06275,-0.299375,6.62825,12.412,12.836,0.0522546979637314,0.440859900229017,0.007,0.0132883546673039,1934.188,-47.9732,-73.674763,3.9014795843843,-30.13775,-0.247875320395407,-1.56389717853114,7.47944250000002,0.0926879665217839,17.56225,18.4045,19.49225,12.9235,13.493,13.80475,14.7115,13.11575,0.218679122716685,0.221384734735469,0.112853517925235
1,8.75,359.85065,-8.22477266960006,-58.795,-16.918986,6.4655,12.4121463454692,-2.874875,27.917,101.18512,121.305,-13.176282,47.174,44.177459,6.6,7.5645,12.6,13.294,0.0776113975,0.46,0.007,0.0154944878462591,1903.209,-41.624825,-144.326839,3.88192429090516,-29.22175,-0.521849075,-2.78916175,7.80669750000001,0.118163026563909,17.58225,18.44075,19.613,13.253,13.5775,14.0745,14.91225,13.5045,0.302800265629412,0.293123185165113,0.146670931507244
1,9.25,365.0755575,-6.814330425,-54.146,-7.014075,6.512940125,23.95898,-3.6455,48.333,101.2,168.975,-4.9702445,67.59475,43.329525,8.9625,8.7935,12.7,13.705,0.1203,1.186167525,0.0079,0.0162921380243405,1900.1295,-105.8973975,-218.4071,5.60200048996393,-28.845,-0.0886607925,-3.31845616389007,8.37684000000003,0.132705200137115,17.58375,18.44375,19.64225,13.8015,13.71275,14.109,14.876,13.744,0.388487231080278,0.333946609405546,0.174264452312209
1,9.75,359.6127,-5.4921207,-49.73875,0.932603013003174,6.737875,32.2211063095768,-3.94965,58.84225,101.2,177.36,-2.0806793,79.55,41.961077,7.590525,10.168065,12.615,13.7675,0.1405825925,1.21481170991804,0.070375,0.0181700818850605,1897.1944,-81.063873,-36.018503,3.31989286082233,-28.3405,-0.212234175,-3.703378,9.20325000000002,0.120899618061672,17.625,18.4915,19.7415,14.1005,14.0805,14.2635,15.046,14.0795,0.46706650974871,0.434629097257424,0.20618269744235
1,10.25,355.98325,-4.746102,-45.68,2.8669216,6.306475,39.6563141233309,-3.8435,72.3375,101.2,220.0825,-0.95525,94.1075,37.1066032147546,6.5,10.660625,12.76125,13.46625,0.1712727825,2.2205569561763,0.474375,0.0202446317550531,1895.0034,-57.353344,-10.915386,5.72138011042751,-27.19,-0.4590833,-3.264293375,9.88325000000001,0.118487487884296,17.3415,18.2435,19.418,14.2205,13.865,14.1895,15.152,13.867,0.523345922659124,0.49782014997607,0.202932280932651
1,10.75,355.26235,-5.17259625,-41.4765,9.8117438,6.623838,45.194735,-3.667725,76.2367808123848,101.1135125,270.7725,-0.4837048,99.5592280200632,38.143415175196,8.661,11.196,13.002,13.6255,0.18525,1.76642268073696,1.0879,0.0202142926717184,1891.555375,-55.7161625,-5.84756125739746,4.84973753483053,-26.194,-0.909525,-3.242209,10.0446,0.16258052324407,17.231,18.171,19.2815,14.3635,14.2045,14.348,15.234,14.468,0.565193300605462,0.480628287365458,0.209118984461349
1,11.25,354.9178,-5.00810285,-38.565,18.8746875,6.542746,51.9916314200744,-4.492325,100.865,101.101,317.6625,-0.3860325525,119.54,35.8448,8.45,11.67675,13.422,13.685,0.18144038,2.8975,0.85675,0.0240632293374089,1892.868775,-64.704019,-7.990446875,5.56086766874784,-25.3265,-0.8890269375,-3.20384475,10.391475,0.19988807731377,17.02,18.0405,19.281,14.5685,14.5025,15.275,15.173,14.874,0.555168746531257,0.5523212936039,0.221701309240233
1,11.75,352.682,-4.71097425,-34.582,17.8367729280283,6.68520775,45.405,-4.4446,108.875,101.07748,361.7025,-0.3724408,134.375,34.99025,7.9425,12.2673,13.591,13.7,0.1720556,2.18656607813361,0.74395,0.0255087235958128,1883.64265,-48.719179,-6.65513779735909,5.77520707703953,-23.863,-1.1395686,-3.51402,11.2908,0.182794228314388,16.9645,17.971,18.952,14.7395,14.5675,15.6305,15.3025,15.1505,0.603661364890948,0.516983643047632,0.220276662135131
1,12.25,350.56352,-5.535229475,-32.24335,12.879644,6.307709,47.2195206986005,-4.1484,110.86,101.011025,355.9625,-0.5661551025,141.574141977119,34.7615,10.95065,12.76788,13.726,13.9455,0.174718325,3.03059525,0.89765,0.024561885604101,1882.79205,-54.2899235,-8.60894575,5.98954648533122,-22.899,-0.99857800660411,-4.2200182,12.1256547030554,0.147971061652227,16.961,17.8715,18.89,14.946,14.7275,15.7945,15.293,15.247,0.586934621432036,0.531361022627129,0.228112591226671
1,12.75,351.0596,-5.2355385,-27.1135,10.09019625,6.409053,46.903125,-4.396025,75.565,100.97128,295.69,-0.422552625,99.9766199000686,32.7773,10.923325,13.0575,13.973,14.204,0.19768245,1.8772838,0.8425,0.0218687298287635,1887.223075,-211.83179,-14.0457355,6.20388589362291,-22.1475,-1.288310875,-2.75557225,12.7059292700025,0.158122724664044,16.923,17.8045,18.7955,15.2065,15.094,15.985,15.4765,15.6145,0.557083273381494,0.467033561791877,0.191545126059306
1,13.25,348.14844,-4.877801375,-24.292,6.6184225,6.3922,48.2935,-3.991675,89.7,100.9457,240.43,-0.30564164,101.45,31.7885,10.041,13.40944,14.145,14.197,0.1940926,3.83878734512405,1.02085,0.0225366198836298,1879.57175,-94.739305,-10.7347925,6.41822530191461,-20.808,-1.54389175,-3.07160615,13.2859834170873,0.150860417187217,16.8605,17.668,18.752,15.5825,15.245,16.2455,15.5585,15.9535,0.574060557014203,0.537348258515403,0.20223054256027
1,13.75,350.43024,-5.21626955,-22.47625,4.52012095,6.0449,40.5541,-3.53775,86.0775,100.9,255.4725,-0.2313672,113.9925,30.61735,8.668075,13.7205,14.29125,14.225,0.18091945,2.696,0.917625,0.0217491894846987,1881.655,-131.255548714646,-7.556971625,6.6325647102063,-19.22875,-1.10172238669417,-2.4498628,13.6754572485185,0.117908270131853,16.85075,17.7065,18.62825,15.7565,15.512,16.1735,15.62875,16.1845,0.51308003440805,0.47949667937892,0.192314914805243
1,14.25,350.48638,-5.18312075,-19.8025,6.0020878,5.6495,41.048,-3.747525,72.1475,100.8762825,230.205,-0.1256658275,93.4725,29.084225,9.705,14.273755,14.59875,14.455,0.20084305,3.6,0.665125,0.0176459339246576,1881.838,-134.55285,-6.98828,6.84690411849799,-17.563,-1.38026625,-2.41012465,13.846,0.101502833765338,16.83075,17.6215,18.5515,16.05575,15.80175,16.28925,15.70825,16.566,0.564561760250372,0.50202672017456,0.204610574244702
1,14.75,350.02108,-5.1231035,-18.415,5.3719972,5.777807,41.3434,-3.43775,57.77025,100.84616,193.81,-0.1452865,76.6846416754432,28.1961,6.9806,14.60615,14.79125,14.44,0.1974844,3.3,0.732875,0.0184791103495044,1881.3599,-18.250925,-4.9755796,6.1058575126156,-15.8395,-2.3180854,-3.272093,14.0934306787727,0.106509097621648,16.81075,17.56075,18.4715,15.9715,16.06525,16.456,15.92975,16.85225,0.563655540039818,0.481470423333187,0.171881830488102
