DOY2,HR2,USTAR,H,LE,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,WS_1_1_1,TA_1_1_1,TA_1_2_1,RH_1_1_1,RH_1_2_1,PA,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_4,G_1_1_5,G_1_1_6,G_1_1_7,G_1_1_8,G_1_1_9,SW_IN_1_1_1,SW_OUT_1_1_1,NETRAD_1_1_1,PPFD_IN,PPFD_OUT,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1
1,0.25,0.0229580381,-59.744152532,-4.2614084924,0.1629692,0.1576909,0.0419657,0.0606064,0.1432984,-36.583422,-37.60526175,59.15634125,60.1004975,95.905736,-10.1212621925,-8.5119566755,-6.3066112,-1.4897052445,-10.9645088125,-15.24555410875,-34.30388050125,-14.10541018875,-7.99489490375,-4.634782102125,-2.2172116885,-41.24011822,-0.095548655,0.1883051375,-13.79211875,-13.03182125,-10.7690925,-10.93319125,-9.93312125
1,0.75,0.039024142925,-63.61530952,-1.0701532644,0.165929825,0.1930759,0.0398971,0.051283,0.2643819,-37.266578,-37.60184125,58.82852625,59.84385625,95.876834,-10.11796162625,-8.505620908875,-6.296460913125,-1.4832888375,-10.97114154125,-14.82158830125,-34.2353302275,-14.53503276375,-8.002302430625,-4.261106453375,-1.76876047675,-44.24276357,-0.079475195,0.1806445225,-13.83653375,-13.0729075,-10.794845,-10.96260125,-9.96225325
1,1.25,0.0271041137,-56.9015114425,-2.294696750525,0.153303525,0.155089875,0.039068025,0.0577835,0.350164,-37.3172785,-37.608116375,57.77577125,59.8443975,95.826956,-10.10912648625,-8.49698368675,-6.28894096075,-1.483015870375,-10.993172655,-14.52163047125,-34.13790141875,-14.83544964125,-7.95340998525,-4.740970142875,-1.64526479,-46.41042151375,-0.07849461,0.1903697625,-13.87811,-13.111245,-10.818245,-10.987105,-9.988270625
1,1.75,0.0186968846,-59.44661540525,-3.3448243055,0.167474,0.2077025,0.045763,0.062048625,0.3301578,-37.051198,-37.605049875,57.87991,59.4612375,95.814728,-10.10117082875,-8.490970189125,-6.27656509125,-1.486866942375,-11.02364717125,-14.33799446375,-34.12307969125,-15.11185073,-7.946576917875,-4.389449019,-2.00639492575,-45.4072354625,-0.094539125,0.167212305,-13.91228375,-13.1415825,-10.83215125,-11.00964,-10.005409
1,2.25,0.02151482955,-54.7508410485,-1.4127687658,0.17277635,0.181593525,0.043027675,0.0420207,0.381163625,-37.376203875,-37.60366825,58.2720275,59.84900875,95.80949,-10.09632048875,-8.48170517325,-6.28362393875,-1.500887224875,-11.0218483525,-13.88976832125,-34.24714272125,-15.2797850925,-7.962283258125,-3.943515884875,-1.849474733,-43.9636259675,-0.088242725,0.1819574225,-13.94371,-13.17017625,-10.85823625,-11.0304975,-10.02145875
1,2.75,0.0219624291,-60.0349649465,-2.25581533375,0.1465846,0.1734718,0.0378038,0.070118,0.55446645,-37.578876375,-37.608041125,57.27096,59.47446875,95.824274,-10.0900245625,-8.468034894625,-6.3015800515,-1.512816539625,-11.03123223625,-13.49548317,-34.49374641,-15.34422815,-7.982135715875,-4.458937957625,-1.792393077625,-40.546205425,-0.0817922025,0.1809895575,-14.07014125,-13.199535,-10.87804875,-11.04789375,-10.044145
1,3.25,0.0265842751,-63.5819388215,-0.0945539163,0.150800475,0.161061025,0.03138825,0.05387905,0.4342123,-36.87169875,-37.60706575,57.78261625,59.4295925,95.844251,-10.07843461125,-8.45412471425,-6.321525109875,-1.50691576725,-11.03617127625,-13.117935055,-34.81811134375,-15.35281150125,-7.997432141375,-4.36662358625,-1.841009860375,-40.3972189925,-0.1023410475,0.1790996825,-14.206845,-13.3293025,-10.89012875,-11.06061875,-10.0555125
1,3.75,0.0263434808,-53.16437948575,-0.267988012575,0.1586338,0.1535506,0.0345922,0.0628974,0.2333657,-37.204793875,-37.607525375,57.79837625,59.18704625,95.866286,-10.06926408875,-8.4461043805,-6.3409324935,-1.4930953565,-11.07371235875,-12.75484342625,-35.1755067725,-15.275320175,-8.004645411875,-4.41900216225,-1.87449578875,-40.7534312025,-0.09457178,0.1892454675,-14.3218125,-13.45359,-10.99490625,-11.12248875,-10.0714675
1,4.25,0.014291891925,-62.4031972995,-0.8345270458,0.09807135,0.130803525,0.033051875,0.063137225,0.3428665,-36.603727625,-37.62450275,56.48741625,58.11135875,95.894117,-10.07083565375,-8.434039804,-6.355554725375,-1.46419694525,-11.08885665125,-12.5681867775,-35.5315013725,-15.10276701,-8.017529517875,-4.05360986375,-1.783134449875,-41.7761947675,-0.096416395,0.177732265,-14.4100275,-13.54679875,-11.0733425,-11.20462,-10.11388375
1,4.75,0.0166879737,-59.1879250925,-3.9086512308,0.130939625,0.13863635,0.031614225,0.055920625,0.48762385,-36.21053525,-37.61453225,55.42314625,56.79457125,95.925215,-10.06902334,-8.423170254,-6.3707045225,-1.446980454375,-11.104963775,-12.769234775,-35.862876015,-14.9670455325,-8.037538937375,-4.292784597375,-1.772412078875,-46.08627907375,-0.0931570975,0.1682335975,-14.47213375,-13.60795,-11.130335,-11.26633,-10.136315
