DOY2,HR2,TA,RH,WS,PA,PPFD_IN,PPFD_OUT,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,VPD,T_CANOPY,TS_1,TS_2,TS_3,TS_4,G,SG
1,0.25,-19.18375,78.737,9.085,101.4,-0.113,0.031,-2.588975,0,0.1509375,219.945,226.73,0.2941225,-21.26325,-2.031725,-1.84315,-1.62375,-1.21215,-3.036625,0.0322435
1,0.75,-19.305,78.79375,9.345,101.4,-0.068,0.0395,-2.62595,0,0.734995,212.1175,226.2875,0.2920575,-21.21125,-2.03375,-1.84485,-1.624775,-1.15335,-3.038,0.041037
1,1.25,-19.34875,78.68425,9.135,101.4,-0.116,0.033,-2.35045,0,0.2266275,212.66,228.795,0.291315,-20.53475,-2.03555,-1.846575,-1.6261,-1.15475,-3.028375,0.0205185
1,1.75,-18.8175,78.9645,9.4475,101.4,-0.12675,-0.005,-2.116925,0,0.5787725,212.575,226.535,0.29135,-20.0435,-2.0378,-1.84815,-1.62745,-1.15515,-3.029725,0.03370875
1,2.25,-18.80375,78.988,9.48,101.4,-0.1275,0.011,-0.7190925,0,0.6483425,214.3,229.7975,0.2829075,-20.2915,-2.04015,-1.8504,-1.6287,-1.1566,-3.0214,0.046899
1,2.75,-19.45,78.83,9.35,101.4,-0.117,0.065,-1.7829,0,0.060341,216.56,225.93,0.29137,-21.762,-2.059,-1.869,-1.6477,-1.1723,-2.9856,0.02345
1,3.25,-19.45,78.652,9.53,101.4,-0.063,0.018,-1.00853,0,0.00502825,218.2975,225.395,0.27904,-21.44025,-2.061,-1.871,-1.649,-1.173,-2.9966,0.02345
1,3.75,-19.425,78.582,9.4,101.4,-0.164,0.047,-2.5524835,0,0,210.7275,224.13,0.28948,-21.53925,-2.0637,-1.8733,-1.6503,-1.174,-3.0021,0.029312
1,4.25,-19.445,79.037,10.05,101.4,-0.089,0,-2.424125,0,0.0201045,207.32,225.035,0.28658,-21.68475,-2.0673,-1.876,-1.6523,-1.1753,-3.0132,0.029312
1,4.75,-19.345,79.041,9.88,101.4,-0.087,0.051,-2.067375,0,0.2920675,208.4725,225.19,0.28658,-21.84275,-2.0703,-1.8793,-1.6547,-1.1767,-3.0132,0.0307775
1,5.25,-19.22,79.376,9.74,101.3,-0.101,0.033,-0.7583425,0,0.0603725,209.2775,222.83,0.28524,-22.062,-2.074,-1.8817,-1.656,-1.1773,-3.0132,0.017587
1,5.75,-19.055,79.283,9.85,101.3,-0.105,0.012,-0.90023,0,0.040249,206.88,220.51,0.28625,-22.697,-2.0773,-1.885,-1.6587,-1.1793,-3.0132,0.029312
1,6.25,-18.695,79.285,9.65,101.3,-0.152,0.002,-0.38311,0,0,212.79,220.43,0.27811,-22.42,-2.081,-1.8877,-1.661,-1.1803,-3.0187,0.035174
