DOY2,HR2,TA,RH,WS,PA,PPFD_IN,PPFD_OUT,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,VPD,T_CANOPY,TS_1,TS_2,TS_3,TS_4,G,SG
1,0.25,-32.347,99.3315,2.683225,100.32,0,0,-17.523,0,0,174.8825,184.2475,0.0012009,-32.1315,-18.1235,-17.61725,-17.4565,-16.72975,-9.825,-0.4250175
1,0.75,-32.4695,99.261,2.42015,100.29,0,0,-20.5455,0,0,172.655,183.425,0.0012354,-32.085,-18.1785,-17.6115,-17.428,-16.7835,-9.18885,-0.35169
1,1.25,-32.321,99.2415,2.2195,100.23,0,0,-15.856,0,0,172.47,182.99,0.0013508,-32.115,-18.1815,-17.625,-17.405,-16.7915,-9.613,-0.3954
1,1.75,-32.643,99.276,1.7428,100.21,0,0,-20.134,-0.020839,0,172.44,181.935,0.0007837175,-32.394,-18.185,-17.632,-17.377,-16.805,-9.98975,-0.34364
1,2.25,-32.974,99.3895,1.6954,100.18,0,0,-20.959,-0.0835185,0,169.87,181,0.0009017175,-32.7255,-18.183,-17.638,-17.353,-16.818,-9.82505,-0.366525
1,2.75,-32.923,99.383,1.7892,100.2,0,0,-21.259,-0.37575,0,169.555,182.05,0.00098532,-32.3455,-18.1885,-17.643,-17.3415,-16.8265,-9.66015,-0.29322
1,3.25,-32.3855,99.261,1.57375,100.24,0,0,-18.0145,-0.12516,0,171.025,181.2,0.00151585,-32.7025,-18.1865,-17.6465,-17.3365,-16.835,-9.51875,-0.328805
1,3.75,-33.085,99.3285,1.61545,100.21,0,0,-20.064,-0.0313175,0,169.965,182.83,0.00093653,-33.079,-18.1865,-17.655,-17.3335,-16.83,-9.4952,-0.42253
1,4.25,-33.52,99.15475,1.430375,100.1425,0,0,-24.35575,-0.015648,0,172.085,181.7375,0.0011986,-33.4415,-18.18325,-17.679,-17.32925,-16.8435,-9.3185,-0.435075
1,4.75,-33.2345,99.1945,1.6817,100.1025,0,0,-20.79375,-0.3490325,0,169.16,180.705,0.0011321,-33.07125,-18.19225,-17.68725,-17.3325,-16.81825,-9.813275,-0.37144
1,5.25,-33.13625,99.28625,1.7884,100.05525,0,0,-22.95725,-0.6310375,0,169.29,181.3725,0.0014675,-33.2085,-18.2045,-17.6955,-17.341,-16.793,-9.907425,-0.403545
1,5.75,-33.13525,99.2625,1.60505,100.0505,0,0,-18.48,-0.3551025,0,170.225,182.6025,0.001052925,-33.103,-18.18,-17.70475,-17.35025,-16.787,-9.612975,-0.3628125
1,6.25,-33.13525,99.30875,1.884725,100.07025,0,0,-20.0695,-1.2557925,0,171.7375,184.2825,0.001027315,-33.06825,-18.17075,-17.7215,-17.363,-16.7905,-9.40095,-0.3309925
1,6.75,-32.72125,99.15825,1.730125,100.044,0,0,-21.50375,-0.89147,0,173.5025,186.2725,0.00164245,-32.71125,-18.151,-17.7355,-17.371,-16.80175,-9.5187,-0.3124175
1,7.25,-32.63025,99.22175,1.49155,100.045,0,0,-21.27575,-1.29815,0,177.93,184.755,0.001268525,-32.63075,-18.13225,-17.7475,-17.38525,-16.8155,-9.825025,-0.4781525
1,7.75,-32.586,99.32,1.5177,100.02,0,0,-20.557,-0.7515,0,174.62,183.67,0.0013126,-32.356,-18.113,-17.763,-17.407,-16.843,-10.273,-0.47275
1,8.25,-32.418,99.28,1.869,100.002,0,0,-21.728,-0.22947,0,174.97,182.55,0.0016468,-32.028,-18.127,-17.797,-17.427,-16.85,-10.508,-0.52431
1,8.75,-31.936,99.31,1.6633,99.9915,0.2496,0.25659,-21.122,0,0,174.98,184.57,0.001305225,-32.585,-18.16,-17.823,-17.457,-16.83,-10.885,-0.31227
1,9.25,-32.73,99.076,1.6871,99.9885,1.2976,1.4265,-18.596,0,0.043737,175.95,184.63,0.00077249,-32.901,-18.133,-17.8,-17.487,-16.85,-11.215,-0.39757
1,9.75,-32.347,99.08,1.747,99.989,5.7511,6.1163,-18.682,1.7503,3.68,176.04,186.92,0.00089785,-32.112,-18.093,-17.797,-17.513,-16.867,-10.226,-0.36702
1,10.25,-32.129,98.94,1.7642,99.999,17.338,17.457,-22.021,6.5416,8.0461,178.4,187.05,0.0016533,-32.494,-18.09,-17.803,-17.493,-16.893,-9.7544,-0.26216
1,10.75,-32.748,98.707,1.71955,100.01,33.117,36.67,-16.2245,15.329,16.61,175.81,184.15,0.0025723,-31.8195,-18.0635,-17.775,-17.4535,-16.85,-8.647,-0.20164
1,11.25,-32.4765,98.574,1.64265,100.03,51.2635,55.936,-14.307,19.348,20.9255,175.645,183.65,0.0032708,-32.261,-18.072,-17.785,-17.445,-16.8535,-8.5056,-0.17156
1,11.75,-32.7345,98.714,1.743375,100.1025,66.169,79.13375,-13.484,28.47375,31.816,175.2625,185.22,0.0027033,-32.59425,-18.08775,-17.78925,-17.439,-16.82325,-7.7163,-0.1968325
1,12.25,-32.547,98.629,2.2034,100.29,73.468,87.405,-12.6,37.485,38.157,174.89,186.12,0.0033965,-32.2,-18.11,-17.8,-17.253,-16.717,-7.9637,-0.097741
1,12.75,-31.7,98.3265,1.86465,100.3025,79.11625,97.1105,-14.6795,45.3855,42.29925,174.32,188.48,0.004242775,-31.11975,-18.1045,-17.7915,-17.38425,-16.78025,-7.98725,-0.10192525
1,13.25,-30.7765,98.218,1.9157,100.2775,82.8475,92.6525,-16.375,42.8585,42.1735,171.76,188.025,0.0040844,-30.458,-18.09,-17.7485,-17.357,-16.748,-8.1993,-0.18235
1,13.75,-30.521,98.312,2.05055,100.3,79.058,88.15,-16.0985,38.3895,38.7645,168.4,188.965,0.0043489,-30.289,-18.092,-17.7265,-17.367,-16.74,-8.1522,-0.182665
1,14.25,-30.192,98.34,2.17595,100.2775,62.256,67.7195,-16.528,32.7475,28.8435,170.085,188.58,0.003662125,-30.4235,-18.09,-17.71,-17.373,-16.74,-8.67055,-0.15816
1,14.75,-30.841,98.3105,2.4905,100.29,47.761,55.9105,-16.8155,20.704,21.3785,168.855,188.51,0.003962225,-30.5775,-18.09,-17.69,-17.375,-16.7315,-9.28315,-0.25205
1,15.25,-31.017,98.4985,2.3059,100.3125,35.989,40.9015,-20.846,16.693,18.263,170.59,189.62,0.00370375,-30.389,-18.0865,-17.677,-17.3835,-16.722,-9.7544,-0.30055
1,15.75,-37.15975,100,3.4905,100.315,1.418875,1.37518,-42.41425,-0.0261025,0.4922025,128.56,168.3925,0.003819175,-36.88375,-18.63975,-16.3565,-15.28475,-13.631,-28.57975,-0.40396
1,16.25,-31.5595,98.3195,1.8205,100.315,8.12605,9.707,-22.0045,3.6162,4.808,169.705,188.56,0.0032697,-31.44,-18.0715,-17.647,-17.38,-16.6985,-9.75415,-0.457165
1,16.75,-32.0185,98.8485,2.1093,100.325,2.18105,2.35315,-26.829,0,1.04905,169.115,188.24,0.002497075,-31.3975,-18.0515,-17.638,-17.3665,-16.69,-10.791,-0.43984
1,17.25,-31.549,99.019,2.18775,100.3325,0.331395,0.36692,-27.661,0,0,168.81,187.48,0.001386,-31.3915,-18.0285,-17.63,-17.3615,-16.68,-10.932,-0.317765
1,17.75,-31.725,99.0515,1.92635,100.3125,0,0,-28.427,0,0,167.615,187.575,0.001367375,-31.4835,-18.015,-17.6235,-17.35,-16.6715,-10.909,-0.44439
1,18.25,-31.584,99.15,1.7905,100.3025,0,0,-26.926,0,0,167.79,187.87,0.0013925,-31.5385,-18.085,-17.6315,-17.3465,-16.6715,-10.9795,-0.435125
1,18.75,-31.7735,99.203,2.10915,100.32,0,0,-27.75,-0.020869,0,168.8,185.25,0.0018441,-31.658,-18.067,-17.6485,-17.325,-16.6585,-11.1685,-0.44439
1,19.25,-31.9625,99.1735,2.09125,100.315,0,0,-27.734,-0.43742,0,168.28,184.62,0.0013785,-31.8315,-18.055,-17.66,-17.312,-16.6435,-11.6395,-0.538835
1,19.75,-31.9865,99.1915,2.0229,100.3175,0,0,-24.5495,-0.0415665,0,170.99,184.76,0.0013285,-31.8725,-18.0415,-17.67,-17.298,-16.635,-11.71,-0.43984
