DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
1,0.25,0.019025,-11.7175,0.680475,-0.243325,-0.048725,-0.4502,-101.95615,-11.74165,-7.01175,-5.3061,-15.37375,-3.308875,-1.34375,18.778,76.458,381.96565,-0.28225,-122.425,0.335,-5.01,0.18975,157.4,254.075,1.255,-0.045
1,0.75,0.0266,-11.74,0.629325,-0.2539,-0.082625,-0.94285,-83.0287,-19.2055,-2.907125,-5.4433,-15.71625,-3.418875,-1.365,20.825,76.45825,382.009425,-0.248,-122.725,0.335,-5.172,-0.00075,156.275,253.3,1.207375,-0.155
1,1.25,0.0363,-11.8455,0.639125,-0.1804,-0.143975,-0.4224,-81.55885,-15.86085,-4.42075,-8.49925,-15.74125,-3.482875,-1.3925,17.63775,76.41875,382.0482,-0.10575,-120.675,0.335,-5.40375,-0.00075,155.9,252.525,1.007875,-0.215
1,1.75,0.032575,-12.13575,0.6765,-0.268825,-0.024,-0.489825,-73.71485,-17.4183,-3.17925,-7.49235,-15.76,-3.5115,-1.421375,16.1,76.38,382.18175,-0.10675,-120.375,0.335,-4.96725,0.13325,155.1,251.875,0.957375,0.0175
1,2.25,0.025575,-12.22225,0.615875,-0.2265,-0.052475,-0.4302,-74.7815,-13.52395,-4.149875,-8.10945,-16.17375,-3.5495,-1.45225,17.8225,76.398,382.176025,-0.089,-121.4,0.335,-4.85175,0.09975,153.65,251.775,1.023875,-0.0075
1,2.75,0.016575,-12.3555,0.538275,-0.292725,-0.141875,-0.541325,-77.963,-16.93555,-6.411875,-9.321,-16.77125,-3.610875,-1.485,18.6975,76.4075,382.24035,-0.1345,-118.875,0.335,-4.723,0.00525,153.75,251.275,1.015,-0.075
1,3.25,0.024,-12.3545,0.573975,-0.466625,-0.12955,-0.7001,-80.14305,-20.52885,-8.897625,-7.4045,-16.92125,-3.669125,-1.516875,18.63,76.42725,382.160975,-0.109,-119.1,0.335,-5.16025,0.0585,151.55,249.625,1.02775,-0.18
1,3.75,0.027,-13.21575,0.581475,-0.3921,-0.121275,-0.70705,-75.0938,-20.3395,-4.160375,-9.6024,-17.37375,-3.72725,-1.548875,18.6525,76.44725,382.4531,-0.15675,-118.375,0.335,-5.10175,0.00225,151.8,248.325,0.98375,0.08
1,4.25,0.0274,-12.5865,0.575125,-0.4929,-0.194725,-0.7263,-70.1036,-15.08455,-3.83975,-4.4525,-17.39,-3.78325,-1.578875,19.33,76.46725,382.148175,-0.34525,-117.275,0.335,-4.656,0.009,151.125,247.425,1.0005,0.04
1,4.75,0.0186,-13.2745,0.638375,-0.41895,-0.07105,-0.64615,-75.92035,-11.68795,-2.555375,-6.4432,-17.61125,-3.843375,-1.606625,18.8625,76.49675,382.13105,-0.3275,-116.475,0.335,-4.13175,0.0365,151.6,247.125,0.95375,-0.04
1,5.25,0.0252,-13.70925,0.60565,-0.3047,-0.085275,-0.33005,-74.7345,-12.08365,-3.5525,-5.708625,-17.8475,-3.890875,-1.63575,20.8575,76.52625,382.209,-0.3505,-117.125,0.335,-4.25975,0.02025,153.375,247.15,0.98575,-0.045
1,5.75,0.0198,-13.438,0.7268,-0.197625,-0.0903,-0.343625,-80.9229,-18.91775,-6.2933,-5.703,-17.86625,-3.923,-1.667125,22.0125,76.5465,382.45945,-0.71475,-115.9,0.335,-4.73225,0.02825,152.975,243.925,0.933875,-0.06
1,6.25,0.0316,-14.09325,0.60665,-0.2481,-0.055925,-0.4378,-80.7244,-16.3975,-5.639,-8.549625,-17.88125,-3.951375,-1.69475,22.42,76.58675,382.192275,-0.72175,-116.975,0.335,-4.4035,0.0285,151.85,243.025,0.883375,-0.0375
1,6.75,0.033,-14.177,0.59115,-0.3017,-0.0551,-0.359725,-74.701375,-12.205425,-6.1808,-6.06465,-17.7,-3.966625,-1.72325,22.85,76.62675,382.35945,-0.6155,-118,0.335,-4.53375,0.046,151.75,244.025,0.909,0.015
1,7.25,0.01785,-14.30325,0.682525,-0.3552,-0.062525,-0.5962,-83.792575,-10.964975,-8.6108,-4.74725,-17.55125,-3.9925,-1.754875,21.44,76.63775,382.676375,-0.54125,-117.575,0.341,-3.788,0.2705,152.75,245.8,0.8835,0.1075
1,7.75,0.0252,-14.36075,0.8663,-0.2314,-0.0393,-0.4888,-71.891875,-8.20575,-6.87985,-6.139175,-17.50625,-4.015875,-1.7795,20.185,76.6485,382.765125,-0.43375,-105.75,3.3565,2.6385,1.21475,153,245.4,0.902125,-0.005
1,8.25,0.02055,-13.39225,0.808975,-0.283825,-0.030175,-0.3291,-54.6912,-6.0803,-4.4567,-4.1173,-17.13375,-4.008,-1.802,20.97,76.64975,382.70825,-0.80125,-54.1075,19.1425,11.1325,3.86,153.525,247.55,0.90175,0.1775
1,8.75,0.02475,-12.231,0.8464,-0.4372,-0.2808,-0.547,-40.675925,-0.36495,-10.811,-3.69365,-16.333125,-3.96725,-1.82075,19.15,76.6795,382.684575,-0.799,4.649,33.7,18.87,7.49275,156.275,254.15,0.93425,7.1675
1,9.25,0.0362,-10.89375,0.886775,-0.61435,-0.25225,-0.89575,-25.593325,0.922925,-10.7205,-5.03025,-15.73125,-3.850875,-1.8335,18.46,76.6895,381.930725,-0.66075,14.9675,68.87,35.8375,11.6025,157.075,258.3,0.988625,29.9975
1,9.75,0.07795,-9.76425,1.418825,-1.1994,-0.921275,-1.0761,-10.4285,-2.1983,-4.2005,-6.7361,-13.76375,-3.747625,-1.839,15.6,76.70925,381.28825,-0.65525,22.705,91.055,50.035,15.595,160.025,263.825,1.10125,62
1,10.25,0.18795,-9.138,1.2988,-1.3824,-1.207325,-1.2176,1.9735,-0.929625,0.94755,-13.25505,-13.18625,-3.310125,-1.846375,14.0825,76.7485,381.17305,-0.75375,44.805,128.85,65.4525,15.4825,163.5,268.675,0.96675,96.1
1,10.75,0.2395,-8.192,1.382,-1.981625,-2.109875,-1.001625,8.006,-2.515,-0.660074999999999,-9.724825,-12.31125,-2.964625,-1.84075,13.6025,76.778,381.16295,-0.80475,28.06,145.25,66.7175,19.55,167.075,274.425,1.108375,118.45
1,11.25,0.1595,-8.026425,1.412725,-2.27315,-2.04105,-0.723425,-1.565075,-5.361075,-10.4678,-9.0654,-11.905,-2.773,-1.8195,12.845,76.788,380.7708,-0.74825,41.5305,135.9925,66.53625,18.2825,171.0875,278.3075,1.1442,97.6575
1,11.75,0.21715,-7.5864,1.5656,-1.95425,-1.82025,-0.622325,-3.26945,-11.0953,0.2795,-8.4815,-11.292,-2.5766,-1.7868,13.6945,76.78725,380.299,-0.82,40.6,127.275,63.7675,18.0425,169.825,281.95,1.29,84.51
1,12.25,0.27435,-7.0204,1.4348,-2.2251,-2.014775,-0.84405,1.1697,-6.4896,2.6639,-9.47565,-11.182,-2.4108,-1.747,12.96225,76.74725,379.707,-0.6635,40.4,140.575,60.0825,16.415,171.45,282.75,1.1023,93.895
1,12.75,0.173,-7.05275,1.3245,-1.9553,-1.6807,-0.645,12.754975,-7.220275,-4.1165,-12.132,-10.692,-2.1792,-1.6978,11.5545,76.72725,379.4266,-0.56225,36.9825,122.1,59.285,21.5925,172.95,284.9,1.163775,97.2
1,13.25,0.311,-7.793575,1.414075,-2.14635,-1.951,-0.4007,17.748975,-8.30295,0.11675,-10.3556,-10.218,-1.9796,-1.6622,12.519,76.71725,379.29745,-0.1975,42.2475,142.525,64.375,22.79,174.125,283.95,1.1416,117.325
1,13.75,0.2735,-7.676275,1.540875,-1.79715,-1.7093,-0.341,16.63935,-12.69845,-0.08525,-6.7525,-9.804,-1.8328,-1.6206,10.961,76.70725,379.301625,-0.27,36.8425,129.825,62.7775,20.6875,177.7,284.75,1.1192,108.625
1,14.25,0.26895,-7.409,1.5694,-1.7022,-1.71315,-0.4483,13.465,-17.610475,0.65975,-9.60425,-9.296,-1.6788,-1.566,10.584,76.67825,379.332,-0.28,28.0475,117.475,52.6825,17.5,178.275,281.7,1.16605,85.775
1,14.75,0.37095,-7.2996,1.567,-1.8276,-1.661175,-0.276975,15.4325,-16.901,1.716,-5.830125,-9.092,-1.5506,-1.5048,11.662,76.649,379.421,-0.2425,33.765,108.8,52.8625,15.195,170.625,279.65,1.071275,102.925
1,15.25,0.3513,-7.206225,1.615975,-1.09055,-1.0963,-0.194725,1.1405,-17.93,1.198,-7.6455,-8.914,-1.4544,-1.4298,11.837,76.6495,379.62,-0.174,18.62,82.7475,41.57525,11.1575,169,279.15,1.19925,81.675
1,15.75,0.3404,-7.4204,1.7926,-0.95145,-0.97985,-0.26095,-1.4805,-13.6445,-1.559125,-8.4305,-8.822,-1.3852,-1.3612,13.00125,76.6985,379.6798,-0.366,11.6395,71.225,36.2075,9.105,167.175,277.7,1.2274,66.895
1,16.25,0.2976,-7.55015,1.7285,-0.7299,-0.7513,-0.1545,-12.9925,-19.441,-4.12725,-3.946875,-8.366,-1.321,-1.3206,15.5115,76.66975,379.690725,-0.24075,-12.8625,33.3025,17.4775,6.17325,166.1,274.525,1.3416,48.155
