DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
1,0.25,0.68475,-0.08925,3.72425,1.275,1.278,0.09325,-7.3575,1.0725,3.679,0.924,-3.3,0.6315,1.1405,75.5075,78.10025,389.45825,3.375,-50.765,0.458,-1.609,2.528,251.45,303.7,4.413,0.379
1,0.75,0.7,-0.168,3.64925,1.2305,1.15775,0.17875,-5.152,0.58,4.42125,0.879,-3.25875,0.6315,1.141,78.09,78.09,389.5405,3.4075,-57.665,0.458,-1.462,2.5235,244.1,302.6,4.46225,0.38
1,1.25,0.66175,-0.1945,3.626,1.026,0.9555,0.077,-4.1415,1.343,5.51925,0.6395,-3.28675,0.6305,1.142,76.505,78.075,389.6225,3.38,-55.11,0.458,-1.789,2.6515,233.8,302.35,4.45475,0.379
1,1.75,0.64125,-0.26325,3.71375,1.02325,0.98475,0.091,-3.9465,0.2325,4.757,0.784,-3.2885,0.6305,1.1415,77.605,78.07,389.8025,3.4,-56.82,0.463,-1.5985,2.44,232.45,301.9,4.49525,0.379
1,2.25,0.6665,-0.29425,3.7395,1.1095,1.069,0.1035,-4.9875,1.134,6.296,0.555,-3.29,0.6295,1.1415,74.76,78.085,389.7155,3.4025,-59.89,0.4575,-1.6985,2.807,233.2,300.8,4.41575,0.385
1,2.75,0.64925,-0.404,3.659,1.2515,1.29425,0.074,-4.0665,1.8495,5.721,1.074,-3.3385,0.63025,1.13,75.995,78.0725,389.5035,3.3375,-53.395,0.4605,-1.5465,2.8265,236.5,300.6,4.43075,0.379
1,3.25,0.71025,-0.366,3.64875,1.21625,1.136,0.0795,-3.5225,1.789,6.97275,0.8785,-3.34925,0.628,1.12225,75.7,78.06,389.44325,3.26,-53.795,0.4545,-1.6495,2.7285,241.45,300.55,4.47175,0.385
1,3.75,0.74925,-0.4995,3.74175,1.0615,1.05625,0.0965,-2.722,1.914,5.57925,0.927,-3.43075,0.62875,1.12225,77.59,78.0625,389.5635,3.13,-56.925,0.4545,-1.498,2.666,230.6,300.1,4.5245,0.379
1,4.25,0.732,-0.59775,3.726,1.08725,1.03975,0.10825,-5.199,2.618,5.08125,0.97225,-3.45925,0.62875,1.11075,78.665,78.0525,389.517,3.0425,-47.725,0.458,-1.236,2.7775,233.8,299.1,4.5725,0.379
1,4.75,0.731,-0.859,3.847,1.01625,0.96825,0.09625,-4.6345,0.5135,4.9415,0.783,-3.468,0.62325,1.0895,79.375,78.03,389.64825,3.065,-53.83,0.457,-1.5165,2.483,239,298.4,4.64475,0.379
1,5.25,0.699,-1.09725,3.62775,1.049,1.022,0.1125,-3.2375,1.4225,3.907,1.4575,-3.50325,0.624,1.08125,79.615,78.01,389.6855,2.9525,-44.545,0.452,-1.2795,2.687,248.25,297.85,4.6855,0.379
1,5.75,0.701,-1.1345,3.617,1.057,1.06675,0.1015,-4.115,2.1925,3.8925,1.2265,-3.5105,0.62325,1.08075,81.25,78,389.68125,3.0725,-39.44,0.452,-1.075,2.6205,248.3,297.55,4.667,0.379
1,6.25,0.708,-1.17975,3.741,1.05775,1.08375,0.08625,-4.228,1.917,4.1765,0.88675,-3.53025,0.62325,1.08025,77.57,78.0125,389.5805,3.025,-41.045,0.463,-1.1295,2.5175,252.8,297.05,4.67375,0.38
1,6.75,0.727,-1.18675,3.9385,1.0345,0.985,0.09075,-5.70325,1.54025,3.73,1.109,-3.532,0.61025,1.0785,77.62,78.0275,389.55275,3.095,-36.155,0.455,-1.1105,2.4875,251.4,298.3,4.722,0.379
