DOY2,HR2,TS_1_1_1,TS_1_3_1,TS_1_1_2,TS_1_3_2,G_1_1_1,G_1_1_2,TS_1_2_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TA_1_1_1,RH_1_1_1,VPD_1_1_1,H2O_1_1_1,WS_1_1_1,PA_1_1_1,CO2_1_1_1,NETRAD_1_1_1,NETRAD_1_1_2,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,SW_IN_1_1_2,SW_OUT_1_1_2,LW_IN_1_1_2,LW_OUT_1_1_2,USTAR_1_1_1,TAU_1_1_1,H_1_1_1,FC_1_1_1,SC_1_1_1,NEE_1_1_1,LE_1_1_1,WS_1_2_1,FC_1_1_2,NEE_1_1_2,LE_1_1_2,TA_1_2_1,RH_1_2_1,TA_1_2_2,LW_BC_IN,LW_BC_OUT,USTAR_1_2_1,TAU_1_2_1,H_1_2_1,FC_1_2_1,SC_1_2_1,NEE_1_2_1,LE_1_2_1,WS_1_3_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_6_1_1,TS_6_2_1,TS_6_3_1,TS_6_4_1,TS_6_5_1,TS_6_6_1,G_2_1_1,G_2_2_1,G_2_3_1,G_2_4_1,G_3_1_1,G_3_2_1,G_3_3_1,G_3_4_1,G_4_1_1,G_4_2_1,G_4_3_1,G_4_4_1,G_5_1_1,G_5_2_1,G_5_3_1,G_5_4_1,TA_2_1_1,RH_2_1_1,VPD_2_1_1,H2O_2_1_1,WS_2_1_1,PA_2_1_1,NETRAD_2_1_1,NETRAD_2_1_2,PPFD_IN_2_1_1,PPFD_OUT_2_1_1,SW_IN_2_1_1,SW_OUT_2_1_1,LW_IN_2_1_1,LW_OUT_2_1_1,USTAR_2_1_1,TAU_2_1_1,H_2_1_1,FC_2_1_1,LE_2_1_1,LE_2_1_2,LE_2_1_3,WS_2_2_1
1,0.25,0.2817615,0.4299235,0.4016875,0.39745125,-0.91475,-1.21,0.50925,0.842,0.7025,0.77475,1.04925,0.02,0.11,0.46,0.4875,0.81,-5.49678825,79.60653575,1.80425,3.6992955,9.37336,68.90139025,407.77359,-11.43641375,-15.059779,0.0173085,0.0211555,0,0.016321,252.668694,283.287129,-0.7218815,1.190156,261.18255,286.1089,1.658828,-0.751656,-31.047946,1.118377,0.037397,1.131739,37.169806,7.501184,0.896089,0.94335375,3.69329025,-6.23643175,77.94447,-4.7045425,274.779625,285.48365,0.55435125,-0.0668235,-8.913041,0.76006675,0.0120325,0.7592105,25.8392345,1.52039125,-0.19109,-0.193249,-0.017922,0.240985,0.420158,0.647162,-0.234805,-0.248445,-0.143609,0.057042,0.288629,0.717824,-0.296841,-0.240731,-0.0710855,-0.037351,0.143577,0.3411855,-0.048147,0.020469,0.121031,0.243487,0.420944,0.686178,-1.1445175,-1.170038,-1.2334175,-1.1874015,-1.2653145,-1.225869,-1.3863425,-0.8483985,-0.8006435,-0.707253,-2.0000145,-0.7169145,-1.19426,-1.3940095,-1.522539,-1.2936345,-5.2025,82.4075,1.541,4.0329,11.3625,68.9405,-9.65,-20.45,0,0,0,0,233.4,262.525,1.596105,-0.5782085,-21.734213,-0.364992,45.593406,32.2282875,31.7265745,10.115456
1,0.75,0.289041,0.41082375,0.4034825,0.39319675,-0.916,-1.2045,0.51,0.81075,0.67,0.75,1.04,0.02,0.125,0.46,0.495,0.81,-5.47651525,79.81645825,1.8360485,3.67012575,9.452376,68.898187,407.9084225,-10.48333325,-14.15157475,0.01661175,0.02264,0,0.01379075,253.119739,283.212083,-0.6298965,1.0643015,262.8754,286.6775,1.665174,-0.780455,-27.157003,0.94058,0.0375745,0.932426,36.90847675,7.540881,0.917332,0.848089,2.866898,-6.1652605,78.38734,-4.9126155,274.253025,285.93945,0.580791,-0.07528,-9.332409,0.879275,0.0115305,0.865782,21.752213,1.524196,-0.191549,-0.187549,-0.018708,0.240898,0.421491,0.645985,-0.237053,-0.252399,-0.144274,0.058479,0.282147,0.730546,-0.302379,-0.230429,-0.0725445,-0.040149,0.146336,0.334507,-0.051316,0.020935,0.121374,0.242496,0.421876,0.684508,-1.1457185,-1.169906,-1.2334495,-1.188434,-1.2671,-1.2275275,-1.3855955,-0.8473305,-0.802962,-0.708002,-2.0000205,-0.7182645,-1.191099,-1.3926865,-1.5221905,-1.2917905,-5.13,82.33,1.52775,3.98435,11.2875,68.935,-9.425,-17.4,0,0,0,0,222.15,262.5,1.5945435,-0.584634,-19.70795875,0.021003,41.17675425,28.149252,29.52670175,9.9047675
1,1.25,0.2989775,0.4094845,0.3885545,0.3807285,-0.914,-1.208,0.51025,0.839,0.6995,0.78,1.05,0.02,0.12775,0.46,0.4875,0.8,-5.46536425,79.7413665,1.84458825,3.70170875,9.41754975,68.897914,407.62829325,-11.47275175,-14.081101,0.0168815,0.0217325,0,0.013667,251.71099425,283.3346875,-0.5768555,1.084142,262.2254,287.0415,1.68708575,-0.7877435,-27.008484,1.1895705,0.046948,1.20065025,35.527285,7.62755325,0.960182,0.972649,5.61619,-5.850007,78.6422075,-4.572501,274.24035,285.7179,0.565224,-0.07953225,-10.3552375,0.960989,0.01320425,0.95468275,22.90469625,1.55051675,-0.188965,-0.188853,-0.016177,0.240756,0.419615,0.643058,-0.237387,-0.250039,-0.140696,0.057464,0.282299,0.734522,-0.303716,-0.239364,-0.073766,-0.0369465,0.144574,0.33215725,-0.051939,0.017239,0.117582,0.242697,0.420478,0.682899,-1.1455435,-1.1694735,-1.2331065,-1.188907,-1.2665055,-1.225543,-1.386242,-0.848135,-0.801923,-0.708431,-1.9993705,-0.716877,-1.1913375,-1.3925225,-1.522718,-1.294426,-5.05,82.1375,1.5965,4.04895,11.215,68.9295,-10,-19.8,0,0,0,0,226.875,262.825,1.6005055,-0.537458,-20.2438865,-0.160913,38.12916675,30.239955,24.6850525,9.831818
1,1.75,0.296902,0.40885,0.3936595,0.38,-0.914,-1.20075,0.51,0.8145,0.67,0.7525,1.04,0.02,0.12,0.46,0.48,0.8075,-5.65442425,79.50222175,1.76657275,3.73837125,9.539837,68.89802075,407.702614,-9.6651815,-13.80114375,0.01712275,0.0206675,0,0.016667,251.78422475,282.68050425,-0.6031945,1.0908945,260.0432,286.65295,1.67304425,-0.716982,-29.91530325,1.02128325,0.039366,1.00110575,38.362686,7.52010275,0.905646,0.959962,4.419917,-6.1234175,78.24583,-4.9389505,274.7939,285.686075,0.5719805,-0.0861175,-9.500443,0.96328625,0.009192,0.9648185,25.08671475,1.5411305,-0.185287,-0.185348,-0.018066,0.240164,0.417456,0.643517,-0.236949,-0.244496,-0.14013,0.054283,0.281938,0.723778,-0.299618,-0.230193,-0.0781595,-0.0381265,0.141145,0.331103,-0.052831,0.016374,0.116317,0.240357,0.421161,0.683301,-1.1460645,-1.168224,-1.2327885,-1.1875435,-1.265337,-1.224633,-1.385495,-0.8483585,-0.8050765,-0.709325,-1.998859,-0.716402,-1.1914975,-1.3913285,-1.521264,-1.29157,-5.0275,82.06,1.6085,4.03745,11.1325,68.9275,-10.125,-17.625,0,0,0,0,230.125,263.25,1.5935155,-0.527838,-22.7127695,-0.2707725,40.052947,25.2277,26.63825125,9.82340075
1,2.25,0.289385,0.40342775,0.386423,0.37233425,-0.914,-1.2,0.51,0.84775,0.7075,0.777,1.0495,0.02,0.12,0.46,0.495,0.805,-5.72379175,79.65744725,1.678374,3.73736925,9.43416675,68.907,407.885206,-10.3872875,-14.87124625,0.016109,0.019315,0,0.0236815,251.64189175,282.760833,-0.696743,1.133217,260.05115,287.061,1.6613105,-0.7580065,-27.37294575,0.992363,0.033868,0.977678,39.316582,7.363598,0.918024,0.8898945,4.555273,-6.022813,78.381075,-4.5527645,274.8617,285.45635,0.577897,-0.0872785,-10.71612,0.8647595,0.009165,0.8705965,27.873939,1.5444295,-0.185257,-0.188817,-0.016553,0.240698,0.419872,0.641013,-0.241222,-0.242047,-0.142615,0.050046,0.284319,0.725903,-0.302629,-0.228265,-0.07476,-0.0387575,0.135835,0.33225975,-0.05259,0.012701,0.117137,0.240823,0.419631,0.681631,-1.1461405,-1.166416,-1.2319475,-1.1872765,-1.268858,-1.224881,-1.3852125,-0.848215,-0.8045985,-0.7090125,-1.9987715,-0.716422,-1.190191,-1.392775,-1.5230395,-1.2930895,-5.0475,82.1,1.6295,4.0458,11.29,68.9155,-8.8,-17.85,0,0,0,0,227.05,263.05,1.6079085,-0.5083235,-21.969011,0.0073565,38.85884425,30.688044,32.857588,9.886672
1,2.75,0.283861,0.39677725,0.3811535,0.370878,-0.914,-1.2,0.5095,0.8145,0.67,0.75,1.034,0.02,0.12,0.46,0.495,0.805,-5.70913475,79.570971,1.68470425,3.722605,9.40952475,68.892387,407.836937,-10.01213225,-13.7083115,0.0144255,0.021192,0,0.0274915,252.8613655,282.74949175,-0.681992,1.096036,258.7474,287.1617,1.7073435,-0.8231465,-27.792904,1.206779,0.037537,1.2192935,43.8482095,7.449189,1.04083,1.0493035,5.1873585,-6.1054205,78.3778275,-4.482175,274.180275,285.203,0.5727375,-0.0864845,-10.9665885,0.82564,0.01093225,0.82355,26.1477715,1.548781,-0.18898,-0.190063,-0.019255,0.240729,0.418186,0.642743,-0.239072,-0.241626,-0.142285,0.053108,0.282078,0.733935,-0.304364,-0.254553,-0.077265,-0.0409595,0.136977,0.337752,-0.049639,0.01282,0.114061,0.239251,0.417773,0.681538,-1.1458135,-1.1663105,-1.231815,-1.186775,-1.265389,-1.225786,-1.3853275,-0.8483115,-0.808308,-0.708646,-1.998058,-0.71688,-1.1904815,-1.3916075,-1.5200415,-1.2924465,-5.095,82.205,1.584,4.0034,11.4525,68.921,-9.05,-20.575,0,0,0,0,227.1,262.8,1.598737,-0.554728,-19.721052,-0.55748525,44.525319,29.391672,33.429915,10.101927
1,3.25,0.284606,0.394882,0.378486,0.3690075,-0.914,-1.2,0.51,0.84,0.70575,0.77975,1.05,0.02,0.11825,0.46,0.495,0.805,-5.6355445,79.6657235,1.60900775,3.727721,9.517339,68.87900675,407.65566425,-9.66509825,-12.5337655,0.018414,0.0199225,0,0.01886425,252.19439725,282.98997075,-0.591139,1.0517975,260.50845,286.21385,1.73110325,-0.85938475,-26.75982575,1.169874,0.0308745,1.1755525,42.34382275,7.60704025,1.04002,1.02425125,9.4854945,-6.2798165,78.401555,-4.685284,275.521525,285.171675,0.585363,-0.079515,-10.245074,0.9370395,0.008756,0.9420585,29.340914,1.57293425,-0.190278,-0.190755,-0.017819,0.238998,0.413119,0.64345,-0.23893,-0.239383,-0.142278,0.049608,0.282137,0.730449,-0.302235,-0.244733,-0.0750295,-0.0380275,0.13837,0.33333025,-0.047847,0.012627,0.110392,0.239324,0.417903,0.682026,-1.146259,-1.166239,-1.231604,-1.1875615,-1.2654165,-1.2239855,-1.384027,-0.84834,-0.808711,-0.7068635,-1.997707,-0.7165275,-1.1914935,-1.3886945,-1.5205275,-1.2940325,-5.07,81.72,1.66925,3.98195,11.3025,68.9065,-10.2,-23.55,0,0,0,0,225,262.8,1.6370385,-0.6347685,-21.293021,-0.640413,41.158932,39.5834555,37.7394235,10.0192595
1,3.75,0.266236,0.393095,0.36732,0.36,-0.91575,-1.2,0.51075,0.8105,0.67,0.7525,1.03325,0.02,0.1185,0.46,0.495,0.8,-5.57624375,79.80048525,1.6610265,3.7326235,9.51680775,68.87135175,407.79997825,-9.175,-13.34181175,0.018628,0.0201155,0,0.01930725,254.48600425,283.11771675,-0.627857,1.079398,261.7733,286.4461,1.703273,-0.876473,-26.214351,0.958503,0.03702575,0.955078,41.3875195,7.571924,0.96581375,0.94207675,4.504134,-5.980392,78.74629,-4.741349,276.0463,285.35095,0.58319425,-0.08643275,-10.8443585,0.8154605,0.0081255,0.822449,25.049313,1.597671,-0.18960625,-0.18919225,-0.01877825,0.23897675,0.41511175,0.64228675,-0.23809125,-0.239108,-0.141421,0.0455815,0.285722,0.7430715,-0.29888825,-0.25266475,-0.0777945,-0.03995175,0.14024825,0.338586,-0.05393975,0.01348675,0.1122065,0.23804775,0.418549,0.6804885,-1.14405025,-1.165024,-1.23103,-1.18891425,-1.26731875,-1.2249515,-1.38672,-0.84915425,-0.81013475,-0.7043965,-2.0008975,-0.71675625,-1.189515,-1.390268,-1.5220905,-1.2925055,-5.23,81.9175,1.6655,3.9151,11.4075,68.898,-10.15,-20.475,0,0,0,0,228.7,262.475,1.6046605,-0.68415,-23.757713,0.203929,45.049974,30.963112,43.2948615,10.1192655
1,4.25,0.284309,0.379105,0.37347975,0.361956,-0.916,-1.2,0.51,0.8415,0.7065,0.7775,1.05,0.02,0.1145,0.46,0.495,0.8,-5.63250325,80.1059615,1.5862815,3.737723,9.62878525,68.86249975,407.7702325,-9.713566,-13.44167125,0.017054,0.0190885,0,0.02010475,252.3099875,283.4078125,-0.650509,1.0907445,257.9625,286.84895,1.710275,-0.872276,-24.959386,1.018764,0.03746725,1.039089,41.620564,7.62018,0.96483525,0.949048,4.98358625,-5.920324,78.6730425,-4.5810945,275.030275,285.373,0.56291125,-0.0916605,-10.5184995,0.86986325,0.0093675,0.8672095,26.52052425,1.571644,-0.19002025,-0.19064225,-0.0169085,0.2383505,0.418464,0.64366625,-0.23741975,-0.23860175,-0.13928175,0.04443875,0.28388475,0.7320675,-0.30028575,-0.232484,-0.07342725,-0.03883025,0.14074425,0.32434,-0.056351,0.0116615,0.1124605,0.23661675,0.417662,0.68054825,-1.14456175,-1.16487675,-1.2308735,-1.1886905,-1.26507275,-1.22440675,-1.3878415,-0.84846775,-0.80918825,-0.7028135,-2.000633,-0.71598175,-1.1894585,-1.38811825,-1.5215775,-1.28987675,-5.215,82.0475,1.673,3.8942,11.49,68.888,-9.15,-20.15,0,0,0,0,232.6,262.65,1.60356475,-0.65442,-20.69965075,-0.723578,44.45732125,28.21808025,38.267058,10.335934
1,4.75,0.26,0.37581725,0.365904,0.36699,-0.91475,-1.2,0.51,0.8125,0.66,0.755,1.04,0.02,0.118,0.46,0.5,0.8,-5.70291,80.23344075,1.58906475,3.727989,9.554226,68.855361,407.718414,-8.95833325,-11.320449,0.014907,0.0206795,0,0.01508825,253.00892775,283.72867475,-0.528051,1.0569155,259.857,287.7322,1.712384,-0.7854415,-25.230056,1.099261,0.027516,1.033002,41.619367,7.6901785,0.923876,0.9062935,4.2798395,-5.978502,79.0692125,-4.350521,275.0023,286.14135,0.588355,-0.088886,-9.581648,0.8740725,0.0066635,0.870589,33.714896,1.60858975,-0.19036725,-0.187777,-0.01520425,0.23856675,0.41950825,0.643687,-0.234448,-0.23767725,-0.1462165,0.04255075,0.27967375,0.73795125,-0.2978665,-0.2350845,-0.0727315,-0.0377345,0.1378235,0.34029,-0.056342,0.013177,0.11446375,0.237172,0.42106125,0.676273,-1.1452675,-1.16450125,-1.2306755,-1.18924475,-1.26524375,-1.22447375,-1.38693475,-0.84855325,-0.809061,-0.7033805,-2.0010075,-0.71614975,-1.19005075,-1.38815575,-1.5195975,-1.290867,-5.2975,82.11,1.61175,3.89265,11.5075,68.8775,-8.4,-16.275,0,0,0,0,224.725,261.075,1.626984,-0.707983,-23.48953575,-0.404955,46.701503,31.0991995,31.895176,10.154354
