DOY2,HR2,CO2,FC,CH4,FCH4,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,RH_1_1_1,RH_1_2_1,RH_1_3_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TAU,T_SONIC,USTAR,WS,VPD,U_SIGMA,V_SIGMA,W_SIGMA,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,TS_1_1_1,TS_1_3_1,PPFD_IN,NEE,SC,SH,SLE
1,0.25,382.99387089,-12.17708,1923.08,-16.76,-59.365495,1.427272203,-25.16634,219.56355625,301.317201666666,-98.0779593333334,100.84885,43.2843254166666,24.6952525,42.9531689583333,-3.25044612083333,-1.60339385999996,-3.69450212916666,-0.39622165,-1.60339385999996,0.03762,0.34429115,0.0323497525,0.130975674823593,0.139283882771841,0.0383401954199931,0.764601122666666,0,1.3077452045,0,6.60100474,6.731370535,0,-1.54878,-2.5152985,-1.773165,-10.2407045
1,0.75,382.9462,-6.4675135,1921.195,-12.8925,-56.2918325,1.3417050334,-32.293805,218.791291333334,298.693834666666,-96.7297906666666,100.8295,43.8741441333333,24.89573,43.4007259,-3.34563868666666,-1.86012357999997,-3.78355559333333,-0.370097525,-1.86012357999997,0.0381225,0.332121125,0.460828325,0.139454178663119,0.155001290604488,0.0425412360420579,0.687473768416666,0,1.45020991566666,0,6.56459069583333,6.72411242416667,0,-2.499483,-1.380342,-1.61968204775,-7.0795675
1,1.25,385.0018067025,-2.833202,1927.3625,-11.375,-55.32703831475,1.24795,-21.142728695,223.233644666667,300.339363,-96.42901275,100.8408,42.8358164666667,22.761375,43.8697338666667,-3.73765880333334,-1.92964999999999,-4.35435311666666,-0.38620425,-1.92964999999999,0.03528,0.308922125,0.321743875,0.154293930727697,0.143141585163275,0.044013390997284,0.66404294375,0,1.04723390708333,0,6.52295723916667,6.67630196666667,0,-0.96066336255,-2.3368305,-2.214431,-10.361092
1,1.75,388.2271,-3.2846805,1937.2675,-15.085,-54.84579,1.238503997875,-34.643719566,223.532915,299.262385666667,-98.5156839166667,100.8354,43.9088664,20.91607906875,44.7519367333333,-4.18240147666667,-2.13639999999998,-4.50529959666667,-0.389902,-2.13639999999998,0.0416,0.21070125,0.312605875,0.15380984486343,0.153812642506775,0.0453875650769358,0.707367723416667,0,1.13913265525,0,6.77528203333333,6.63267532333334,0,-0.376607855,-1.10677435,-1.6943575,-4.76002175
1,2.25,381.54605,-4.085628,1935.28525,-22.3725,-56.664885,1.20274775,-27.174236536,223.193072666667,297.724126666667,-98.4643575833333,100.8319,44.2372939333333,19.7332235875,45.2469685333333,-4.33108027333333,-2.34762499999998,-4.58316590666666,-0.3571344,-2.34762499999998,0.042465,0.23921885,0.26697275,0.154101761636026,0.149126830708214,0.0423771269551573,0.792336027666667,0,1.33936902191667,0,6.79905666666667,6.59043659333333,0,-1.535762700975,-2.042476,-2.0262997743,-3.929695
1,2.75,377.5828730475,-4.624372,1932.52375,-13.7875,-59.9777725,1.13747886315,-22.04947565,223.163881666667,297.097041666666,-98.7652600833333,100.82265,44.6561315666667,20.833370857,45.4224911,-4.38097391,-2.32707499999997,-4.86127138666666,-0.341322675,-2.32707499999997,0.0374325,0.3208471,0,0.149202542889919,0.135232494391485,0.041707141690424,0.90439473475,0,1.74165808275,0,6.84035619666667,6.55730722833333,0,-0.821299982799999,-0.97016435,-2.8399135,-4.7894065638
1,3.25,384.953285,-3.760088,1929.504,-17.065,-64.5533,1.1817115746,-14.4772,222.097942333334,298.047048333334,-97.8943919166667,100.765,45.2734007333334,21.83786,49.0048194,-4.02083127333334,-2.58064999999998,-4.52574955,-0.4022516,-2.58064999999998,0.040625,0.30733735,0.197917,0.141190370991497,0.140123932998345,0.0414399225078224,0.832900188083334,0,1.41970299666666,0,6.69541397416667,6.527285175,0,-0.628914963625,-2.2091575,-2.247249,-11.8793565
1,3.75,385.41405,-2.42375,1924.679,-13.5175,-66.13921,1.2386076978,-15.280284527,219.298403416667,297.452489,-97.8385821666666,100.7486,46.7069056666667,22.516175,49.9822752333333,-4.12579398,-2.19344999999999,-4.4314323775,-0.37408395,-2.19344999999999,0.04054,0.30367475445,0,0.156552147538044,0.144997465897177,0.0398042893727257,0.781347407916666,0,1.56207784258334,0,6.62551929666667,6.48189016,0,-0.75827335,-0.81594705,-1.8406665,-5.362612
1,4.25,386.222275,-2.574064,1936.976,-12.42,-68.268725,1.2242926402,-18.351680093,219.930922833333,297.043094083333,-98.7812986666665,100.687525,48.059782775,22.1001625,51.8202469083333,-4.27700878083333,-2.18022499999999,-4.48575768916667,-0.358437625,-2.18022499999999,0.04026,0.340167333925,0.225284625,0.132908590439377,0.137134927447979,0.0411243699982331,0.8712034935,0,1.56260643775,0,6.51568313,6.39570908666667,0,-0.99892935,-1.848404562825,-2.69067375,-6.527178
1,4.75,381.4675,-6.276925,1937.549,-18.31,-59.8832075,1.174965027,-20.110192688,219.32705725,296.425545333333,-98.8884630833334,100.63475,47.4949156166667,21.047917365,50.8868486583333,-4.44443016416667,-2.39489999999997,-4.6443380375,-0.36200815,-2.39489999999997,0.04288,0.36237885,0.29177035,0.153469089607602,0.148515736352759,0.0380946429547917,0.709244101583334,0,1.3826228445,0,6.40673227333333,6.1883365625,0,-5.6419955,-1.827184,-2.9391670464,-4.944721
1,5.25,377.2092976875,-2.000824,1917.624,-14.44,-56.435452939,1.127196359575,-20.06004,217.146048416667,296.606946333333,-97.8836656666666,100.809125,45.017654775,19.7126175,49.6781560666667,-4.3379476025,-2.19162499999997,-4.66808073333333,-0.3487125,-2.19162499999997,0.0468125,0.25432375,0.36920895,0.16050354910259,0.148996644257513,0.0374753991894857,0.86236057125,0,1.52590106416666,0,6.16862581,6.14009495,0,-2.09115875,-1.15227625,-3.4473375,-5.15247125
1,5.75,385.763231625,-5.5588275,1914.8745,-18.1575,-53.8068952795,0.935952115,-37.126315,216.184693666667,295.65786525,-98.2189626666666,100.8165,46.3657220833333,19.74089,50.17519685,-4.65220063,-2.57862368749998,-4.85150395416667,-0.315818625,-2.57862368749998,0.0281125,0.22524325,0.24144108781,0.148328794969032,0.145611242447087,0.0452894647116616,0.952667435833333,0,1.79582681833333,0,6.1076023375,5.83291387333333,0,-6.1830589365,-0.7570167,-2.40545,-3.35114
1,6.25,386.2278,-4.011776,1909.80325,-17.8925,-56.2260125,1.0720528658,-39.309645,215.6209285,294.832918916667,-98.5400038333332,100.7034,47.0709121,19.1779075,49.929747325,-5.02762639166667,-2.96655167999999,-5.16239134666667,-0.3471288536,-2.96655167999999,0.04278,0.3575698,0.274785225,0.145463356754713,0.157028775074269,0.0401729592541242,0.805791589666667,0,1.32401373858334,0,5.9600034,5.83734138,0,-8.2576295,-1.029990975,-2.03518475,-3.37841710255
1,6.75,388.646,-2.8222375,1927.96225,-15.9825,-52.97856,1.0508876139,-20.644,215.410075416667,296.199503916667,-101.255322833334,100.750975,47.529204775,19.2837025,50.445369325,-5.20314210666667,-3.25370464999996,-5.42667324333333,-0.364169081025,-3.25370464999996,0.0408,0.2542948,0.327576275,0.140673312549399,0.132201443586173,0.0383070936959281,0.960584775916667,0,1.71629365733333,0,5.9061716125,5.84396256,0,-1.91553975,-1.34349651775,-3.01298,-4.665243396225
1,7.25,386.0673644,-6.0733455,1923.61325,-29.79,-57.5093,1.049315251525,-43.23047,215.338412166667,297.069061583333,-101.896890633333,100.7751,48.0183675333333,20.37894,50.5272111083333,-5.38032205333333,-3.38053106749997,-5.52639977166667,-0.412366304,-3.38053106749997,0.0424,0.28486775,0.2449727,0.155483947296578,0.134892029133683,0.0442781359452409,1.442075511,0,2.23563092991666,0,6.25216527333333,5.91493208,0,-5.06190675,-2.292856,-2.56267875,-7.64447734825
