DOY2,HR2,WS,T_SONIC,H2O_1_1_1,LE_1_1_1,FC_1_1_1,CO2_1_1_1,TAU,USTAR,SC,H,NETRAD,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_DIF,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,RH_1_5_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TS_1_1_A,TS_2_1_1,TS_3_1_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_6_1_1,TS_6_1_2,TS_6_2_1,TS_6_3_1,PA,FC_1_1_2,CO2_1_1_2,H2O_1_1_2,LE_1_1_2
1,0.5,4.75749999999999,8.885,11.051,24.8286769862832,4.06499999999999,431.505,-0.00754015000000001,1.2694,1.46999999999999,27.0025,41,1.523925,13.5325,11,100,100,99.6,100,100,6.83916666666666,8.13999999999999,8.19749999999998,7.6,6.6225,3.9,4.7,4.96,2.445,4.1775,3.8,5,2.3,3.845,5.145,2.45,2.3,4.1,5,100.5116,1.374,439.445,8.7548,13.0001689211
1,1.5,4.7,8.78,10.594,25.0040900629751,4.65999999999999,431.725,-0.01059175,1.266025,1.86,13.4,41,0.798999999999999,14.61,11,100,100,99.6,100,100,6.93576923076921,7.51750000000001,7.88249999999996,7,6.4225,3.9,4.7,4.88884615384615,2.385,4.2,3.8,4.9425,2.3425,3.8425,5.2,2.5,2.3,4.1,5,100.5062,2.91515,440.145,9.3103,20.6858527700475
1,2.5,5.1,8.46499999999999,11.143,28.2934029971408,4.80999999999999,432.815,-0.007231275,1.222475,1.4,20.185,40,0.960009999999998,14.62,11,100,100,99.6,100,100,6.83045454545453,7.48772727272727,7.50931818181819,6.965,6.1225,3.9,4.7,4.78636363636364,2.3425,4.2,3.8425,5,2.3,3.8425,5.2,2.5,2.3,4.1,5,100.571798787007,2.61995,440.475,9.6283,18.622431666246
1,3.5,4.9,7.4875,10.9375,29.725131118978,4.7975,431.4,-0.00647614999999997,1.246725,1.505,17.9875,40.475,1.235,13.8875,11,100,100,99.6,100,100,7.69291666666665,7.6775,7.895,7.27249999999998,6.16750000000001,3.9,4.6925,4.79,2.3425,4.1775,3.8425,4.9425,2.2425,3.8425,5.2,2.5,2.3,4.1,5,100.58415,2.7202,440.865,10.1133,14.246596164206
1,4.5,4.9,7.97499999999997,11.09025,26.9725096676914,4.425,431.475,-0.00622480000000001,1.2729,1.1,24.74,39.5,0.84499,13.39,11,100,100,99.6,100,100,7.88999999999995,7.83249999999999,8.0475,6.95749999999999,6.36288461538462,3.9,4.7,4.79,2.3425,4.1775,3.8425,4.9425,2.185,3.8425,5.2,2.5,2.3,4.1,5,100.546825,3.448625,440.725,8.88375,18.157837468015
1,5.5,5.3,7.63500000000001,11.11625,32.5620596309425,4.83,430.9,-0.005425,1.313,1.4,18.0325,40.5749999999999,0.775999999999999,12.45,11,100,100,99.6,100,100,8.18954545454541,8.75749999999999,8.9440909090909,8.35318181818181,6.8,3.9,4.605,4.8075,2.3425,4.1775,3.8425,4.9425,2.1275,3.8425,5.2,2.5,2.3,4.1,5,100.5935,2.280625,438.6875,8.99339999999999,12.27514468327
1,6.5,5.355,7.8125,11.1375,23.3719382688,4.9525,432.32,-0.00571205000000002,1.3498,1.3,14.77,41,0.833989999999997,14.6525,11,100,100,99.6,100,100,8.4708333333333,9.30229166666663,9.50520833333333,8.77458333333333,6.8225,3.9,4.6125,4.83,2.3,4.1775,3.8425,4.9425,2.1275,3.8425,5.2,2.5,2.3,4.1,5,100.62645,2.127275,440.93,9.163125,9.22523654883199
1,7.5,5.1,7.68999999999999,10.8595,33.6728732511653,5.02999999999997,431.7525,-0.00423720000000001,1.2908,1.3,23.7999999999998,46.65,96.22,51.5,60.9,100,100,99.6,100,100,7.82038461538461,9.11923076923077,9.56923076923077,8.63653846153841,7.38807692307692,3.9,4.60288461538461,4.83,2.3,4.1775,3.8425,4.9425,2.2425,3.8425,5.2,2.445,2.3,4.1,5,100.678925,1.8773,442.57,8.41725,8.98047085778
1,8.5,5.21999999999999,7.53249999999999,11.23375,46.74331556355,4.8,431.2925,-0.00833730000000002,1.331925,1.2,104.8775,122.25,430.95,186.6,200.35,100,100,99.6,100,100,7.50386363636358,9.28249999999999,9.69499999999999,9.16590909090909,7.825,3.9,4.615,4.83,2.3,4.1775,3.8425,4.945,2.3,3.8,5.1425,2.445,2.3,4.1,5,100.7178,2.709,441.805,8.3594,21.471673567835
1,9.5,5.2875,9.12499999999998,11.294,63.4314792896,4.96249999999999,430.84,-0.0290735000000001,1.390275,1.1975,213.875,235,717.41,355.5075,321.95,100,100,99.6,100,100,7.90041666666663,10.36,10.5166666666667,10.02,8.525,3.9,4.6,4.99,2.3,4.1775,3.8425,4.945,2.2425,3.8,5.1425,2.445,2.3,4.1,5,100.764875,2.376625,440.3325,9.097,32.28284772468
1,10.5,5.4,10.42,11.6805,73.37844912384,5.4925,429.8825,-0.05723,1.404,0.979999999999995,280.1875,319.87,999.089999999999,436.98,438.9,100,100,99.6,100,100,8.62442307692305,10.455,10.6,10.335,9.225,4,4.4825,4.7825,2.4,4.155,3.8,4.945,2.2425,3.8,5.1425,2.445,2.3,4.1,5,100.7704,1.918975,436.04,9.52219999999999,49.8234148598325
1,11.5,5.40825,9.88,11.757,77.5357392969,5.665,430.3,-0.066513,1.479725,0.997500000000002,335.2375,355.55,1155.75,615.5,460.5,99.6975,100,99.6,100,100,9.36090909090909,10.31,10.19,10.195,9.7,4,4.51545454545455,4.955,2.345,4,3.8,5,2.345,3.8,5.2,2.5,2.3,4.1,5,100.64525,2.34562499999999,436.5525,9.99245,67.91654080182
1,12.5,5.5,10.585,11.232,98.9968978956499,5.84499999999999,429.4,-0.0719500000000003,1.4836,1.2,344.25,344,1104.55,667.45,464.475,99.7375,100,99.6,100,100,9.8775,10.5625,10.895,10.2418749999999,9.85999999999995,4,4.4,4.965,2.345,4.08,3.8,4.945,2.3,3.8,5.145,2.5,2.3,4.1,5,100.63665,1.818175,435.1675,10.6925,83.09929405544
1,13.5,5.3875,11.24,11.2175,102.16655347585,5.9225,429.75,-0.0940385000000003,1.47,1.2,304.39,294,960.4,504.5375,415.5,99.6,100,99.6,100,100,10.85,10.9075,11.26,10.62,10.4275,4,4.495,4.97,2.4,3.985,3.8,4.95,2.3,3.8,5.15,2.5,2.36,4.1,5,100.57955,1.7794,433.23,10.316,76.929514898925
1,14.5,5.6675,11.22,11.6465,84.7877926266249,5.295,429.51,-0.0753229999999999,1.4879,1.4,225.0375,209,685.45,401.26,310.05,99.82,100,99.6,100,100,11.3977272727273,10.69,10.9025,10.4375,10,4,4.41681818181818,4.965,2.35,3.9,3.8,4.95,2.3,3.8,5.15,2.5,2.36,4.1,5,100.524425,1.749,433.7325,10.518,60.9193487464
1,15.5,5.3425,11.0975,12.005,70.804917184,4.92,429.25,-0.049934,1.3724,1.5,108.825,86.3249999999999,377.24,165.785,171.05,99.91,100,99.6,100,100,9.95000000000002,10.8225,10.8675,10.305,9.7225,4,4.4,4.9475,2.3475,3.9,3.8,4.9475,2.3475,3.8,5.1,2.5,2.3575,4.1,5,100.5196,2.0167,433.98,10.585,46.4471781395125
1,16.5,5.2,9.86000000000002,11.6575,49.7859034963264,5.005,428.2875,-0.0189770000000001,1.37865,1.7,37.26,41.1999999999999,87.695,44.67,54.475,99.93,100,99.6,100,100,9.26923076923076,10.1076923076923,10.1353846153846,9.5282692307692,9,4,4.345,4.97461538461538,2.345,3.9,3.8,4.945,2.345,3.8,5.1,2.4475,2.3525,4.1,5,100.52615,2.035,436.08,10.742,32.592310261957
1,17.5,5.1,9.995,11.39,38.3011030661871,4.51250000000001,428.6,-0.00679565000000002,1.3236,1.5025,14.015,35,1.74575,15.67,11,99.72,100,99.6,100,100,8.24272727272728,9.575,10.3927272727273,9.24000000000001,8.3225,3.90749999999999,4.33681818181818,4.955,2.345,4.06,3.8,4.945,2.345,3.8,5.1,2.4475,2.3,4.1,5,100.549813671875,2.005125,437.65,10.6275,22.842852962382
1,18.5,5.1,9.20999999999999,11.021,33.90713734698,4.54000000000001,430.44,-0.0046388,1.333,1.71,16.75,35.175,1.3281,15.23,11,100,100,99.6,100,100,7.92458333333334,9.3375,10.095,9.22,8.13499999999999,3.90749999999999,4.3,4.945,2.34,4.175,3.8,5,2.34,3.8,5.1,2.4425,2.3,4.1,5,100.5125,1.89182499999999,437.59,10.43075,16.88265328488
1,19.5,5.0805,9.13,10.74,33.1244530937981,4.3,431.0725,-0.00517332500000002,1.38755,1.7275,13.3599999999999,37.125,1.647,14.8,11,100,100,99.6,100,100,7.52307692307692,8.93249999999999,9.7,8.8,8,3.9125,4.3,4.98846153846154,2.34,4.175,3.8,4.94,2.34,3.8,5.1,2.445,2.3,4.1,5,100.58225,1.9585,438.625,10.0645,24.583306216116
1,20.5,5.037,8.6,10.545,31.1045326217911,4.455,431.4675,-0.00577140000000001,1.3142,1.4,16.68,34.125,1.7632,15.2375,11,100,100,99.6,100,100,7.07681818181819,8.44,8.81999999999999,8.175,6.75249999999999,3.91999999999999,4.4,5.065,2.34,4.175,3.8,4.94,2.34,3.8,5.1,2.445,2.3,4.1,5,100.60155,1.96574999999999,440.87,9.867125,21.0382239567617
1,21.5,4.965,8.8625,10.458,36.3912796938862,3.9,431.98,-0.00875327500000001,1.27975,1.2,14.25,35.1999999999999,1.988,15.05,11,100,100,99.6,100,100,7.19708333333333,8.21249999999998,8.65999999999998,8,6.83499999999999,3.925,4.435,5.0625,2.34,4.175,3.8,4.94,2.34,3.8,5.14,2.445,2.3,4.1,5,100.5715,3.52954999999999,441.68,9.86074999999999,23.147468411561
1,22.5,4.9165,8.555,11.062,25.311008774544,4.6025,434.655,-0.00833875000000002,1.2149,1.6,15.285,39,1.4668,14.815,11,100,100,99.6,100,100,7.04076923076923,7.5475,8.34999999999998,7.25999999999999,6.73499999999999,3.9,4.51,4.965,2.48,4.175,3.8,4.94,2.3,3.8,5.1,2.345,2.3,4.04,5,100.54055,2.610775,440.9275,9.1824,14.87913786972
1,23.5,4.68725,8.56,10.9475,26.2808114744363,4.33999999999996,432.495,-0.00538849999999999,1.2551,1.2975,20.2599999999998,41,1.5101,12.525,11,100,100,99.6,100,100,6.68954545454546,7.95,8.35,7.1,6.38749999999998,3.9,4.48999999999999,4.97,2.5,4.175,3.8,4.94,2.24,3.8,5.1,2.345,2.3,4.04,5,100.53305,2.187375,439.92,8.78289999999999,12.916185697962
2,0.5,5.1,8.1,9.51175,40.2422596785277,4.525,431.7025,-0.00702545,1.327725,1.4,23.95,31.975,11.0400000000001,24.55,11,99.6,100,99.6,100,100,9.79083333333331,6.72333333333334,6.496875,6.08499999999999,4.73000000000001,2.5,3.3,3.5375,1.5,2.305,2.6,3.8,1.43,2.83,4,2.50999999999999,1.5,2.855,3.7,100.467,1.0925,441.275,11.24425,16.2087165959432
2,1.5,5.20675,7.755,8.9,31.5300214594302,4.6625,431.64,-0.00509575,1.280725,1.4,17,35,20.6199999999998,23.525,11,99.7,100,99.6,100,100,9.63076923076923,6.51,6.22499999999999,5.70749999999999,4.7625,2.6,3.3,3.43846153846154,1.5325,2.3075,2.6,3.8,1.4325,2.8325,4.0325,2.33,1.5,2.8575,3.7,100.467,2.1448,440.75,10.266,21.086354486855
2,2.5,5.1,6.98999999999999,8.959,28.152410618752,4.625,431.025,-0.00409724999999998,1.2621,1.24,14.57,38.0999999999999,25.2399999999998,22.675,11,99.8,100,99.6,100,100,10.0725,6.50795454545454,6.47795454545453,6.11636363636364,4.8,2.6,3.3,3.52909090909091,1.5325,2.3,2.6,3.8,1.4,2.8325,4,2.2325,1.44,2.9,3.7,100.4407,2.25555,438.94,10.7225,17.960790090558
2,3.5,5,6.9,8.997,29.651147602,4.0975,432.02,-0.002960125,1.249875,1.4375,12.635,39.05,27.4999999999998,23,11,99.9825,100,99.6,100,100,9.95520833333333,6.5,6.21666666666667,6.25729166666667,4.834375,2.6,3.3,3.58458333333333,1.5325,2.3075,2.6,3.7325,1.4,2.8325,4,2.23,1.44,2.9,3.7,100.472875,1.89965,438.91,10.798,30.870344780975
