DOY2,HR2,CO2_1_1_1,H2O_1_1_1,T_SONIC_1_1_1,WS_1_1_1,USTAR_1_1_1,H_1_1_1,FC_1_1_1,LE_1_1_1,CO2_2_1_1,H2O_2_1_1,T_SONIC_2_1_1,WS_2_1_1,USTAR_2_1_1,H_2_1_1,FC_2_1_1,LE_2_1_1,CO2_2_1_2,H2O_2_1_2,FC_2_1_2,LE_2_1_2,PA_2_1_1,PPFD_IN_1_1_1,PPFD_IN_2_1_1,PPFD_IN_2_2_1,PPFD_IN_2_3_1,SW_IN_2_1_1,SW_OUT_2_1_1,LW_IN_2_1_1,LW_OUT_2_1_1,NETRAD_2_1_1,PPFD_IN_3,PPFD_IN_4,PPFD_IN_5,PPFD_IN_6,PPFD_IN_7,PPFD_IN_8,PPFD_OUT_2_1_1,TA_1_1_1,TA_1_1_2,TA_2_1_1,TA_2_1_2,TA_2_2_1,TA_2_3_1,TA_2_4_1,TA_3_1_1,TA_3_2_1,TA_4_1_1,TA_4_2_1,TA_5_1_1,TA_5_2_1,TA_6_1_1,TA_6_2_1,RH_1_1_1,RH_2_1_1,RH_2_2_1,RH_2_3_1,VPD_2_1_1,VPD_1_1_1,WS_2_2_1,CO2_3_1_1,CO2_3_2_1,CO2_3_3_1,CO2_3_4_1,CO2_3_5_1,CO2_3_6_1,CO2_3_7_1,CO2_3_8_1,SC_2_1_1,TS_1,TS_10_1_1,TS_10_2_1,TS_10_3_1,TS_10_4_1,TS_10_5_1,TS_10_6_1,TS_10_7_1,TS_10_8_1,TS_10_9_1,TS_11_1_1,TS_11_2_1,TS_11_3_1,TS_11_4_1,TS_11_5_1,TS_11_6_1,TS_11_7_1,TS_11_8_1,TS_11_9_1,TS_12_1_1,TS_12_2_1,TS_12_3_1,TS_12_4_1,TS_12_5_1,TS_12_6_1,TS_2,TS_3,TS_4,TS_5,TS_6,TS_7,TS_8,TS_9
1,0.25,403.2,3.175,-3.7,1.92,0.4263,-30.995,0.2702,0,426.7,3.34,-4.2,2.54,0.5102,-25.695,0.3907,-0.2941,439.1,5.176,0.5863,0.4996,96.515,0,-0.1,-0.1,0,-1.91,0.684,247.5,295,-39.8,0,0,0,0,0,0,-0.0679,-5.4,-3.9,-4.6,0.05,-4.66,-4.655,-1.59,-4.97,-4.976,-5.027,-4.903,-4.949,-4.878,-5.0445,-4.8195,80.95,79.5,80.7,83.45,0.596,0.92,2.41,428.55,428.2,428,427.5,430.05,430.1,429.8,430.3,0.01,2.2,-0.6,0.05,2.1,3.65,4.1,4.55,4.9,5.4,6,0.9,2.5,4.4,5.3,5.8,6.2,6.6,6.9,7.3,0.5,1.65,2.6,3.15,3.6,4,2.245,2.726,2.207,1.815,0.755,1.18,1.524,0.815
1,0.75,403.4,3.175,-3.8,1.92,0.44,-27.97,0.28,0,426.8,3.335,-4.2,2.59,0.50175,-24.68,0.379,-0.2976,439.05,5.1705,0.492,0.9214,96.505,0,-0.1,-0.1,0,-2.3,0.7,243,295,-48.8,0,0,0,0,0,0,-0.07005,-5.5,-4.1,-4.75,-0.5,-4.8,-4.62,-1.735,-5.055,-5.02,-5.1,-5,-5.088,-4.98,-5.276,-4.852,82,79.35,80.7,83.1,0.5475,0.87,2.46,428.5,427.9,428.2,427.6,429.6,429.7,430.3,431.3,0.0520982037825046,2.2,-0.6,0.05,2.1,3.65,4.1,4.6,4.9,5.4,6,0.9,2.5,4.4,5.3,5.8,6.2,6.6,6.9,7.3,0.5,1.65,2.6,3.2,3.6,4,2.237,2.7255,2.23,1.81,0.757,1.163,1.5,0.816
1,1.25,403.5,3.2,-3.9,1.885,0.4451,-28.055,0.3,0,426.75,3.33,-4.6,2.565,0.4893,-25.405,0.3941,-0.3231,440.05,5.322,0.53425,0.5501,96.49,0,-0.1,-0.1,0,-2.1,0.7,250,294,-44.37,0,0,0,0,0,0,-0.0802,-5.7,-4.2,-4.8,-0.5,-5,-4.75,-2,-5.213,-5.12,-5.193,-5.114,-5.143,-5.044,-5.2,-4.816,83,79.25,80.5,82.9,0.548115,0.82945,2.44,428.2,427.95,428.25,427.5,429.6,430.05,430.25,430.75,0.0119366859106585,2.2,-0.55,0.05,2.1,3.65,4.1,4.55,4.9,5.4,6,0.85,2.5,4.4,5.3,5.8,6.2,6.6,6.9,7.3,0.5,1.6,2.6,3.2,3.6,4,2.226,2.735,2.225,1.814,0.749,1.167,1.5,0.804
1,1.75,403.3,3.2,-3.9,1.84,0.44,-30.645,0.3,0,426.65,3.325,-4.6,2.56,0.513,-24.81,0.43415,-0.2942,439.7,5.388,0.5511,0.63965,96.52,0,-0.1,-0.1,0,-2,0.69,255,294,-41.31,0,0,0,0,0,0,-0.08,-5.8,-4.3,-4.835,-0.6,-4.9,-4.9,-2,-5.237,-5.158,-5.2,-5.079,-5.12,-5.023,-5.136,-4.9,83,79.5,80.5,83.7,0.539345,0.6,2.4,427.7,427.9,428,427.5,429.4,429.7,429.9,430.8,0.0316818187718434,2.2,-0.55,0.05,2.1,3.65,4.1,4.55,4.9,5.4,6,0.85,2.5,4.4,5.3,5.8,6.2,6.6,6.9,7.3,0.5,1.55,2.6,3.2,3.6,4,2.222,2.718,2.228,1.809,0.748,1.159,1.5,0.815
1,2.25,403.2,3.14,-4.1,1.88,0.44,-29.6,0.2898,0,426.4,3.365,-4.7,2.555,0.49945,-24.665,0.3602,-0.4651,439.3,5.376,0.5064,0.0949,96.5,0,-0.1,-0.1,0,-1.92,0.69,251,294,-42.1,0,0,0,0,0,0,-0.08045,-5.65,-4.38,-4.9,-0.9,-4.94,-5,-2.1,-5.233,-5.2,-5.176,-5.112,-5.2,-5.095,-5.277,-4.846,83.05,79.75,81.3,84.1,0.52115,0.57,2.39,427.4,427.4,427.9,427.25,429.4,429.55,429.75,430.85,-0.007,2.2,-0.6,0.05,2.1,3.65,4.1,4.55,4.9,5.4,6,0.85,2.5,4.4,5.3,5.8,6.2,6.6,6.9,7.3,0.5,1.55,2.6,3.15,3.6,4,2.222,2.723,2.2265,1.804,0.757,1.155,1.494,0.8
1,2.75,403.5,3.2,-4.2,1.94,0.4359,-27.285,0.24,0,426.6,3.33,-4.5,2.525,0.47745,-24.005,0.39805,-0.2775,440,5.255,0.5312,0.4327,96.48,0,-0.04,-0.1,0,-2.07,0.69,252.19,294,-40.755,0,0,0,0,0,0,-0.0813,-5.85,-4.66,-4.7,-1,-5.15,-4.9,-2.155,-5.4,-5.372,-5.4,-5.375,-5.248,-5.203,-5.411,-5.027,83.4,80.8,81.5,84.45,0.52125,0.455,2.36,427.8,427.55,427.65,426.9,428.85,429.2,429.55,430.2,0.006,2.2,-0.6,0,2.1,3.65,4.1,4.6,4.9,5.4,6,0.8,2.45,4.4,5.3,5.8,6.2,6.6,6.9,7.3,0.5,1.5,2.6,3.15,3.6,4,2.223,2.721,2.215,1.805,0.735,1.144,1.495,0.801
1,3.25,403.4,3.2,-4.25,1.95,0.44,-28.9,0.25845,0,426.7,3.32,-4.7,2.54,0.46075,-25.11,0.41435,-0.43125,439.8,5.3075,0.5392,1.1235,96.505,0,-0.06,-0.1,0,-1.94,0.67,256,293.5,-42.7,0,0,0,0,0,0,-0.08395,-5.8,-4.89,-4.85,-1.2,-5.09,-4.9,-2.11,-5.5,-5.59,-5.682,-5.413,-5.5,-5.4,-5.547,-5.2,83.4,81.3,82.15,85.15,0.4895,0.385,2.4,427.8,427.75,427.9,427.1,428.7,429,429.3,430.25,0.0143354714609463,2.2,-0.6,0,2.1,3.65,4.1,4.6,4.9,5.4,6,0.8,2.45,4.4,5.3,5.8,6.2,6.6,6.9,7.3,0.5,1.5,2.6,3.15,3.6,4,2.234,2.722,2.213,1.805,0.743,1.141,1.496,0.797
1,3.75,403.4,3.2,-4.35,1.905,0.45,-27.45,0.3,0,426.8,3.36,-4.8,2.57,0.4785,-23.64,0.38955,-0.33655,437.8,5.294,0.5205,1.07,96.49,0,-0.1,-0.1,0,-2.11,0.7,254,293,-43.925,0,0,0,0,0,0,-0.0828,-6,-5.2,-4.9,-1.3,-5.24,-5,-2.26,-5.662,-5.665,-5.758,-5.528,-5.634,-5.604,-5.755,-5.3,85,81.3,82.8,85.6,0.4666,0.3455,2.43,427.55,427.3,427.8,427,428.7,429.2,429.5,430.15,4.53934769840602e-14,2.2,-0.65,0,2.1,3.65,4.1,4.6,4.9,5.4,6,0.8,2.45,4.4,5.3,5.8,6.2,6.6,6.9,7.3,0.5,1.5,2.6,3.15,3.6,4,2.214,2.717,2.202,1.806,0.747,1.13,1.5,0.8
1,4.25,403.4,3.2,-4.5,1.9,0.42,-27.95,0.2,0,426.7,3.34,-5,2.58,0.48,-25.22,0.3709,-0.3369,437.6,5.301,0.4584,1.017,96.485,0,-0.1,-0.1,0,-1.98,0.623,253,293,-41.95,0,0,0,0,0,0,-0.1,-6.07,-4.95,-5,-1.3,-5.3,-5.1,-2.28,-5.727,-5.7,-5.803,-5.616,-5.676,-5.6,-5.712,-5.5,85.3,82.6,83.5,85.95,0.463,0.2,2.455,427.5,427.6,427.2,426.9,428.9,429.3,429.4,429.8,-0.0086146918319878,2.2,-0.75,0,2.1,3.65,4.1,4.6,4.9,5.35,6,0.85,2.45,4.4,5.3,5.8,6.2,6.6,6.9,7.3,0.5,1.5,2.6,3.15,3.6,4,2.207,2.726,2.2,1.802,0.764,1.131,1.499,0.811
1,4.75,403.6,3.195,-4.5,1.87,0.41115,-29.84,0.22,0,426.3,3.35,-5,2.54,0.49475,-23.87,0.3406,-0.5043,437.2,5.206,0.4788,1.459,96.49,0,-0.1,-0.1,0,-1.85,0.665,251,292,-41.25,0,0,0,0,0,0,-0.0722,-6.1,-5,-5.05,-0.75,-5.3,-5.34,-2.23,-5.8,-5.804,-5.836,-5.852,-5.8,-5.7,-5.891,-5.5625,86.1,82.5,83.2,86.3,0.45425,0.1846,2.36,427.35,427.4,427.4,426.6,429.3,429.3,428.9,430.05,-0.00241557234294681,2.2,-0.8,0,2.1,3.65,4.1,4.6,4.9,5.35,6,0.85,2.45,4.4,5.3,5.8,6.2,6.6,6.9,7.3,0.5,1.5,2.6,3.15,3.6,4,2.2,2.718,2.1975,1.8,0.758,1.138,1.5,0.811
