DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,FC_1_1_1,H_1_1_1,LE_1_1_1,TS_1,RH_1_1_1,CO2_1_1_1,PPFD_IN_1_1_1,H2O_1_1_1,T_SONIC_1_1_1,VPD_1_1_1,TA_1_1_2,PPFD_OUT_2_1_1,PPFD_IN_2_1_1,PPFD_IN_2_3_1,NETRAD_2_1_1,SW_OUT_2_1_1,SW_IN_2_1_1,LW_OUT_2_1_1,LW_IN_2_1_1,TA_2_2_1,RH_2_2_1,TA_2_3_1,RH_2_3_1,TA_2_4_1,WS_2_1_1,CO2_2_1_1,H2O_2_1_1,WS_2_2_1,USTAR_2_1_1,H_2_1_1,LE_2_1_1,FC_2_1_1,T_SONIC_2_1_1,TA_2_1_1,RH_2_1_1,VPD_2_1_1,PPFD_IN_2_2_1,TA_2_1_2
1,0.25,0.625,-1.1,2.495,0.5,-8.74,1.2,2.8,93.825,405.4,0,4.6,-0.5,1,0.2,-0.0517,0,0,-5.3,1.1625,-0.7075,313.15,298.3175,-0.6425,95.775,-0.815,96.625,1.316,3.49,424.85,5.235,3.28,0.774,-13.01,2.007,0.9514,-1.5,-0.575,94.375,1.225775,-0.0375,1.275
1,0.75,0.6225,-1.2,2.48,0.5,-8.91,1.3,2.7,94.3,405.4,0,4.7,-0.4,1,0.3,-0.06,0,0,-5.4,1.1075,-0.7,313,296,-0.7075,95.625,-0.895,96.275,1.31,3.4475,425.05,5.18,3.2,0.730375,-11.23,1.398,0.77305,-1.3,-0.6,94.4,1.155,-0.0875,1.35
1,1.25,0.615,-1.2,2.4625,0.56,-11.29725,0.975,2.8,94.5,405.575,0,4.6,-0.4,1.005,0.2,-0.0574,0,0,-5.2,1.145,-0.5,311.355,296,-0.92,95.975,-0.89,96.45,1.3,3.585,425.55,5.21,3.2475,0.762,-10.72,1.58525,0.815075,-1.925,-0.7,94.25,1.130675,-0.065,1.3
1,1.75,0.63,-1.36,2.615,0.5,-10.515,1.675,2.7,95.875,405.175,0,4.675,-0.4,1.031,0.1,-0.0689,0,0,-5.2,1.14,-0.63475,312,296.155,-1.04,96,-0.935,96.6,1.23,3.495,425.325,5.1975,3.19,0.785175,-11.525,1.81475,0.8325,-1.9,-0.85,94.325,1.149175,0,1.275
1,2.25,0.615,-1.5,2.5975,0.5,-10.9,1.3,2.7,96.375,405.6,0,4.6,-0.6,1,0.1,-0.052075,0,0,-5,1.115,-0.635,312,295.99,-1.03,95.625,-1.03,96.825,1.2,3.53,425,5.22,3.105,0.78095,-12.16,1.07,0.723225,-2,-1,95.025,1.09415,-0.08,1.125
1,2.75,0.62,-1.5,2.55,0.475,-8.3,1.375,2.7,96.4,405.9,0,4.6,-0.8,1,0.03,-0.0583,0,0,-5,1.115,-0.6,310.85,297.18,-1.1625,95.625,-0.99,97.325,1.18,3.4725,425.225,5.1975,3.1875,0.7325,-10.76,1.445,0.8073,-2.025,-1.15,95.45,1.065175,-0.06,1.1
1,3.25,0.64,-1.56,2.55,0.43,-10.3,1.2,2.7,96.6,405.775,0,4.575,-0.775,1,-0.105,-0.06,0,0,-5,1.09,-0.5205,310.925,300,-1.25,96.3,-1.175,97.55,1.1725,3.4575,425.125,5.21,3.16,0.7865,-10.275,0.9058,0.84385,-2.05,-1.075,94.85,1.03965,-0.0375,0.95
1,3.75,0.6225,-1.5,2.5825,0.5,-10.925,1.5,2.7,96.55,406.075,0,4.5,-0.7,1,-0.23,-0.0557,0,0,-5.9,1.1175,-0.5475,310.55,295.25,-1.305,96.575,-1.2825,98.05,1.13,3.4625,425.2,5.055,3.15,0.738,-12.47,0.757575,0.72415,-2.1,-1.275,95.375,0.988215,-0.06,0.9
1,4.25,0.62,-1.5925,2.56,0.4,-10.6,1.5,2.7,97.375,405.925,0,4.4,-0.875,1,-0.35,-0.0652,0,0,-6,1.1625,-0.5475,309.95,295.25,-1.435,95.8,-1.4075,97.65,1.0925,3.455,425.3,4.965,3.15,0.693,-12.1575,1.214,0.7667,-2.2,-1.2,95.3,0.919395,-0.0575,0.775
1,4.75,0.628625,-1.6,2.58,0.4,-8.66,0.5166275,2.7,97.25,405.675,0,4.485,-1,1,-0.098,-0.0669,0,0,-5.33,1.1825,-0.555,309.94,294.775,-1.2775,96.05,-1.355,97.075,1.085,3.3375,425.6,4.955,3.1,0.6919,-11.605,0.46985,0.78675,-2.15,-1.175,95.075,0.9061475,-0.0225,0.825
1,5.25,0.59,-1.7,2.55,0.40342,-9.1275,0.7,2.7,96.9,406,0,4.4,-0.9,1,-0.33,-0.0519,0,0,-5.6,1.14,-0.5875,310,297.25,-1.3575,96.8,-1.23,97.675,1.1,3.36,425.4,4.965,3.0975,0.6745,-10.7,0.531675,0.74495,-2.025,-1.075,95.225,0.9013,0,0.825
1,5.75,0.582325,-1.8,2.505,0.5,-10.0975,0.7034125,2.7,96.525,405.9,0,4.4,-1.025,1,-0.458,-0.055,0,0,-4.5,1.09,-0.55,309.25,298.05,-1.4675,95.9,-1.415,96.625,1.125,3.5575,425.7,5.0525,3.28,0.714,-12.0925,0.6214,0.8223,-2.15,-1.075,95.45,0.88265,0,0.85
1,6.25,0.5925,-1.783,2.57,0.5,-13.3875,0.6,2.7,97.475,405.6,0,4.4,-1.05,1,-0.45,-0.054275,0,0,-4.2,1.1325,-0.5875,309.85,297.2,-1.2825,96.8,-1.3,97.4,1.1475,3.545,425.6,5.06,3.1475,0.67045,-12.485,0.5567,0.730175,-2.075,-1.075,95.25,0.831575,-0.015,0.875
1,6.75,0.59,-1.8,2.57,0.5,-11.1695,0.7,2.7,97.6,405.7,0.16275,4.42,-1.25,1,-0.55,0,0.3,0.0025,-5.3,1.1225,-0.51,309.625,297.25,-1.3425,96.05,-1.39,97,1.1,3.5625,425.425,5.06,3.36,0.6891,-12.425,0.6844,0.7632,-2,-1.1,95.525,0.8026525,0.1,0.85
1,7.25,0.59,-1.875,2.62,0.5,-8.7124,0.5,2.7,97.25,405.7,15,4.5,-0.925,1,-0.35,0.8,13.425,1.8025,-2.1,2.9375,7.295,309.85,297.45,-1.245,96.8,-1.445,97.4,1.1475,3.63,425.25,5.0425,3.3525,0.71875,-7.4675,0.696075,0.672075,-2.075,-1.15,96,0.8253575,6.825,0.9
1,7.75,0.6175,-1.72,2.635,0.5,-3.2975,1.7,2.7,95.85,405.6,79,4.5,-1.2,1,-0.1,6.875,79.4425,7.8,5.7,10.925,55.2275,310,297.05,-1.2475,96.575,-1.22,97.5,1.1775,3.605,425.25,5.09,3.165,0.691375,-2.30875,1.9175,0.80945,-2.375,-1.075,95.825,0.8434425,28.5,0.9
1,8.25,0.65,-1.59725,2.7,0.4,14.05,3.33575,2.7,95.975,405.6,194.5,4.5,-1.1,1,0.053,14.765,206.875,15.75,29.2,19.525,125.25,312,299,-0.98975,96.45,-1.255,97.4,1.2,3.6,425.275,5.08,3.22,0.7447,20.54,3.28825,0.824725,-2.2,-0.9,95.725,0.930375,56.175,1.075
1,8.75,0.69,-1.3,2.78,0.4,44.838,5.15,2.7,95.425,406.2,328.5,4.5,-0.7,1.0325,0.4455,22.12,337.575,21.975,82,28.625,196.25,313.4125,300,-0.7775,96.425,-0.769,97.05,1.228,3.6125,425.2,5.1675,3.2775,0.7804,59.875,6.1815,0.882325,-1.8,-0.675,95.65,1.072375,78.79,1.4
1,9.25,0.74,-0.93975,2.8675,0.4,81.545,7.8,2.7,95.2,405.7,475.3,4.54,-0.3,1.33325,0.85,28.1,462.7,30.15,139.6,35.605,265.775,314.165,300.525,-0.468,94.825,-0.4175,96.675,1.3,3.9575,425.3,5.22,3.47,0.817225,101.5,8.346,0.9224,-1.4,-0.475,94.975,1.19045,111.575,1.95
1,9.75,0.79,-0.485,2.92,0.4,122.7,11.125,2.7,95.3,405.35,602,4.6,0.225,1.805,1.4,32.58,579,41.825,195.7,40.22,329.025,315.23,299.225,-0.2525,94.325,-0.24,95.225,1.4,3.98,424.1,5.385,3.56,0.8365,148.1,11.195,0.982675,-0.8,-0.2,93.825,1.314675,167.325,2.025
1,10.25,0.81,-0.15,3.0325,0.4,149.075,15.45,2.7,93.775,405.7,718.75,4.6,0.675,2,1.5525,35.6,680.9,44.875,243.125,44.9125,380.25,317,293.85,-0.046925,94.15,-0.011665,95.1,1.6,4.0975,423.55,5.2675,3.64,0.8679,177.3,16.21,0.92345,-0.4,0.0325,91.875,1.513325,228.3375,2.3
1,10.75,0.825,0.325,2.97,0.4,170.385,18.4,2.7,92.65,404.75,787.75,4.6,0.875,2,1.76,36.1,753.925,66.575,275.725,47.725,421.25,318.25,297.45,0.325,93.075,0.1425,94.25,1.835,4.12,423.95,5.28,3.75,0.9003,190.9,14.77,0.9262,-0.275,0.2,90.075,1.686475,293.525,2.925
1,11.25,0.835,0.58,2.98,0.315,185.6,19.8,2.7,91.325,405.1,831,4.52,1.3,2,1.9,37.3,803,69.8,298.7,48.965,446.5,320,301.125,0.65175,90,0.4275,92.1,1.8995,4.08,424.45,5.22,3.685,0.9007,207.725,18.89,0.71705,0.1,0.48,87.925,1.8701,557.675,3.7
1,11.75,0.84,0.8,3.04,0.295,191.6,20.175,2.7,89.65,405,882,4.6,1.9,2.0525,2.185,36.775,829,69.35,310.75,49.925,460.25,320.06,300.6475,0.7175,88.225,0.5275,90.55,2.0025,4.025,423.8,5.195,3.6375,0.925,221.225,22.075,0.77635,0.3,0.725,86.125,2.0631,659.7,3.975
1,12.25,0.855,1.13,3.0225,0.29,190.6475,22.6,2.675,88.9,404.2,680.5,4.5975,2.325,2.37725,2.4,34.6,818.75,75.325,307.3,47.625,445.25,321.0725,301.5,1.01,86.875,0.93,88.625,2.3025,4.1475,423.8,5.2675,3.78,0.93415,209.45,20.05,0.6574,0.5,1.03,85.825,2.162775,358.85,4.25
