DOY2,HR2,FC_1_1_1,FC_1_1_2,CO2_1_1_1,CO2_1_1_2,H_1_1_1,LE_1_1_1,LE_1_1_2,H2O_1_1_1,H2O_1_1_2,H2O_1_2_1,NEE_1_1_1,NEE_1_1_2,FCH4_1_1_1,CH4_1_1_1,RH_1_1_1,RH_1_1_2,RH_1_2_1,VPD_1_1_1,VPD_1_1_3,VPD_1_1_2,VPD_1_2_1,T_SONIC_1_1_1,TAU_1_1_1,USTAR_1_1_1,WS_1_1_1,WS_2_1_1,PA_1_1_1,TA_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,TS_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_2_1_1,SW_IN_2_1_1,SW_OUT_2_1_1,LW_IN_2_1_1,LW_OUT_2_1_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,G_1_1_1,PPFD_DIF_1_1_1,TA_1_1_2,TA_1_1_3,TA_1_1_4,TA_1_1_5,TA_1_2_1,TA_1_2_2,TA_1_2_3,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_6_1_1,TS_6_3_1,TS_6_4_1,TS_6_5_1
1,0.25,-0.33650716125,-0.35046189,367.56536,391.7836,-74.34074325,-6.78814690165,-3.351057625,0.82549881245,0.529844275,0.85257295,-0.60939606,-0.60892923,-1.9825401746,1911.4844858,48.935002573,33.88022625,54.4245,0,0.1159384315,0.17210049,0.1375758,-21.81255,-1.1901678,0.0568065555,0.529246342075,0.07085,98.1,-21.538,-92.33849625,0,-2.178,-9.475723775,-7.6929383,157.683725,226.183005,-100.6,-4.7891,-2.4435,148.63,224.44,-1.1425,-0.4,0.51025,1.4995,1.8485,-1.379425,-0.622575,0.156575,1.898425,2.9,-0.8264,0.42145,-19.631,-19.611,-19.601,-19.82025,-18.234515,-18.161818,-17.643335,0.3687,1.73345,2.741625,3.764675,0.688675,1.8755,3.007975,3.8514,-0.8177,1.494775,3.3258,4.295675
1,0.75,-0.4107212125,-0.5397938,367.9453625,391.341435,-78.67352856,-6.8449032,-3.814391925,0.7979064996,0.51431355,0.800754875,-0.785132189875,-1.21592448,-4.312078119675,1910.8389982,48.71152511925,32.94725475,54.966,0,0.10145419625,0.15065335,0.1334044,-23.0833314535,-1.1443806564,0.053793984,0.5302945953,0.04795,98.1,-22.063,-87.8037285,0,-2.22075,-9.42024885,-7.560336,158.919925,224.00727,-99.55,-4.673375,-2.589375,148.1,224.0375,-1.14,-0.4095,0.5105,1.49,1.846,-1.4,-0.61575,0.1636,1.9,2.9,-0.827,0.419725,-19.9435,-19.9235,-19.91625,-20.05975,-18.60687075,-18.56694875,-18.009568,0.36435,1.744725,2.74245,3.764925,0.67915,1.877075,3.002,3.856125,-0.79585,1.48715,3.327975,4.303575
1,1.25,-0.34662903,-0.2981788,367.31527,391.850415,-78.50874145,-4.5416881,-2.01517345,0.8340104028,0.506171075,0.79508075,-0.89623376,-1.0093726,-3.0720262782,1909.7186246,49.2726955325,33.127064,56.4675,0,0.0583650175,0.137128325,0.1091675875,-23.32169644325,-1.12156625,0.0555013663,0.59284759425,0.03455,98.102475,-22.5465,-87.04555775,0,-2.214625,-9.108290875,-7.7982135,158.5183725,222.750205,-100.2375,-4.54025,-2.574375,147.95,223.75,-1.124,-0.40975,0.52,1.49925,1.819625,-1.4,-0.62625,0.165175,1.89475,2.9,-0.827,0.422,-20.09575,-20.0785,-20.07025,-20.21575,-19.22120575,-19.1659005,-18.59291,0.354675,1.73735,2.738975,3.76295,0.6653,1.869075,3.0078,3.8533,-0.758925,1.486375,3.323775,4.299825
1,1.75,-0.60088803515,-0.48878945,367.5573775,391.17947,-83.19759,-5.8818521,-4.567795625,0.71927075,0.5549696,0.76946725,-0.9337680525,-0.6189679,-3.508423,1910.6406786,50.13828812875,32.5604035,54.9815,0,0.0139234225,0.131718936,0.0862152625,-23.63108,-1.0784393,0.056968752,0.606574275,0.048875,98.197225,-22.463,-89.66596,0,-2.252125,-9.441326675,-7.710546025,157.22659,222.5129925,-99.95,-4.639625,-2.41625,148.125,222.9125,-1.1,-0.41,0.5105,1.5085,1.8285,-1.4,-0.6105,0.16325,1.901425,2.9,-0.827,0.421725,-19.68375,-19.66375,-19.66375,-19.7675,-19.80190575,-19.7189115,-19.18262475,0.3563,1.74135,2.74135,3.766125,0.658025,1.84975,3.00135,3.8464,-0.697275,1.467675,3.318075,4.299025
1,2.25,-0.49825516195,-0.2122896475,367.7037,390.86227,-79.925245,-5.1861241,-5.701015,0.76067362,0.565800685,0.7565573,-0.6066011375,-0.57884701,-3.277159107,1912.13954295,49.111688155,31.60682825,54.968,0,0.03457539805,0.133038618,0.1035057525,-23.6129,-1.0741678,0.04468921875,0.59020434,0.077775,98.201725,-22.537,-90.48943175,0,-2.27775,-9.459913975,-7.9279468,156.8412,225.004965,-99.5125,-4.734625,-2.405,147.85,221.875,-1.114,-0.4095,0.50075,1.49925,1.824625,-1.4,-0.622575,0.1615,1.893175,2.9,-0.827,0.420725,-19.72775,-19.70325,-19.7005,-19.8515,-20.234533,-19.98814375,-19.51799,0.35615,1.736625,2.740875,3.769475,0.648625,1.841675,3.003175,3.85365,-0.638375,1.45765,3.32345,4.29585
1,2.75,-0.41051523,-0.763362,367.399075,391.3529975,-79.44066012425,-4.3284429,-4.738471375,0.72548312265,0.4851182625,0.74811825,-0.89024582415,-1.554870125,-4.08277050375,1910.332123175,49.013325279,28.599474,54.6675,0,0.0702131625,0.129840925,0.0670959975,-23.1716247205,-1.081878183,0.0557526319,0.5539242571,0.1076,98.202775,-22.9015,-89.36349025,0,-2.30425,-9.546336975,-7.873447225,156.986025,223.4954375,-99.3375,-4.90975,-2.585875,147.0125,219.325,-1.12,-0.4095,0.491,1.49,1.83,-1.4,-0.614175,0.167075,1.893175,2.9,-0.8346,0.421725,-20.247,-20.22425,-20.217,-20.34325,-20.18438675,-19.89860875,-19.5941375,0.3601,1.734525,2.743775,3.7681,0.638675,1.8281,3.005625,3.8522,-0.61885,1.442225,3.324175,4.2983
1,3.25,-0.66494859,-0.0995063885,367.4467425,390.16534,-77.5308525,-4.9611625,-3.877337,0.71664376,0.43143104,0.74730245,-0.8453731684,-0.28721041,-3.3110694312,1912.0367927,48.36941235,29.990069,54.9435,0,0.0788430275000001,0.27197615,0.07153751,-23.79085752775,-1.0775914,0.050495869275,0.5265359625,0.056275,98.2,-23.1285,-88.00134125,0,-2.3195,-9.303977675,-7.8382256,155.280365,221.8496825,-98.4,-4.638125,-2.572625,147.3375,218,-1.12,-0.4095,0.50075,1.49925,1.83,-1.403675,-0.603675,0.15675,1.887925,2.9,-0.8658,0.418725,-20.72325,-20.7005,-20.6905,-20.796,-20.51712325,-20.32597625,-19.81927225,0.36075,1.734975,2.74135,3.762275,0.6396,1.8252,3.0039,3.848575,-0.579725,1.432075,3.326625,4.2975
1,3.75,-0.5727853479,-0.4605389875,367.42346,391.07208,-76.99746775,-6.48988345,-1.6548072,0.721492163125,0.39008375,0.747495125,-0.8199861175,-1.1795566,-2.73768889995,1913.9908144,48.741281353,26.2213935,54.6555,0,0.0722782125,0.263049825,0.072032475,-24.142411009,-1.2692207706,0.05164851065,0.5141832051,0.0322,98.3,-23.2595,-89.804612,0,-2.36225,-8.941896625,-7.76137735,154.3605875,219.31644,-98.6625,-4.578875,-2.5325,147.245,217.5375,-1.1035,-0.4095,0.5105,1.49,1.83,-1.450925,-0.6,0.15885,1.891075,2.9,-0.8978,0.421725,-20.7315,-20.7115,-20.7015,-20.85175,-20.3311845,-20.3844655,-20.02223825,0.3695,1.73235,2.73925,3.76975,0.64155,1.82965,3.002625,3.84775,-0.537175,1.429775,3.3275,4.296125
1,4.25,-0.368872603475,-0.229751475,367.42703,391.9359375,-78.78629625,-5.5318035,-8.06032105,0.7022240336,0.38379644,0.7443934,-0.8385770075,-1.995948,-3.192077667375,1910.388446175,49.06337010125,24.42602625,55.5005,0,0.0813399151,0.311494825,0.083869685,-24.4633125,-1.1252072,0.04985718225,0.518513745,0.0464,98.3,-23.444,-88.960421,0,-2.418625,-9.233678025,-7.39186005,153.6856775,219.6459775,-99.4875,-4.670875,-2.56625,146.525,217.4625,-1.12,-0.40975,0.51025,1.4985,1.82925,-1.44725,-0.603675,0.160425,1.891075,2.9,-0.9242,0.42345,-20.6475,-20.61475,-20.612,-20.7495,-20.3603845,-20.31951725,-19.71514625,0.362425,1.736625,2.737525,3.760125,0.6523,1.8232,3.003,3.84585,-0.498625,1.434375,3.3198,4.296125
1,4.75,-0.46132189,-0.58484096,367.3635,391.92205,-80.341767,-6.03182445,-7.827154925,0.6890066807,0.4699067,0.7310915,-0.61072495,-1.2819517,-2.700414524225,1910.0139999,48.8432560585,22.790143,55.4545,0,0.06306457,0.258442175,0.0862769725,-24.49767,-1.2206344,0.060774706,0.6118441125,0.084775,98.3,-23.8995,-89.045857,0,-2.47025,-9.49061915,-7.7155634,153.132145,221.3584625,-99.4875,-4.665125,-2.586125,146.1,218.9375,-1.12,-0.4295,0.51,1.49,1.8285,-1.408925,-0.6,0.1615,1.891075,2.9,-0.9358,0.421,-20.435,-20.40775,-20.39775,-20.52675,-19.83917625,-19.8079455,-19.295497,0.362075,1.737425,2.7378,3.7634,0.64685,1.8212,3.002725,3.848575,-0.46445,1.427375,3.32115,4.2935
