DOY2,HR2,FC,H,LE,TAU,TA,RH,NETRAD,SW_IN,SW_OUT,PPFD_IN,PPFD_OUT,APAR,FAPAR,WS,USTAR,PA,G,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1
1,0.25,1,0.775,8.975,-0.01196,-0.475,91.15,-4.325,0,0,0,0,0,0,5.065,0.29,99.3475,-2.6,0,0.5,1.4,3
1,0.75,1,2,8.8,-0.011055,-0.5,91.05,-4.175,0,0,0,0,0,0,5.045,0.29,99.3525,-2.7,0,0.5,1.4,2.9
1,1.25,0.975,1.3,9.375,-0.0112975,-0.55,90.85,-4.4,0,0,0,0,0,0,5.075,0.29,99.365,-2.9,0,0.5,1.4,2.9
1,1.75,0.8,0.975,8.6,-0.011375,-0.5,91.35,-4.275,0,0,0,0,0,0,4.96,0.28,99.38,-2.6,0,0.5,1.4,2.9
1,2.25,0.9,1.075,7.95,-0.00984,-0.7,91.15,-4,0,0,0,0,0,0,4.8975,0.28,99.4,-2.725,0,0.5,1.4,2.925
1,2.75,0.9,0.8,7.7,-0.01022,-0.95,91.2,-3.65,0,0,0,0,0,0,4.86,0.29,99.375,-3.1,0,0.5,1.4,2.925
1,3.25,0.9,1.2,7.75,-0.01045,-0.9,91.3,-4.1,0,0,0,0,0,0,4.74,0.28,99.37,-2.9,0,0.5,1.4,2.925
1,3.75,0.975,1.1,7.325,-0.00959,-0.85,91.6,-4.45,0,0,0,0,0,0,4.775,0.28,99.365,-2.8,0,0.5,1.4,2.9
1,4.25,0.9,1.1,7.625,-0.010835,-1.3,91.675,-3.75,0,0,0,0,0,0,4.7875,0.29,99.3325,-2.8,0,0.5,1.4,2.9
1,4.75,1,1.8,8.775,-0.0115475,-1.4,91.6,-3.525,0,0,0,0,0,0,4.84,0.29,99.355,-2.9,0,0.5,1.4,2.9
1,5.25,0.9,1.55,7.2,-0.0123625,-1.25,91.75,-3.225,0,0,0,0,0,0,4.91,0.28,99.34,-3.2,0,0.5,1.4,2.9
1,5.75,0.9,1.025,9.3,-0.00947,-1.2,92.1,-4.125,0,0,0,0,0,0,4.9075,0.29,99.345,-2.9,0,0.5,1.4,2.95
1,6.25,0.9,0.9,8.3,-0.0107425,-1.225,92.2,-4.2,0,0,0,0,0,0,4.805,0.29,99.365,-3.2,0,0.5,1.4,3
1,6.75,0.9,1.3,7.7,-0.0085575,-1.3,92.225,-4.1,0,0,0,0,0,0,4.82,0.29,99.355,-3.5,0,0.5,1.4,3
1,7.25,0.9,1.1,9.55,-0.00973,-1.4,92.2,-2.7,6.8,3.95,8.2,7.7,0.4,2.9725,4.87,0.3,99.3725,-2.7,0,0.5,1.4,2.925
1,7.75,0.9,3.2,9.725,-0.0119875,-1.3,92.1,3.1,55.6,26.35,68.1,45.4,32.2,80.33,5.06,0.3,99.485,-3.2,0,0.5,1.4,2.925
1,8.25,1,8,13.85,-0.01939,-1.15,92,16.6,140.1,59.95,198.8,106.2,90.1,86.97,5.315,0.32,99.55,-2.35,0,0.5,1.4,3
1,8.75,1.1,15.1,18.7,-0.02364,-0.8,91.175,40.75,229.075,107.275,341.475,167.725,171.4,87.8775,5.525,0.34,99.56,-0.6,0,0.5,1.4,3
1,9.25,1.1,24.4,25.2,-0.02537,-0.5,90.45,67.25,304.15,149.625,481.1,248.975,211.55,88.535,5.745,0.34,99.5775,1.275,0,0.5,1.4,3
1,9.75,1,31.8,29.4,-0.03265,-0.4,89.7,92.95,369.8,197,601.15,341.7,313.775,88.7725,5.835,0.35,99.6075,3.6,0,0.5,1.4,3
1,10.25,0.85,40.4,32.35,-0.03376,-0.15,88.3,117.175,434,228.075,721.55,410.7,380.875,88.9775,5.8725,0.35,99.62,4.35,0,0.5,1.4,3
1,10.75,0.9,45.6,39.25,-0.0386075,0.45,86.9,130.1,483.375,247.6,805.525,459.75,428.8,89.0675,5.94,0.35,99.6125,5.7,0,0.5,1.4,3
1,11.25,0.9,53.75,40.875,-0.041215,0.8,85.4,130.3,507.8,278.6,876.25,493.7,452.475,89.21,6.065,0.36,99.59,6.25,0,0.5,1.4,3
1,11.75,0.9,58.45,45.425,-0.0437425,1.15,84.95,141.3,523.15,267.7,899.85,540.925,475.3,89.465,6.11,0.37,99.5475,7.15,0,0.5,1.4,3
1,12.25,1,59.35,45.275,-0.04661,1.425,84.3,143.6,518.95,262.55,896.2,482.95,446.5,89.695,6.2975,0.37,99.515,6.8,0,0.5,1.4,3
1,12.75,1,54.625,46.925,-0.0473125,1.925,83.7,143.525,503.475,269.825,866.1,465.05,452.4,89.39,6.19,0.37,99.515,6.9,0,0.5,1.4,3
