DOY2,HR2,USTAR,TA,WS,FC,H,LE,RH,PA,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,TS_1_1_1,TS_2_1_1,SG_1_1_A,SG_2_1_A,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,CO2
1,0.25,0.115583581,-19.17,1.699,0.0841,-12.942888655,0.1032473985,71.73,89.4,-25.13,0,0,0.3015955,0,-4.085,-3.15,-8.36,-7.0415,-6.253,-7.987,-5.318,-7.49,399.3
1,0.75,0.1179075,-18.85,1.699,0.07,-10.572,0.136305,71.83,89.3,-25.13,0,0,0.3446795,0,-4.046,-3.096,-8.37,-7.0265,-6.334,-7.891,-5.246,-7.421,398.65
1,1.25,0.1171955,-18.81,1.688,0.08,-11.5956,0.103415,71.85,89.3,-22.77,0,0,0.3146275,0,-4.023,-3.112,-8.4655,-7.175,-6.384,-8.01,-5.311,-7.5945,399
1,1.75,0.1149272275,-18.835,1.587,0.0934,-11.3375,-0.023,71.98,89.3,-23.26,0,0,0.320597,0,-4.038,-3.105,-8.565,-7.25575,-6.4,-8.085,-5.333,-7.62125,398.3
1,2.25,0.111135357,-18.425,1.6285,0.0726,-9.6815,0.06,71.97,89.3,-22.75,0,0,0.324905,0,-4.0495,-3.112,-8.61375,-7.29125,-6.435,-8.135,-5.319,-7.63325,398.1
1,2.75,0.1141282015,-18.265,1.668,0.0856,-10.010417718,0.028,71.725,89.3,-23.005,0,0,0.308085,0,-4.059,-3.119,-8.6015,-7.3145,-6.4345,-8.165,-5.289,-7.6625,398.7
1,3.25,0.10953,-18.35,1.708,0.06,-8.636885142,0.202647,71.61,89.3,-21.805,0,0,0.2963895,0,-4.041,-3.088,-8.65,-7.2515,-6.487,-8.14,-5.29,-7.6925,398.3
1,3.75,0.12406,-18.43,1.63,0.091264503,-10.364,0.15642,71.46,89.3,-22.73,0,0,0.3055015,0,-4.014,-3.09,-8.625,-7.2345,-6.462,-8.16,-5.3175,-7.7135,397.3
1,4.25,0.1247042365,-18.47,1.636,0.0785,-11.56515,0.19906,71.73,89.3,-20.22,0,0,0.285513,0,-4.032,-3.123,-8.665,-7.1975,-6.441,-8.16,-5.3655,-7.6445,397.7
1,4.75,0.121516385,-18.56,1.695,0.0867970215,-9.96602621,0.328251,72.08,89.3,-18.96,0,0,0.362756,0,-4.066,-3.101,-8.6445,-7.192,-6.436,-8.13,-5.3795,-7.609,397.5
1,5.25,0.116221,-18.435,1.7365,0.088,-10.88135477,0.0894,71.965,89.3,-20.94,0,0,0.373704,0,-4.0985,-3.156,-8.66,-7.19125,-6.424,-8.13,-5.3895,-7.61875,397.2
1,5.75,0.109993,-17.995,1.67,0.08774701,-12.5976,0.122064,71.955,89.3,-19.85,0,0,0.330248,0,-4.1245,-3.1585,-8.67,-7.22675,-6.436,-8.12,-5.3735,-7.646,398
1,6.25,0.115309832,-18.14,1.68,0.0775,-11.649,0.169604198,72.315,89.35,-21.69,0,0,0.355447,0,-4.136,-3.157,-8.665,-7.23475,-6.439,-8.12,-5.36775,-7.69475,396.65
1,6.75,0.1102551365,-18.325,1.5985,0.09775,-8.297504992,0.0522,72.28,89.3,-20.86,0,0,0.374746,0,-4.1725,-3.203,-8.645,-7.1815,-6.424,-8.125,-5.3585,-7.655,396.3
1,7.25,0.1170044865,-18.28,1.544,0.076904365,-9.33015,0.0814,71.97,89.3,-20.9,0,0,0.3698905,0.003,-4.188,-3.195,-8.68,-7.1545,-6.447,-8.19,-5.361,-7.667,396.7
1,7.75,0.116863436,-18.68,1.605,0.084199643,-10.544,0.0302,71.675,89.3,-21.3,0,0,0.330229,0,-4.1945,-3.2205,-8.66,-7.129,-6.3865,-8.17,-5.3485,-7.6765,396.75
1,8.25,0.107773,-18.74,1.655,0.08255,-11.975840175,0.01379,71.5,89.3,-21.8,0,0,0.3517045,0,-4.204,-3.223,-8.62,-7.122,-6.427,-8.17,-5.35,-7.68,396.8
1,8.75,0.1125765,-18.62,1.627,0.09875,-9.405680993,0.01502,71.62,89.3,-21.955,0,0,0.347514,0.003,-4.185,-3.204,-8.64,-7.128,-6.359,-8.18,-5.344,-7.636,396.85
1,9.25,0.106632,-18.65,1.588,0.09,-7.55121,0.039,71.26,89.3,-20.495,0,0,0.402956,0.007,-4.204,-3.198,-8.745,-7.187,-6.413,-8.21,-5.354,-7.665,397.4
1,9.75,0.1074844375,-18.41,1.5305,0.07,-9.605255,0.009985,71.215,89.4,-20.72,0,0,0.476066,0.048,-4.182,-3.226,-8.7625,-7.2035,-6.4215,-8.205,-5.35775,-7.6655,397.7
1,10.25,0.118885832,-18.455,1.624,0.0663,-9.530811519,0.0333,71.48,89.4,-21.36,0.129465,0,0.828009,0.1855,-4.203,-3.222,-8.77,-7.2015,-6.4475,-8.21,-5.369,-7.6895,396.3
1,10.75,0.110491307,-18.54,1.468,0.0879,-10.662391975,0.11754,71.08,89.4,-21.605,0.829795,0,1.9927,0.714,-4.235,-3.233,-8.785,-7.211,-6.393,-8.24,-5.347,-7.672,398.3
1,11.25,0.11765,-18.52,1.407,0.0818,-11.0881,0.04854,71.16,89.4,-22.17,3.63364,1.059,4.85336,1.933,-4.237,-3.23,-8.745,-7.252,-6.397,-8.25,-5.328,-7.6575,397
1,11.75,0.107315,-18.51,1.508,0.07,-11.135487205,0.0812,71.12,89.4,-22,7.79352,2.729,9.030925,3.673,-4.199,-3.215,-8.679,-7.2875,-6.376,-8.21,-5.325,-7.6495,396
1,12.25,0.103508514,-18.42,1.511,0.07945,-10.2636,0.0836,71.35,89.4,-23.77,11.8642,4.668,13.43115,5.431,-4.22,-3.241,-8.685,-7.3035,-6.389,-8.2,-5.323,-7.649,397.9
1,12.75,0.1152228445,-18.4,1.573,0.0721,-8.841293593,0.108261,71.27,89.4,-23.81,15.16155,5.779,16.36405,6.967,-4.22,-3.22,-8.69,-7.2965,-6.386,-8.18,-5.323,-7.629,398.45
1,13.25,0.106472421,-18.495,1.606,0.087,-10.455271025,0.04223,71.32,89.4,-23.585,15.9355,6.0675,17.2867,7.2055,-4.2075,-3.225,-8.67125,-7.22925,-6.402,-8.17,-5.34,-7.61475,398.95
1,13.75,0.108373373,-18.425,1.5895,0.0762,-9.840594247,0.037015,71.84,89.35,-23.34,14.26395,5.677,15.04655,6.5935,-4.202,-3.242,-8.61075,-7.25125,-6.4155,-8.175,-5.3455,-7.591,399
1,14.25,0.118467614,-18.275,1.6565,0.0744,-8.50623,0.03198,71.525,89.4,-23.86,10.3619,3.737,11.59295,4.885,-4.1855,-3.211,-8.655,-7.22675,-6.4105,-8.22,-5.3665,-7.58475,399.3
