DOY2,HR2,USTAR,TA,WS,FC,H,LE,RH,PA,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,TS_1_1_1,TS_2_1_1,SG_1_1_A,SG_2_1_A,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,CO2
1,0.25,0.4797761432,-1.4358,8.4155,1.2294759888,9.95553060274998,38.7101749999999,89.22,92.455,4.36489999999999,0.165899975,0.183425,1.8341,0.8164,-0.796,-0.5226,-0.867099999999999,-1.3447,-0.964,-0.6527,-1.62995,-0.7795,426.185
1,0.75,0.490717070475,-1.7285,9.005,0.949846374499999,19.08035,35.0675,89.3,92.45,4.610125,0.1645054,0.368375,1.84508125,0.584,-0.6835,-0.3715,-0.876,-1.3295,-0.9715,-0.641,-1.5905,-0.7775,426.3625
1,1.25,0.50042125,-1.6685,8.93,0.9271966,7.882923,32.989495,89.4,92.4575,3.5568,0.174336,0.3361,1.80635875,0.6115,-0.738,-0.4135,-0.8745,-1.337,-0.955,-0.669,-1.64175,-0.7685,429.9575
1,1.75,0.523180495424999,-1.23395000000002,8.74175,0.960347,9.74960499999999,24.74566,89.695,92.455,4.7067,0.141540725,0.311399999999999,1.767163,0.551924999999999,-0.694475000000003,-0.369075,-0.870837500000001,-1.3501,-0.950625000000002,-0.675250000000002,-1.63915,-0.801475000000001,438.915
1,2.25,0.474232,-0.789200000000008,8.8,0.8403029136,14.951078924,30.32752598825,89.1475,92.4,3.42379999999998,0.1598091,0.238849999999999,1.800351,0.64165,-0.725825,-0.443600000000001,-0.8751,-1.3629375,-0.947150000000002,-0.681600000000002,-1.6480375,-0.808975000000002,428.54
1,2.75,0.54258375,-1.10020000000001,9.01474999999999,1.18292181,14.053187024,38.45663,89.0475,92.4,5.21025,0.14423975,0.28135,1.7646885,0.58275,-0.723075000000002,-0.441775,-0.899075000000001,-1.377475,-0.945725000000002,-0.687425000000003,-1.6467375,-0.812275000000002,427.1
1,3.25,0.4930519935,-1.0354,8.729,0.9033808,14.592225,36.593347238,89.69,92.4,6.058575,0.135990975,0.167625,1.78857075,0.57375,-0.70875,-0.4378,-0.90645,-1.394,-0.945050000000001,-0.697050000000001,-1.653,-0.810950000000001,442.3
1,3.75,0.4976615454,-1.1579,8.593,1.5133035,12.63284,38.6082566980001,89.19,92.3,3.49099999999998,0.1345095,0.181,1.75604725,0.6276,-0.729000000000001,-0.4676,-0.912975,-1.4095,-0.944700000000001,-0.703200000000001,-1.661525,-0.808850000000001,461.525
1,4.25,0.460143814325,-0.945600000000003,8.3035,1.302732,10.8173625,30.91087428025,88.745,92.3,4.27427499999999,0.2699612,0.308424999999999,1.93128475,0.64025,-0.6885,-0.4426,-0.91875,-1.425675,-0.943800000000001,-0.712800000000001,-1.647775,-0.806750000000001,433.425
1,4.75,0.4763610429,-0.972750000000002,8.1725,1.2252025,21.432069836,28.0984555,89.145,92.3,4.9515,0.272875975,0.369,1.876873,0.7847,-0.7171,-0.4436,-0.831700000000002,-1.349125,-0.872300000000001,-0.63575,-1.62775,-0.76035,507.639999999999
1,5.25,0.5164104945,-1.15880000000001,8.24325,1.360726121625,12.47918,25.25521,89.585,92.3,4.81285,0.2796526,0.2495,1.8112365,0.58395,-0.780175000000002,-0.516775,-0.9166125,-1.41985,-0.943075000000002,-0.736325000000004,-1.6339,-0.800025000000002,426.5
1,5.75,0.4486124751,-0.768075000000001,8.24225,0.921118966349999,15.51333,22.5974,89.6475,92.3,5.05599999999999,0.257255,0.2122,1.802925,0.680275,-0.927875000000001,-0.61355,-0.9155875,-1.4157375,-0.943175000000002,-0.747850000000004,-1.62925,-0.796500000000002,427.72
1,6.25,0.4018902304,-0.900275000000002,8.88375,1.0864542302,14.4554238399999,20.3766339945,90.19,92.3,6.216125,0.2726776,0.3435,1.7967355,0.581974999999999,-0.928475000000001,-0.691850000000001,-0.9141375,-1.4402125,-0.941700000000002,-0.755175000000004,-1.611675,-0.794500000000002,426.2
1,6.75,0.43889725,-1.12125,9.09874999999999,1.019766771075,11.52022,25.482310703,90.7,92.3,4.035,0.2538407,0.240199999999997,1.77366525,0.697099999999999,-0.922450000000001,-0.67955,-0.9139,-1.4315625,-0.939125000000002,-0.733325000000005,-1.60775,-0.792400000000002,431.02
1,7.25,0.487785054099999,-1.29835,9.20149999999999,0.947321701,9.22405024999998,29.8422049999998,89.815,92.3,4.14535,0.2544544,0.29115,1.7697045,0.63375,-0.9384,-0.710200000000001,-0.913125,-1.424525,-0.938650000000001,-0.719800000000001,-1.59715,-0.793400000000001,462.2
1,7.75,0.5024459811,-1.06492500000001,9.16375,0.923022844399997,10.598245542,33.8548525,90.4375,92.3,4.9813,0.2680596,0.24635,1.765664,0.610425,-0.941775000000004,-0.66455,-0.911450000000001,-1.453825,-0.934500000000002,-0.744175000000004,-1.593325,-0.793575000000001,466.1875
1,8.25,0.492617950949999,-1.27055,8.8645,1.194841508,9.81639778627499,23.9948049565,90.545,92.3,6.3335,0.2470146,0.186,1.7793705,0.6205,-0.949750000000001,-0.689,-0.911125,-1.4427,-0.933450000000001,-0.75355,-1.5871,-0.7947,458.74
1,8.75,0.495438230875,-1.30815,8.47599999999999,0.8940014271,8.287155403,23.090575,90.345,92.3,6.564825,0.2742192,0.249224999999999,1.78781325,0.5912,-0.90975,-0.6976,-0.836275000000002,-1.379425,-0.878300000000001,-0.6837,-1.5802,-0.79575,472.265
1,9.25,0.4958192538,-1.2325,8.92,0.89525689495,11.903762820575,27.03354,90.4,92.3,5.2827,0.29759275,0.182925,1.8623035,0.668,-0.9615,-0.68425,-0.90775,-1.45125,-0.9265,-0.763,-1.578,-0.7965,459.72
1,9.75,0.4656485994,-1.408875,8.16752499999999,0.9597302086,6.97678183140001,30.4880125,90.1725,92.2625,5.463,1.50104,0.33415,2.287041,0.957625,-0.966350000000001,-0.672400000000001,-0.906212500000001,-1.4692,-0.923650000000001,-0.741475,-1.575475,-0.7988,445.8
1,10.25,0.470295143,-1.53685000000001,8.5135,1.1421615,7.2586325,28.436523511,90.155,92.3,5.14759999999999,7.18117875,2.0632,7.303921,2.788575,-1.009125,-0.674175000000001,-0.904687500000001,-1.463475,-0.920700000000001,-0.783975000000001,-1.568375,-0.801,454.749999999999
1,10.75,0.465382174999999,-1.53225,8.6275,1.155536,9.12012425,27.7923265334999,90.12,92.27,5.02875,18.20498,6.286125,16.5667875,6.5691,-1.09355,-0.7108,-0.906275,-1.456775,-0.919499999999999,-0.73935,-1.56445,-0.8026,449.825
1,11.25,0.445452,-1.55865,8.9235,1.6455545,11.17808,29.3273,89.51,92.27,4.377625,33.99995,17.564,30.6822375,13.021,-1.104,-0.7361,-0.908475,-1.472175,-0.918049999999999,-0.76795,-1.5659,-0.80465,467.099999999999
1,11.75,0.4840596608,-1.6253,9.4195,1.115,13.712119978,24.947429055,89.475,92.3,4.27139999999999,58.1933625,37.074,50.5996375,24.579,-1.1092,-0.7495,-0.913225,-1.473625,-0.9177,-0.802799999999999,-1.57165,-0.80625,490.6
1,12.25,0.593,-1.2736,9.15999999999999,1.0536732845,12.369,25.81495,89.28,92.3,4.93579999999999,79.11651,57.407,72.3534625,35.784,-1.0968,-0.78125,-0.9168,-1.4621,-0.915600000000002,-0.765200000000001,-1.66,-0.807000000000001,433.28
1,12.75,0.4596345,-1.345,8.74199999999999,1.4726965,14.5213077245,29.8954225,89.02,92.3,3.8924,93.486475,69.148,83.921175,46.6259999999999,-1.101,-0.755050000000001,-0.9192,-1.4522,-0.917000000000001,-0.760800000000001,-1.6598,-0.808200000000001,461.652499999999
1,13.25,0.465047177875,-1.176,9.01,1.232646,6.524829782525,27.535615,89.5,92.34,4.486775,99.2265399999999,71.1399999999999,85.5820775,47.02375,-1.097875,-0.76925,-0.9225,-1.4335625,-0.929875,-0.7685,-1.65775,-0.844125,426.5975
1,13.75,0.5376509872,-1.7226,9.303,1.02264528285,12.61085999125,26.4832499999999,89.245,92.315,4.61139999999999,93.1456975000001,68.477,80.9453,52.462,-1.08325,-0.7785,-0.914525,-1.4228625,-0.934675000000001,-0.738925000000001,-1.656075,-0.846675,429.06
1,14.25,0.512073223725,-1.555875,9.28,1.0636,14.03637,32.5447499999999,89.515,92.355,4.72789999999999,78.20288,49.722,66.6777625,42.49275,-1.09835,-0.76235,-0.9246375,-1.4110875,-0.936850000000001,-0.758625000000001,-1.650025,-0.848425,446.7875
1,14.75,0.4711257,-2.1186,9.524,0.95705880925,11.7486,32.326485,89.355,92.455,4.41169999999999,53.97113,32.51,50.14134,28.292,-1.1109,-0.7606,-0.9106,-1.4224,-0.9393,-0.73595,-1.64685,-0.8496,449.9875
1,15.25,0.5640212715,-1.899,9.442,1.0730098124,9.90924024999999,26.653907156,89.2,92.5,4.872625,31.090885,16.00775,27.31434,14.374,-1.1074,-0.7921,-0.8995,-1.367925,-0.94135,-0.752549999999999,-1.61955,-0.85065,447.154999999999
1,15.75,0.590874074224999,-1.9395,9.2005,0.8480628293,20.05085,23.6591125,89.63,92.5,4.72669999999999,14.73981,5.571,13.6158875,5.7656,-1.0952,-0.764175,-0.886025000000001,-1.3666375,-0.943375,-0.767550000000001,-1.605375,-0.85105,426.7375
1,16.25,0.58140952125,-1.7433,8.89625,0.8571086008,13.08525,22.209015,89.645,92.46,7.17552500000001,4.95240425,1.371375,5.254825,2.048125,-1.078375,-0.698750000000001,-0.892987500000001,-1.39765,-0.945825,-0.760925000000001,-1.5944125,-0.84875,428.095
1,16.75,0.495101985625,-1.763625,8.60525,1.0834145,12.319315062,26.875805,89.3575,92.5,4.51004999999999,0.98812035,0.388,2.034259,0.767224999999999,-1.0146,-0.662150000000001,-0.8494875,-1.382225,-0.9354,-0.726825000000001,-1.576225,-0.802075000000001,427.35
1,17.25,0.45629728125,-1.672475,8.44324999999999,0.812295,10.0703627499999,24.15970415875,89.8,92.4575,4.95459999999999,0.3336062,0.212199999999999,1.811894,0.639625,-1.021725,-0.691900000000002,-0.8555125,-1.38385,-0.938025,-0.724950000000001,-1.5605125,-0.803275000000001,426.78
1,17.75,0.44522863565,-1.311375,8.904,1.060593950525,10.468175,26.1556,88.505,92.515,3.94474999999999,0.307991375,0.19845,1.78759,0.563775,-1.007075,-0.713050000000001,-0.875687500000001,-1.398225,-0.94065,-0.728950000000001,-1.5495125,-0.804000000000001,428.275
1,18.25,0.4930175,-1.456125,8.69625,0.8687389736,13.45258,30.00329063075,88.405,92.455,4.73579999999998,0.2708348,0.280599999999999,1.767672,0.62045,-0.946925,-0.713250000000002,-0.886675000000001,-1.3909375,-0.943275,-0.7539,-1.5604875,-0.805200000000001,439.715
1,18.75,0.50986425,-1.661175,8.99574999999999,0.903369075,11.31325,28.04177640925,88.6575,92.5,5.12865,0.2691344,0.307124999999999,1.813815,0.5562,-0.916375,-0.7419,-0.860725,-1.385425,-0.9469,-0.722675000000002,-1.578075,-0.805925000000001,429.745
