DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1_1_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2_1_1,WS,SG_1_1_A,SG_2_1_A,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,CO2,TS_1,TS_2
1,0.25,2.294300711,29.039494699,20.32208572,0.5288,-0.97475,-0.8015,90.2375,0.376162054125,93.0125,0.828,6.115075,0.966956649999999,1.101456,-0.72325,8.048075,-0.6192,-0.3316,0.3258,-0.6202,-0.2284,-0.523,426.4275,-6.1072,-4.14155
1,0.75,1.6159263054,29.3671749999999,13.2670695524999,0.4694,-1.4169,-0.83285,89.88,0.365514248,93.005,0.695424999999999,6.1636,0.519714,0.479116475,-0.7676,7.6628,-0.593,-0.3106,0.3155,-0.6278,-0.2304,-0.5086,437.54,-6.1188,-4.172275
1,1.25,2.064454534,34.302985,31.6037625,0.385274999999999,-1.388,-0.778474999999999,90.465,0.431618140975,93.0075,0.714249999999999,6.81459999999998,0.5195385,0.537674675,-0.7877,8.2455,-0.5965375,-0.3058625,0.3192,-0.6554,-0.2305,-0.502,440.5175,-6.106,-4.17245
1,1.75,3.1643084697,32.4710817460001,18.189236831,0.43065,-0.620800000000004,-0.8536,89.93,0.3929216,93.0025,0.76945,6.713975,0.512926499999999,0.48276725,-0.765600000000001,8.5835,-0.6021625,-0.313725,0.31895,-0.662125,-0.23435,-0.501275,424.1025,-6.110425,-4.240775
1,2.25,2.241920416,36.505375,17.575,0.466999999999996,-0.4587,-0.927275,89.5325,0.45697631755,93.1,0.94045,7.71779999999999,0.469976575,0.49903425,-0.851000000000001,8.138,-0.62975,-0.34215,0.325975,-0.664925,-0.236375,-0.502,423.33,-6.2359,-4.30835
1,2.75,2.33917563915,25.99784861,24.90005,0.270425,-0.70105,-0.9061,89.1325,0.460593941175,93.1,0.69605,4.4558,0.4598497,0.529420399999999,-0.85,7.6389,-0.6320375,-0.34695,0.319625,-0.660225,-0.240075,-0.504350000000001,423.965,-6.216125,-4.332025
1,3.25,2.12858174625,24.724975,19.4314325,0.502074999999999,-0.680800000000002,-0.867675,90.7325,0.443820325,93.0025,0.7137,5.03625,0.445323,0.5006124,-0.830200000000001,8.204,-0.6338625,-0.347275,0.32565,-0.6562,-0.249675,-0.51255,437.44,-6.207825,-4.2474
1,3.75,1.45993191225,21.1098,20.9372325249999,0.528749999999999,-0.890650000000003,-0.8311,90.0975,0.45126762405,93.0025,0.839949999999999,9.45825,0.5420025,0.538227,-0.8234,7.7661,-0.6355125,-0.3646,0.32365,-0.65675,-0.253375,-0.515125,426.1325,-6.213575,-4.16715
1,4.25,2.40152823112499,22.0162,47.5641000000001,0.593600000000002,-0.775500000000002,-0.827925,90,0.49573175,93.0025,0.8998,4.40309999999999,0.526215149999999,0.474857925,-0.802,7.52715,-0.6361875,-0.375925,0.325,-0.68905,-0.257425,-0.5254,425.9575,-6.212125,-4.214375
1,4.75,1.776758554125,16.0501,23.6213849999999,0.6141,-0.749675000000003,-0.90065,90.965,0.412541,93,0.76885,7.93349999999995,0.4453811,0.50073855,-0.8771,7.6968,-0.6547625,-0.3758625,0.323,-0.752800000000001,-0.26115,-0.530125,428.325,-6.165075,-4.29765
1,5.25,2.26432277894999,21.70955,27.5015299999999,0.4625,-0.43985,-0.874575,90.73,0.3938765392,93,0.768099999999998,5.5599,0.45996,0.495647,-0.826,7.65355,-0.6554125,-0.3768,0.314975,-0.8216,-0.26385,-0.5281125,424.2625,-6.2007,-4.3186
1,5.75,2.5804633431,27.4052175,19.2185,0.332575,-0.779450000000002,-0.83785,90.895,0.4020075,92.9025,0.80975,5.8495,0.42117825,0.584416,-0.8753,7.6557,-0.65565,-0.3774125,0.326,-0.8203,-0.2679,-0.5174,425.11,-6.164525,-4.317775
1,6.25,2.209253948,29.528913237,25.643675,0.4255,-0.549250000000004,-0.914925,91.565,0.439148,92.9025,0.78535,6.48730000000001,0.5236127,0.528582599999998,-0.8712,8.58474999999997,-0.656212500000001,-0.377675,0.322275,-0.819375000000001,-0.26755,-0.53485,424.625,-6.076475,-4.341375
1,6.75,2.186957216,22.34171,39.4258249999998,0.391999999999999,-0.84575,-0.8281,91.705,0.427103,93,0.68875,9.51049999999995,0.5193,0.48752,-0.782475,8.2485,-0.65675,-0.3786125,0.31665,-0.825225,-0.26755,-0.542275,430.46,-6.034975,-4.33985
1,7.25,1.693252500625,27.662125,27.6548600000001,0.40835,-1.036875,-0.81575,90.95,0.4869040838,93,0.905,5.116175,0.4809764,0.54975645,-0.7875,8.26,-0.656125000000001,-0.378600000000001,0.3212,-0.805300000000001,-0.266600000000001,-0.540500000000001,423.2825,-6.165625,-4.3565
1,7.75,3.35967999999998,24.922355,32.03091,0.487599999999996,-0.699400000000002,-0.8161,89.8649999999999,0.426856223499999,92.9,0.823,6.836875,0.56373545,0.4866234,-0.73785,8.1935,-0.6574375,-0.378625,0.3115,-0.8285,-0.266,-0.537,423.34,-6.173375,-4.3832
1,8.25,3.1168066275,20.674635196,36.5185299999999,0.446949999999998,-1.21800000000001,-0.8273,90.445,0.444853149375,92.9,0.803125,7.04429999999999,0.5342716,0.4952246,-0.782975000000001,7.9585,-0.658875,-0.380675000000001,0.316599999999999,-0.825300000000001,-0.266300000000001,-0.534700000000001,423.66,-6.06235,-4.438025
1,8.75,2.097154743,21.958393955,45.8641849999998,0.3926,-1.2136,-0.859,90.745,0.4006986928,92.9,0.81525,5.50177499999999,0.44062725,0.4708792,-0.750825,7.929,-0.661175,-0.382950000000001,0.3208,-0.816950000000001,-0.266000000000001,-0.5325,425.36,-6.046175,-4.442875
1,9.25,2.479842115875,24.6214500000001,22.5679771965,0.3712,-1.12315000000001,-0.8728,90.435,0.4593058,92.9,0.677625,6.60344999999999,0.66980075,0.604488,-0.776075000000003,7.7965,-0.66125,-0.384850000000001,0.313599999999999,-0.854100000000001,-0.266700000000001,-0.531,426.74,-6.112125,-4.460525
1,9.75,2.50668887915,17.95625,32.08185200375,0.901049999999999,-1.04765,-0.89265,90.595,0.395837006875,92.9,1.5069,6.6595,3.57093375,1.574311,-0.802200000000001,7.838,-0.657750000000001,-0.3863,0.30975,-0.846950000000001,-0.266050000000001,-0.5325,429.34,-6.0987,-4.4878
1,10.25,2.03,21.617946344,46.3503049999999,4.03464999999999,-1.261325,-0.8873,90.23,0.451118052599999,92.9,3.80355,7.51465,11.4713275,7.1569325,-0.777850000000002,8.419,-0.6549,-0.3881,0.32005,-0.8424,-0.266400000000001,-0.5278,429.32,-6.071225,-4.497125
1,10.75,3.15775597575,18.6506432555,30.8346749157501,9.32625,-1.3828,-0.8515,90.88,0.43493756905,92.9025,7.77345,7.52045,23.167515,18.1969875,-0.819325000000002,8.5065,-0.651475,-0.38885,0.311975,-0.837075,-0.261375,-0.518375,436.85,-6.15875,-4.577675
1,11.25,2.1042165046,22.1842667529999,33.7438862829999,17.47875,-1.6088,-0.8619,90.695,0.485461499999999,93,14.35,4.664,38.34575,30.26543,-0.84785,8.288,-0.648900000000001,-0.3863375,0.312625,-0.83135,-0.2552625,-0.5087,445.98,-6.248925,-4.6181
1,11.75,1.624690257425,25.3669401215,18.00913,37.367,-1.540525,-0.8798,89.6,0.362495,93,25.423,7.3456,56.62854,49.36975,-0.844325000000001,8.258,-0.648062500000001,-0.3843875,0.3169,-0.82805,-0.25285,-0.50045,440.595,-6.252975,-4.5549
1,12.25,1.64556032045,21.75491,29.7928525894998,50.1825,-1.47715,-0.9241,89.7275,0.47804225,93,36.9155,7.21369999999994,70.228475,68.5622,-0.8441,8.982,-0.650899999999999,-0.3826,0.31785,-0.82545,-0.253600000000001,-0.494700000000001,424.28,-6.3048,-4.672975
1,12.75,3.348071435,18.74975,45.0820864425,57.56175,-1.4646,-0.888,89.0375,0.375161125,93,52.955,3.2358,75.36108,84.53175,-0.794225,8.51125000000001,-0.650250000000001,-0.3794375,0.3205,-0.8099,-0.2534,-0.4913,430.22,-6.260025,-4.65375
1,13.25,2.40907085965,27.50426730475,42.3207025,59.842,-1.598875,-0.891350000000001,88.91,0.4262435,93,56.578,5.26904999999999,81.2782,85.98475,-0.771,8.52199999999999,-0.655100000000002,-0.378512500000001,0.31085,-0.800675,-0.262075,-0.489875,454.42,-6.22585,-4.6144
1,13.75,1.6753946088,26.7547227125,34.1715575,61.85225,-1.3726,-0.862000000000002,89.275,0.355471,93,57.716,3.65794999999999,70.64258,82.7219224999999,-0.73305,8.43199999999999,-0.655837500000002,-0.3958375,0.3161,-0.794475000000001,-0.2598,-0.488975,432.9925,-6.416,-4.79565
