DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1_1_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2_1_1,WS,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,SG_1_1_A,SG_2_1_A,CO2
1,0.25,-0.1760573792,-9.0379805108,-83.39478,0,-35.3295,-9.417,25.22025,0.04112,86.885,0,-76.575,0,0.022730955,-9.623,0,-10.7765,-18.1075,-16.3475,-12.996,-13.861625,-14.087625,206.2675
1,0.75,-0.0532711679499999,-7.8616377596,-93.9131636015,0,-35.408,-9.4675,24.632,0.0439695,86.8,0,-75.515,0,0,-9.686,0,-10.75,-17.95,-16.222,-12.756,-13.828,-13.997,204.8275
1,1.25,-0.091692728,-5.83818,-95.780525,0,-35.402,-9.5255,22.354,0.046998,86.8,0,-78.1955,0,0,-9.73,0,-11.078,-18.086,-16.266,-12.86,-14.093,-14.195,204.005
1,1.75,-0.090262035,-4.523647156,-106.43200792,0,-35.352,-9.515,21.702,0.04729,86.9,0,-76.98,0,0,-9.723,0,-11.184,-18.194,-16.272,-12.822,-14.22,-14.267,205.2725
1,2.25,-0.13868691125,-4.54058025,-101.4459652625,0,-35.666,-9.459,21.194,0.04821,86.7075,0,-76.566,0,0,-9.683,0,-11.248,-18.208,-16.26,-12.706,-14.321,-14.224,204.67
1,2.75,-0.3251930375,-8.44965325425,-115.23756031,0,-35.744,-9.543,22.468,0.02937,86.2,0,-77.481,0,0,-9.6635,0,-11.266,-18.244,-16.252,-12.544,-14.367,-14.175,204.5
1,3.25,-0.1032325,-5.753276944,-92.424828779,0,-35.842,-9.552,21.072,0.0386125,86.42,0,-73.516,0,0,-9.638,0,-11.294,-18.22,-16.458,-12.51,-14.37,-14.156,204.375
1,3.75,-0.368519706375,-8.274667908375,-94.16154358125,0,-35.87,-9.5305,21.264,0.032205,86.805,0,-74.962,0,0,-9.6435,0,-11.296,-18.184,-16.584,-12.522,-14.36,-14.168,204.09
1,4.25,-0.514814791,-6.50132211015,-100.3038704275,0,-35.686,-9.533,21.81,0.04438,86.805,0,-76.5625,0,0,-9.634,0,-11.324,-18.136,-16.592,-12.512,-14.342,-14.182,205.885
1,4.75,-0.5702260297,-17.0242652455,-115.435544525,0,-35.588,-9.544,24.962,0.03625,86.9,0,-76.364,0,0,-9.634,0,-11.308,-18.094,-16.596,-12.418,-14.305,-14.193,206.15
1,5.25,-0.09695802425,-4.44350183545,-90.8566326575,0,-35.596,-9.4635,24.676,0.04184,86.805,0,-77.782,0,0,-9.5655,0,-11.26,-18.044,-16.616,-12.346,-14.263,-14.207,208.265
1,5.75,-0.1009425,-13.60926809725,-91.13365872,0,-35.628,-9.4715,23.904,0.04592,86.5075,0,-75.672,0,0,-9.5455,0,-11.234,-18.006,-16.618,-12.294,-14.229,-14.214,205.87
1,6.25,-0.07636,-11.56241327175,-95.05471367,0,-35.576,-9.491,24.012,0.04515,86.61,0,-75.55325,0,0,-9.4985,0,-11.264,-18.024,-16.622,-12.258,-14.201,-14.219,205.87
1,6.75,0,-11.30153,-100.2957219675,0,-35.588,-9.5,22.068,0.03998,86.61,0,-74.4065,0,0,-9.5185,0,-11.254,-18.024,-16.632,-12.22,-14.165,-14.226,205.41
1,7.25,-1.05730243215,-4.5385094358,-86.171263297,0,-35.592,-9.5155,23.312,0.039,86.7,0,-74.028,0,0,-9.4775,0,-11.332,-18.064,-16.626,-12.198,-14.139,-14.27,207.6125
1,7.75,-0.5760496305,-6.442251910625,-103.314109125,0,-35.758,-9.5165,22.392,0.04155,86.7,0,-72.863,0,0,-9.5275,0,-11.316,-18.088,-16.62,-12.186,-14.102,-14.316,203.58
1,8.25,-0.3802619424,-4.7797543372,-101.8201478795,0,-35.822,-9.381,20.696,0.04562,86.6,0,-74.24375,0,0.02566988,-9.504,0,-11.314,-18.152,-16.616,-12.182,-14.128,-14.351,204.395
1,8.75,-0.0638,-4.5128016606,-94.59944,0,-36.114,-9.303,23.08,0.0357125,86.7025,0,-74.215,0,0,-9.4355,0,-11.288,-18.178,-16.61,-12.178,-14.132,-14.381,205.375
1,9.25,-0.073383554575,-3.0931625,-91.13659560625,0,-35.872,-9.274,21.208,0.0385,86.8025,0,-75.29,0,0.0349858,-9.42,0,-11.286,-18.228,-16.622,-12.202,-14.156,-14.404,204.24
1,9.75,-0.002052,-13.55001,-104.08275,0,-35.836,-9.2075,21.368,0.0412775,86.8025,0,-76.17625,0,0.02543268,-9.4655,0,-11.266,-18.242,-16.602,-12.218,-14.151,-14.416,205.225
1,10.25,-0.0972850515,-6.417426,-102.717925,0,-35.916,-9.142,23.32,0.039573,86.9,0,-74.28125,0,0.1224534,-9.45,0,-11.264,-18.272,-16.618,-12.244,-14.168,-14.456,204.885
1,10.75,-0.01421,-4.449932955475,-93.3641,0,-35.94,-9.181,25.238,0.03234,86.9,0.00400000000000002,-73.594,0,0.4151648,-9.483,0,-11.256,-18.28,-16.614,-12.278,-14.17,-14.471,204.99
1,11.25,-0.0384749999999999,-5.527261,-86.310861854,0,-35.728,-9.151,24.298,0.04945,86.8025,0.2926,-73.3725,0,1.310352,-9.4255,0,-11.238,-18.306,-16.606,-12.314,-14.216,-14.369,205.6775
1,11.75,-0.6098954942,-6.51425099295,-105.1109,0,-35.232,-9.2565,23.434,0.047272,86.515,0.9446,-75.456,0,2.773708,-9.4565,0,-11.242,-18.276,-16.588,-12.35,-14.226,-14.321,205.79
1,12.25,-0.271792031825,-9.05125,-85.6006361125,0,-35.28,-9.3455,23.248,0.0297625,86.5225,1.513,-73.792,0.4734321718,4.658804,-9.422,0,-11.278,-18.276,-16.542,-12.402,-14.261,-14.278,204.27
1,12.75,-0.3032803785,-4.6630032086,-93.6981225,0.0513,-35.57,-9.329,24.932,0.0371775,86.6075,1.9156,-73.68325,1.5866899102,5.909056,-9.424,0,-11.288,-18.248,-16.55,-12.464,-14.241,-14.235,202.9875
1,13.25,-0.2543811041,-5.11272325,-78.571684984,0.095225,-35.544,-9.276,23.72175,0.042396,86.61,2.014575,-75.057,1.567722957725,6.14441475,-9.42,0,-11.2465,-18.245,-16.5765,-12.58675,-14.268,-14.240625,204.3225
1,13.75,0,-5.04363955575,-81.22609,0,-35.61325,-9.313,23.6935,0.03588,86.62,1.606425,-75.02,0.19143801355,4.74624725,-9.353,0,-11.2565,-18.15125,-16.57875,-12.6675,-14.26775,-14.326375,204.79
1,14.25,-0.15349266405,-7.72782,-90.239278078,0,-35.61275,-9.29175,24.2945,0.0418375,86.625,1.09195,-75.239,0,2.74691825,-9.23875,0,-11.2665,-18.188,-16.59925,-12.76,-14.3125,-14.421,205.4
1,14.75,-0.0860815496000001,-9.80689729,-81.6258,0,-35.49825,-9.2415,23.16375,0.0454025,86.6125,0.450875,-75.69725,0,1.245709,-9.2845,0,-11.27825,-18.20875,-16.618,-12.8325,-14.3355,-14.388625,205.7
1,15.25,-0.2683392102,-12.099957712,-101.44555,0,-36.0365,-9.332,24.0765,0.05164,86.61,0.0576,-74.883,0,0.3342785,-9.292,0,-11.3225,-17.995,-16.66,-12.7915,-14.2655,-14.3575,205.31
1,15.75,0,-9.371352430825,-77.95296,0,-36.092,-9.364,23.648,0.04156,86.54,0,-76.318,0,0,-9.3195,0,-11.34,-18.056,-16.68,-12.672,-14.219,-14.304,204.61
1,16.25,0,-5.426321502625,-75.78968369825,0,-36.01,-9.343,24.224,0.0405125,86.6175,0,-75.569,0,0,-9.2995,0,-11.4,-18.134,-16.738,-12.634,-14.248,-14.262,204.6
1,16.75,-0.1890170663,-3.4986106021,-92.72935135075,0,-36.074,-9.4005,22.332,0.0446475,86.6175,0,-74.39725,0,0,-9.3165,0,-11.426,-18.164,-16.786,-12.608,-14.273,-14.197,204.4175
1,17.25,-0.070435,-4.0045010006,-96.10716,0,-36.194,-9.4025,24.124,0.039,86.535,0,-74.85925,0,0,-9.283,0,-11.4,-18.19,-16.812,-12.6,-14.262,-14.129,205.7125
1,17.75,-0.05774,-7.37644939125,-90.518395435,0,-35.966,-9.5075,23.74,0.03246,86.515,0,-76.968,0,0,-9.301,0,-11.378,-18.2,-16.858,-12.596,-14.209,-14.064,204.6875
