DOY2,HR2,FC,H,LE,TAU,USTAR,TA,PA,RH,VPD,WS,U_SIGMA,V_SIGMA,W_SIGMA
1,0.25,-0.0312407999999995,-12.775,-2.29574,-0.786300825,0.18385925,-10.8765,97.044825,75.36944,0,1.6728435,0.455833506930928,0.294913479007101,0.269631265395206
1,0.75,2.088928,-60.064155,-6.88122425,-0.78055575,0.1317876,-11.135625,97.03745,78.08385,0,1.060926,0.407230852619543,0.304154926581894,0.181916601161387
1,1.25,3.222462,-24.50744,-3.39141375,-0.5430666,0.1624404,-11.341625,97.0230125,83.59533,0,1.0154344,0.440285387964578,0.369987722483743,0.246898558308034
1,1.75,2.2532035,-28.4919575,-3.31823315,-0.629226875,0.1414863,-11.5732,97.02562,83.80136,0,1.290549,0.447138213583248,0.353098375121074,0.247601210149038
1,2.25,1.83869175,-31.5277375,-20.157408,-0.6592381,0.1326866,-11.8766,97.0397,84.4477975,0,1.189908,0.411896879520314,0.325283687537018,0.215268919026116
1,2.75,1.8657349,-29.67405,-24.30636,-0.782897625,0.13495855,-12.233,97.06652,76.2108375,0,1.14886925,0.411642358512315,0.366057521699232,0.222473834232912
1,3.25,-0.76763025,-28.30835,-11.348168,-0.841072,0.15789525,-12.3202,97.08628,83.303775,0,1.1885475,0.372891754687958,0.273250579818616,0.203848939735597
1,3.75,1.5524265,-39.2328625,1.02555775,-0.628583825,0.18418825,-12.3078,97.08312,82.905175,0,1.2904825,0.462598739065687,0.272638872778388,0.227603082997713
1,4.25,1.5267465,-34.671035,-23.6322575,-0.4943048,0.132926075,-12.3292,97.079,82.08741,0,1.28028775,0.335637559693786,0.263969163161927,0.215393899231773
1,4.75,2.166779625,-34.6010175,-1.710811825,-0.757699,0.106957575,-12.487,97.06644,81.721705,0,1.193262,0.33643180120272,0.287966589527027,0.216612594608588
1,5.25,0.2358304,-24.957745,0.08041375,-0.6720087,0.134057825,-12.579,97.0612,77.24081,0,1.19613775,0.351269951050288,0.319220634259714,0.222874936687017
1,5.75,0.12018375,-38.6573775,-6.91513425,-0.81651935,0.1128405,-12.6722,97.05844,82.03016,0,1.12772225,0.301192160060797,0.286449767285209,0.182784263943249
1,6.25,3.0870795,-28.05068,-8.60671,-0.6783323,0.147126375,-12.72275,97.0765125,75.8797225,0,1.36940875,0.313299607993957,0.317312397685514,0.22880614313723
1,6.75,2.2254935,-22.5512,-5.41918375,-0.6304933,0.12647325,-12.8154,97.10974,83.8892225,0,1.2679725,0.378682230776924,0.317732560348338,0.2193970920157
1,7.25,1.9577925,-28.44846,-2.200455,-0.537059,0.1287143,-12.7674,97.14662,78.08889,0,0.959013025,0.385346610727099,0.281009837054729,0.203061581621258
1,7.75,3.3060525,-41.81346,-4.173255,-0.511653,0.1720628,-12.8674,97.1817,76.8593475,0,0.853959275,0.40158535414849,0.314087761597585,0.260492349090437
1,8.25,3.0405885,-22.056225,-0.8983885,-0.61226225,0.13978825,-12.7488,97.1964175,84.8807,0,0.9103808,0.382226144853722,0.302115332706948,0.250811527788601
1,8.75,3.3032905,-14.15301,-4.172638,-0.771640475,0.114832,-12.6802,97.22818,85.15816,0,1.0949055,0.407304652072935,0.362521953498661,0.244795434698606
1,9.25,3.920695,-3.8040735,-2.94505,-0.79444825,0.170104525,-12.314,97.2264,86.077725,0,1.30778475,0.466091591102598,0.39865206473053,0.240363851561002
1,9.75,4.45251925,5.5758455,4.417796,-0.632373,0.1849094,-11.7878,97.2291,86.56168,0,1.11552075,0.477210493634978,0.454156200404048,0.312025137136434
1,10.25,5.86833,-5.10661975,3.1636535,-0.855391025,0.175202875,-10.99575,97.229975,52.590845,0,1.0734685,0.54502504684446,0.469296461786648,0.366536315958194
1,10.75,7.6607785,6.96951375,5.03319025,-0.822686375,0.216339375,-10.4757,97.2224975,84.35984,0,1.31383675,0.597824878967586,0.567715504394666,0.380051962422039
1,11.25,-2.0842215,18.562985,4.67044,-0.7794965,0.2221602,-9.72154999999998,97.213975,88.198695,0,1.191063,0.551415059765892,0.600619139589044,0.386466091461767
