DOY2,HR2,FC,H,LE,TAU,USTAR,TA,PA,RH,VPD,WS,U_SIGMA,V_SIGMA,W_SIGMA
1,0.25,6.68737,7.25234,5.94629,-0.2091275,0.440777,-0.415999999999968,98.8841,100,0,3.257475,0.987344924532455,0.834695752954333,0.603308790489872
1,0.75,5.84615,-2.92027,4.577175,-0.232325,0.423488,-0.42399999999995,98.85995,100,0,3.07948,0.990945003519368,0.79902220832947,0.542250864452976
1,1.25,6.16263,-1.2701,6.833845,-0.209309,0.40355,-0.425499999999971,98.8478,100,0,3.35051,1.00208541085865,0.792776596040303,0.569043056367442
1,1.75,6.710035,-1.25115,4.45413,-0.221905,0.4183745,-0.356999999999971,98.843,100,0,3.09967,0.972967111468831,0.817551077786312,0.551321140534263
1,2.25,6.84141,5.810385,4.80968,-0.2310805,0.407343,-0.303999999999974,98.855,100,0,3.13567,0.976291964527006,0.801662023548577,0.542968691546759
1,2.75,5.1436,2.66866,4.98943,-0.2386115,0.43319,-0.295999999999935,98.8659,100,0,3.34277,0.960887090141188,0.793794332959623,0.585532990674026
1,3.25,4.757535,1.82737,4.82246,-0.240537,0.412819,-0.262999999999977,98.9114,100,0,3.23332,0.98990244543257,0.815166123638187,0.607402667099841
1,3.75,5.168125,4.599025,5.272235,-0.2502055,0.445165,-0.488999999999976,98.9117,100,0,3.05205,0.991371776882921,0.793277397027863,0.607224011382949
1,4.25,4.92763,5.36276,4.17378,-0.244831,0.43291,-0.551999999999964,98.9391,100,0,2.7811,0.993082570341335,0.797946740077306,0.563024535473167
1,4.75,6.676335,3.430955,4.723885,-0.271062,0.4511385,-0.563999999999965,98.8938,100,0,3.022755,1.00284580810089,0.807129314505015,0.583719042823696
1,5.25,6.75335,4.46205,4.10025,-0.229279,0.4193655,-0.774999999999977,98.8348,100,0,3.101125,1.0187983117379,0.779969871212985,0.538748580329505
