DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,SC,H,SH,LE,SLE,PA,T_SONIC,TAU,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS
1,0.25,409.1322,0.0205400620925333,1.70872,0.389749275254768,0.4849924,-6.778565,-74.82846,-15.24486,-11.7181325,-12.386615,97.01496,-12.7114,-1.173293,0.1025431,0.387714982832152,0.275342517090238,0.18966423275745,1.416367
1,0.75,409.01825,0.0195547095904062,1.6443525,0.270781261143915,1.804518,-3.37820525,-74.58195,-14.53223,-10.092698,-16.1784475,97.01292,-12.7214,-1.370423,0.1278099,0.345448396358321,0.303297089065804,0.170177343742484,1.11394
1,1.25,409.7976,0.0213936094758602,1.63725,0.582983283696239,-2.271678,-12.59321075,-79.54632,-10.5983,-11.10425425,-9.45712375,97.00401,-12.8347,-1.411077,0.1237598,0.419787883566384,0.356374488692861,0.20820207247885,1.234432
1,1.75,408.1363,0.0191102295912838,1.6295015,0.470387868360638,0.4042776,-3.8962575,-70.066375,-18.81644,-9.67729375,-14.67794,97.003125,-12.889875,-1.55490875,0.135604375,0.413372670451439,0.325939428021901,0.204828705721682,1.2427375
1,2.25,409.08,0.0156097827056928,1.62637775,0.456864919878836,1.29408725,-2.55284175,-76.35344,-16.07365,-15.3340775,-11.7231725,97.082875,-12.84,-1.231865,0.132483125,0.439796697009751,0.358026832483742,0.214445358463807,1.22866375
1,2.75,408.97625,0.0174857505054238,1.601368,0.52152702321081,0.2079071,-2.39237425,-66.05832,-11.985437,-26.814865,-8.370977,97.10747,-12.8898,-1.641276,0.1224012,0.393044287257293,0.35344128109371,0.192377574909686,1.482277
1,3.25,409.1682,0.0165249750439577,1.59210975,0.494159883065543,-3.72912375,-2.69631,-59.4506925,-11.07496,-14.6194975,-6.97698125,97.13272,-13.1361,-1.279953,0.1197459,0.394180037954952,0.252413202192303,0.199364731549373,1.243374
1,3.75,409.4188,0.0187132515835442,1.581542,0.491235631095805,0.61496045,-8.94266925,-72.7648925,-12.33235,-14.4617575,-6.517041,97.14372,-13.5519,-1.05625,0.090744925,0.390656421053089,0.255326180923856,0.192092950554033,1.5568105
1,4.25,410.720125,0.0173493515728975,1.592797,0.417385532925998,0.7403914,-8.5643975,-76.8834575,-15.571106,-19.21386,-5.590454,97.14863,-14.3644,-1.099169,0.1079324,0.405127475941121,0.244023707646764,0.163315619097749,1.274089
1,4.75,410.95735,0.0199119323486531,1.5886575,0.452444540811118,-0.533012,-11.355195,-60.933945,-9.489158,-12.73876,-6.872272,97.1645475,-14.878,-0.87035445,0.0926765825,0.325959097033343,0.280045264920311,0.155074548832129,1.188594
1,5.25,410.862625,0.0210707139475591,1.554347,0.460335633421118,0.309718175,-20.867595,-48.99943,-11.3298685,-13.28292,-16.6695625,97.181455,-15.2532,-1.141221925,0.0750525,0.290855870861244,0.289485119071082,0.113913610037041,1.47546675
1,5.75,410.7038,0.025136053081661,1.53438125,0.442708282462047,0.0872483499999999,-1.3487815,-41.99518,-10.887935,-7.63015,-5.821742,97.1775475,-15.400025,-1.161403,0.090666825,0.289742244616656,0.253090214831641,0.168496361100745,1.2036495
1,6.25,412.3504,0.0293428015022407,1.47056425,0.484888163496287,0.572507000000001,-6.506168,-37.067855,-12.803345,-17.1932425,-9.80909925,97.17626,-15.4268,-0.91901495,0.09066724,0.312833495889823,0.311755809064403,0.185103946460825,0.910313
1,6.75,410.0466,0.0349342585385848,1.480014,0.473320830871315,1.053951325,-9.216996,-47.5876875,-14.10124,-11.97388,-9.157855,97.1909875,-15.24115,-0.996149375,0.10593575,0.328331917552909,0.309212952594213,0.198419317917913,0.6834922
1,7.25,409.9227,0.0273089666463742,1.45094,0.499174726614678,1.95808,-21.2354,-41.451795,-16.7011425,-11.8713675,-7.712105,97.2366425,-15.19645,-1.0097105,0.11830075,0.376224307806202,0.279935602219164,0.194394824702752,0.862704225
1,7.75,411.83675,0.0366060104354463,1.45788275,0.508866828109448,2.3363588,-4.22616225,-35.66988,-12.9334765,-9.102579,-7.857392,97.2670375,-15.3158,-1.13188325,0.12430165,0.414367425152163,0.330266120814526,0.202675862301487,0.737083025
1,8.25,411.593425,0.0313368792319848,1.4570575,0.571599118716406,2.31652,-4.1759115,-41.0848,-12.2534905,-9.13261025,-6.2585625,97.273525,-15.3033,-1.0641484,0.09987265,0.366019749728769,0.296296933885516,0.213599764830211,0.8922224
1,8.75,411.5254,0.0337638860322683,1.43678025,0.561912373261915,-1.0412313,-5.35561,-20.5286775,-18.7355625,-11.51598,-8.0092475,97.32355,-15.15275,-1.10803025,0.1045915,0.398125736541482,0.360654460843834,0.232263072972811,0.73407235
1,9.25,410.9099,0.0260669400091729,1.4378275,0.674013007835543,2.42884175,-9.15717,-14.62455,-14.3664155,-8.93148125,-17.271335,97.289365,-14.95965,-1.2471775,0.18320215,0.431818500275531,0.427338769424553,0.261355264603952,0.98237675
1,9.75,410.64475,0.0319374388453411,1.44410375,0.657483454051439,4.52264125,-9.07613,-3.924118,-10.629369,-8.06391875,-6.77775375,97.2438125,-14.678925,-1.30362775,0.1994229,0.479074491703326,0.494503152878143,0.308464167292036,1.09082775
1,10.25,409.801,0.0333865402088196,1.447476,0.846685066242426,5.8690275,-5.71400625,-23.74264,-13.5277245,-7.08526025,-7.75532375,97.2471575,-14.295825,-1.266536,0.1881475,0.497923941533923,0.471783399802584,0.359914047477716,0.9873235
1,10.75,409.020125,0.0351028670438921,1.45932925,0.72800023897828,-10.693954,-11.4082,-2.7796032,-5.575869,-7.03551625,-12.11256,97.24763,-14.0305,-1.1261855,0.187066525,0.522930796303859,0.559010944055787,0.36575808121161,1.0771285
1,11.25,410.0998,0.0339335716709036,1.49503225,0.774237921512968,3.313336,-3.3242495,-11.6935,-8.5060285,-8.019695,-9.3935635,97.2292,-13.5916,-1.527105,0.2188042,0.5371974205948,0.590324777646773,0.382983133365168,1.090251
1,11.75,410.103,0.0430116263352131,1.5224515,0.960850102039363,2.203114,-3.60251,-3.041437875,-14.2634675,-1.5221456,-8.6131995,97.20036,-13.403,-1.324838,0.1742194,0.614582183607307,0.549740969111249,0.406685191934229,1.2496
1,12.25,410.33225,0.0407481090177319,1.5906775,0.892288711871184,3.75081875,-4.496484,0.05757925,-13.79796475,2.4272925,-22.076315,97.1586275,-12.90345,-1.607481,0.1909625,0.65542540075305,0.521268622354769,0.416521459103239,1.04469275
1,12.75,409.46,0.0279922600300936,1.6711135,0.858286936373424,7.254008,-2.1965555,19.282025,-7.619236,3.39635275,-12.48795,97.117885,-12.53405,-1.5428055,0.24509285,0.618394815227308,0.586749024988037,0.377148532846855,1.4651595
1,13.25,408.048675,0.026338638643235,1.73682275,0.795067475309769,8.07412375,-2.452696,17.971795,-6.506089,0.92358875,-7.015381,97.09013,-12.36645,-1.48222,0.2092816,0.65621399947062,0.563244256094377,0.408684267419459,1.638213
1,13.75,408.354925,0.0350924861874662,1.772716,0.884689764391967,4.03816025,-1.8163885,15.9911525,-13.439345,-1.6097885,-8.136834,97.0622475,-11.937325,-1.295341,0.26149885,0.767468580584428,0.595240567436731,0.373053803525069,1.349509
1,14.25,407.92275,0.0305245866644879,1.78021125,0.945060665733849,7.48974175,-3.99629875,13.725492,-21.48326,-0.65554155,-20.23579,96.97485,-11.5469,-1.080622,0.2663625,0.696274333632975,0.624688849199139,0.441330143045029,1.170471
1,14.75,410.3215,0.0357126239563897,1.7423575,0.926541735738876,1.9988758,-9.53104125,-4.10982625,-9.759319,1.312635,-10.16818,97.0790425,-11.271025,-1.307352,0.2172126,0.690438028868209,0.491945846689222,0.399587063587702,1.51173
1,15.25,410.13875,0.0429068459853854,1.769285,0.942647044408779,2.967397,-3.93573725,10.80607375,-17.94901,-2.15519625,-16.9741,97.12316,-10.89145,-1.307026,0.1598788,0.513329988237935,0.52219426322085,0.388229139809459,1.1964385
