DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,SC,H,SH,LE,SLE,PA,T_SONIC,TAU,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,LW_IN,LW_OUT,SW_IN,SW_OUT,NETRAD
1,0.25,421.704,0.116151405771984,4.84009,1.79931097923622,5.99139,1.08427,-0.209666,0.934882,10.127,1.621055,99.1572,6.197,-0.0706794249999999,0.5441885,1.1988285667063,0.978497262751965,0.72116870643223,5.0322975,296.20925,345.8215,-2.748335,1.389885,-67.1781
1,0.75,422.50725,0.111187569834365,4.8590625,1.70241005636128,5.0110475,1.087285,0.503439375,0.45892975,9.24124,1.7072275,99.13295,6.08025000000001,-0.083383725,0.5532395,1.29598185456896,1.03288783391482,0.710426075147346,5.0383375,316.53,344.23,-2.63657,1.4369,-61.362
1,1.25,422.22125,0.093845625436514,4.86547,1.99911956481444,4.9191325,0.71450775,0.3359115,1.05334,10.91275,1.40114,99.111275,5.97850000000003,-0.068733275,0.54973425,1.30304159775814,0.989951821428104,0.714059999930116,5.05465,295.65075,342.04,-1.3189425,1.4925925,-35.716175
1,1.75,422.7935,0.106463091540596,4.86133,1.92918117345158,5.5530475,0.958217,0.259412825,1.44073,11.1035,1.3373225,99.10735,5.95650000000006,-0.09357295,0.5596735,1.27677885450821,0.994798626612955,0.702266238002546,5.02973,297.26,340.047,-1.38783,1.547,-43.602
1,2.25,422.4555,0.106868898416942,4.879145,1.93388823372036,6.1519875,1.14402,-1.00215125,0.8837225,11.2194,1.65208,99.095325,5.69975000000004,-0.0843649,0.57403175,1.25688323617643,0.985699323430987,0.710449025117615,5.055415,300.285,349.5635,-1.187865,1.346735,-34.7425
1,2.75,422.891,0.148415356770112,4.83451,1.65764893750154,6.1777075,1.3658025,0.681233,1.378675,8.93921,2.11584,99.0964,5.54400000000001,-0.077194,0.556204,1.29868464094977,1.00576563823569,0.685627939516029,5.103115,318.6805,352.09475,-1.3519525,0.88267475,-36.2439
1,3.25,423.25025,0.102549888827659,4.88342,2.28863699984559,5.50855,0.906413,1.3576425,2.30294,10.8538,1.3863875,99.12855,5.60600000000002,-0.0655221,0.539942,1.27322586900626,0.989831563034855,0.688148374947406,5.113645,300.587,346.483,-1.67287,1.031,-48.3543
1,3.75,422.894,0.112288913076937,4.8219,1.91122997046405,6.94214,1.083295,-0.06119065,1.0189625,10.8282,1.307295,99.15145,5.32525000000004,-0.08920725,0.5706565,1.28243033189167,1.02191067953494,0.699470727941052,4.969025,317.277,348.023,-1.21807,1.25687,-17.5287
1,4.25,423.7265,0.0891677071590382,4.7623175,2.08532529536005,6.9069725,0.886109,1.8114,1.5967925,8.06645,1.79813,99.157025,5.03900000000003,-0.05822745,0.53285625,1.25958548816061,1.00793103530098,0.687184269588401,5.1112375,312.026,346.917,-0.94519225,1.0328225,-20.7067
1,4.75,424.14375,0.141217886430035,4.7613,1.98129472254826,7.50497,1.3057325,1.381069,1.4751275,9.15542,1.8430025,99.15705,5.13100000000003,-0.0633933,0.530217,1.19308533694014,0.976312589457585,0.675884521791945,4.98639,302.24275,341.446,-1.0467075,1.190095,-23.112775
