DOY2,HR2,FC,H,LE,USTAR,TA,PA,RH,VPD,WS,U_SIGMA,V_SIGMA,W_SIGMA
1,0.25,10.404795,23.89147,32.663355,0.4560216,7.65060000000002,99.8983175,100,1.381484425,5.840862,1.48653539824715,1.4799189166978,0.608102466974279
1,0.75,1.5086885,22.7076125,54.065285,0.4736075,7.10665000000004,99.904765,100,8.9373075,5.968599,1.39795922687323,1.12444468701526,0.628604201241538
1,1.25,1.502264,4.7619675,38.83718,0.4793661,7.15570000000003,99.90887,100,1.250352,6.295979,1.64402064572637,1.11815920154511,0.671069492756789
1,1.75,2.9161845,26.3841524999999,55.35252,0.487255125,7.35370000000002,99.89205,100,4.6015975,7.14729375,1.57907884540323,1.24222889660193,0.711422503335092
1,2.25,1.748074,8.21446249999999,39.628265,0.55347445,7.1628,99.90323,100,2.1527775,7.5064845,1.62756699774385,1.25765721067893,0.685350087762627
1,2.75,1.744614,12.192135,39.62544,0.5121543,13.7527,99.93198,100,3.30128,7.3035925,1.55437296915562,1.13803299348307,0.650127737676663
1,3.25,1.79487675,12.9367325,36.03561,0.50283675,13.5273,99.93086,100,6.306867,6.935095,1.49632739728794,1.16914214018896,0.631522837694779
1,3.75,3.30749474999999,24.6332880000002,44.0849124999999,0.4874998,13.5832,99.92263,100,2.692939,7.2907045,1.447475847928,1.18253516188035,0.668853247636015
1,4.25,1.72907275,42.29525,57.943415,0.49396475,13.4441,99.92557,100,0,7.07396275,1.4157481960212,1.04721676448471,0.643033160504925
1,4.75,1.50632375,37.0355,53.28165,0.4820357,12.91075,99.9378125,100,5.113134,7.029454,1.41126540668694,1.19649090382073,0.654610517969623
1,5.25,1.70366875,42.3073699999999,43.37031,0.470688175,12.62475,99.9095,100,0,6.83255125,1.44057251752782,1.20262402733651,0.612881131897083
1,5.75,1.653702,38.5223575,45.492415,0.503558525,12.2711,99.90184,100,5.71956800000001,7.09402025,1.41294113186193,1.44053705557958,0.649194193145338
1,6.25,1.508575,12.1808125,46.31106,0.48172375,11.718,99.94662,100,0.089990175,6.46509125,1.41829827610415,1.35828724608086,0.559062251491199
1,6.75,1.74212,18.23377,43.543235,0.511812625,11.409625,99.9585625,100,2.882642975,7.71928,1.37129235288156,1.45648330321358,0.638430324802453
1,7.25,1.928789,10.893567,44.44235,0.475666125,11.2674,99.98151,100,3.3009873225,7.36788625,1.43913168264756,1.53022651081479,0.610009291202612
1,7.75,2.920448,17.826845,36.10575,0.486805,10.350775,100.0142725,100,0.0878877,7.520294,1.52581925155378,1.12376216846136,0.639122468223513
1,8.25,1.28325625,19.9480875,43.9615175,0.4705058,9.90435,100.03121,100,2.530864,6.76182,1.62444071580189,1.28995447730346,0.708678934547245
1,8.75,1.003957,29.0180625,50.60663,0.4996118,9.79485000000001,100.05696,100,2.85220535,6.764711,2.07613990759337,1.497005986317,0.643750956810788
1,9.25,0.756307625,64.38624,50.374855,0.523346,9.57070000000002,100.04786,100,4.6029115,6.25982,1.33127592490669,1.454293011186,0.7080699118025
1,9.75,0.411976125,89.77932,51.43792,0.456654,8.12332500000001,100.046765,100,3.8891365,6.08721,1.32323676267186,1.30582833838418,0.75601984100948
1,10.25,0.201770375,121.630375,74.597845,0.5079856,8.46675000000002,100.04775,100,4.4951895,6.222424,1.4112389011157,1.2177644881826,0.723831623340354
1,10.75,0.61749125,154.1456,81.06825,0.4943553,10.219,100.0556375,100,3.782874,6.371753,1.35925844007774,1.20212570327949,0.715204210088976
1,11.25,0.3666324,178.78175,93.207305,0.474727375,9.74695000000004,100.04746,100,2.88961725,7.03530125,1.32632470272755,1.36121303156523,0.690443078261582
1,11.75,1.050628325,177.914,120.755325,0.5269125,10.2244,100.03414,100,4.78671,6.62185725,1.66733207611642,1.53337088447736,0.670579001783211
1,12.25,0.51171325,180.4682,119.49175,0.59223055,10.704325,100.0026475,100,3.6104875,6.68028475,1.52567180256869,1.56963611854132,0.712647090402005
1,12.75,0.53117975,176.266,146.30185,0.5430135,11.4908,99.98082,100,6.18521424999999,7.36230175,1.54116233866567,1.42750271682069,0.644650347147505
1,13.25,0.3334778,208.282,156.06235,0.566528525,11.706375,99.90774,100,6.02179200000002,7.86838375,1.69917396753724,1.6041099173512,0.68883387467504
1,13.75,0.9820405,164.264525,163.793375,0.6038426,10.347725,99.8804425,100,5.185363,7.077438,2.06586200368714,1.49196067117456,0.672713389257058
1,14.25,0.7635676,191.5,150.30275,0.575950875,10.24975,99.84335,100,5.18600699999999,7.67228625,1.5426699843982,1.41546185125683,0.652055505363447
1,14.75,0.667330049999999,143.01005,151.46475,0.510911075,10.47125,99.85225,100,5.88537275,7.143023,1.64170211312947,1.29607379143194,0.665264123042757
1,15.25,0.6272533,147.285775,109.704,0.54049735,10.313425,99.86737,100,5.06357,7.36652075,1.6368000719153,1.59303482641467,0.686975536564818
1,15.75,0.800835,107.587,80.144055,0.51894195,9.40682500000001,99.82057,100,3.916101,6.69457475,1.57306410724186,1.51590040922844,0.6040866726858
1,16.25,1.4442715,66.95357,92.1030875,0.48966575,9.19130000000005,99.78318,100,4.1659,6.5197825,1.5734212877704,1.31385217066452,0.60833080863129
1,16.75,1.4753265,44.93198,89.8098625,0.54522135,8.89087500000003,99.7965575,100,4.028656,6.417196,1.55649741432069,1.25146046375565,0.615221251781642
1,17.25,1.475651,26.4157449999999,70.94691,0.493749,8.55187500000001,99.811435,100,2.1091425,6.075009,1.46828407992073,1.23970850340565,0.589320994850159
1,17.75,1.52668,12.17246,54.79433,0.50560795,8.25495000000003,99.820105,100,4.179908,6.0213335,1.54950548857227,1.32585530226994,0.673103219906868
1,18.25,1.565969,14.476725,46.709185,0.5146771,8.07127500000005,99.830385,100,4.09782675,6.619022,1.63991611856608,1.14781096004525,0.636030368405221
1,18.75,1.775696,3.19433100000001,59.3531875,0.494377625,7.906825,99.8428075,100,3.98873,6.66359,1.81290014445341,1.35427851090951,0.617897847557034
1,19.25,2.1890525,23.26884,71.0409474999999,0.5217465,7.66660000000001,99.84862,100,3.3581264,8.14571,1.78868652273692,1.40051062116644,0.652612592115704
1,19.75,1.444206,10.77508775,57.5648375,0.520059375,7.25800000000005,99.853675,100,4.8016055,7.15228,1.59469307804347,1.27764830948313,0.681691109882611
1,20.25,5.44833749999998,26.588925,43.0118875,0.51605025,7.21340000000001,99.86146,100,3.52047065,6.67750875,1.49548276994461,1.23760665212419,0.632419942462111
1,20.75,1.835375,29.85245,63.51829,0.51899195,8.13725000000001,99.839125,100,7.47404499999999,6.8023395,1.46756084456798,1.54123644370323,0.654980775136909
1,21.25,5.39204874999998,27.82095,67.82336,0.52718195,7.23070000000003,99.819915,100,1.6283216,7.27811525,1.47287476994681,1.38344613567171,0.708669287804358
1,21.75,1.660175,31.5138549999999,72.15662,0.53857075,7.20867500000003,99.833055,100,6.2416055,7.78713125,1.63401958372597,1.41150982993389,0.690660387510603
1,22.25,2.2879845,18.545145,44.846225,0.4897581,6.70519999999999,99.84634,100,4.15155625,6.721999,1.8000694431049,1.53162193559529,0.592988604498946
1,22.75,2.0746835,17.874605,43.29876,0.545821,6.9123,99.8629575,100,2.80804969166667,7.30942,1.67675877811926,1.49621856692129,0.647237205358283
1,23.25,1.7371015,18.482275,42.257295,0.503817,6.43477500000001,99.883225,100,1.46454313333333,6.34592,1.56100176887538,1.28080337991235,0.684443710935732
1,23.75,2.881013,13.922876,37.96395,0.4554165,7.89045000000003,99.88665,100,0.121036575,6.32873625,1.49233977598852,1.15651636371657,0.59176793356377
2,0.25,2.84122,17.45518125,43.55294,0.576585225,12.3503000000001,99.71173,100,2.139962,7.44268875,1.58724113879125,1.18831765141473,0.653637355152517
2,0.75,1.8564185,21.7547325,42.87366,0.6006745,12.235225,99.702295,100,2.13447575,6.57061,1.59642140702834,1.28591467223193,0.689298931572261
2,1.25,2.128699,26.3095049999999,49.391825,0.5737158,11.9422,99.6959775,100,1.72869555,6.784302,1.50275067073583,1.41357302456474,0.646202159957786
2,1.75,2.053012,24.040255,43.584225,0.4856008,11.7281,99.68923,100,2.027504,5.90931775,1.53812829383343,1.00592087166671,0.586118918308937
2,2.25,2.07010875,23.06007,38.79982,0.4524524,11.41805,99.67345,100,1.1530299,5.738302,1.29271254530808,1.01872987128946,0.543741736759089
2,2.75,1.730471,15.7739079999999,54.240255,0.53544645,11.42575,99.719555,100,0.582787725,5.9384565,1.42911429171051,1.14577257777308,0.632805753902592
2,3.25,1.246354,9.2859775,55.4799125,0.5443106,10.11965,99.70392,100,0.3420239,5.7238535,1.49196475255255,1.19595086754321,0.62868758251823
2,3.75,1.57357175,24.664075,47.20769,0.508820125,9.44745000000004,99.69701,100,0.184068,5.39852125,1.50823474661138,1.13051638111992,0.581575980566165
2,4.25,1.372322,8.7105085,37.84112,0.541073075,8.64530000000002,99.689835,100,2.85565375,6.02108175,1.57491318085106,1.39429950116624,0.651182053437697
2,4.75,1.3956535,24.1751125,63.35982,0.567793525,6.963175,99.7096825,100,2.504298,6.36181775,1.40240883170785,1.12799416569444,0.638979484815309
2,5.25,1.50335575,17.9390325,34.69838,0.44045195,7.11412500000002,99.7506275,100,1.70793135,5.6296665,1.43457851326858,1.18105764916823,0.507119530815395
2,5.75,8.47432299999999,17.57795,70.8510875,0.52641665,5.48835000000003,99.7585725,100,2.5503017,6.192038,1.46773448207218,1.00994268733824,0.565373840601799
2,6.25,1.54902525,16.38968,53.9932875,0.507442375,5.56800000000004,99.7796,100,3.881301,6.31611625,1.36404043687338,1.08400196153973,0.586004708589318
2,6.75,2.147751,21.138055,47.146595,0.4773016,5.66200000000003,99.797,100,3.0486635,5.845386,1.28154471727847,1.01378301209317,0.54920174010505
2,7.25,1.768203,21.003,43.985805,0.4734674,5.85157500000002,99.81567,100,2.633995,5.795649,1.19828554513335,1.15528660635478,0.559817452299721
2,7.75,2.1143945,18.03345,43.997305,0.492255,5.96200000000005,99.845,100,2.2265485,5.866948,1.2553867625021,1.0122031641841,0.598070352470614
2,8.25,1.590035,21.2675,49.784345,0.4857218,6.13680000000001,99.877585,100,3.419232,6.217453,1.33485098883068,1.06197493994052,0.604988776066774
2,8.75,1.50906775,51.44294,71.7380925,0.5543935,6.868725,99.908865,100,0.820363325,6.72390425,1.48184130883529,1.28555421781168,0.611920301237594
2,9.25,1.0216656,71.81664,80.8862125,0.5475577,8.4545,99.9533625,100,3.07916049999999,7.0666965,1.55004047040086,1.05100309507218,0.617378259635298
2,9.75,0.748068,102.709855,89.6513125,0.571584,9.71250000000001,99.95519,100,2.928594,7.15007,1.44408802592587,1.17673395370113,0.659107968111489
2,10.25,0.9748294,106.3405675,112.015475,0.589150775,10.6785,99.94966,100,2.50402125,7.226808,1.48316688427865,1.25670282734665,0.676356402425929
2,10.75,0.6706335,116.2231,127.8315,0.56573435,12.0309,99.97646,100,7.309157,7.464355,1.62271740584758,1.29107004271948,0.622732072856044
2,11.25,0.6677805,153.541375,148.21075,0.55346995,13.3090000000001,99.9818,100,5.75477825,7.629884,1.5610131705301,1.35362414560056,0.633439917895056
2,11.75,0.8793739,150.651,174.676575,0.55252745,13.0857500000001,100.005175,100,4.17371125,7.2666845,1.4775729951278,1.33540600879925,0.646558734258714
2,12.25,0.6791042,185.05565,173.5739,0.5068691,12.849675,100.0070875,100,4.170615,6.989859,1.44281769056447,1.38603496496424,0.618067108206709
2,12.75,1.1112375,151.9387,184.7685,0.5286577,14.23075,99.9911,100,5.390525,7.224084,1.43791959555689,1.27862448023677,0.598020237580315
2,13.25,1.0065472,155.5857,200.388325,0.561019375,14.7066,99.96236,100,6.32501325,7.3846525,1.43875735334658,1.25648622729883,0.648442805694576
2,13.75,1.25873,174.96515,200.01525,0.569197875,15.9138,99.91624,100,7.277522,7.11023625,1.45100068585628,1.24700099885262,0.601606291929112
2,14.25,0.8492234,151.374125,207.981875,0.53141765,17.25715,99.8879925,100,7.369225,7.064991,1.42923594983941,1.28362666178739,0.638264575616253
2,14.75,2.17604275,160.36525,243.373,0.5451866,17.3524,99.86932,100,7.75263875,7.053836,1.46576799539167,1.26480465258109,0.688874242724987
2,15.25,1.773173,132.701,203.2818,0.53526925,17.2784,99.8087,100,7.50902125,7.05012625,1.43016122599765,1.27849404617867,0.604951203011455
2,15.75,2.169332,97.2188,199.0347,0.489682875,17.3754,99.811015,100,8.1000975,6.53742875,1.30787218034461,1.19097883740816,0.602523026507347
2,16.25,1.782063,104.11595,164.207,0.4971431,17.66455,99.80749,100,8.6676985,6.233485,1.28677743548819,1.10211409550532,0.552115934362358
2,16.75,1.755416,40.14577,130.77245,0.4677464,17.0312,99.7833,100,7.4872275,6.185703,1.30279678684042,1.00389656185721,0.537127704167901
2,17.25,1.9445175,46.19478,90.68886,0.517570225,15.821,99.78112,100,6.04862625,6.18017575,1.42264946208339,1.22092969836835,0.551132281624166
2,17.75,2.084804,25.033355,77.4116175,0.413042325,14.7856,99.750075,100,4.909883,5.460311,1.19574405354245,0.904802927541598,0.49777094473287
2,18.25,1.81691,4.18343700000001,48.27003,0.3767388,13.5288,99.749675,100,3.592437,5.093482,1.29806009105896,0.956058050109042,0.537167220430466
2,18.75,2.5196215,5.19307650000001,65.0534625,0.370006575,12.3214,99.763595,100,4.65292999999999,5.250253,1.20697872150531,1.02262515679365,0.475767897827523
2,19.25,1.6252825,-3.4774955,52.1772375,0.3713837,12.1678,99.761855,100,4.76233399999999,5.060985,1.13357083783761,0.819510954721892,0.46289524025025
2,19.75,2.2362435,-0.1969025,58.1365475,0.3905721,12.3449,99.753345,100,4.502215,5.52588375,1.19879796100091,1.03770479591982,0.490790245938739
2,20.25,2.3300555,9.0883,63.29531,0.472437475,12.1838500000001,99.72486,100,4.48563149999999,6.63178825,1.55670556048575,1.02940855988057,0.546141550793573
2,20.75,1.844146,5.29572424999998,62.76476,0.4684637,12.33115,99.72199,100,4.63247,6.7458355,1.4715032437475,1.06828277959835,0.593567536368983
2,21.25,2.927535,5.36961574999998,65.23151,0.51827075,12.836875,99.71115,100,4.30749499999999,7.322668,1.51265087900935,1.11124946936567,0.626121876569672
2,21.75,3.22825325,4.97190999999999,66.062215,0.5079759,12.8066,99.72085,100,4.37723,7.40102,1.43916185560542,1.18689564120838,0.602790197821477
2,22.25,2.83190925,23.33075,53.66204,0.558694875,13.1697,99.7169,100,3.32535075,7.84398875,1.51600566540732,1.13175395536542,0.648824030028206
2,22.75,2.43526,19.439925,52.193965,0.54046815,12.4646,99.72241,100,2.9555755,7.024842,1.5433465928375,1.16870701632948,0.676441388850637
2,23.25,2.643155,9.79317400000001,43.1287275,0.5559331,12.667875,99.7160575,100,2.858076,7.15647575,1.48332456153949,1.31517799526783,0.637182375357546
2,23.75,2.658146,12.75324,40.3288875,0.572151675,12.595,99.71389,100,2.330224,7.627152,1.5418028590619,1.25199774209863,0.675873148467032
3,0.25,2.206116,15.799725,74.004335,0.561236,17.4466,99.5464,100,6.458972,8.50023,1.70945389023061,1.33372581239332,0.671968005190723
3,0.75,2.00636875,12.5405675,70.632275,0.52316405,17.18925,99.5494,100,5.4344785,6.758449,1.72951399652319,1.40847400264791,0.66336838996007
3,1.25,9.36775100000001,15.7249375,93.0171,0.630236599999999,15.98785,99.58201,100,4.25143000000002,7.2334295,1.70407717532746,1.25301144704792,0.698159681470205
3,1.75,3.152995,7.8512375,78.72652,0.600924149999999,16.492225,99.5733575,100,9.22120449999999,6.99242099999999,2.14774307498463,1.52369664956163,0.751523007524798
3,2.25,4.5536,11.317555,80.7145225,0.5920738,16.5992,99.60606,100,6.47972074999999,7.902456,1.78793304930123,1.4299197722478,0.678156607572308
