DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,LW_OUT_1_1_1,LW_IN_1_1_1,NETRAD_1_1_1,SW_OUT_1_1_1,SW_IN_1_1_1,TA_1_1_1,RH_1_1_1,WS_1_1_1,G_1_1_1,G_1_2_1,G_2_1_1,G_2_2_1,PA_1_1_1,PA_2_1_1,PPFD_IN_1_1_1,PPFD_IN_2_1_1,PPFD_OUT_10_1_1,PPFD_OUT_11_1_1,PPFD_OUT_12_1_1,PPFD_OUT_1_1_1,PPFD_OUT_2_1_1,PPFD_OUT_3_1_1,PPFD_OUT_4_1_1,PPFD_OUT_5_1_1,PPFD_OUT_6_1_1,PPFD_OUT_7_1_1,PPFD_OUT_8_1_1,PPFD_OUT_9_1_1,TS_1,TS_2
1,0.25,-0.30834875,-51.26396,-5.077754,-0.2595681,0.595696825,0.035099335,-4.09676925,347.753125,2.21351425,0.202445,0.182243275,0.04662939,0.1040901,280.3669975,210.6133725,-85.63807225,0.2647097375,-3.014589325,-4.48596149916667,22.0196062416667,0.69125,-20.125493,-12.295362,-31.2207913352748,-15.699293,85.3051256166666,85.4357916666667,-0.28111874925,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1.61161111111111,3.87783333333333
1,0.75,-0.299174625,-52.59935,-4.8254845,-0.2439175,0.443338275,0.0338364225,-4.2626265,347.70565,2.17376,0.19248765,0.16718095,0.0508901325,0.0879032025,279.4589,208.5862075,-85.9087025,0.1166471625,-2.673833225,-5.065824875,23.0323046166666,0.384125,-20.299774,-12.506108,-31.549076,-15.9976,85.277694,85.44825,-0.285856915833333,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1.54919444444445,3.86308333333334
1,1.25,-0.32140165,-48.56245,-4.8805425,-0.3763331,0.46392125,0.027981815,-4.9590735,347.4072,2.220372,0.18918385,0.172461175,0.0466462625,0.07926324,278.738355,208.424995,-85.28773775,0.2423953275,-2.760889425,-5.1385411975,23.2472220833334,0.433875,-20.401148,-12.788961,-32.3785461883772,-16.199039,85.2677267083334,85.4467083333333,-0.287442852083333,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1.32577777777778,3.84479166666666
1,1.75,-0.249683225,-53.50865,-6.5826995,-0.236035775,0.450579675,0.032264035,-4.99228375,347.7059,2.19869875,0.172839,0.165095975,0.044540055,0.09052938,278.42762,208.0851125,-85.498813,0.2678540125,-2.6854428,-5.41940288333333,22.7294910916666,0.37325,-20.756387,-12.983327,-32.9659498819322,-16.723699,85.3022304583333,85.46325,-0.273164152833333,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1.14830555555556,3.84016666666667
1,2.25,-0.24270525,-50.87675,-3.6662545,-0.3303503,0.3943036,0.028194145,-5.6011325,347.7145,2.19747175,0.16814055,0.154991925,0.0451423075,0.1086756,277.0959925,208.01082,-84.69600175,0.4334039675,-2.71573685,-5.48639444,22.8010963333334,0.445,-20.990981,-13.08349,-33.3303571620861,-17.012166,85.30016485,85.4499166666667,-0.2734428845,1,1,1,1,1.2,1,1,1,1,1,1,1,1,0.982999999999998,3.8315
1,2.75,-0.248717875,-49.33351,-4.472991,-0.3128904,0.450045725,0.0293584875,-5.08567525,347.3311,2.2573815,0.17696475,0.16468065,0.0472002025,0.09742742,273.4411825,207.5517775,-83.5262535,0.2277224225,-3.343225375,-5.3170649225,23.0611159583333,0.2465,-21.1445,-13.177611,-33.445138,-17.238799,85.2844652666667,85.4457916666667,-0.273213101833333,1,1,1,1,1.2,1,1,1,1,1,1,1,1,0.803083333333332,3.81116666666667
1,3.25,-0.245561475,-55.27808,-4.55925,-0.232558975,0.62241305,0.0313263825,-5.733338,347.817125,2.260819,0.19088415,0.1497603,0.04311522,0.106678425,272.4224375,209.0240125,-83.18048225,0.2574383125,-2.977243,-5.76441512583334,22.9732100833333,0.293,-21.162263,-13.390409,-33.1720603477041,-17.580695,85.2572242916667,85.453125,-0.256014275666667,1,1,1,1,1.2,1,1,1,1,1,1,1,1,0.625833333333334,3.81395833333333
1,3.75,-0.247133575,-53.8149,-3.81063,-0.2051283,0.403953375,0.03160681,-5.84579525,348.088375,2.22459675,0.191354525,0.14879105,0.0384320325,0.09327382,272.1869975,208.663965,-83.1967945,0.2444624,-2.94902955,-6.16069955833333,23.9632260916667,0.333875,-21.483975,-13.733822,-33.3237009093922,-17.853075,85.2532878333334,85.451875,-0.244637434,1,1,1,1,1.2,1,1,1,1,1,1,1,1,0.437111111111112,3.775875
1,4.25,-0.377949125,-57.83589,-6.457585,-0.2707865,0.362170225,0.0274218075,-6.23017425,347.213825,2.245184,0.187542075,0.16545835,0.0390871625,0.0910135025,269.79519,209.61715,-84.6038115,0.1443651875,-2.911505125,-6.4238937225,23.2623156666667,0.2415,-21.875847,-13.938562,-33.6150440790056,-18.03678,85.2292233083333,85.4261666666667,-0.232612939916667,1,1,1,1,1.2,1,1,1,1,1,1,1,1,0.268805555555556,3.75616666666666
1,4.75,-0.349942525,-53.018175,-5.03416825,-0.44909615,0.408967975,0.02416345,-6.064471,347.7231,2.257966,0.1902998,0.15770865,0.03868971,0.0977779325,268.57084,207.911895,-84.507003,0.16474693,-3.156156975,-6.37650221833334,25.7816854583333,0.263875,-22.153902,-14.371039,-33.9244424177463,-18.182906,85.216092675,85.397875,-0.258535010833333,1,1,1,1,1.2,1,1,1,1,1,1,1,1,0.0469722222222219,3.75004166666666
1,5.25,-0.3309719,-48.771825,-4.46275575,-0.29856625,0.4109874,0.0250164775,-6.64415875,346.6953,2.20799,0.199611625,0.1671195,0.0384926625,0.0916835375,269.9808325,207.33031,-83.26516425,0.21139905,-3.087068475,-6.9426762425,27.034380075,0.318,-22.368013,-14.682779,-34.2970493590558,-18.335006,85.2385290583334,85.3907916666667,-0.24750907675,1,1,1,1,1.2,1,1,1,1,1,1,1,1,-0.119000000000001,3.73595833333334
1,5.75,-0.34760615,-49.63199,-4.395056,-0.195166,0.29645645,0.0288317825,-6.22000925,347.8231,2.1962175,0.1986685,0.15057805,0.042435005,0.107592625,270.19509,206.0661275,-83.14299625,0.170144885,-2.952047925,-6.637777195,28.1030049083333,0.23325,-22.402578,-14.784538,-34.2886389721842,-18.599953,85.2742981,85.412125,-0.238618915333333,1,1,1,1,1.2,1,1,1,1,1,1,1,1,-0.317527777777778,3.69191666666666
1,6.25,-0.323684,-47.9795325,-4.89422,-0.36040215,0.284430775,0.0242772325,-7.3004885,347.47035,2.2205705,0.194764625,0.1731875,0.0415217375,0.08638764,268.17264,205.61645,-83.2626485,0.129406755,-2.807030275,-7.40542614916667,26.5900033083333,0.2415,-22.776291,-14.85349,-33.937937,-18.832634,85.2833616166667,85.4517916666667,-0.22746638525,1,1,1,1,1.2,1,1,1,1,1,1,1,1,-0.501333333333333,3.68241666666666
