DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,LW_OUT_1_1_1,LW_IN_1_1_1,NETRAD_1_1_1,SW_OUT_1_1_1,SW_IN_1_1_1,TA_1_1_1,RH_1_1_1,WS_1_1_1,G_1_1_1,G_1_2_1,G_2_1_1,G_2_2_1,PA_1_1_1,PA_2_1_1,PPFD_IN_1_1_1,PPFD_IN_2_1_1,PPFD_OUT_10_1_1,PPFD_OUT_11_1_1,PPFD_OUT_12_1_1,PPFD_OUT_1_1_1,PPFD_OUT_2_1_1,PPFD_OUT_3_1_1,PPFD_OUT_4_1_1,PPFD_OUT_5_1_1,PPFD_OUT_6_1_1,PPFD_OUT_7_1_1,PPFD_OUT_8_1_1,PPFD_OUT_9_1_1,TS_1,TS_2
1,0.25,0.0320812925,16.77768,11.90281,0.606797649999998,5.95144949999999,0.539522875,12.0106875,396.542375,9.0795635,1.7484495,1.31066675,0.653682225,1.853822,352.2899975,331.91437,-4.39170122500004,3.01758665,0.00932594449999934,11.347219325,90.5587715166667,6.62474972333333,-3.12333420000001,-1.2703835,-4.96285080000003,-1.91519310000001,87.0665919083333,87.1972083333333,0.103349632275,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,10.37075,11.5083333333333
1,0.75,0.0373851125,15.7349425,11.46498,0.52377315,5.80143974999999,0.532791875,11.6548425,396.7365,9.00348,1.65056475,1.3520325,0.643132299999999,1.6128085,350.98787,335.799055,-3.08999112500003,3.021904825,-0.065251077,11.3132751333333,91.037103925,6.6243747175,-3.3328526,-1.4797065,-5.27887490000003,-2.14600220000001,87.0663275166667,87.1928333333333,0.101856231158333,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,10.1769583333333,11.434375
1,1.25,0.046894365,18.03525,13.13403,0.486689599999999,5.19222475,0.54547325,11.8505625,396.64665,9.01499675,1.6033145,1.387675,0.617998375,1.983867,350.18019,330.519135,-3.05045270000007,2.9589766,-0.0879322310000013,11.1686619041667,90.773475575,5.99087477833333,-3.1235552,-1.5620385,-3.98771190000001,-2.4331006,87.0713646,87.195375,0.098977318825,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,9.99149999999999,11.3449166666667
1,1.75,0.0480152174999998,20.667255,9.54379849999999,0.488490375,5.11898725,0.482307875,11.4804775,396.58295,8.9238975,1.73629375,1.23543525,0.603211,2.07257725,351.26968,331.8676275,-1.94201997500005,3.33264055,0.320031482174994,10.2333648725,90.6665752833333,5.91999978416667,-3.52269970000001,-1.660206,-5.9056424562654,-2.7173809,87.0776750083333,87.1939166666667,0.105183845433333,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,9.84266666666668,11.2427083333333
1,2.25,0.0348147675,18.80345,13.104825,0.5244328,5.089999,0.476675225,10.792205,397.19175,9.14137275,1.5488165,1.3845995,0.57385615,2.024265,352.1985275,334.95113,-2.76096865000004,3.32373765,0.0863565652499996,10.2301120333333,92.4112576916667,5.978999865,-3.9201091,-1.8774355,-5.95328979454634,-3.0317118,87.0724289416666,87.191625,0.107888960158333,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,9.69274999999999,11.153125
1,2.75,0.0389329925,18.96399,11.8757225,0.5635435,5.11628075,0.483579,10.32196,397.2447,9.05353475,1.8346695,1.31576875,0.5767486,2.11894425,352.173615,335.7822725,-2.93781350000003,2.8787419,0.0512397354999998,9.930221325,92.8886917666666,5.66387478416667,-4.24816080000001,-2.1849205,-5.96286502712906,-3.3443596,87.0774650583334,87.1892916666667,0.104160697158333,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,9.54141666666666,11.0465
1,3.25,0.0351026275,17.778705,11.9568,0.512026275,5.43720824999999,0.475278,10.310815,397.222,8.811887,1.6602705,1.2952675,0.587554449999999,2.04511125,352.3093125,335.8458225,-3.85288045000001,2.9586719,0.000994413499999738,9.92220848916667,92.1644042166667,6.04687484333333,-4.5975702,-2.52890410000001,-6.17697407169254,-3.4846657,87.0690603833334,87.1689166666667,0.100426622475,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,9.37495833333333,10.9286666666667
1,3.75,0.0228784999999999,23.6008,13.914625,0.5396261,5.068776,0.48318205,10.06761875,397.802625,8.76476425,1.88304525,1.3035155,0.622208525,1.8987515,350.2899525,333.6124925,-3.08925905000005,3.068992025,-0.0682439660000002,9.55752937166666,91.9046835083333,5.86437490416666,-4.6349161,-2.64399520000001,-6.85834685046767,-3.7967298,87.0620692083333,87.1509583333333,0.0991386540083331,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,9.210375,10.8063333333333
1,4.25,0.0428572499999998,28.11575,12.1702,0.5849665,5.94079249999998,0.590611525,10.154755,397.827475,8.7424925,1.79534075,1.65786375,0.685894874999997,2.21373125,348.1222375,333.57362,-1.99794272500002,3.115756125,0.25318893,9.54044553333333,92.9197328833333,6.28037471333331,-4.3555908,-2.6908307,-7.08847739049288,-3.98844310000001,87.0609276583333,87.1412083333333,0.0858836361416667,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,9.08170833333333,10.6885833333333
1,4.75,0.0392912124999998,19.381305,12.92504,0.52081595,5.85861375,0.570604599999999,10.1105925,397.8984,8.8323205,1.878154,1.33071625,0.670206499999999,1.979521,347.72836,334.22983,-1.63350915,3.040238825,0.0507905771999991,9.72510492666667,93.1314953333333,6.39487482166666,-4.11250150000001,-2.9294128,-5.58728086436632,-4.20157530000001,87.06678855,87.1479583333333,0.101847485758333,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,8.97795833333333,10.5631666666667
1,5.25,0.0615096424999999,24.02105,11.4205475,0.5304435,6.21775074999998,0.55839995,9.98318949999999,397.2517,9.21977,1.6590695,1.401072,0.695962249999999,2.180777,347.257145,332.9110625,-2.080910875,2.89434165,-0.0866413840000007,9.5211213775,92.8123718166667,7.17649990416665,-4.30343390000001,-2.8157216,-5.96217111694843,-4.21152,87.061344625,87.148375,0.0939707795333334,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,8.854375,10.4499166666667
1,5.75,0.06212894,26.55875,13.70774,0.671445,6.032402,0.573977125,9.77631399999999,397.41235,8.88754374999999,1.7834275,1.34386575,0.689991349999999,1.9027565,344.862395,332.2098525,-2.32287882500001,3.4573773,0.578894039999992,9.08120065166666,92.81727425,7.04037479416666,-4.35682040000001,-2.8722066,-5.09913504527865,-4.3629423,87.0853195583334,87.1709583333333,0.10001130635,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,8.71558333333333,10.3355
1,6.25,0.0358050475,24.729575,14.20396,0.7023029,5.81104599999999,0.552171125,9.622331,398.015925,9.1478015,1.61859375,1.4145345,0.6829436,2.146278,344.1449925,329.220135,-3.13143267500002,3.06930755,0.0358199342499998,9.0456219225,92.9514807416667,6.75837487833333,-5.02992000000001,-2.9989835,-6.3810399,-4.5877621,87.11674335,87.1920833333333,0.092946265375,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,8.61029166666666,10.2221666666667
1,6.75,0.03176102,15.580375,14.5125225,0.495962775,5.235456,0.529832,9.499072,398.0399,8.60641525,1.659624,1.205816,0.6141798,1.775674,343.031015,329.1570025,-2.146830775,3.54182195,0.637963982499999,9.17317659,93.5757555166667,6.29349988833333,-5.0743054,-3.46653320000001,-7.00512712897577,-4.6879775,87.119202575,87.2025,2.22790904101667,2.87708333333334,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,8.52420833333333,10.1312916666667
1,7.25,0.0409061,32.1404049999999,14.1303625,0.489930299999998,5.124204,0.5063346,8.88618,397.1371,8.651426,1.559764,1.413034,0.6083056,1.910926,342.216815,330.190015,1.39854256749999,6.53977875,15.19982025,8.41474903833333,94.1018835,5.99699981583333,-5.73052940000001,-3.64450650000001,-8.7489043838646,-4.937674,87.1322292166667,87.221625,43.2675400433333,50.5070833333333,5,3.66666666666667,7.28999999999999,4.85625,4.33541666666667,4.83333333333333,6.02583333333333,8.47916666666667,6.5,7.24458333333333,8,7.17500000000001,8.387375,10.0645833333333
1,7.75,0.0322817,18.17114,26.5670075,0.552539575,5.42744,0.4576594,9.722878,397.6546,8.65102,1.6114,1.138046,0.6069788,1.619364,344.1193475,330.6438275,44.0202047499999,34.58643975,107.97865,9.53583680999999,94.0239373916666,5.79787476083333,-5.33621270000001,-3.6746398,-6.92169504723417,-5.3079235,87.1689176916667,87.2518333333333,227.801425,239.695833333334,33.8125,16.68625,29.35,28.41875,26.8070833333334,21.6304166666667,36.8054166666667,33.2208333333333,29.8666666666666,42.9875,32.3591666666667,32.0216666666667,8.25205555555555,10.0002083333334
1,8.25,0.0245221,44.348925,33.3252125,0.28199175,5.374528,0.4984296,10.38006,399.3154,8.8954715,1.506722,1.200016,0.5908486,1.265346,353.763165,330.593655,103.15395525,51.16183475,187.1399875,10.8042632583333,93.9958084,5.95249972916666,-4.1665004,-3.8260476,-4.69887916112062,-5.52091000000001,87.2019857833333,87.2844583333333,466.404292666667,440.047083333333,56.7541666666667,34.54375,51.6666666666667,51.7520833333333,52.45,38.9416666666667,67.6958333333334,57.11375,56.925,84.0333333333333,61.8666666666666,60.675,8.13913888888889,9.93608333333332
