DOY2,HR2,H,SH,LE,SLE,FC,SC,TAU,CO2,CO2_SIGMA,H2O,H2O_SIGMA,U_SIGMA,V_SIGMA,W_SIGMA,WS,USTAR,T_SONIC,T_SONIC_SIGMA,TA,RH,PA,VPD,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_1_1_1,G_1_2_1,SW_IN,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT
1,0.25,-19.9891,-2.08203,-0.734605199,-0.441792,-0.041165913,-0.0149,-0.035575,383.257,0.4673143425,4.5769175,0.028076856,0.3577265,0.31715825,0.11509125,1.73054,0.085225,4.30407,0.29032,2.28525,28.8675,85.3,3.4461455675,0.368,-1.193,2.40625,-26.40388,-23.2212075,-0.002030526,-0.0473689,-66.03025,-0.0003226005,-0.157292
1,0.75,-23.482425,-2.1499975,-0.736785,-0.417936,-0.033275,-0.016875,-0.0446,384.0105,0.433718975,4.6070275,0.025454171,0.3650625,0.351143,0.1185635,1.6878,0.083037225,3.84927,0.2746135,1.944,28.34,85.3,3.339356908,0.147,-1.424,2.2045,-26.60508,-23.1974925,-0.0019809,-0.047608,-65.8425,-0.0002914605,-0.1525142
1,1.25,-22.430275,-2.4437275,-0.529524815,-0.486828,-0.03905,-0.01665,-0.0446,384.1185,0.4458572625,4.685535,0.02413924725,0.3450365,0.3276725,0.1165115,1.5451,0.083525,3.59739,0.278059,1.522,28.9875,85.3,3.31510743875,-0.005,-1.6765,2.006,-26.3607825,-23.701,-0.001907,-0.04641877,-65.1805,-0.000317313,-0.15257
1,1.75,-22.110125,-2.30987,-0.483757,-0.406801,-0.01948615475,-0.019375,-0.04355,383.883,0.43921137,4.62986,0.023796173,0.36991775,0.32556125,0.1085495,1.64299,0.081025,3.73615,0.27075625,1.87625,29.0375,85.3,3.12195,-0.17975,-1.91425,1.85775,-27.2099375,-23.832725,-0.001928351,-0.047143,-64.386,-0.000341674,-0.15133
1,2.25,-20.248625,-2.25923,-0.5114975,-0.27915,-0.0176,-0.018275,-0.037225,383.946,0.44321071075,4.6765425,0.023310724,0.362357,0.33292225,0.107162,1.5998,0.08101075,3.75975,0.27499525,1.6305,31.1225,85.3,3.192162126,-0.48975,-2.13225,1.70575,-27.005775,-24.12649,-0.001892969,-0.047622,-63.859,-0.000296818,-0.1568963
1,2.75,-19.50845,-2.2739925,-0.3665345,-0.249857,-0.035725,-0.021325,-0.0431,383.9345,0.42074067725,4.61605,0.025252738,0.359746,0.3259015,0.1052985,1.53843,0.075475,3.54613,0.2613735,1.56875,30.87,85.3,3.2524362235,-0.7335,-2.37625,1.51625,-27.27468,-24.2675425,-0.001933101,-0.04713216,-64.109,-0.0003441065,-0.15491
1,3.25,-21.71695,-2.1490025,-0.360502,-0.402748,-0.0356788,-0.017375,-0.04505,383.68125,0.43070032,4.55929,0.02332917225,0.355331,0.326331,0.1063585,1.44635,0.08405,3.3545,0.2565045,1.25225,32.09,85.2,3.14463743625,-1.10425,-2.683,1.32875,-27.4738225,-23.96771,-0.00186439,-0.04749455,-63.55575,-0.000318991,-0.1561055
1,3.75,-21.8859,-2.31065,-0.462414,-0.4765795,-0.0689,-0.01615,-0.048375,383.6245,0.40916043175,4.6030775,0.026201726,0.35783425,0.32257675,0.103372,1.26652,0.078825,3.16665,0.23681075,0.93375,32.08,85.2,3.0001208505,-1.4275,-3.03225,1.0915,-28.330045,-24.046805,-0.001897735,-0.04809564,-63.61525,-0.00037055,-0.1513802
1,4.25,-22.2873,-2.445225,-0.4759115,-0.347336,-0.0467,-0.0221,-0.045,383.24075,0.405035496,4.687355,0.02404882825,0.370778,0.329847,0.0984,1.30235,0.079275,2.78724,0.252381,0.83,32.8,85.2,2.813756136,-1.6435,-3.1665,0.9615,-27.86772,-24.70575,-0.00201167,-0.0468916,-62.646,-0.00039557,-0.1619793
1,4.75,-20.25255,-2.11634,-0.5664125,-0.336437,-0.0624,-0.022,-0.0348,382.45975,0.4392267415,4.6228625,0.0219525975,0.388096,0.313823,0.100763,1.31757,0.079615025,2.65658,0.26059,0.64825,33.34,85.2,2.783224806,-1.7815,-3.40725,0.85425,-27.67528,-24.51,-0.001943036,-0.04834098,-62.2835,-0.000409786,-0.1596068
1,5.25,-16.53575,-2.145975,-0.55881,-0.4727585,-0.0629,-0.0196,-0.0338,382.201,0.38774154,4.5618875,0.0231246885,0.372375,0.305486,0.0951,1.381498201,0.07215,2.43899,0.240544,0.51975,33.8925,85.2,2.7046038105,-1.8975,-3.49575,0.6935,-28.35884,-24.6345,-0.0019777,-0.04975565,-61.7035,-0.000370425,-0.15727
1,5.75,-16.933475,-2.26389,-0.696817,-0.503966,-0.0792,-0.0235,-0.035225,383.03425,0.4382661375,4.51357,0.0280299765,0.37083375,0.32149525,0.095775,1.2835,0.075301425,1.95473,0.26490825,0.20225,34.515,85.2,2.7278163545,-2.29775,-3.7825,0.637,-28.8097875,-24.17275,-0.0019895,-0.04810018,-61.4685,-0.0003513895,-0.1560822
1,6.25,-21.02925,-2.18481,-0.6788505,-0.464678,-0.0764,-0.0191,-0.0376,382.5445,0.437951205,4.54502,0.0256771515,0.366979,0.340722,0.0974,1.22442,0.0800116,1.81069,0.264556,0.23775,33.6575,85.3,2.60494681075,-2.5165,-4.1255,0.5275,-29.307,-24.8373625,-0.001942326,-0.04867437,-61.975,3.5785e-05,-0.1572943
1,6.75,-19.4195,-2.05554,-0.683374,-0.529063,-0.063125,-0.0261,-0.026125,382.5285,0.437839205,4.59561,0.025943607,0.37447775,0.323218,0.093925,1.22942,0.07115795,1.61337,0.25893825,0.31225,33.9825,85.3,2.6143265465,-2.72925,-4.18625,0.489,-29.431455,-24.82089,0.05628182,-0.0085658,-60.82025,0.062518505,-0.11351
1,7.25,-18.16435,-2.6176,-0.869267,-0.5589295,-0.0509,-0.017325,-0.031525,382.5015,0.43464904,4.6246875,0.0281224,0.38470375,0.3332735,0.098325,1.2593805135,0.0851337,1.2666675,0.267712,-0.36975,35.0925,85.3,2.617864087,-2.85375,-4.3445,0.2695,-28.916815,-22.70992,3.036689,1.102901,-54.64925,4.887223,1.6374
1,7.75,-15.6252,-2.370495,-0.57311125,-0.33585125,-0.110748,-0.0144,-0.038675,382.894,0.444658435,4.64918,0.03353534075,0.3821725,0.36511725,0.097775,1.11399,0.079225,1.390695,0.27815225,0.38925,34.0375,85.3,2.474449939,-2.7665,-4.22875,0.16525,-27.0771,-21.4497625,25.339,9.583248,-4.3775,26.42432,11.286
1,8.25,-3.83516,-1.4115,2.0927625,-0.400187,-0.3701285,-0.00975,-0.05885,383.224,0.43853985,4.73962,0.052060078,0.412414,0.355473,0.144452,0.8110575,0.113054,1.939595,0.2984815,1.51675,31.34,85.4,2.64105,-1.62,-3.14425,0.1305,-18.910115,-17.188,48.499215,24.298995,63.37,23.96837,27.072135
1,8.75,19.0701,0.171337,4.33869,0.0419,-0.802797,0.00502,-0.07165,383.4875,0.46305696025,4.824005,0.04541032175,0.3879465,0.41523525,0.215997,0.870738,0.1419145,2.512245,0.29211675,2.514,29.875,85.4,2.94370480975,-0.558,-0.042,0.611,-9.04236025,-10.071,88.8672,37.955205,130.96,52.994695,44.3175
1,9.25,42.68445,1.2717225,6.98064,-0.21554075,-0.9511495,0.028825,-0.110827,382.918,0.54967122,4.903955,0.04401649,0.47359875,0.47715525,0.2774705,1.127259742,0.1663565,2.994326,0.34705825,3.1125,27.82,85.4,3.3270972235,0.51925,1.71225,0.75425,0.01064714,-3.927,129.3611,53.39791,195.8,166.70865,65.729075
1,9.75,63.50725,0.9482055,9.109475,-0.4106505,-1.08581,0.015525,-0.14117,383.9755,0.680988855,4.843475,0.0443999525,0.521918,0.5564945,0.317354,1.216865,0.1743635,3.79584,0.41808075,3.66775,25.67,85.4,3.917747965,1.9415,3.241,0.92425,5.4612,-0.1796148,142.85915,53.3763875,259.75,190.732425,68.289375
1,10.25,85.912525,0.875609,11.74365,-0.53174,-1.23364,0.0008135,-0.146447,383.4525,0.787177165,4.914605,0.044958116,0.57317675,0.62381725,0.34954375,1.33981,0.191769,4.525342,0.482605,4.524,25.355,85.4,4.203,3.658,4.59925,1.1105,10.48475,3.842731,190,80.992805,309.03,110.536268105,103.8075
1,10.75,113.001015,1.30857,14.065475,-0.609085,-1.3157375,-0.00371,-0.171569,383.431,0.86315697,4.8884275,0.048525369,0.64756525,0.688449,0.375501,1.45737,0.195998,5.18072,0.5275395,5.3995,23.08,85.4,4.40019090325,5.299,5.798,1.445,17.076,8.8267135,201.652125,94.53582,348.1,141.4233481925,123.35
1,11.25,132.6805,1.490435,14.697325,-0.665831,-1.3813625,-0.00368,-0.18133125,384.07825,0.92801122025,4.81496,0.05264499075,0.7138655,0.763344,0.40436025,1.5901825,0.1969365,5.53093925,0.572335,5.971,20.965,85.3,4.84937041125,7.354,7.321,1.636,20.5580675,17.266115,197.96475,102.72395,365.9,211.0887,131.89
1,11.75,140.16625,1.342345,15.5472,-0.7953425,-1.472475,-0.0126,-0.21369175,384.4835,0.9877492125,4.73052,0.05262613825,0.78953225,0.82025875,0.4116855,1.6054975,0.23362925,6.1402525,0.59411875,6.262,19.875,85.3,5.28065,8.815,8.8225,2.38375,22.71905,30.615545,242.41,98.36173,371.45,203.7966,128.7004
1,12.25,145.322,1.3558825,14.9678,-1.08423,-1.621841033,-0.013725,-0.220331,384.92525,0.98457721,4.689525,0.051335819,0.842581,0.877553,0.426447,1.5728975,0.24409425,6.8253925,0.603702,6.88675,18.8525,85.2,5.785,10.7525,10.055,3.1515,27.27087,46.06629,243.2047,96.0990125,337.95955,230.8634,126.034025
1,12.75,149.38175,1.33939,15.136875,-0.919562,-1.69051,-0.0239,-0.237497,384.05725,0.9990859725,4.65557,0.050205075,0.919285,0.942397,0.433094,1.60784144575,0.258089625,7.3386,0.610465,7.461,17.17,85.2,6.2398489265,11.8925,11.1375,4.1425,31.229,49.676515,223.24535,96.1275,343.355,217.9003,130.05
1,13.25,153.702,1.10753,14.5239,-0.87494725,-1.72451,-0.022975,-0.23862825,383.73625,0.997051335,4.565035,0.0509926395,0.94203025,0.92937925,0.43308025,1.69053,0.259766,7.7056975,0.61088425,7.8335,16.705,85.1,6.55534281925,12.6375,11.435,5.1875,31.36325,48.242,134.9331,94.7082975,324.35,187.1053,125.0455
1,13.75,144.872,1.02956,12.666625,-0.813733,-1.7311975,-0.0298,-0.2380795,383.9255,0.977439035,4.476175,0.044843889,0.96581925,0.96142175,0.43052975,1.662155,0.263459,8.0664275,0.6055205,8.205,16.14,85.1,7.015975,13.5,11.6,6.145,37.6802,45.141,148.1044,86.2195825,301.75,148.6589,113.105125
1,14.25,136.93025,0.74359275,10.89255,-0.805172,-1.5802325,-0.027575,-0.24478625,383.59,0.92179062,4.2943525,0.04475465775,0.96056,0.968619,0.42863225,1.6723775,0.26006725,8.396035,0.57752125,8.6,15.645,85.1,7.30517852625,13.995,11.81,7.1325,35.718145,41.103,168.81435,79.9722,273.67,154.9988,103.615125
1,14.75,115.23175,0.66448425,9.6489125,-0.89934325,-1.4584625,-0.02865,-0.23719675,383.559,0.8039952,4.2687225,0.04121694,0.92732775,0.9433005,0.40981,1.6845175,0.2623455,8.2689575,0.493686,8.54,14.86,85.1,7.36308179575,13.965,11.2925,7.89275,33.17752,36.214,141.8637,62.94324,217.555,91.05583,81.5494025
1,15.25,85.634225,0.226792,7.542265,-0.6801025,-1.30922,-0.03895,-0.25092725,383.586,0.681865871,4.3267725,0.0366138095,0.884429,0.90033625,0.38254375,1.7213525,0.24812525,8.310395,0.409409,8.545,14.66,85,7.641226842,13.125,10.5875,8.335,23.50274,22.61025,134.72285,53.5855,173.4275,95.94032,70.0508275
1,15.75,55.89875,0.08225,5.7967,-0.70774,-1.05391,-0.033,-0.23568625,384.23275,0.53906909,4.29427,0.0366464495,0.815565,0.7990635,0.352232,1.73558,0.24247,8.43926,0.3296345,8.53,14.48,85.1,7.80237601675,12.505,9.83,8.745,18.2070475,12.55025,89.155675,36.831025,116.55,108.5812,47.0205625
1,16.25,25.96595,-0.520899,2.67563,-0.47863825,-0.701648,-0.03125,-0.20279675,384.1365,0.385259615,4.3921,0.0361701625,0.7261575,0.67003575,0.30394,1.71892,0.217202,8.4711375,0.21259175,8.3625,14.6425,85.1,7.780400023,11.215,9.37,8.845,9.1357235,2.1198,46.346295,21.085055,45.175,14.60995,26.5880075
1,16.75,2.7534,-0.9549065,0.8765085,-0.374143,-0.3860095,-0.025075,-0.155376,383.765,0.25715860625,4.47798,0.029307784,0.5712505,0.5291835,0.24067525,1.7162175,0.187266,8.2564125,0.16900675,7.9245,15.11,85.1,7.542686143,10.3075,8.2075,8.9125,-0.1245009,-5.9778,18.559555,11.51615,-14.43,0.168175465,13.1508
1,17.25,-10.5813,-2.2349,-0.3729605,-0.26275,-0.05641635,-0.03405,-0.104302,383.645,0.2833205975,4.508325,0.0265175345,0.418354,0.399442,0.135514,1.553925,0.118923,7.7194725,0.180554,7.031,16.43,85.1,7.165373331,8.695,6.5035,8.435,-10.95883,-12.53,4.5443675,3.2875,-68.46,0.009528633,3.8501
1,17.75,-19.227025,-3.8203125,-0.9415535,-0.157837,-0.025475,-0.0368,-0.0701,383.786,0.335232095,4.57017,0.021567532,0.352988,0.4078045,0.09485,1.585265,0.105389,7.3405475,0.2347765,6.468,19.1175,85.1,6.373989546,6.9495,4.52325,7.5725,-19.0212,-18.459,0.06595054,0.01023025,-85.38,0.010757218,-0.07092929
