DOY2,HR2,CO2,H2O,FC,LE,H,USTAR,WS,U_SIGMA,V_SIGMA,W_SIGMA,PA,T_SONIC,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_1_1_1,G_2_1_1,G_3_1_1
1,0.25,358.91020995,3.672754232,0.506421094,1.753617912,-6.593544936,0.17818,2.186604156,0.611364396,0.5729414065,0.258109241,98.46097775,-5.7185593665,-0.072721115,0.4123,-0.023892385,-4.073227,-2.8699905,-4.0328
1,0.75,358.0988547,3.612394517,0.507040705,1.6832,-4.853339621,0.173725247,2.27378,0.601052825,0.583975371,0.251980097,98.44698152,-5.81421117,-0.075742485,0.41245,-0.0198,-4.079559,-2.8447895,-3.987774
1,1.25,357.9615731,3.5342857265,0.562752174,1.15624,-5.5412221435,0.1705143935,2.312192678,0.610725791,0.589899097,0.255704538,98.43839943,-6.009040805,-0.08096896,0.4125601,-0.008,-4.060687,-2.7872,-3.9108
1,1.75,357.4158699,3.596424526,0.503938172,1.748618998,-5.177676256,0.17841,2.282069102,0.59619,0.573920058,0.25578,98.41637225,-6.010175284,-0.08669138,0.4125,-0.0052,-4.114343,-2.690674,-4.005014
1,2.25,357.9579375,3.600773385,0.5431691365,1.808634097,-5.0804622425,0.1811348635,2.2245776025,0.61111,0.589686442,0.2518021355,98.404568695,-6.0409146125,-0.089333695,0.4125,-0.004,-4.114882,-2.7768,-4.03547
1,2.75,357.6613047,3.598423815,0.488318837,2.357913128,-4.900123746,0.17859,2.307953981,0.5905194805,0.5843897,0.2527130175,98.40618258,-5.8535550435,-0.08649528,0.4123,-0.0031,-4.1916,-2.7926,-4.07409
1,3.25,357.9468352,3.630904092,0.4751555135,2.127259896,-4.62167968,0.1708305955,2.25203,0.554,0.589214018,0.243259967,98.43167792,-5.778267526,-0.08688165,0.4126,-0.01035433,-4.138115,-2.7795,-4.0737
1,3.75,358.67288795,3.6363176235,0.522961918,2.2606623815,-5.41671865,0.16931,2.128042347,0.5521348725,0.569365215,0.243811764,98.43576553,-5.7733100795,-0.1065746,0.4124,-0.0109,-4.125547,-2.76322,-4.04136
1,4.25,358,3.562029701,0.5404459235,1.812607381,-5.168964089,0.1730438535,2.22736,0.55814,0.559384992,0.243628417,98.43648699,-5.7861007565,-0.1075239,0.4121,-0.01728986,-4.101296,-2.812572,-4.0308
1,4.75,358.4945845,3.537018112,0.481095193,1.638641729,-5.571009718,0.17110639,2.199517057,0.5732843295,0.5638268715,0.245336992,98.42974078,-5.81247,-0.1047526,0.4121,-0.014,-4.2824,-2.8636,-4.014787
1,5.25,357.7823513,3.543253626,0.545208228,1.566150951,-5.3432463715,0.179400227,2.268223646,0.575535426,0.5716,0.250316112,98.42634346,-5.832502144,-0.1013722,0.4124,-0.0158,-4.296067,-2.88483,-4.00184
1,5.75,358.4976077,3.541610543,0.496777574,1.9908164435,-4.5836864535,0.172253019,2.259145837,0.6020065395,0.575702078,0.2554074355,98.425,-5.872549108,-0.0992443,0.41102475,-0.01376317,-4.1788885,-2.8566,-3.955442
1,6.25,358.7471738,3.462451116,0.53384731,2.380453788,-4.532195734,0.181019491,2.2675638795,0.6097407555,0.5923976495,0.2584505845,98.4507,-5.881966369,-0.1042321,0.4127,-0.016543465,-4.187751,-2.827373,-3.97868
