DOY2,HR2,CO2,H2O,FC,LE,H,USTAR,WS,U_SIGMA,V_SIGMA,W_SIGMA,PA,T_SONIC,TS_1_1_1,TS_1_2_1,TS_1_3_1,G_1_1_1,G_2_1_1,G_3_1_1
1,0.25,339.9478772875,1.846158024625,-0.8755367356,-6.394670618,-47.6332793145,0.03469812735,0.3482486454,0.1488872422,0.1586171198,0.0371658214,96.42091423,-20.10043557975,-0.278522985,-0.227741525,-1.51014375,-26.008464,-27.277696,-27.3406705
1,0.75,340.0280979,1.7803921805,-0.948216289175,-14.12160658,-48.5500305195,0.03737632375,0.303215108,0.1549815552,0.1867069392,0.040203623,96.4032000525,-19.672619016,-0.2651163225,-0.2118765,-1.53156695,-25.22015825,-26.70460325,-29.22014925
1,1.25,339.40423093,1.791308827,-0.9696758352,-9.3754557138,-40.9628558965,0.037740453275,0.3197047042,0.1602094278,0.1730566476,0.0419189488,96.38637105125,-19.891461912,-0.2511143425,-0.21198985,-1.64891975,-24.6919935,-31.92275725,-30.54363075
1,1.75,339.940060335,1.621943272025,-1.633516093,-9.19868374715,-47.054375085,0.03136029455,0.2150037424,0.1596658916,0.153389376,0.036238,96.40735185,-19.373884178,-0.231361365,-0.212784575,-1.763798475,-23.92622175,-29.68162725,-30.42366
1,2.25,338.891090655,1.385191603975,-1.008481477825,-13.1461210165,-47.452740225,0.0264507922,0.148469490375,0.14612549325,0.170132533125,0.03617596005,96.3684455125,-19.540702553,-0.18111293,-0.213331125,-1.809354725,-22.95058325,-31.54887275,-31.64818825
1,2.75,339.760421565,1.36529348075,-0.597388456475,-10.9195727495,-49.508393491,0.028153266375,0.27437991645,0.15220376735,0.17508957655,0.031415128175,96.37034113125,-19.8916010665,-0.1516408625,-0.214103875,-1.82390835,-23.1318825,-35.146895,-32.9841215
1,3.25,340.01303185,1.180642564,-0.51000523125,-12.629987812,-40.568687089,0.029167855475,0.2338979114,0.1542516386,0.1585309848,0.0342940736,96.3424045675,-19.79658368,-0.1451422175,-0.2223236675,-1.843873475,-23.6670525,-33.07945625,-33.299794
1,3.75,339.59184858,1.8492966154,-0.615092303825,-13.638607296,-48.95350435875,0.031920069125,0.342620933125,0.166426178375,0.175387468625,0.0377448185,96.32537537875,-19.67682229,-0.14750539,-0.22900922,-1.842252425,-24.0058575,-37.95194225,-32.75769375
1,4.25,339.470421205,1.77324039395,-0.8786839276,-9.4279248824,-48.27441289,0.03059882045,0.25126318425,0.154461508375,0.17558920375,0.03874312175,96.32768586625,-20.15124114375,-0.1489405875,-0.221383275,-1.80949055,-24.4970955,-37.85406275,-33.67785025
1,4.75,339.5693324475,1.8710914064,-0.8624675388,-9.83938067,-40.9248054845,0.0236255472,0.2779731669,0.1256420794,0.15203322485,0.0321649099,96.3552792225,-20.160336192,-0.1763849125,-0.214097775,-1.76721795,-24.23740675,-33.4509275,-36.74564775
