DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,PA_1_1_2,VPD,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,LW_IN,LW_OUT,PPFD_IN,RH,G_1_1_1,G_2_1_1,G_3_1_1,SW_IN,SW_OUT,TA
1,0.25,-0.0914,-72.2837,-0.437655,0.0347,1.01743,0.0633,-5.32833,99.6013,0.02573501825,427.874,3.04507,0.468596,0.376872,0.129181,0.0808,249.753,290.343,0.063,52.7237,-0.643967,-1.03647,-4.365814,0,-0.175133,-15.4121666675
1,0.75,-0.063,-60.598,-0.299358,0.0157407,1.04646,0.0827,-5.42912,99.5908,0.0268417045,428.022,3.08712,0.419509,0.399412,0.130088,0.0673,243.61,287.647,0.0763667,55.795,-0.642167,-1.03747,-4.365814,0,0.0198,-15.9975
1,1.25,-0.0611,-66.8529,0.0650732,-0.0388,0.85523,0.0875,-5.41116,99.5862,0.027185871,428.043,3.0391,0.371422,0.300588,0.0952,0.0452488,258.53,286.75,0.0555333,62.4713,-0.641867,-1.0382,-4.365814,0,-0.104733,-15.48
1,1.75,-0.0812,-25.1382,0.154948,0.146389,1.17375,0.0865,-5.3989,99.5757,0.02738374175,427.951,3.02721,0.39596,0.410757,0.172455,0.164129,257.89,286.19,0.0588,59.2503,-0.641533,-1.0357,-4.365814,0,0.00787,-15.2225
1,2.25,-0.0893,-30.0475,0.0502,0.0636,1.32029,0.0867,-5.413,99.5515,0.027688352,427.956,3.03898,0.470193,0.535247,0.171799,0.124652,254.817,290.923,0.0555333,54.614,-0.6383,-1.03413,-4.365814,0,0.0701,-15.6025
1,2.75,-0.0768,-48.0917,0.247027,-0.0517,0.908855,0.0912539,-5.33284,99.52,0.027580643,427.889,3.03919,0.573718,0.556559,0.171139,0.076,248.683,286.417,0.0644,53.6917,-0.6393,-1.03413,-4.365814,0,-0.0829,-16.04
1,3.25,-0.0922,-75.9341,0.246305,0.034,0.768712,0.0899,-5.38975,99.4872,0.0249206185,427.849,3.05925,0.481233,0.395709,0.103194,0.042,243.103,284.867,0.0606667,55.1357,-0.6368,-1.03587,-4.365814,0,-0.00227,-16.6025
1,3.75,-0.0913,-85.2376,-0.0128,0.0142,0.66483,0.0722,-5.35741,99.4654,0.02605381225,427.798,3.09911,0.370829,0.296371,0.108266,0.0519,250.027,285.177,0.0639,57.268,-0.638167,-1.03713,-4.365814,0,0.0364,-16.5575
1,4.25,-0.09015885,-80.23176,-0.0126395,0.01099,0.6676848,0.071675485,-5.886594,99.395895,0.024689543,427.7852,3.0381075,0.3713764,0.31082615,0.10977295,0.051695,251.0245,283.5073,0.6550265,57.5358,-0.7560318,-1.0402205,-4.365814,0,0.293345,-16.545
1,4.75,-0.0890177,-75.22592,-0.012479,0.00778,0.6705396,0.07115097,-6.415778,99.32639,0.024885191,427.7724,2.977105,0.3719238,0.3252813,0.1112799,0.05149,252.022,281.8376,1.246153,57.8036,-0.8738966,-1.043311,-4.365814,0,0.55029,-16.6725
1,5.25,-0.08787655,-70.22008,-0.0123185,0.00457,0.6733944,0.070626455,-6.944962,99.256885,0.02410593475,427.7596,2.9161025,0.3724712,0.33973645,0.11278685,0.051285,253.0195,280.1679,1.8372795,58.0714,-0.9917614,-1.0464015,-4.365814,0,0.807235,-17.41
1,5.75,-0.0867354,-65.21424,-0.012158,0.00136,0.6762492,0.07010194,-7.474146,99.18738,0.025061291,427.7468,2.8551,0.3730186,0.3541916,0.1142938,0.05108,254.017,278.4982,2.428406,58.3392,-1.1096262,-1.049492,-4.365814,0,1.06418,-17.575
1,6.25,-0.08559425,-60.2084,-0.0119975,-0.00185,0.679104,0.069577425,-8.00333,99.117875,0.0244007775,427.734,2.7940975,0.373566,0.36864675,0.11580075,0.050875,255.0145,276.8285,3.0195325,58.607,-1.227491,-1.0525825,-4.365814,0,1.321125,-18.125
1,6.75,-0.0844531,-55.20256,-0.011837,-0.00506,0.6819588,0.06905291,-8.532514,99.04837,0.02392083025,427.7212,2.733095,0.3741134,0.3831019,0.1173077,0.05067,256.012,275.1588,3.610659,58.8748,-1.3453558,-1.055673,-4.365814,0,1.57807,-18.2575
1,7.25,-0.08331195,-50.19672,-0.0116765,-0.00827,0.6848136,0.068528395,-9.061698,98.978865,0.024259248,427.7084,2.6720925,0.3746608,0.39755705,0.11881465,0.050465,257.0095,273.4891,4.2017855,59.1426,-1.4632206,-1.0587635,-4.365814,0,1.835015,-18.46
1,7.75,-0.11855025,-51.92165,-0.3674935,0.059325,2.585795,0.19686625,-6.4560375,97.814725,0.02510878425,415.62825,3.53717,0.76668475,0.737465,0.31754075,0.0889,274.872,277.872,0.199942,70.132925,-2.4633525,-1.24537,-4.365814,0,-0.01885,-17.99
1,8.25,-0.1219905,-53.3007,-0.240386,0.0765,3.054,0.2002825,-6.268835,97.61875,0.02272625975,415.823,3.55524,0.903306,0.8302205,0.332118,0.095993,257.8985,285.9805,0.17705,68.922,-2.83155,-1.242415,-4.4222495,0,-0.038,-18.0525
1,8.75,-0.10958,-45.223675,-0.7260905,-0.060575,3.00742,0.18702225,-6.239285,97.819,0.02499627775,416.01925,3.5671225,0.842627,0.78973525,0.302748,0.08153925,256.53925,284.77425,0.146433,67.3624,-2.396365,-1.2486925,-4.478685,0,0.06935,-18.1425
1,9.25,-0.06875,-38.33045,-0.0645155,-0.0674,2.145465,0.1454,-8.596055,97.84285,0.02433477075,416.2275,2.87144,0.7404955,0.67723,0.243321,0.112833,269.3485,277.3515,0.30315,68.763,-2.216865,-1.285585,-6.851035,0,0.166217,-18.255
1,9.75,-0.074775,-41.246825,-0.21677025,-0.0542,2.12475,0.17100625,-8.7424775,97.82885,0.02265109375,416.2675,2.7956125,0.7407275,0.62842575,0.24504475,0.1046515,269.225,278.915,2.311175,68.0362,-1.9137,-1.305805,-6.87782,0,1.157475,-17.77
1,10.25,-0.0802,-39.56975,-0.0865075,0.110176,2.278765,0.16344275,-7.9323375,97.858175,0.02499767725,415.9975,2.852455,0.6608705,0.6125945,0.24648775,0.07740225,271.55025,278.88725,8.8127775,69.8689,-1.67379425,-1.30405,-6.77563,1.604,5.01442,-17.085
1,10.75,-0.12161475,-37.7429,-1.20518625,-0.023082,1.93053375,0.10370625,-8.0520325,97.839925,0.0251868265,416.089,2.6504225,0.713084,0.56703175,0.2332785,0.10472,258.29,278.26975,19.329175,70.3924,-1.13635,-1.326635,-6.82473,5.837,12.41295,-16.96
1,11.25,-0.090425,-31.975425,-0.57926925,-0.0971,1.8972775,0.11783225,-7.347225,97.805225,0.028105283,416.1465,2.93697,0.64983625,0.4957435,0.198549,0.09646675,264.0065,279.198,27.402075,71.5143,-0.531683,-1.33553,-6.863,12.4425,17.6923,-15.38
1,11.75,-0.0947,-29.36835,-0.69427325,-0.1322525,1.2278275,0.105424,-7.144785,97.79245,0.03039777675,416.31225,2.97455,0.604539,0.53276075,0.1759765,0.1132615,267.4345,281.19575,47.89275,70.392225,-0.52335825,-1.33884,-6.89557,19.1175,31.052225,-14.303
1,12.25,-0.09562475,-25.9742,-0.92570525,-0.0105625,1.5199175,0.0921505,-6.9261275,97.764125,0.032347399,416.7445,3.0174225,0.51819,0.556324,0.1847695,0.0915665,261.633,282.015,56.670825,70.0704,-0.51532475,-1.3414825,-6.91787,30.48,32.40675,-13.539
1,12.75,-0.0728,-27.15595,-0.69113825,-0.02155,1.93987,0.12606675,-6.61489,97.766225,0.03232424375,416.86875,3.087555,0.5752915,0.52923975,0.2390545,0.10311975,260.762,280.35075,56.5751,69.00545,-0.50805,-1.342965,-6.89973,36.2081666675,33.92335,-12.74125
1,13.25,-0.070425,-20.7129125,-0.129455,0.0193,1.85562,0.1220735,-6.32277,97.783375,0.03547199225,417.1205,3.1807525,0.6272465,0.54183325,0.178143,0.088525,263.42225,278.5195,67.2279,67.445425,-0.49946675,-1.34528,-6.82643,38.60983333,40.010975,-11.94
1,13.75,-0.068225,-23.919125,-0.386307,0.069625,1.873915,0.126132,-5.9684425,97.791625,0.03513227,417.34475,3.18621,0.54879275,0.58301475,0.1864095,0.08445,259.5605,285.5175,75.6676,68.941075,-0.492117,-1.34738,-6.75383,37.75,40.53465,-11.7225
1,14.25,-0.06225,-10.094245,0.0574695,0.04965,1.760855,0.10684,-5.68748,98.00905,0.035928504,421.0065,3.353945,0.520526,0.483231,0.1789885,0.07445,262.6435,287.415,104.19235,68.1402,-0.4916335,-1.35595,-5.3801525,34.36133333,46.9208,-11.84
1,14.75,-0.06575,-16.9729,-0.4626875,-0.011855,1.751965,0.123634,-6.75143,97.9397,0.03334399,425.685,3.158725,0.6482305,0.636873,0.1864385,0.0724,254.027,279.0415,50.57765,67.119,-0.3228,-1.35835,-6.89047,30.4075,32.62015,-11.5175
1,15.25,-0.08655,-18.34005,-0.1493255,0.07655,1.54,0.1142625,-6.54962,97.91535,0.034835519,425.667,3.234645,0.480677,0.4643325,0.168604,0.093741,253.5635,279.4235,41.8107,69.1997,-0.3202335,-1.35645,-6.87257,22.7775,24.18135,-11.7975
1,15.75,-0.08035,-16.0651075,-1.3141395,-0.0341,1.13919,0.08265,-6.5602475,97.682925,0.03261064175,426.6765,3.127755,0.45661925,0.450204,0.1203745,0.086516,239.572,277.096,20.22175,73.411275,-0.1557085,-1.36231,-6.8556,9.29,13.60485,-12.7
1,16.25,-0.059725,-9.9965175,-0.7082805,0.0578,0.6382345,0.0466,-7.194265,97.6501,0.03147561325,426.551,3.0800725,0.421441,0.35372775,0.0714,0.106726,234.86525,270.70225,9.0159,75.12735,-0.1557665,-1.3627575,-6.83883,2.5558275,5.174545,-13.4010000025
1,16.75,-0.0417,-12.45234,-0.07718025,-0.06998575,0.4147895,0.09095,-7.304035,97.6425,0.02962183675,426.518,2.9920125,0.31339225,0.2834525,0.055625,0.13208,235.54925,271.9085,2.4058,77.457075,-0.155117,-1.3657575,-6.8169,0,1.05501775,-13.812916665
1,17.25,-0.0253,-14.6607,-0.417585,-0.158295,0.322311,0.0517,-7.27481,97.4454,0.0289149495,426.391,2.69484,0.184563,0.396167,0.036,0.118672,237.077,266.327,0.293933,82.6467,-0.162433,-1.34353,-6.849125,0,-0.202267,-13.8642500025
1,17.75,-0.024175,-17.54295,0.15386575,0.0196331,0.3203445,0.0494,-7.94553,98.0084,0.02734953425,426.70275,3.0862425,0.2386825,0.382616,0.031225,0.29617325,233.06075,267.4705,0.091025,83.5683,-0.14444975,-1.35329,-6.818605,0,-0.07216675,-14.007666665
1,18.25,-0.0087225,-10.59395,0.270133,-0.4384275,0.4477025,0.060675,-7.83098,97.9877,0.02793488,427.212,3.10857,0.30442675,0.27280225,0.042038725,0.23649675,232.34775,267.111,0.056791675,84.253325,-0.14355825,-1.3497975,-6.7837925,0,-0.08745825,-14.104916665
1,18.75,-0.022275,-7.674445,-0.07076475,-0.42321825,0.231699,0.0639,-7.747655,97.979875,0.02618365925,428.147,3.04196,0.28357375,0.2256925,0.03675,0.17237625,235.1085,270.1625,0.056349975,86.281525,-0.14386675,-1.34398,-6.746885,0,-2.4999999999999e-05,-14.239666665
1,19.25,-0.01275,-10.46525,-0.32424275,-0.019,0.354901,0.06325,-7.4483125,97.96765,0.026647046,428.81875,3.1934825,0.3271995,0.2513045,0.041069825,0.2584995,252.36075,271.88775,0.075716675,87.243825,-0.14503325,-1.344545,-6.708485,0,0.0213325,-14.5140833325
1,19.75,-0.0146,-8.14557,-0.53392525,-0.45521675,0.38236475,0.06245,-7.22215,97.95125,0.02722888875,429.27675,3.3326625,0.3235965,0.3005555,0.04335885,0.218691,253.6605,270.0125,0.0554,87.0259,-0.14575825,-1.3459675,-6.671535,0,0.0821,-14.8126666675
1,20.25,-0.0128,-7.6005175,-0.1053225,-0.331137,0.21030025,0.079254,-7.190285,97.95095,0.02523874225,428.76175,3.23666,0.3181395,0.30806875,0.042536825,0.2864295,247.4175,273.351,0.079325,86.945475,-0.1465335,-1.349735,-6.6353675,0,0.123233,-15.00725
1,20.75,-0.01059,-8.1585625,-0.16194375,-0.0746485,0.1815505,0.064767625,-7.59231,97.95135,0.0242120985,430.4535,3.1168925,0.3125005,0.33002275,0.041289975,0.137222,273.489,277.5595,0.09095665,86.82895,-0.14679175,-1.3508675,-6.6001325,0,0.020125,-15.2064166675
1,21.25,-0.034825,-28.319425,-0.00123785,-0.13253875,0.74090325,0.069182475,-8.7536875,98.355075,0.02469883975,428.48925,2.8127175,0.31906025,0.469208,0.11049675,0.082849,231.549,277.15225,0.05915,56.472675,-1.76196075,-1.1134175,-5.246795,0,0.09335,-15.3884166675
1,21.75,-0.0321,-26.7432,-0.211048,-0.0492,0.893304,0.0799,-8.57432,98.0111,0.02592299175,428.406,2.72745,0.384388,0.421141,0.119216,0.0706,238.137,277.83,0.0695333,62.4417,-2.27497,-1.1147,-5.1261,0,-0.0478,-14.814833335
1,22.25,-0.0384,-25.5059,-0.111873,-0.211447,0.509342,0.0923,-8.45554,97.9689,0.024827988,428.703,2.743,0.390148,0.370625,0.106822,0.104283,239.223,277.547,0.0588,63.286,-2.37273,-1.11473,-5.24293,0,-0.0354,-14.959333335
1,22.75,-0.0234,-19.05675,0.445205,-0.328599,0.3642925,0.107041,-8.256005,99.4506,0.02571897575,428.359,2.81314,0.4693175,0.4721155,0.1178465,0.205267,232.0385,279.0385,0.0566,60.13565,-1.5634515,-1.08855,-5.24293,0,0.0213665,-15.271
1,23.25,-0.03735,-50.98305,-0.0446075,-0.0525,1.16695,0.114534,-8.071215,99.4527,0.024429516,427.9415,2.865415,0.4265665,0.4553705,0.1628905,0.2152585,237.365,280.307,0.06393335,55.8783,-1.5826,-1.08837,-5.24293,0,0.11755,-15.6867500025
1,23.75,-0.0663,-83.8254,0.196801,-0.0266,1.15554,0.133965,-5.26354,99.6155,0.02487072325,428.041,3.02205,0.514677,0.36863,0.165679,0.149899,248.06,294.11,0.0798,54.889,-0.646233,-1.03613,-5.24293,0,0.011,-15.94425
2,0.25,-0.0914,-72.2837,-0.437655,0.0347,1.01743,0.0633,-5.32833,99.6013,0.02669232,427.874,3.04507,0.468596,0.376872,0.129181,0.0808,249.753,290.343,0.063,52.7237,-0.643967,-1.03647,-4.0947,0,-0.175133,-9.8475
2,0.75,-0.063,-60.598,-0.299358,0.0157407,1.04646,0.0827,-5.42912,99.5908,0.0274539325,428.022,3.08712,0.419509,0.399412,0.130088,0.0673,243.61,287.647,0.0763667,55.795,-0.642167,-1.03747,-4.06927,0,0.0198,-9.985
2,1.25,-0.0611,-66.8529,0.0650732,-0.0388,0.85523,0.0875,-5.41116,99.5862,0.027677759,428.043,3.0391,0.371422,0.300588,0.0952,0.0452488,258.53,286.75,0.0555333,62.4713,-0.641867,-1.0382,-4.0401,0,-0.104733,-9.7375
2,1.75,-0.0812,-25.1382,0.154948,0.146389,1.17375,0.0865,-5.3989,99.5757,0.02828110225,427.951,3.02721,0.39596,0.410757,0.172455,0.164129,257.89,286.19,0.0588,59.2503,-0.641533,-1.0357,-4.015,0,0.00787,-9.565
2,2.25,-0.0893,-30.0475,0.0502,0.0636,1.32029,0.0867,-5.413,99.5515,0.027364045,427.956,3.03898,0.470193,0.535247,0.171799,0.124652,254.817,290.923,0.0555333,54.614,-0.6383,-1.03413,-3.98987,0,0.0701,-9.6825
2,2.75,-0.0768,-48.0917,0.247027,-0.0517,0.908855,0.0912539,-5.33284,99.52,0.0262356735,427.889,3.03919,0.573718,0.556559,0.171139,0.076,248.683,286.417,0.0644,53.6917,-0.6393,-1.03413,-3.96337,0,-0.0829,-9.8325
2,3.25,-0.0922,-75.9341,0.246305,0.034,0.768712,0.0899,-5.38975,99.4872,0.02659638125,427.849,3.05925,0.481233,0.395709,0.103194,0.042,243.103,284.867,0.0606667,55.1357,-0.6368,-1.03587,-3.93953,0,-0.00227,-9.4584175
2,3.75,-0.0913,-85.2376,-0.0128,0.0142,0.66483,0.0722,-5.35741,99.4654,0.026432647,427.798,3.09911,0.370829,0.296371,0.108266,0.0519,250.027,285.177,0.0639,57.268,-0.638167,-1.03713,-3.91433,0,0.0364,-9.4315
2,4.25,-0.09015885,-80.23176,-0.0126395,0.01099,0.6676848,0.071675485,-5.886594,99.395895,0.02560271525,427.7852,3.0381075,0.3713764,0.31082615,0.10977295,0.051695,251.0245,283.5073,0.6550265,57.5358,-0.7560318,-1.0402205,-3.9707655,0,0.293345,-9.4405
2,4.75,-0.0890177,-75.22592,-0.012479,0.00778,0.6705396,0.07115097,-6.415778,99.32639,0.023821676,427.7724,2.977105,0.3719238,0.3252813,0.1112799,0.05149,252.022,281.8376,1.246153,57.8036,-0.8738966,-1.043311,-4.027201,0,0.55029,-9.5725
2,5.25,-0.08787655,-70.22008,-0.0123185,0.00457,0.6733944,0.070626455,-6.944962,99.256885,0.02589900925,427.7596,2.9161025,0.3724712,0.33973645,0.11278685,0.051285,253.0195,280.1679,1.8372795,58.0714,-0.9917614,-1.0464015,-4.0836365,0,0.807235,-10.37
2,5.75,-0.0867354,-65.21424,-0.012158,0.00136,0.6762492,0.07010194,-7.474146,99.18738,0.0250594835,427.7468,2.8551,0.3730186,0.3541916,0.1142938,0.05108,254.017,278.4982,2.428406,58.3392,-1.1096262,-1.049492,-4.140072,0,1.06418,-10.4325
2,6.25,-0.08559425,-60.2084,-0.0119975,-0.00185,0.679104,0.069577425,-8.00333,99.117875,0.025048195,427.734,2.7940975,0.373566,0.36864675,0.11580075,0.050875,255.0145,276.8285,3.0195325,58.607,-1.227491,-1.0525825,-4.1965075,0,1.321125,-10.4675
2,6.75,-0.0844531,-55.20256,-0.011837,-0.00506,0.6819588,0.06905291,-8.532514,99.04837,0.025227452,427.7212,2.733095,0.3741134,0.3831019,0.1173077,0.05067,256.012,275.1588,3.610659,58.8748,-1.3453558,-1.055673,-4.252943,0,1.57807,-10.5
2,7.25,-0.08331195,-50.19672,-0.0116765,-0.00827,0.6848136,0.068528395,-9.061698,98.978865,0.02620751275,427.7084,2.6720925,0.3746608,0.39755705,0.11881465,0.050465,257.0095,273.4891,4.2017855,59.1426,-1.4632206,-1.0587635,-4.3093785,0,1.835015,-10.855
2,7.75,-0.0821708,-45.19088,-0.011516,-0.01148,0.6876684,0.06800388,-9.590882,98.90936,0.027561549,427.6956,2.61109,0.3752082,0.4120122,0.1203216,0.05026,258.007,271.8194,4.792912,59.4104,-1.5810854,-1.061854,-4.365814,0,2.09196,-11.15
2,8.25,-0.08102965,-40.18504,-0.0113555,-0.01469,0.6905232,0.067479365,-10.120066,98.839855,0.02857632425,427.6828,2.5500875,0.3757556,0.42646735,0.12182855,0.050055,259.0045,270.1497,5.3840385,59.6782,-1.6989502,-1.0649445,-4.4222495,0,2.348905,-11.185
2,8.75,-0.0798885,-35.1792,-0.011195,-0.0179,0.693378,0.06695485,-10.64925,98.77035,0.02772820825,427.67,2.489085,0.376303,0.4409225,0.1233355,0.04985,260.002,268.48,5.975165,59.946,-1.816815,-1.068035,-4.478685,0,2.60585,-11.237025
2,9.25,-0.094225,-27.2172,0.05155,0.0077,1.007884,0.08143225,-10.5422,98.78175,0.027747306,427.631,2.51949,0.452456,0.392399,0.130317,0.0529,258.0565,269.61,24.63615,63.1303,-1.80935,-1.068835,-4.49657,0.924,9.07655,-11.279075
2,9.75,-0.06635,-28.1116,0.262809,-0.06135,0.993395,0.0842207,-10.28745,98.97375,0.02797850125,428.65,2.55626,0.4060385,0.3884685,0.140598,0.0804676,243.9415,270.96,42.3598,55.5842,-1.68153,-1.068735,-4.512235,6.06825,20.78515,-10.561425
2,10.25,-0.0916,-32.1043,0.151321,-0.045025,1.59605,0.110631525,-9.7584275,98.90375,0.0290773515,429.3095,2.44487,0.53816725,0.5171485,0.19486075,0.098375,228.4495,271.25975,113.362175,53.128925,-0.85975725,-1.10516,-5.0809725,14.9125,43.39935,-9.7049975
2,10.75,-0.1206785,-46.1202,0.5251615,0.0114025,1.9984475,0.1262715,-9.4302025,98.90585,0.02947902625,428.416,2.4641075,0.5840485,0.54257025,0.19332925,0.11625675,229.39975,271.5425,140.46175,49.81015,-0.86544975,-1.1058,-5.0675975,22.3725,33.575275,-8.98
2,11.25,-0.09829275,-40.48135,0.4790445,-0.061775,1.64885,0.098144325,-8.961865,98.9029,0.0318653305,428.432,2.5328,0.60759025,0.5581195,0.18236575,0.169374,231.03,273.27775,148.80275,48.0799,-0.87375725,-1.10636,-5.052355,38.7875,50.3618,-8.614
2,11.75,-0.14000775,-43.795225,-0.200453625,-0.15562325,1.8003275,0.130014,-8.5420575,98.870325,0.0358344675,428.33025,2.655355,0.6298115,0.622608,0.20797925,0.139694,232.12,274.68275,145.39325,48.79655,-0.88032475,-1.1051725,-5.032545,50.245,51.296825,-7.1615225
2,12.25,-0.1679235,-42.04315,0.6607085,-0.2820365,2.095745,0.115996,-8.2697,98.85065,0.03906690225,428.37775,2.742975,0.65896575,0.699454,0.2197915,0.146302,232.54825,277.50325,154.37975,47.57085,-0.88859225,-1.10699,-5.0096175,58.6625,45.545925,-6.7335
2,12.75,-0.0965855,-42.107025,0.1484155,0.023707425,2.02574,0.098584625,-7.9859425,98.852925,0.042211151,428.352,2.7737175,0.697428,0.66256975,0.23847475,0.13595925,237.21075,279.76825,193.19675,46.169975,-0.89539225,-1.106255,-4.9843225,67.75,49.678575,-6.2965
2,13.25,-0.1365795,-47.9247,0.8460075,-0.1310295,2.1609625,0.1465215,-7.6003175,98.854075,0.04637493775,428.278,2.83594,0.7294495,0.79256825,0.2594815,0.16763975,251.00175,282.07925,187.2565,45.121025,-0.90259225,-1.1080325,-4.9579475,71.9275,53.0143,-5.88625
2,13.75,-0.14851625,-51.175725,1.1745095,-0.10004575,2.1453825,0.14054625,-7.05289,98.821725,0.054941709,427.99725,2.9041525,0.8297175,0.75349525,0.2402615,0.1411685,241.3125,284.162,186.443,45.346825,-0.9126825,-1.10956,-4.926315,79.3925,57.778425,-5.8700475
2,14.25,-0.11452775,-35.14565,1.16390175,-0.202981,1.97526,0.13480325,-6.39086,98.748625,0.0617418875,427.64725,2.97005,0.71668925,0.8309325,0.24494475,0.1454845,240.07175,285.448,157.61825,45.604525,-0.94838275,-1.1108975,-4.8950475,73.9325,59.445425,-5.550745
2,14.75,-0.093877,-48.178625,0.5891695,-0.00267,1.796095,0.13619625,-5.93792,98.6971,0.0667408725,427.9915,3.03243,0.68787875,0.74756275,0.2239875,0.12839975,240.7385,286.6595,125.446325,47.5172,-0.99321775,-1.1115775,-4.8754,63.7875,53.37015,-5.3713575
2,15.25,-0.1031405,-40.9659,0.8459405,0.02705435,1.635065,0.1185595,-5.588265,98.63395,0.06410956075,428.215,2.92227,0.6581355,0.6651045,0.2194635,0.1450725,245.3665,286.3915,124.905,44.81215,-1.2800165,-1.1123,-5.230015,56.47,44.18085,-5.258
2,15.75,-0.120469,-37.16615,0.95285575,0.0064,1.72544,0.12792325,-5.085745,98.62275,0.0684265215,428.56725,3.0422275,0.63006125,0.654782,0.2035695,0.13960525,257.1045,287.48075,119.5575,46.4303,-1.09550775,-1.1115775,-4.87396,45.615,47.684725,-5.18875
2,16.25,-0.075325,-30.355325,0.3289275,-0.024,1.6990025,0.11718275,-4.8517825,98.587375,0.0626460265,428.23325,3.058845,0.618627,0.6673185,0.18271475,0.1292555,254.79775,285.7595,87.659075,46.164975,-1.15855025,-1.1120225,-4.8702075,33.8701,44.7629,-5.201
2,16.75,-0.10075175,-21.723575,-0.48232025,0.012425,1.334335,0.11711525,-4.79652,98.5759,0.0590443015,428.39525,3.01984,0.58442825,0.65338225,0.16706075,0.1308625,252.32725,283.38225,72.65475,47.1662,-1.2269475,-1.11222,-4.86898,20.391,27.221225,-5.35075
2,17.25,-0.07785,-35.492575,-0.18848025,-0.046861,1.388585,0.10713125,-5.63937,98.550675,0.05172898775,428.34225,3.043955,0.54505225,0.506005,0.16855175,0.11917125,257.25,281.82775,33.589325,50.6428,-1.3034975,-1.1113075,-4.86869,8.8775,9.674065,-5.6431275
2,17.75,-0.07885,-39.3277,-0.030738,0.05025,1.22806,0.08884125,-5.93571,98.46645,0.044410675,428.3185,3.00851,0.4984435,0.4660635,0.160788,0.1111605,254.0885,281.28,10.487165,51.93865,-1.582485,-1.11272,-5.166415,0.73775,2.91655,-5.9292775
2,18.25,-0.05515,-29.01765,0.3468705,-0.135216,0.9387315,0.0628,-7.587445,98.62025,0.0413196185,428.7595,2.963295,0.498173,0.5042635,0.144068,0.1424315,246.5265,277.7765,1.617835,51.0295,-1.0111015,-1.112465,-5.0516,0,0.75025,-6.9137675
2,18.75,-0.04605,-20.0313,-1.593341,-0.038856,0.8224535,0.0816577,-7.99371,98.6089,0.034427183,428.4705,3.01676,0.4033415,0.399935,0.152625,0.1164715,251.5435,277.535,0.063,52.8917,-1.0676835,-1.11132,-5.027015,0,0.0161,-7.61015
2,19.25,-0.05715,-38.778,-0.654948,-0.191213,0.6488435,0.058,-8.2865,98.58555,0.0320823205,428.481,2.87417,0.5071565,0.506727,0.1120883,0.134099,236.875,275.868,0.0415333,56.785,-1.127915,-1.1126,-5.0117,0,-0.1098665,-7.7648525
2,19.75,-0.03985,-26.9061,-0.97778,-0.2732485,0.48128,0.06033005,-8.481705,98.565,0.0301142535,428.466,2.865945,0.365045,0.383254,0.0815419,0.143443,228.355,274.078,0.0392,61.313,-1.1935515,-1.11345,-5.086315,0,-0.08735,-8.3584675
2,20.25,-0.040375,-22.93365,0.1167125,-0.0990245,0.73660075,0.0927114,-8.7804525,98.40965,0.03049578525,428.522,2.7647625,0.443449,0.42939475,0.11259575,0.109349,236.748,275.64,0.0519917,59.6463,-1.5344475,-1.1141675,-5.36504,0,0.00845,-8.4077525
2,20.75,-0.0483,-24.952425,0.0135125,-0.2029745,0.89180525,0.064625,-8.781875,98.382575,0.029947557,428.67125,2.750325,0.36295925,0.44739925,0.12955775,0.08459125,234.58475,276.078,0.066316675,57.679225,-1.64533575,-1.11326,-5.3365925,0,0.00505,-8.56175
2,21.25,-0.034825,-28.319425,-0.00123785,-0.13253875,0.74090325,0.069182475,-8.7536875,98.355075,0.02870057925,428.48925,2.8127175,0.31906025,0.469208,0.11049675,0.082849,231.549,277.15225,0.05915,56.472675,-1.76196075,-1.1134175,-5.246795,0,0.09335,-8.5334175
2,21.75,-0.0321,-26.7432,-0.211048,-0.0492,0.893304,0.0799,-8.57432,98.0111,0.027704427,428.406,2.72745,0.384388,0.421141,0.119216,0.0706,238.137,277.83,0.0695333,62.4417,-2.27497,-1.1147,-5.1261,0,-0.0478,-8.4825
2,22.25,-0.0384,-25.5059,-0.111873,-0.211447,0.509342,0.0923,-8.45554,97.9689,0.02869873625,428.703,2.743,0.390148,0.370625,0.106822,0.104283,239.223,277.547,0.0588,63.286,-2.37273,-1.11473,-5.24293,0,-0.0354,-8.895
2,22.75,-0.0234,-19.05675,0.445205,-0.328599,0.3642925,0.107041,-8.256005,99.4506,0.029550539,428.359,2.81314,0.4693175,0.4721155,0.1178465,0.205267,232.0385,279.0385,0.0566,60.13565,-1.5634515,-1.08855,-5.523865,0,0.0213665,-9.0325
2,23.25,-0.03735,-50.98305,-0.0446075,-0.0525,1.16695,0.114534,-8.071215,99.4527,0.028033926,427.9415,2.865415,0.4265665,0.4553705,0.1628905,0.2152585,237.365,280.307,0.06393335,55.8783,-1.5826,-1.08837,-5.507915,0,0.11755,-9.1425
