DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,PA_1_1_2,VPD,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,LW_IN,LW_OUT,PPFD_IN,RH,G_1_1_1,G_2_1_1,G_3_1_1,SW_IN,SW_OUT,TA
1,0.25,-0.00351,-0.606194,4.87543,0.24246,4.79454,0.268026,4.22861,100.098,0.09997214875,434.151,4.53343,0.887781,1.12871,0.346561,0.389253,283.463,311.923,0.0845,85.32,-0.240367,-0.7633,-0.5062598,0,0.311067,-3.25740000025
1,0.75,-0.0091,-0.1154,1.9118,0.163518,3.81057,0.225105,4.172,100.082,0.09166344325,434.227,4.43989,0.836657,0.895295,0.329625,0.415327,282.923,311.753,0.0859,87.75,-0.240533,-0.7639,-0.5062598,0,0.4528,-2.6145
1,1.25,-0.00841,0.394119,0.577617,0.147121,3.51942,0.221502,3.93264,100.06,0.09839405275,434.658,4.37215,0.865835,0.98619,0.338066,0.555014,281.33,310.657,0.113133,87.4633,-0.2392,-0.7632,-0.5062598,0,0.4354,-2.976
1,1.75,-0.0098,-0.584392,4.7524,0.334585,4.0076,0.252647,3.8633,100.074,0.090511558,434.692,4.30385,1.25616,1.06983,0.364627,0.427563,283.473,308.843,0.105467,87.17,-0.238867,-0.763767,-0.5062598,0,0.5341,-2.59875
1,2.25,-0.0076,-3.57596,6.53608,0.81531,4.59224,0.264642,3.17178,100.074,0.083370822,432.997,4.32349,1.18351,1.18497,0.390077,0.396806,285.86,307.16,0.116667,86.81,-0.239667,-0.762567,-0.5062598,0,0.754833,-2.6195
1,2.75,-0.00529,-3.06067,14.2297,0.423216,4.4274,0.245363,3.77535,100.079,0.083065799,433.012,4.34005,1.29157,1.01253,0.340932,0.427874,286.117,308.02,0.1022,86.53,-0.239367,-0.7628,-0.5062598,0,0.247667,-2.85455750025
1,3.25,-0.000475,-1.39987,7.14738,0.389779,4.20515,0.272094,3.71153,100.109,0.07454539675,433.331,4.36566,0.949092,1.02055,0.354805,0.419834,286.98,309.86,0.0948,87.9167,-0.240667,-0.762,-0.5062598,0,0.0684667,-2.87875
1,3.75,0.00624,0.922225,7.27303,0.47358,4.16677,0.270888,3.74856,100.107,0.07389836275,433.644,4.24162,0.979183,1.08488,0.398754,0.431044,287.663,311.163,0.1064,91.9533,-0.24,-0.761533,-0.5062598,0,0.3959,-2.9129
1,4.25,0.00539155,0.7404025,7.032504,0.45478405,4.1831295,0.2681772,3.418045,100.081425,0.06741815475,433.5788,4.229373,0.9831852,1.08376105,0.39569925,0.41864025,287.56605,310.89035,1.789245,91.51847,-0.24012165,-0.764323,-0.5062598,0,1.3062185,-2.6120675
1,4.75,0.0045431,0.55858,6.791978,0.4359881,4.199489,0.2654664,3.08753,100.05585,0.064907817,433.5136,4.217126,0.9871874,1.0826421,0.3926445,0.4062365,287.4691,310.6177,3.47209,91.08364,-0.2402433,-0.767113,-0.5062598,0,2.216537,-2.5496575
