DOY2,HR2,USTAR,TA_1_3_1,WS,NEE,FC,SC,H,LE,G_1_1_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,H2O
1,0.25,0.17,13.05,1.416,2.334,2.248,0.0295,-25.493,0.09,-11.935,88.6,102.1,387.954,1.9,-25.9,0,0.143,12.471
1,0.75,0.158,13.04,1.34,2.079,1.904,0.021,-24.666,0.735,-12.455,89,102.1,388.794,1.865,-24.87,0,0.151,12.37
1,1.25,0.16,12.75,1.37,2.233,2.359,0.022,-25.5385,-0.13,-12.695,90.1,102.1,389.1945,1.61,-28.24,0,0.155,12.415
1,1.75,0.168,12.42,1.3285,2.1605,2.01,0.028,-23.199,0.04,-12.85,90.7,102.1,389.589,1.595,-24.87,0,0.166,12.1205
1,2.25,0.18,12.65,1.384,2.198,2.0825,0.017,-20.838,0.22,-13.355,90.8,102.1,389.845,1.65,-24.72,0,0.157,12.204
1,2.75,0.155,12.567,1.395,2.217,1.992,0.034,-22.334,0.515,-13.105,91.4,102.1,390.3825,1.46,-20.95,0,0.17,11.765
1,3.25,0.159,12.2,1.3095,2.146,2.167,0.015,-22.2585,0.222,-13.17,91.8,102.1,390.605,1.3,-20.14,0,0.149,11.775
1,3.75,0.1615,11.94,1.277,2.257,1.9875,0.019,-20.6625,0.318,-12.935,92,102,390.767,1.235,-19.84,0,0.134,11.921
1,4.25,0.142,12.007,1.277,2.054,1.947,0.0315,-20.741,0.553,-13.115,92.8,102,391.003,1.225,-17.47,0,0.172,12.07
1,4.75,0.158,11.584,1.253,2.052,2.0405,0.0265,-17.7465,1.2775,-12.865,92.7,102,390.793,1.2,-14.81,0,0.166,12.02
1,5.25,0.15,11.83,1.326,2.12,1.882,0.001,-16.364,0.4,-13.65,92.6,102.1,390.729,1.245,-14.31,0,0.161,11.15
1,5.75,0.189,11.65,1.326,2.086,1.989,0.044,-16.023,0.96,-12.965,93,102.1,392.269,1.195,-14.38,0,0.179,11.6925
1,6.25,0.169,11.54,1.3355,2.264,2.324,0.033,-19.417,0.89,-13.87,93.3,102.1,393.98,1.195,-13.64,0,0.189,11.329
1,6.75,0.17,11.71,1.382,2.266,2.178,0.041,-18.71,0.9795,-13.42,93.4,102.1,393.609,1.105,-12.33,0,0.176,10.845
1,7.25,0.1795,11.6,1.4,1.834,1.894,-0.046,-17.617,2.791,-13.02,93.6,102.1,392.5145,1,-5.174,13.61,5.462,10.3995
1,7.75,0.209,11.85,1.467,0.909,0.9835,-0.092,-11.9,7.0705,-12.53,92.9,102.2,390.951,1.075,20.43,107.2,53.98,11.817
1,8.25,0.24,13.175,1.677,-0.63,-0.468,-0.158,1.638,16.365,-11.06,89.25,102.2,388.941,1.6,69.625,299.85,143.55,13.575
1,8.75,0.291,15.095,1.9495,-2.345,-2.539,-0.233,26.01,27.769,-7.86,84.9,102.2,385.737,2.7,133.8,496.7,237,14.34
1,9.25,0.34,16.59,2.224,-4.8455,-4.7325,-0.2985,57.177,47.51,-4.6555,77.15,102.2,382.781,4.2,203.985,711,323.1,14.13
1,9.75,0.4,17.68,2.558,-6.3485,-6.325,-0.21,83.03,70.258,-1.6365,73.25,102.3,379.676,5.4,265.65,857,397.55,14.1355
1,10.25,0.4,18.06,2.586,-7.537,-7.528,-0.143,111.11,87.2135,1.051,69.555,102.3,378.658,6.31,322.1,1007,457.8,14.447
1,10.75,0.433,18.82,2.759,-8.501,-8.71,-0.081,134.313,100.865,3.876,65.1,102.3,377.3,7.725,376,1145,529.4,13.698
1,11.25,0.4465,19.155,2.893,-8.642,-9.1985,-0.0315,148.682,118.062,5.975,62.87,102.2,376.628,8.725,411,1241,578.5,13.935
1,11.75,0.453,19.48,2.877,-9.007,-9.5205,-0.0115,156.259,119.54,6.7575,60.365,102.2,376.471,9.14,430.9,1244,597.3,13.7745
1,12.25,0.443,19.83,2.8015,-8.879,-9.015,-0.027,154.287,125.388,7.41,58.99,102.2,375.94,9.51,436.5,1259,605.95,13.84
1,12.75,0.429,20.25,2.8,-8.704,-9.052,-0.0155,157.106,132.6585,7.99,58.11,102.1,375.836,9.75,421.5,1204,585.8,13.684
1,13.25,0.4485,19.93,2.89,-8.768,-8.917,-0.005,155.235,128.98,8.43,58.14,102.1,375.971,10.18,414.3,1237.006,589.25,13.5865
1,13.75,0.44,20.255,2.767,-8.4135,-8.757,0.005,142.483,126.069,8.63,57.2,102,376.08,10.1,377.3,1118.5005,555.2,13.58
1,14.25,0.416,20.33,2.703,-7.5165,-8.063,-0.003,127.149,117.9,7.46,58.37,102,376.235,9.88,337.3,1062,516.201,13.8605
1,14.75,0.419,20.31,2.611,-6.973,-7.297,0.009,109.1465,107.337,6.312,59.21,102,375.8295,9.82,295.9,949,459.15,13.355
1,15.25,0.4,20.16,2.6945,-6.097,-6.289,0.006,75.88,91.7085,4.5525,59.315,102,376.193,9.6,228.4,802.206,389.35,13.35
1,15.75,0.407,19.735,2.574,-4.777,-4.9535,0.016,50.441,70.089,2.512,60.105,102,376.227,9.23,169.1,623.6215,308.5,13.405
1,16.25,0.3745,19.46,2.393,-3.459,-3.5305,0.017,23.752,49.502,1.0755,62.71,102,376.39,8.49,100.95,429.05,218.05,13.391
1,16.75,0.341,18.755,2.2835,-1.792,-1.771,0.048,-3.824,28.04,-0.9335,65.3655,102,376.8475,7.59,35.015,228.959,127.85,13.683
1,17.25,0.276,17.8,1.874,0.217,-0.147,0.058,-18.051,11.896,-2.4885,69.95,102,377.544,6.24,-11.49,81.7,50.285,13.792
1,17.75,0.207,16.48,1.621,1.82,1.387,0.195,-20.272,2.9105,-5.165,75.3,102,379.366,5.005,-41.615,4.946,4.0555,13.69
1,18.25,0.188,15.42,1.511,2.402,1.999,0.18,-24.782,0.017,-7.45,77.95,102.1,382.1,3.955,-39.96,0,0.0365,13.47
1,18.75,0.156,15.09,1.407,2.447,2.132,0.076,-24.611,-0.322,-9.265,81.5,102.1,382.643,3.5,-36.755,0,0.0815,13.43
1,19.25,0.144,14.62,1.358,2.304,2.0155,0.0365,-24.03,-0.07,-10.655,82.95,102.1,383.659,3.4,-35.33,0,0.1815,13.434
1,19.75,0.151,14.3435,1.349,2.3035,2.106,0.0405,-26.914,-1.218,-11.255,84.15,102.1,384.64,3.2,-33.105,0,0.167,13.2015
1,20.25,0.16,14.305,1.374,2.461,2.0705,0.0365,-23.148,-0.941,-11.835,85.2,102.1,385.25,2.87,-31.541,0,0.179,13.09
1,20.75,0.168,14.1,1.385,2.338,2.349,0.0295,-25.398,-0.366,-12.43,86.1,102.1,385.9145,2.7,-31.417,0,0.161,12.947
1,21.25,0.181,13.84,1.491,2.421,2.185,-0.0085,-26.526,-0.36,-12.18,85.85,102.1,386.24,2.62,-31.16,0,0.1795,12.8365
1,21.75,0.19,13.86,1.539,2.4145,2.3465,0.0085,-30.5055,-0.245,-11.635,86.2,102.15,385.952,2.49,-31.074,0,0.166,11.957
1,22.25,0.1785,13.8,1.487,2.322,2.2925,0.012,-28.732,-0.69,-11.64,86.4,102.15,386.5015,2.4,-29.1,0,0.1905,11.94
1,22.75,0.1995,13.79,1.551,2.347,2.3045,-0.008,-28.783,0.2845,-11.74,86.8,102.2,386.755,2.29,-28.74,0,0.153,12.73
1,23.25,0.199,13.49,1.458,2.278,2.0395,0.038,-28.332,0.255,-11.78,87.6,102.1,387.367,2.14,-29.18,0,0.146,12.334
1,23.75,0.201,13.26,1.4315,2.2935,2.067,0.043,-28.83,-0.2535,-12.17,88.4,102.1,387.827,2.035,-27.76,0,0.163,12.357
