DOY2,HR2,USTAR,TA_1_3_1,WS,NEE,FC,SC,H,LE,G_1_1_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,H2O
1,0.25,0.60915,21.6215,4.078,4.7928,9.90695,6.60119999999999,7.7365,128.888,2.4006,96.105,102.9,670.5833,6.5125,-1.0207,0.533,0.7874,23.375
1,0.75,0.6016,21.85235,3.801,4.187,15.9230749999999,2.23145,15.6422749999999,156.80015,2.307175,96.33,102.855,710.91525,6.19125,-1.66895000000002,0.568,0.8634,23.4175
1,1.25,0.614799999999999,21.525,3.964,4.487,23.28815,3.3798,17.350775,58.729,2.444675,96.42,102.855,741.818875,6.274,-1.33905,0.568,0.8898,22.890075
1,1.75,0.5863,21.3555,4.066675,4.1345,22.92385,2.8845,5.1735,28.5944,2.349525,96.905,102.855,707.100674999999,6.06875,-1.29135,0.54,0.7446,22.052875
1,2.25,0.5945,21.36,4.2266,3.9766,8.01152499999999,8.96454999999997,21.23,65.2926,2.435325,96.715,102.855,658.215449999999,6.13924999999998,-1.50425,0.50765,0.9132,21.602325
1,2.75,0.6375,21.3415,4.01985,3.86945,13.04,9.70352499999997,7.99437499999994,73.1614000000001,2.38085,96.7,102.855,712.326224999999,6.90449999999999,-2.15565,0.568,0.7756,22.07195
1,3.25,0.6446,21.231,4.173075,4.037475,9.06579999999999,6.121,12.6533,25.3548,2.317375,96.315,102.8,758.67685,6.0575,-0.843250000000003,0.5365,0.8646,22.3826
1,3.75,0.632575,20.9995,4.339,4.30549999999999,22.1121499999999,5.90199999999998,11.361475,94.6995,2.298875,96.505,102.8,751.5264,6.02675,-0.942700000000007,0.639,0.8304,22.5884
1,4.25,0.6645,20.6705,4.4755,4.297,20.996025,7.62764999999997,8.63442499999996,112.983825,2.3119,96.41,102.8,722.9852,6.37724999999999,0.182449999999999,0.639,0.8812,23.06425
1,4.75,0.6234,20.851,4.062,4.3444,28.058625,6.83355,20.8931249999999,42.1849999999999,2.38525,96.505,102.8,735.109,5.92749999999999,-0.689050000000002,0.6461,0.8376,24.5941
1,5.25,0.63195,20.7925,4.427275,4.372,12.11575,5.37235,25.01225,102.7493,1.95935,96.715,102.8,761.11835,5.93574999999999,-1.2746,0.958650000000004,0.8732,23.94255
1,5.75,0.70775,20.5605,4.5625,5.13957499999999,24.278725,6.03805,24.2384,95.1948000000003,1.8721,96.505,102.855,790.0382,5.85425,-0.9038,0.75925,0.927,22.962125
1,6.25,0.75775,20.71665,4.729075,5.2485,33.866,4.701,38.1989499999999,112.164099999999,1.776175,96.4,102.855,779.592,4.99124999999999,0.481849999999979,1.664625,0.8748,23.3006
1,6.75,0.669599999999999,20.6605,4.579,4.2723,12.12085,4.84375,46.3999499999997,161.0342,1.5559,96.6,102.9,824.4706,5.195,4.43414999999995,35.3962,0.9962,23.5755
1,7.25,0.661874999999999,20.549,4.793,4.4768,14.44785,3.122,36.4367999999999,118.216299999999,2.096425,96.7,102.9,789.153149999999,5.0965,47.6455,153.9225,15.468,23.60125
1,7.75,0.645,20.9085,4.231,3.3952,15.0149499999999,5.82935,59.7509499999998,103.204325,3.24517499999999,96.8,102.955,790.144675,5.303,102.38,320.135,88.72,23.829725
1,8.25,0.7218,21.811,4.469175,2.0412,28.6108,4.21295,146.9676,120.9485,4.12025,96.7025,103,763.026125,6.11299999999999,200.894975,510.32,189.11,28.92025
1,8.75,0.711375,22.83725,4.638425,0.985874999999997,36.95705,2.2143,191.366875,155.4091,13.68,96.5,102.955,721.3342,7.22174999999999,261.13655,641.93,284.66,30.628
1,9.25,0.826875,23.742,4.85395,0.827424999999999,39.8753249999999,0.71277499999999,165.2755,140.10075,17.36125,96.0075,103.0575,632.698625,8.45699999999999,310.516225,843.7294,375.8775,31.155
1,9.75,0.8235,24.3316,5.2765,0.003625,9.1315,1.03312500000001,202.19725,143.515,23.47375,94.6525,103.1,438.530025,9.97,359.0729,1022.4,464.3875,27.969
1,10.25,0.744,25.4942,4.8631,-1.17980000000001,-2.49825,0.0639999999999997,216.1956,158.98825,43.98125,93.6075,103.0575,395.3488,11.86,398.372025,1184.2024,536.8175,23.9394
1,10.75,0.791,26.17225,5.1566,-1.27565,-1.13730000000001,0.321999999999993,244.8441,190.49075,55.958,92.735,103,392.4025,13.725,446.885,1317.6304,606.78,23.58075
