DOY2,HR2,H,LE,FC,SH,SLE,SC,CO2,H2O,RH,VPD,WS,USTAR,LW_IN,LW_OUT,RH_1_1_1,NETRAD,SW_IN,SW_OUT,G_1_1_1,G_2_1_1,G_3_1_1,TAU,T_SONIC,TA,PA,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA
1,0.25,-90.66170375,-14.81627,-11.83830425,-3.24265475,-12.8473,-1.96466075,334.568775,5.16438265,61.283628,0.0131701245,0.5552732125,0.02430377125,245.2909375,326.82975,61.9759865,-97.84104375,-0.928089655,-0.139433875,-33.0463475,-48.49846125,-42.6013375,-0.7218894625,13.7630525,3.28319775,101.79385,0.1305665,0.11583174625,0.01937027875,0.1205262625,0.3054968585,0.02609167
1,0.75,-99.75807625,-37.60471,-1.6530453,-2.14692,-4.18889525,-2.986264625,336.509975,5.05026295,62.143751,0.012818326,0.4374035125,0.01780803125,244.0319875,326.06755,61.01981825,-101.1525425,-0.9339844,0.02670974,-33.268895,-49.70617,-43.6919625,-0.6687744125,14.185985,2.946194125,101.76285,0.133182797875,0.094317607375,0.01650280625,0.10038641125,0.319171829625,0.03423685245
1,1.25,-79.03633875,-16.02987,-4.704610375,-2.028056625,-4.030736,-1.32346775,351.0932125,4.97307665,63.1962995,0.0133028435,0.395585825,0.01762896125,241.3794625,324.3425375,63.44747025,-103.39226875,-0.95175374,-0.0458375,-31.471025,-47.350375,-41.2794125,-0.691626775,14.45766,2.749274,101.72575,0.121029925,0.104573525,0.0139149265,0.1360324125,0.220595208,0.03863633
1,1.75,-71.030454,-16.88994825,-2.2425145,-3.087692625,-4.638466,-2.842683875,346.167725,4.867770275,63.09113025,0.01424946575,0.388277175,0.019599026,240.4556125,323.0682875,63.421221,-103.36879,-0.9102473675,-0.0481875,-33.17843375,-49.41846875,-45.552425,-0.4639246,14.55602875,2.552702875,101.73715,0.1225232797,0.11454655,0.0112919504,0.112963525,0.335637525,0.03813647
1,2.25,-92.58631125,-16.451428,-5.6975241,-2.263849375,-6.19362,-2.2998425,354.11611,4.865951725,63.096088,0.000869767500000002,0.5314198125,0.023791694,240.6700375,322.4664375,63.03772675,-102.0292125,-0.98647889,0.167647875,-33.6322825,-50.4240875,-45.5899,-0.54486326,14.5576075,2.765311,101.718425,0.1332564875,0.131837526125,0.014454469,0.093174468,0.29626347,0.03374294
1,2.75,-98.0544375,-53.1890925,-7.81366445,-2.24859775,-4.9752206,-2.0292765,350.9361,4.917497375,60.74001425,0.000919440000000002,0.375756875,0.0267634725,240.0275,320.2246125,62.38199575,-101.13979,-0.8547469,0.04190825,-34.01858375,-51.03466875,-45.2998,-0.5669721875,14.63177875,2.113909,101.70745,0.12503536825,0.138038425375,0.01867016625,0.1153055375,0.4060628,0.0308349365
1,3.25,-97.74333625,-72.5582,-5.8547361,-2.613879125,-3.65708,-1.1325606,351.85801,5.0317463,59.63820175,0.000861577500000002,0.5657600625,0.022501175,239.0876125,320.4561375,60.96807775,-99.918,-0.924970075,-0.0987271625,-34.27160625,-51.4082,-44.1648625,-0.465784125,14.54841875,1.864748625,101.697925,0.1605298625,0.128319045125,0.01879375125,0.1355285125,0.40208854,0.033199125
1,3.75,-85.39587375,-48.57447,-7.3523279,-2.420218375,-5.438517,-4.4446093,362.13415,4.998296,62.91410125,0.000926932500000002,0.617395075,0.02820158125,238.3500375,321.427,63.85533875,-99.81237125,-0.931522865,-0.07174125,-34.60577875,-51.75135,-44.8839,-0.48356375,14.15578125,2.08710625,101.659025,0.12609011475,0.11962028125,0.022976522375,0.125291636625,0.3117605572,0.03570764
1,4.25,-91.38996875,-19.57324625,-7.2713399,-1.774697625,-2.39593845,-2.3754477,347.58314,4.92519645,63.2005325,0.000931882500000002,0.5203563625,0.0180319275,237.6668625,319.048375,63.6534525,-98.767715,-0.924827045,0.05435,-34.8948375,-52.06526875,-45.6622,-0.3563474625,14.49210125,1.634673875,101.6486625,0.130963278375,0.1381375625,0.017540801,0.11393508875,0.33219225,0.028821286
1,4.75,-82.50139875,-33.41826375,-3.7221582,-2.875652375,-5.729399575,-0.77193543,358.84693,4.8088697,63.37499,0.000895875000000002,0.6273228125,0.024447645,236.8303,319.336125,64.50043,-97.32573625,-0.807474645,0.130551625,-35.143735,-52.1283375,-47.5304375,-0.50576605,14.49358,1.495473375,101.6396,0.127501987125,0.132122025,0.02085234375,0.09433437125,0.3370024132,0.03657132
