DOY2,HR2,H,LE,FC,SH,SLE,SC,CO2,H2O,RH,VPD,WS,USTAR,LW_IN,LW_OUT,RH_1_1_1,NETRAD,SW_IN,SW_OUT,G_1_1_1,G_2_1_1,G_3_1_1,TAU,T_SONIC,TA,PA,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA
1,0.25,-23.3588,4.33647,1.114464,-0.5107234,-0.638005,0.0009523505,393.881,15.37712,97.38642,0.4284804,2.21419,0.23471,342.4304,381.3026,89.7866,-42.321,-0.6040745,1.107019,-10.79229,-15.2142,-17.46516,-0.0689631,23.237,13.5804,102.8238,0.584313272140895,0.4693191,0.3064949,0.249845552,1.47892366,0.1831189
1,0.75,-22.3213,3.46488,1.339604,-0.4317029,-0.43544385,0.0107094955,394.06685,16.038025,99.059915,0.13218675,2.09652,0.2116694,340.034,380.1915,89.18035,-43.22822,-0.50535125,1.213566,-10.8074,-15.6313,-18.318455,-0.05790252,23.10836,13.384,102.817,0.539148402575766,0.424182743637692,0.2745014,0.252356,1.427992,0.18163645
1,1.25,-23.2565,4.700436,1.230603,-0.2413502,-0.2326122,0.0063670525,394.1357,15.38789,97.45117,0.3926978,2.17101,0.227849,337.424,379.181,89.755505,-44.0624,-0.4398218,1.20153,-10.07487,-14.5301,-16.772175,-0.0650245,23.13,12.986,102.817,0.5729901,0.4598931,0.2895266,0.2556996,1.530213945,0.1629352
1,1.75,-22.08004,3.83911,1.2977165,-0.305906,-0.2912151,-0.0209765,393.3357,15.03315,97.5702,0.3244184,2.099104,0.2184793,341.284,377.936,89.83259,-43.7895,-0.4813138,1.200324,-10.38633,-14.2336,-18.934455,-0.058834515,23.197,12.76685,102.81,0.57624835,0.494810065,0.280315085489294,0.2415237,1.20940808458681,0.1542155
1,2.25,-21.39875,4.12782,1.3597205,-0.30520355,-0.325553,0.001931168,394.3158,15.46097,98.71506,0.145767,2.22311,0.233193,340.64735,377.4231,90.31542,-45.01135,-0.5620106,1.2210915,-10.595915,-16.05545,-19.958355,-0.0660157,23.22801,12.92485,102.79795,0.591385237378261,0.45639975,0.286340706,0.234638823763824,1.198398,0.1561377
1,2.75,-22.61145,4.3723295,1.44804,-0.32972235,-0.26211305,0.0114151,395.348,15.28978,97.75427,0.3073777,2.14218,0.2378156,342.5355,376.4505,91.05002,-47.573425,-0.4195045,1.2018295,-10.6581,-17.08375,-20.34263,-0.06936221,23.1255,12.55834,102.783,0.5888203,0.4447710475,0.292138932016977,0.25125045,1.326871948,0.1443911
1,3.25,-23.3473,2.3648,1.24034,-0.3399675,-0.192654,0.01596352,396.39,15.52742,98.9322,0.1926143,2.098755,0.2087935,345.9085,375.238,92.457345,-44.5985,-0.4114925,1.2054405,-11.24115,-17.92244,-20.64879,-0.0540076,22.683725,12.240285,102.7808,0.54599785,0.44700155,0.26572925,0.23902135,1.26500374808181,0.1463243
1,3.75,-25.35651,2.337198,1.21518,-0.34912975,-0.2196811,-0.01197554,395.017,15.7374,99.84765,0.03404482,2.037865,0.21505075,345.902,375.2234,93.08482,-44.11736,-0.50649575,1.2936265,-11.8286,-18.394845,-20.704125,-0.0576069,22.689605,12.408125,102.782,0.5792764,0.431353335904938,0.268539041481081,0.2393535,1.27284,0.152957620464478
1,4.25,-24.02165,4.22851,1.4242,-0.1936667,-0.36752,0.0090947635,395.04925,15.3997,99.84738,0.03453409,2.102148,0.22584965,345.627,377.43905,93.423945,-41.9925,-0.4349568,1.2280145,-11.843435,-19.38575,-20.665095,-0.063426395,22.964455,12.4645,102.7838,0.580066299125378,0.4515965,0.2990382,0.229062759734515,1.079669,0.123917
1,4.75,-26.9943,4.995113,1.319268,-0.1368685,-0.0890106,-0.0154596,394.6745,14.979495,99.52742,0.05677825,2.2309635,0.2272845,342.7074,378.2759,93.776955,-44.37915,-0.4698678,1.228917,-12.0718,-18.6948,-20.91438,-0.064183535,22.951085,12.64315,102.7921,0.5797841,0.44637,0.296632140863425,0.234486950026306,1.16709231980538,0.14200534
