DOY2,HR2,FC,FCH4,LE,H,PPFD_IN,TA,TS,RH,VPD,USTAR,WS,V_SIGMA,TAU,T_SONIC,CO2,H2O,U_SIGMA,W_SIGMA,PA,LW_IN,LW_OUT,NETRAD,SW_IN,SW_OUT
1,0.25,1.542245,24.787,0.267,-11.77,0,15.66,15.09,64.555,5.37994,0.15665,1.884746146,0.140708635,-0.0441061,16.0604,414.8525,0.1047051,0.55301,0.2477685,102.407,259.191246431969,231.423789173789,-4.44655336019773,-4.7639479638009,-0.917421289355322
1,0.75,1.431959,17.018,0.391,-8.316,0,15.8,14.955,62.998,5.53618,0.16195,1.8299642605,0.137485912,-0.0601084,15.80905,413.5795,0.1027066,0.6036,0.2325245,102.388,253.568030447193,233.307692307692,-4.30614948747346,-2.73837481146304,1.77061469265367
1,1.25,1.117099,20.064,0.851,-13.8945,0,15.44,14.82,63.5585,5.264285,0.14765,1.9679986265,0.130926272,-0.0449935,15.14425,416.1415,0.101755,0.5298975,0.2378415,102.354,255.093720266413,233.733974358975,-4.32984003473377,-2.35803167420814,1.75777736131934
1,1.75,1.101688,23.236,2.836,-9.201,0,15.32,14.685,63.986,5.176135,0.15935,1.9262098305,0.129778912,-0.0260656,14.7654,417.273,0.114614,0.438209,0.196994,102.381,252.540437678401,232.960826210826,-4.20610959791594,-2.46222850678733,1.80300599700149
1,2.25,1.12653,30.0955,3.76,-11.771,0,15.375,14.555,64.354,5.2709,0.14505,1.789456192,0.1138959395,-0.021097,14.45835,416.289,0.10663475,0.426727,0.1712825,102.319,250.17697431018,232.74537037037,-4.21688396186522,-2.0525754147813,1.63260869565218
1,2.75,1.5329735,21.93575,2.7555,-11.537,0,15.47,14.51,60.279,6.96816,0.14365,1.687680549,0.1111264995,-0.0164204,14.46445,416.0885,0.1047282,0.446467,0.13479,102.3165,249.843006660323,232.89245014245,-4.33687788458711,-1.87132730015083,1.81615442278861
1,3.25,1.0235485,13.776,4.199,-8.93,0,15.205,14.455,59.137,6.4723,0.1551,1.7686819575,0.1548347795,-0.0180525,14.49505,418.7965,0.1039481,0.414347,0.147353,102.312,249.375356803045,231.204772079772,-4.506991125478,-1.96913650075415,1.51194527736132
1,3.75,1.113927,10.827,1.419,-12.098,0,15.335,14.4,58.443,7.58051,0.15705,1.9391765855,0.1754388285,-0.012632195,14.44395,419.7435,0.0964215,0.404254,0.144759,102.2855,249.076593720266,230.716168091168,-4.55475628701488,-1.75885369532428,1.60870689655173
1,4.25,1.142514,19.973,1.198,-14.447,0,15.72,14.35,60.418,7.185635,0.145,1.934296334,0.1374076565,-0.02481365,14.4461,425.002,0.09856195,0.505469,0.185209,102.326,251.593720266413,228.445512820513,-4.22674507768741,-1.85841628959276,1.62262743628186
1,4.75,1.159285,22.2425,1.285,-10.684,0,15.49,14.3,59.23,8.40652,0.1385,1.848431316,0.1489560765,-0.0253662,14.3644,424.2935,0.0909863,0.492033,0.191769,102.3405,250.732635585157,228.560541310542,-4.30380164555732,-1.94313725490196,1.6168628185907
1,5.25,0.9823445,24.512,2.132,-13.941,0,16.52,14.225,60.0795,7.85166,0.13225,1.616861791,0.1312768535,-0.02930695,14.37545,429.3455,0.0973537,0.4634135,0.2080215,102.3715,253.303996194101,228.74821937322,-4.40518378763108,-1.71227752639517,1.31459145427286
1,5.75,1.093407,26.7815,0.6595,-15.393,0,16.705,14.09,62.758,7.30638,0.16805,1.90654284,0.1517886695,-0.0393174,14.24495,434.2245,0.093611,0.498191,0.1997835,102.4015,258.021408182683,227.122863247864,-3.81591723934412,-1.988197586727,1.32560344827586
