DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,SC,G,H,LE,PA,RH,T_SONIC,T_SONIC_SIGMA,TA,VPD,TS_1_1_1,TS_1_2_1,TAU,U_SIGMA,USTAR,W_SIGMA,WS
1,0.25,385.8858567,0.3445241495,4.69179628475,0.000746401,0.3514768185,-0.5233552465,-23.0675,-42.58088621,0.608255224,98.9,42.7963382225,9.443427527,0.1349552405,5.34032849475,2.65134743,8.34,9.57,-0.3054043695,0.439970795,0.169462461,0.220135078,1.882
1,0.75,386.039111125,0.315948161,4.75547111075,0.0007768755,0.30421230425,-0.683218466,-23.455,-41.5246473275,-0.838057189,98.9,43.98908738,8.98242939125,0.129608374,4.9946922015,2.5456620575,8.32,9.43,-0.27988729475,0.4557140415,0.16687509325,0.21041249825,1.816
1,1.25,386.0959066,0.302874605,4.848332146,0.000818279,0.2735963205,-0.628625065,-23.735,-39.82329803,-0.1302884495,98.9,44.678621665,8.71581775075,0.12732809275,4.69240811,2.50855514,8.16,9.26,-0.308134822,0.43705537925,0.1666265295,0.210262217,1.848
1,1.75,385.914130275,0.3023313685,4.687392095,0.000848654,0.389438372,-0.598635291,-24.31,-42.588412525,-0.56237787975,98.9,45.680499455,8.36943397925,0.123952916,4.433131446,2.480531135,8,9.21,-0.2628804425,0.4234982095,0.149338132,0.20678241725,1.804
1,2.25,386.579986,0.286434966,4.913425194,0.000730076,0.187399689,-0.63484097525,-24.8775,-40.67980054,-0.1207799575,98.9,46.1830544525,8.1922575765,0.1251592105,4.0723808365,2.42450824,7.79,9.09,-0.275002635,0.420585306,0.15465868775,0.1824390485,1.772
1,2.75,386.837558325,0.2867489845,4.66001911175,0.000678005,0.337268115,-0.667839277,-24.9725,-40.27359479,0.985936378,98.9,47.190823825,7.904194992,0.12662591625,3.902779361,2.40424128,7.64,8.94,-0.296275709,0.442576216,0.16333993075,0.19336826875,1.742
1,3.25,386.4800089,0.2823454215,4.649205924,0.0007534705,0.174496707,-0.6214356345,-25.0125,-37.68458019,0.263945507,98.9,48.3505831525,7.719192735,0.12062876075,3.717418225,2.4063988925,7.44,8.83,-0.277796109,0.45228281275,0.1661773545,0.2047513835,1.735
1,3.75,387.181551175,0.335404046,4.475202976,0.00087768175,0.1753975605,-0.823732816,-25.3675,-40.8373614625,-0.20974525,98.9,49.6249974875,7.698655318,0.127634998,3.510769448,2.3752555525,7.4,8.67,-0.28065858775,0.428509767,0.160432903,0.194433472,1.776
1,4.25,387.967863975,0.294122066,4.629515654,0.0006346305,0.24614571075,-0.8030132085,-25.485,-38.71952552,0.50478606025,98.9,50.76458709,7.33450370675,0.130488903,3.392237991,2.329546295,7.25,8.62,-0.28554943975,0.432716331,0.1595651275,0.200877113,1.766
1,4.75,387.7261816,0.30359209,4.7005412855,0.000746731,0.2623168335,-0.624054959,-25.6925,-37.53538457,0.06666830925,98.9,51.456773915,6.984183683,0.12992175775,3.097099689,2.27236954,7.16,8.54,-0.28559156675,0.452960263,0.166721289,0.21067903475,1.769
1,5.25,388.33944575,0.360902048,4.6756504385,0.000727426,0.246016022,-0.524629486,-25.8375,-37.55568038,0.093316912,98.9,51.85,6.90244221125,0.1335639125,2.843651482,2.1646392575,7.04,8.43,-0.2774792575,0.447150011,0.16326989775,0.20775629375,1.735
1,5.75,389.526204725,0.3347990085,4.519615945,0.0007222865,0.26464251,-0.8190644945,-25.8825,-37.12457166,1.13514919,98.9,52.99174484,6.63600469625,0.1281440045,2.580465681,2.12372706,6.864,8.35,-0.279188468,0.46009744475,0.164300457,0.205053237,1.721
1,6.25,389.250046125,0.339952286,4.60631614975,0.00068072725,0.19415403,-0.956590921,-26.0875,-35.70228195,-1.349090263,98.9,54.512549465,6.380056869,0.124002765,2.235923808,2.146672445,6.674,8.29,-0.272349518,0.462651014,0.169907687,0.2098664185,1.612
1,6.75,389.80440145,0.32427235,4.61134381075,0.000696457,0.275309961,-0.685726961,-26.015,-38.49485313,-0.023096839,98.9,55.16793545,6.0125296335,0.12035078075,2.07132554375,2.151111545,6.772,8.2,-0.2495489405,0.4619000835,0.173414241,0.216919488,1.688
1,7.25,389.96533935,0.30873157975,4.473886037,0.0006686325,0.234557934,-0.7128758485,-26.04,-36.7717384375,-0.332958724,98.9,56.471322945,5.82453435575,0.11888820875,1.995793222,2.1067549725,6.795,8.13,-0.26104461125,0.45617355475,0.18744166425,0.24488564375,1.749
1,7.75,390.05751115,0.27314168225,4.7891016405,0.00073226275,0.115881506,-0.46405090125,-25.625,-31.028068765,-0.2013862545,98.9,56.83719425,5.709366592,0.1120650645,1.7021789495,2.0408790175,6.65,8.15,-0.2823757725,0.46032777675,0.198502272,0.23478623025,1.70625
1,8.25,390.263750925,0.18694562725,4.7202340995,0.00121194175,0.0186829355,-0.74602074,-24.705,-20.12790358,2.553576013,98.9,56.7045869775,5.81064915225,0.11240276275,1.96399858775,2.0874230375,6.8895,8.395,-0.317977833,0.5109616765,0.22433858275,0.27262028425,1.65
1,8.75,389.7904938,0.30252279275,4.9027500875,0.00230047425,-0.88538648325,-0.735971818,-22.95,-5.32109654,8.956359019,99,53.7,6.388404238,0.1477346725,2.722244556,2.191696395,7.6875,8.7475,-0.451266612,0.596210212,0.2813241645,0.345901334,1.58175
1,9.25,390.024023925,0.534668539,4.83528212325,0.007022246,-2.1252635685,-0.32959597275,-20.425,8.56740787,16.664249505,99,50.335528165,7.6423306385,0.191315084,3.83180635175,2.3821044575,8.255,9.2,-0.57826771375,0.66820891675,0.328224397,0.4020964015,1.506
1,9.75,388.740886725,0.76143041125,4.9682848275,0.00690677,-3.174866386,-0.3768281845,-16.845,29.0728092275,28.20300513,99,45.8966361625,8.64893339975,0.242818029,4.6712986505,2.4925790975,8.8975,9.5175,-0.7004427,0.785319813,0.3814786715,0.48871003025,1.5435
1,10.25,387.827158325,0.97938192,4.772427983,0.005907973,-5.126040309,-0.32983948525,-14.515,41.249298335,30.91831082,99,41.7,9.65758417625,0.273895322,5.936033043,2.6726250025,9.0975,9.6475,-0.70293092975,0.788747601,0.412341067,0.50915733975,1.617
1,10.75,386.95928665,1.22066852275,4.7011514285,0.0066368635,-6.0784864045,-0.135361538,-12.5,65.73543261,36.59564809,99,38.7690058,10.355078805,0.27726501,6.488196615,2.9746482325,9.3375,9.855,-0.72402895325,0.8643806795,0.43084233475,0.581303805,1.665
1,11.25,385.9369768,1.335162904,4.7140833695,0.00752748575,-6.3004604745,-0.16522328275,-10.76,101.4792213,44.38829828,99,35.9122178025,11.3228783,0.28232085375,7.117614445,3.640233665,9.5275,9.96,-0.754012261,0.87300002125,0.42043006925,0.612044898,1.814
1,11.75,385.457289075,1.4201342295,4.719116745,0.007657246,-6.88514988075,-0.1090288965,-8.4675,102.966962875,50.0905821625,99,34.55,11.83949813,0.280848079,7.660448762,3.9828249725,10.82,10.725,-0.778909136,0.90671661,0.45388925525,0.623590619,1.81675
1,12.25,384.82542675,1.385793413,4.817468572,0.008888503,-7.127733321,-0.211502715,-2.991,114.80935295,49.6930647825,98.9,33.50176763,12.80192379,0.309511733,8.63076150325,4.4035005225,11.36,10.905,-0.853208111,0.936331254,0.47785016175,0.6463988265,1.756
1,12.75,384.208016875,1.404708748,4.86093082375,0.00861513,-6.876245983,-0.1334846445,-0.8025,122.9642717,55.9919095425,98.9,31.8029417475,13.286304535,0.324605672,9.07458002,4.7353925675,11.805,10.98,-0.8481034545,0.9949769135,0.49510197675,0.66749873675,1.936
