DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,SC,G,H,LE,PA,RH,T_SONIC,T_SONIC_SIGMA,TA,VPD,TS_1_1_1,TS_1_2_1,TAU,U_SIGMA,USTAR,W_SIGMA,WS
1,0.25,391.9919318,0.640358416,7.7370324595,0.002708509,0.915498849,-0.110164544,-12.515,-30.82068903,6.477149889,99.2,55.55,14.2766,0.203919202,9.6476353315,4.40501653,11.11,11.79,-0.1353016145,0.707651108,0.33179408,0.406758909,2.243
1,0.75,392.4066776,0.649271502,7.6582291785,0.002654407,0.925602199,-0.23156314,-12.945,-30.01045767,5.541725026,99.2,56.887330215,13.677774145,0.191494117,9.163461237,4.177789165,10.88,11.79,-0.119288327,0.7017871435,0.310179586,0.400063881,2.195
1,1.25,392.578877,0.643731287,7.521596495,0.002121446,0.819586446,-0.066276863,-13.355,-30.19636318,4.896619534,99.2,57.86678783,13.613917415,0.188280383,9.071400391,3.973929,10.74,11.61,-0.116343417,0.7010659005,0.303894618,0.3731558675,2.185
1,1.75,392.47623175,0.593879239,7.51850214,0.002534962,0.937769983,-0.17037052,-13.21,-29.66455669,5.51413258,99.2,59.27096593,13.323491685,0.1970059985,8.856561249,3.84417526,10.7,11.46,-0.107248048,0.6577348755,0.296260293,0.381422381,2.145
1,2.25,393.4438073,0.66816075,7.448921286,0.002712046,0.87247834,-0.174263843,-13.345,-28.93053662,6.069879369,99.2,60.146109395,13.07404462,0.195131042,8.541172569,3.845160435,10.66,11.35,-0.102473941,0.639003816,0.2880904305,0.359025179,2.134
1,2.75,393.69394195,0.636171094,7.32704518,0.001929201,0.928974295,-0.134471944,-13.54,-28.07876832,5.935320529,99.2,61.270510365,12.78884693,0.2031005585,8.215834452,3.646652575,10.52,11.27,-0.115906475,0.655807893,0.304877875,0.371797046,2.134
1,3.25,393.6686417,0.6699455705,7.072263177,0.002705617,0.888357842,-0.143512176,-13.515,-27.949087805,5.6206143225,99.2,61.619100835,12.57175227,0.188132829,8.016166382,3.430729665,10.43,11.3,-0.098491125,0.656028357,0.2792682475,0.3516758005,2.092
1,3.75,393.76453435,0.812550409,6.927998456,0.0033456035,0.9828181085,-0.137221308,-13.48,-28.5462394,4.4192839685,99.2,63.56158242,12.12355154,0.192936975,7.689265785,3.32506271,10.32,11.18,-0.1125731455,0.686796424,0.300773966,0.373736404,2.098
1,4.25,394.03962865,0.743292668,6.9892799815,0.002636556,1.0141151115,-0.138160817,-13.615,-28.8194782,5.1316431035,99.2,65.579109595,11.87971679,0.194986249,7.357988024,3.204734185,10.2,11.12,-0.123411079,0.693484752,0.313890239,0.375724057,2.15
1,4.75,394.3338842,0.680773528,6.950385368,0.002423658,0.941538885,-0.068387445,-13.66,-29.534327275,4.771076576,99.2,67.45936119,11.70740307,0.197388137,7.169228295,3.066571115,10.15,11.06,-0.1044746615,0.666715652,0.293425934,0.3747415125,2.148
1,5.25,395.0347183,0.749182582,6.9812643405,0.003244779,0.829099595,-0.058514509,-13.7,-25.94338594,5.202639774,99.2,66.65,11.576253365,0.183895212,6.9254772515,3.032338385,10.16,11.02,-0.108160139,0.641104131,0.2920528705,0.3568058495,2.075
1,5.75,395.315703,0.833570462,6.925715417,0.002881069,0.908079998,-0.189148735,-13.835,-27.43129773,6.271439159,99.2,65.95346317,11.424799295,0.192609773,6.886206581,2.935236205,10.11,10.82,-0.116694848,0.6604123,0.309124744,0.376123714,2.067
1,6.25,396.2249238,0.876434304,6.9569191315,0.0024789385,1.009163183,-0.137180782,-13.635,-25.13843123,3.785364554,99.2,66.55203783,11.30185362,0.182757011,6.689745616,2.8181612,10.07,10.84,-0.100205788,0.635758361,0.28395,0.3568428095,2.097
