DOY2,HR2,CO2_1_1_1,H2O_1_1_1,CH4_1_1_1,FC_1_1_1,FCH4_1_1_1,SC_1_1_1,SCH4_1_1_1,G_1_1_1,H_1_1_1,LE_1_1_1,SH_1_1_1,SLE_1_1_1,WS_1_1_1,USTAR_1_1_1,PA,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,T_BOLE_1_1_1,T_BOLE_2_1_1,NEE
1,0.25,430.6311,2.10359425,2082.282,0.30030235,6.466095,0.0627846425,0.6296395,-10.55,-0.5552416,1.05081375,0.43720685,0.3415537,3.435559,0.401749,96.45364,-5.27551675,-4.789834,-4.884667,-4.903,-4.924,-0.6683333,-0.34783335,-0.028166665,0.3376667,2.4393335,3.5806665,4.5073595,-4.642626,0,0,0.873838775,285.9747,293.1251,-5.0093335,-4.9745,0.3131154
1,0.75,430.23405,2.1081225,2083.557,0.2855854,5.933145,0.06248555,0.5049481,-10.5525,-0.528352625,0.9756742,0.4656647,0.3233517,3.29918575,0.38397865,96.426,-5.203634,-4.9714165,-5.02,-5.0638335,-5.0464165,-0.82041665,-0.41425,-0.0222500025,0.347583325,2.46841625,3.58100025,4.52623275,-3.96664825,0,0,0.809352725,286.0416,293.2247,-5.1164165,-5.0706665,0.3014694
1,1.25,429.964675,2.0709035,2082.518,0.2745647,5.7017265,0.06920974,0.398695375,-10.65583,-0.37929785,0.90428395,0.4170135,0.2900751,3.31286625,0.389149575,96.4377325,-5.112767,-5.1038335,-5.19524975,-5.22475,-5.27049975,-0.80883335,-0.41325,-0.053000005,0.34299995,2.474833,3.5665835,4.530899,-3.96759025,0,0,0.73984115,287.36,293.31485,-5.2918335,-5.2973335,0.301349375
1,1.75,430.332575,2.09396575,2087.952,0.2796517,5.709874,0.06740975,0.59664865,-10.68,-0.2807038,1.3320455,0.51085625,0.2774667,3.214674,0.386870425,96.44231,-5.176966,-5.347667,-5.37625,-5.4076665,-5.4365835,-0.844833375,-0.44941665,-0.053833335,0.341083325,2.46325,3.55625,4.5117655,-4.134911,0,0,0.78449915,287.71345,293.66005,-5.46,-5.42108375,0.295241425
1,2.25,430.893175,2.1121705,2087.6325,0.2912393,5.973178,0.05460029,0.597677925,-10.6583325,0.05861268,1.098479,0.4596021,0.2824327,3.31773125,0.3820405,96.4656525,-5.203875,-5.0725,-5.2585835,-5.38258275,-5.505667,-0.8346667,-0.432250025,-0.03741666675,0.32408335,2.423333,3.54141675,4.505041,-4.423523,0,0,0.7338969,287.935475,293.417775,-5.43666725,-5.41674925,0.294965425
1,2.75,431.0103,2.106896,2088.999,0.299003775,5.159688,0.06265602,0.499208125,-10.81,-0.2368341,1.063626,0.47769505,0.2637546,3.148253,0.3764541,96.477745,-5.31648325,-5.362,-5.585001,-5.587667,-5.735334,-0.8606666,-0.495,-0.071,0.3316667,2.464,3.557333,4.527033,-4.311638,0,0,0.80181805,288.3949,293.301825,-5.611,-5.623333,0.308875725
1,3.25,431.2412,2.127503,2088.113,0.2622238,5.61152175,0.05554566,0.477468725,-10.81,-0.1223818,1.154334,0.501467325,0.291443025,3.15758925,0.36743925,96.471345,-5.299333,-5.498,-5.631,-5.639667,-5.875,-0.865,-0.487,-0.1043333,0.2966667,2.439333,3.553,4.525667,-3.971,0,0,0.71982475,288.4282,293.7954,-5.847333,-5.816333,0.3044337
1,3.75,431.77365,2.123172,2087.47775,0.26709465,5.352292,0.06943578,0.41053045,-10.81,-0.1679717,0.6631724,0.6520699,0.2168346,3.10648375,0.36351475,96.457925,-5.3317,-6.038,-6.038,-6.026,-6.044,-0.8433333,-0.4916667,-0.09766666,0.272,2.431667,3.541,4.51829275,-3.583833,0,0,0.673577825,288.4176,294.8942,-6.051,-5.980667,0.311488025
1,4.25,432.6648,2.135802,2084.551,0.278930325,5.875784,0.062384255,0.43285775,-10.81,-0.289351175,0.9616943,0.39991455,0.1951536,3.117923,0.368178075,96.45449,-5.501883,-6.03883325,-6.01658375,-6.00799975,-6.0281665,-0.846249975,-0.51466665,-0.0777500025,0.2615,2.410917,3.554667,4.5293495,-3.708762,0,0,0.816026,288.17985,295.85275,-6.00525,-6.0028335,0.3174167
1,4.75,433.3708,2.14314975,2084.87025,0.2718615,5.91039375,0.060750645,0.48570935,-10.93,-0.4307736,1.176878,0.5357464,0.280172775,3.1221155,0.367284,96.455055,-5.3984745,-6.221333,-6.210333,-6.222,-6.272,-0.855,-0.5173333,-0.08633333,0.2637,2.4,3.554,4.5400665,-3.500763,0,0,0.723901525,288.919675,296.958675,-6.279,-6.267,0.27680975
1,5.25,436.5504,2.136187,2087.54925,0.2948657,4.661745,0.062518365,0.51998975,-10.96,-0.1747105,1.04937975,0.73108885,0.20737435,3.111343,0.3703901,96.47765,-5.3448165,-6.210001,-6.238667,-6.421,-6.438,-0.9246666,-0.5226666,-0.08466667,0.262,2.391667,3.539,4.55144025,-4.152802,0,0,0.87598165,291.33555,297.4387,-6.459,-6.479,0.32665325
1,5.75,440.95355,2.11264975,2087.35075,0.294168325,5.345675,0.06733732,0.639842375,-10.96,-0.2534413,0.75642635,0.6643131,0.27219345,3.173167,0.37374385,96.468145,-5.307199,-6.217,-6.343667,-6.559333,-6.685333,-0.936,-0.4973333,-0.104,0.2303333,2.397333,3.526333,4.552649,-4.28119025,0,0,0.8146886,292.75885,297.4171,-6.679,-6.629,0.33064925
1,6.25,440.5963,2.1200345,2090.7375,0.269504675,5.729665,0.0525022,0.5911528,-10.94,-0.09885031,0.7035345,0.666032125,0.22388775,3.225521,0.3704,96.4827525,-5.36088325,-6.304667,-6.301667,-6.49,-6.603667,-0.9497,-0.4996667,-0.134,0.2363,2.391,3.528,4.5851085,-3.512333,0,0,0.67253515,293.0944,297.7076,-6.641666,-6.676667,0.2970198
1,6.75,441.371575,2.1008745,2084.91225,0.2674508,5.558817,0.05607845,0.4970998,-10.93,-0.2298218,0.792744925,0.673141225,0.2370803,3.3434725,0.3767786,96.491325,-5.36098325,-6.452,-6.431,-6.508333,-6.534334,-0.9403334,-0.5106667,-0.1616667,0.2386667,2.392667,3.529333,4.583926,-3.56850025,0,0,0.683862,292.6063,297.7426,-6.693667,-6.731667,0.282723125
1,7.25,437.53175,2.087387,2090.80825,0.294738925,7.419431,0.0547711825,0.3090452,-10.81,0.002011945,0.7955663,1.364619,0.36129875,3.202155,0.36638145,96.493,-5.42527575,-6.491,-6.482333,-6.499334,-6.718667,-0.9723334,-0.5436667,-0.168,0.2553,2.395333,3.521,4.582376,-3.491267,0,0.36061835,0.69294725,293.2007,297.2708,-6.834333,-6.795,0.3248949
