DOY2,HR2,FC,LE,H,FCH4,CO2,H2O,CH4,USTAR,WS,T_SONIC,TA,RH,PA,TS_1_1_1,PPFD_IN,FCH4_1_1_1,FCH4_1_1_2,CH4_1_1_1,CH4_1_1_2,SW_IN,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,SW_OUT,LW_IN,LW_OUT,NETRAD
1,0.25,-0.46777775,-1.673158,-18.922474,7.462,401.3041575,1.690732,1885.8975,0.0656695,0.44104225,-19.728054,-21.58,80.1,95.38978925,0.63025,0,12.271,7.7415,1962.835,2003.2395,-1.6155,2.248,3.27625,3.47325,4.16975,6.4365,7.613,0.0255,212.3569187,224.9859187,-14.9575
1,0.75,-0.46762775,-1.893189,-16.32172,7.189,400.841044,1.6363755,1898.0315,0.0670445,0.410983,-20.2493845,-22.13,80.1,95.35862725,0.62975,0,12.081,8.975,1988.256,2003.141,-1.20375,2.24725,3.273,3.46675,4.1695,6.43525,7.6105,0.016,220.5290775,226.2018377,-11.7025
1,1.25,-0.55538325,-1.7300255,-18.66745275,6.5924,400.94845425,1.59996075,1904.022,0.0716505,0.3884675,-20.0036245,-22.3425,80.2,95.3430375,0.636,0,12.8575,8.88025,1981.276,2004.802,-1.16875,2.248,3.2775,3.47,4.172,6.441,7.61,0.00275,214.084803325,221.937938825,-11.195
1,1.75,-0.50592825,-1.605474,-16.7759275,7.2396525,401.225949,1.678537,1892.57,0.0679125,0.469267,-19.41643675,-22.37,80,95.3906235,0.635,0,11.17225,9.51225,1992.369,2005.41925,-1.1805,2.249,3.275,3.4715,4.173,6.4385,7.60575,0.06025,212.742658425,222.74772075,-8.018
1,2.25,-0.53641075,-1.67730175,-16.302285,6.27675,401.640179,1.64039275,1891.6715,0.069903,0.41303,-19.6215,-22.4025,80.325,95.40027275,0.636,0,10.84,10.0935,1973.22,2002.1415,-1.28325,2.248,3.275,3.4715,4.173,6.438,7.603,-0.02825,211.024745025,220.069183075,-10.47
1,2.75,-0.5123625,-1.27262075,-14.17163525,7.3518,401.857883,1.75671025,1893.16325,0.063361,0.40086075,-19.6287265,-22.465,79.81,95.39352575,0.636,0,13.0925,10.4035,1984.106,2003.205,-1.22875,2.246,3.2745,3.469,4.171,6.438,7.60175,-0.006,214.821354975,218.020744725,-11.9525
1,3.25,-0.535299,-1.2058075,-13.9175615,6.9415,401.623116,1.752948,1894.011,0.06782,0.426083,-19.612016,-22.355,79.9875,95.395817,0.635,0,11.269,10.47725,1977.445,2004.575,-1.2255,2.2445,3.2725,3.4705,4.169,6.435,7.605,0.03,214.304396975,217.1168964,-12.2075
1,3.75,-0.50812475,-1.564202,-15.24531,6.022,401.56606475,1.74624575,1901.01675,0.065839,0.40153,-19.652944,-22.21,79.86,95.39470775,0.633,0,12.018,9.36525,1967.781,2006.16625,-1.407,2.242,3.27075,3.46675,4.16075,6.429,7.60875,0.067,212.7418366,217.0280323,-11.685
1,4.25,-0.4354365,-1.6601815,-15.41732,5.9514,401.0461365,1.71027475,1897.2875,0.068644,0.428338,-19.600809,-22.1,80.1,95.37122925,0.62975,0,11.0655,8.45775,1994.3965,2005.082,-1.41,2.24125,3.26925,3.46425,4.161,6.4295,7.60625,0.04425,211.8305541,217.8442547,-12.19
1,4.75,-0.497243,-1.520548,-14.07802825,6.949,402.241404,1.74564125,1889.595,0.06638875,0.41430625,-19.48715225,-22.405,79.735,95.425572,0.619,0,14.077,9.62125,1989.93425,2000.13425,-1.08925,2.242,3.2705,3.467,4.1695,6.4335,7.60375,0.01475,215.93125495,218.272905975,-9.5925
1,5.25,-0.46162225,-1.3296485,-11.7374505,7.551,402.156409,1.823782,1890.941,0.0634,0.40856,-19.4923475,-22.28,79.65,95.4053095,0.62125,0,13.24,10.833,1990.21375,2001.018,-1.11025,2.239,3.2695,3.4585,4.1615,6.42825,7.6055,0.043,212.8721234,218.2561564,-12.72
1,5.75,-0.47448825,-1.66216125,-15.51827725,7.874,402.2012545,1.74098,1892.00775,0.0626445,0.4058355,-19.39170375,-22.47,79.41,95.4099625,0.62075,0,13.507,10.522,1983.4585,2003.442,-1.35475,2.2375,3.26875,3.45875,4.16275,6.42775,7.60725,-0.01475,209.0290047,217.9921066,-13.805
1,6.25,-0.436418,-1.74028075,-14.965418,6.094,402.140119,1.7541145,1897.371,0.067254,0.404085,-20.056372,-22.38,79.45,95.39673575,0.621,0,13.874,9.3415,1971.35825,2001.14175,-1.35225,2.23825,3.2685,3.457,4.16025,6.4285,7.603,0.0015,208.0719169,217.9511066,-12.485
1,6.75,-0.45819575,-1.468718,-15.251873,5.561,402.0151145,1.743355,1903.232,0.069,0.406419,-19.826713,-22.53,79.1075,95.42063275,0.621,0,11.7185,8.9625,1970.48575,2002.021,-1.225,2.236,3.263,3.454,4.154,6.423,7.604,-0.027,207.751607325,216.530924075,-10.905
1,7.25,-0.5248385,-1.32110275,-12.44454675,6.017325,402.7787405,1.7946005,1890.05,0.0707515,0.42740525,-19.818,-22.6875,79.475,95.446691,0.62,0,13.1345,8.63,1972.09575,2001.21575,-0.963,2.236,3.262,3.458,4.153,6.422,7.603,0.042,207.981157775,217.110513175,-9.31
1,7.75,-0.453864,-1.67033825,-13.031871,6.627,402.5107885,1.7753115,1892.0785,0.067595,0.44192,-19.726157,-22.7875,79.515,95.454911,0.6225,0.26775,12.33,9.179,1968.17325,2001.229,-0.08175,2.236,3.261,3.455,4.152,6.42,7.6,0.56125,210.607376775,216.3547005,-8.0755
1,8.25,-0.46902075,-1.288791,-14.20227,5.494,401.1824875,1.78254375,1898.41,0.067006,0.43831,-19.911387,-22.8275,79.5,95.465161,0.6175,4.630125,10.70125,9.2545,1994.33575,1998.8225,4.62775,2.236,3.262,3.447,4.15,6.418,7.60125,4.42775,213.8354592,218.11394245,-6.28975
1,8.75,-0.540167,-1.94186,-14.777944,5.5147,401.294481,1.65182925,1900.5515,0.0741375,0.4857605,-20.396751,-22.7,79.155,95.473622,0.6195,17.9675,12.0735,9.933,1992.3145,2000.4035,15.0475,2.236,3.261,3.445,4.146,6.416,7.5985,11.07,204.98546835,217.40725975,-4.3865
1,9.25,-0.5066955,-1.724797,-16.0146675,6.59425,401.30426,1.7686,1889.368,0.084041,0.681435,-20.14923725,-21.955,78.91,95.511745,0.6205,38.82,10.3795,8.102,1967.541,2001.05,25.655,2.2335,3.26375,3.45,4.15,6.42125,7.5975,19.66,207.685713575,217.3086336,-6.6275
1,9.75,-0.49741125,-1.759256,-17.83185825,7.743,401.167526,1.707218,1887.73375,0.0935025,0.82294575,-19.90226225,-21.2125,77.8275,95.497113,0.62375,62.02075,10.28075,10.502,1944.47,2001.1615,39.4775,2.23,3.262,3.451,4.13425,6.416,7.598,30.075,214.1344046,219.81945495,-3.21625
1,10.25,-0.597778,-1.214939,-12.40742,6.41075,401.087922,1.6913555,1891.8575,0.1106135,0.93730325,-19.53915,-19.98,75.23,95.50080375,0.625,80.25,10.892,10.084,1973.74575,1999.24425,64.7125,2.2325,3.268,3.4605,4.156,6.425,7.6035,43.61,217.6605136,224.6651939,11.105
1,10.75,-0.662044,-0.437995,-12.196543,7.294,401.1191395,1.676436,1887.1485,0.114962,1.111718,-18.937589,-19.0125,72.4775,95.49219725,0.62975,109.75,11.83425,8.611,1981.458,1996.86075,82.325,2.23775,3.2685,3.45675,4.16425,6.43,7.60375,54.0725,211.70926865,226.698286875,19.8075
1,11.25,-0.606582,-0.109226,-10.2648535,6.2162,399.4740355,1.6923285,1892.71,0.1247055,1.1722345,-18.456898,-18.115,69.665,95.40575325,0.63225,136.8158771,8.7465,8.852,1985.995,1997.81425,98.5,2.241,3.267,3.4565,4.16425,6.4295,7.60675,61.5875,216.4354915,229.54296475,22.2325
1,11.75,-0.617403,0.52791075,-9.83391275,6.48875,399.3265645,1.7225845,1889.2195,0.12821825,1.21396575,-17.795079,-17.41,67.12,95.410767,0.638,155.925,9.886,9.029,1971.29525,1994.91725,101.425,2.247,3.2685,3.456,4.17325,6.43675,7.60325,68.6825,217.2772595,230.747888,23.7075
1,12.25,-0.754939,1.294535,-7.363329,6.8126,400.61887225,1.757631,1883.446,0.1343735,1.229446,-16.93809,-16.9025,64.85,95.4106445,0.643,167.85,6.592,7.448,1952.6095,1992.146,104.65,2.249,3.2725,3.459,4.17,6.4375,7.60925,69.335,220.0159053,234.5889402,21.905
1,12.75,-0.71350525,1.17635225,-7.326149,7.59725,400.005461,1.7891685,1881.8225,0.134571,1.287171,-16.538876,-16.3575,63.55,95.392404,0.649,174.90484775,11.531,9.30225,1896.4145,1990.509,103.05,2.249,3.275,3.4575,4.1715,6.435,7.611,65.21,217.894649,235.5686529,19.905
1,13.25,-0.710553,1.3160165,-7.748542,6.68775,399.612224,1.805343,1880.43,0.135108,1.236541,-16.2352505,-15.7775,61.61,95.37416,0.647,170.74649275,11.76875,8.87775,1950.0495,1989.378,96.1,2.2445,3.276,3.4585,4.173,6.4345,7.6105,68.4625,222.763340225,237.726990375,17.33
1,13.75,-0.6677385,1.3829095,-10.471635,6.836,399.28206475,1.809042,1883.12175,0.12987175,1.3198385,-15.8824095,-15.4375,60.8025,95.348458,0.647,163.25,9.10025,8.7795,1950.75875,1987.25375,80.675,2.2425,3.2735,3.461,4.173,6.436,7.604,58.73,218.5297414,238.6827277,13.065
1,14.25,-0.5854175,1.218008,-12.4720575,6.1615,399.178066,1.844692,1882.11,0.136805,1.33712575,-15.761021,-15.22,59.8225,95.324184,0.646,138.6263378,11.487,9.99275,1962.932,1987.28,69.2675,2.243,3.2695,3.4585,4.172,6.431,7.606,52.915,221.455223,239.3040283,10.99
1,14.75,-0.515884,0.5426385,-15.44941075,5.845,398.892974,1.83468,1879.7865,0.130345,1.2507225,-15.69160625,-15.1625,60.2225,95.3315055,0.656,112.8227683,12.2365,8.59425,1946.741,1985.497,60.3375,2.2445,3.267,3.4555,4.172,6.429,7.6075,42.295,224.6207867,241.5251896,5.1505
1,15.25,-0.4455925,0.274207,-19.104495,6.153,399.364451,1.867041,1876.60175,0.126812,1.22743925,-15.39750325,-15.1075,59.7425,95.34912,0.656,82.57975,10.39825,7.8015,1952.07925,1986.792,45.2625,2.244,3.263,3.4545,4.1715,6.4295,7.6085,30.735,224.1884059,240.0484059,-10.155
1,15.75,-0.4359825,-0.252254,-19.319989,5.515,399.63975825,1.91031025,1878.3125,0.117985,1.131243,-15.459561,-15.34,61.46,95.36116125,0.6455,58.0025,11.3255,8.865,1935.94275,1985.524,29.2925,2.23675,3.256,3.4525,4.16575,6.427,7.602,17.3,214.393032425,239.635121575,-23.485
1,16.25,-0.3659255,-0.931696,-22.29416225,5.67625,399.30713925,1.89464,1883.254,0.098243,0.912786,-15.97801725,-15.7,64.13,95.369044,0.644,28.01,9.945,8.693,1952.12575,1993.659,9.9575,2.23525,3.25725,3.45425,4.16425,6.4285,7.6005,6.839,216.9331421,239.126512625,-36
