DOY2,HR2,FC,LE,H,FCH4,CO2,H2O,CH4,USTAR,WS,T_SONIC,TA,RH,PA,TS_1_1_1,PPFD_IN,FCH4_1_1_1,FCH4_1_1_2,CH4_1_1_1,CH4_1_1_2,SW_IN,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,SW_OUT,LW_IN,LW_OUT,NETRAD
1,0.25,-0.177776,-0.565646,-7.9634675,10.353,412.416569,2.819825,1931.1595,0.122016,1.1164845,-11.68399,-13.11,85.7,96.241855,0.939,0,15.316,10.107,2033.433,2023.751,-0.5785,2.477,3.5255,3.7235,4.43,6.724,7.7555,0.271,259.8221922,266.4081629,-2.447
1,0.75,-0.1409855,-0.441975,-6.120509,9.4792,411.051896,2.7064425,1940.59,0.116955,1.01974,-12.389493,-13.08,86.2,96.228884,0.9395,0,14.45,10.54,2039.602,2023.492,-0.476,2.481,3.524,3.725,4.427,6.7225,7.753,0.2235,259.9779329,266.9339164,-2.385
1,1.25,-0.1823925,-0.436221,-6.7562205,9.645,411.1536085,2.6670785,1939.58,0.1175115,1.0275675,-12.2582725,-12.86,86.2,96.226514,0.94,0,14.581,12.3495,2030.167,2026.857,-0.562,2.489,3.537,3.728,4.436,6.739,7.761,0.2075,258.69594025,265.91055295,-2.528
1,1.75,-0.1654605,-0.391866,-5.82468,10.74455,411.325643,2.8949715,1931.86,0.1181705,1.001674,-11.37142,-12.79,86.55,96.2617825,0.94,0,14.091,12.351,2039.467,2023.282,-0.5685,2.489,3.536,3.728,4.438,6.739,7.7565,0.209,260.5417741,265.84207125,-2.4365
1,2.25,-0.1481775,-0.4684,-6.929531,10.23,411.401404,2.7833545,1934.89,0.119205,1.00766,-11.35747,-12.92,86.7,96.253308,0.941,0,13.1095,12.669,2032.079,2021.2135,-0.463,2.485,3.535,3.728,4.442,6.739,7.75,0.2055,255.9895339,263.8562079,-2.512
1,2.75,-0.20001,-0.0863415,-4.9616975,10.8,411.792495,2.85551,1936.318,0.1201215,0.983286,-11.6724805,-12.84,86.75,96.2532795,0.941,0,18.9595,11.889,2034.437,2024.69,-0.5655,2.48,3.536,3.728,4.443,6.736,7.753,0.1935,256.8433751,262.6135176,-2.713
1,3.25,-0.2304125,-0.0064,-4.8516595,10.3425,411.202078,2.771702,1931.941,0.114256,1.002137,-11.716681,-12.83,86.3,96.24588,0.94,0,13.085,11.968,2028.583,2028.249,-0.567,2.478,3.536,3.728,4.444,6.73,7.7545,0.2145,256.40518405,263.0008158,-2.7945
1,3.75,-0.2010665,-0.451422,-5.431412,9.9341,410.659532,2.7340605,1937.2555,0.116644,0.939525,-12.123101,-13.07,86.4,96.199665,0.9395,0,13.082,12.0025,2055.549,2026.692,-0.4525,2.476,3.52,3.722,4.4255,6.713,7.7535,0.2785,250.7370064,261.7615877,-2.656
1,4.25,-0.11798,-0.203737,-4.64674,9.93151,410.9217755,2.679328,1930.71,0.1161905,0.9950365,-12.116327,-13.29,86.7,96.2096555,0.941,0,14.4885,13.273,2046.7135,2024.775,-0.4825,2.474,3.5195,3.7215,4.425,6.713,7.7535,0.2515,257.3499533,264.3899226,-2.453
1,4.75,-0.1461155,-0.167571,-5.1491775,10.562,411.662352,2.829337,1927.528,0.1224145,1.0136475,-11.7123945,-13.59,86.35,96.218105,0.941,0,15.756,12.176,2036.4235,2028.88,-0.501,2.476,3.533,3.728,4.433,6.726,7.754,0.228,258.8352498,263.12715185,-2.752
