DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,FC_1_1_1,H_1_1_1,LE_1_1_1,G_2_1_1,TS_2_1_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,H2O_1_1_1,PPFD_DIF_1_1_1,T_SONIC_1_2_1,TA_1_2_1,TA_1_3_1,RH_1_2_1,RH_1_3_1,CO2_1_2_1,H2O_1_2_1,SW_IN_1_2_1,SW_OUT_1_2_1,LW_IN_1_2_1,LW_OUT_1_2_1,U_SIGMA_1_2_1,V_SIGMA_1_2_1,W_SIGMA_1_2_1,T_SONIC_SIGMA_1_2_1,T_SONIC_1_1_1,T_SONIC_SIGMA_1_1_1,PPFD_IN_1_1_2,TA_1_1_2,RH_1_1_2,WS_1_1_2,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_2_1_1,CO2_2_1_1,H2O_2_1_1,LW_BC_IN_1_1_1,LW_BC_OUT_1_1_1,PPFD_BC_IN_1_1_1,TA_2_1_1,G_2_1_2,U_SIGMA_2_1_1,V_SIGMA_2_1_1,W_SIGMA_2_1_1,T_SONIC_SIGMA_2_1_1,WS_1_2_1,WS_2_1_1
1,0.5,0.508316,-1.02333,3.805,0.5849445,-12.131,-0.419,-7.2455,2.338845,79.107,98.56,408.501,0.92,-23.558,0,-0.3185645,0.473039,278.14,310.45,4.17178,0.3432645,-0.2376115,-0.4950855,-0.3827975,82.3576,78.09335,425.2165,4.619275,-0.5889795,0.6168055,281.2265,308.984,0.973211,0.965505,0.6077705,0.0992176,-0.0663218,0.0974696,0.02243525,-1.56456,76.6935,3.751745,0.981906,1.054755,0.658266,-0.04408295,430.078,5.000105,296.358,310.08,-0.0847509,-0.489652,-9.05106,0.271368,0.3177455,0.129512,0.1325825,2.754545,0.5303485
1,1.5,0.5,-1.16,3.765,0.625,-12.94745,-0.522,-7.257,2.307,80.3095,98.5511,408.758,0.875,-21.0935,0,-0.278541,0.4635165,278.1265,309.55,4.1799,0.3430435,-0.3260565,-0.6725915,-0.592781,82.8209,79.8699,426.0715,4.51581,-0.5828195,0.613671,282.546,308.3885,0.93287,0.9275265,0.5716285,0.1010675,-0.3208155,0.103325,0.02066345,-1.61338,77.0947,3.729795,0.9419705,0.9553475,0.618538,-0.2244335,430.6725,4.90855,293.931,309.903,-0.0807629,-0.618004,-9.095225,0.282525,0.3109925,0.123308,0.13749,2.68437,0.5181165
1,2.5,0.474025,-1.433335,3.778175,0.58,-12.57055,-0.468063,-7.348,2.28619,80.5235,98.55825,408.6285,0.82,-22.771,0,-0.31,0.468,277.7,308.939,4.15976,0.342861,-0.6379985,-0.870199,-0.727713,84.29575,79.8688,426.358,4.49067,-0.6416025,0.615735,282.9565,307.506,0.8978785,0.8931895,0.561327,0.0968503,-0.54421,0.0971182,0.01723945,-1.806,78.0402,3.59774,0.896044,0.908548,0.6057,-0.540657,431.407,4.87357,293.573,308.772,-0.105019,-0.7571115,-9.324945,0.273487,0.295614,0.121126,0.1170015,2.574765,0.524155
1,3.5,0.456844,-1.545835,3.749,0.607,-12.278,-0.65132,-7.464,2.27142,81.221,98.58,408.877,0.74,-19.596,0,-0.3079845,0.43,277.68,307.929,4.15469,0.343503,-0.7626075,-1.038765,-0.876665,84.50215,80.5524,426.257,4.547465,-0.679595,0.665008,279.911,306.6675,0.8902695,0.884877,0.541987,0.100999,-0.745966,0.0975246,0.01554625,-1.95065,79.0135,3.538005,0.8909295,0.929371,0.600967,-0.71148,431.4195,4.87168,291.2905,307.307,-0.09744505,-1.08151,-9.463215,0.257689,0.302065,0.124455,0.114414,2.53491,0.517641
1,4.5,0.473,-1.71,3.742,0.504,-12.07045,-0.528,-7.5106,2.25106,82.08,98.5274,409.258,0.69,-19.6,0,-0.298,0.456,277.64,307.173,4.131,0.343636,-1.197245,-1.28871,-1.08336,84.1435,80.9483,426.454,4.59978,-0.7165485,0.680617,278.3755,305.6005,0.906331,0.896232,0.564558,0.09748805,-0.9970485,0.10010945,0.01478045,-2.1668,79.8964,3.582045,0.92523,0.9139595,0.600288,-0.814708,431.883,4.859755,290.508,306.43,-0.09068675,-1.321075,-9.87166,0.261835,0.303638,0.118547,0.121903,2.49466,0.516962
1,5.5,0.474,-1.906665,3.823,0.582372,-11.049,-0.52871,-7.558655,2.23,82.70385,98.54875,409.022,0.67,-23.24,0,-0.297064,0.468209,278.453,306.3675,4.10618,0.3436705,-1.28059,-1.350475,-1.252075,84.9855,81.568,426.624,4.51467,-0.6297275,0.7263205,280.837,304.646,0.887263,0.886693,0.570868,0.101174,-1.11291,0.102648,0.0108605,-2.54305,79.8246,3.636745,0.887231,0.945872,0.59785,-0.958679,432.096,4.822995,294.3375,306.187,-0.0874537,-1.476515,-9.821855,0.270492,0.298857,0.121872,0.133142,2.60513,0.5127
1,6.5,0.463939,-2.11,3.8087,0.554,-11.3928,-0.5545,-7.6045,2.2,82.8035,98.57255,409.2855,0.665,-18.7785,0,-0.279,0.452239,276.7385,305.1965,4.078675,0.3433175,-1.33962,-1.5856,-1.50583,85.9037,82.3238,426.673,4.474125,-0.6615395,0.673746,279.932,304.209,0.867613,0.89132,0.554862,0.103294,-1.2494,0.10336,0.00954153,-2.38065,79.3495,3.68099,0.88695,0.904745,0.580613,-1.00092,432.0295,4.816585,293.0335,305.2595,-0.0826938,-1.705875,-9.742795,0.257863,0.292713,0.120206,0.124525,2.521715,0.517387
1,7.5,0.46,-2.22,3.763,0.5315,-11.521,-0.563596,-7.666015,2.15858,83.40085,98.58035,409.505,0.64,-19.3,0,-0.1695465,0.512796,274.272,305.084,4.01107,0.363565,-1.9403,-1.7111,-1.60154,85.9522,83.0264,426.71,4.48665,-0.585237,0.6706615,279.039,303.748,0.833705,0.835631,0.517757,0.104381,-1.507435,0.0979848,0.0549658,-2.45734,80.5382,3.60025,0.8525295,0.851952,0.5590595,-1.15492,432.206,4.75616,292.089,304.724,-0.0986216,-1.85665,-9.716045,0.241878,0.280797,0.1107145,0.122437,2.42594,0.5057415
1,8.5,0.470939,-2.348335,3.8135,0.636713,-8.30096,-0.387,-7.6615,2.104,83.71,98.6,409.451,0.63,-4.33,30.621,14.853,3.08015,277.1,304.647,4.031815,27.30425,-1.97147,-1.821885,-1.74838,86.5896,83.6434,427.762,4.50911,10.75135,1.89583,279.291,303.848,0.793588,0.794825,0.502264,0.0978529,-1.60396,0.0967427,22.8099,-2.53993,81.577,3.631475,0.829771,0.811885,0.53219,-1.32995,432.42,4.82328,291.146,305.203,5.20166,-1.87968,-9.681525,0.22419,0.261529,0.112802,0.1243205,2.46372,0.519607
1,9.5,0.548937,-2.17,3.683055,0.993,12.273,2.298,-7.615,2.09722,82.812,98.6181,409.516,0.64,53.31,166.092,84.9353,13.636,276.6,307.158,4.07026,122.908,-1.49702,-1.71609,-1.57323,84.47195,81.9342,427.848,4.607925,70.9822,9.20231,279.6895,304.8775,0.914306,0.921704,0.581531,0.11814,-1.52655,0.10739,142.7375,-2.31836,81.6833,3.572915,0.9217575,0.951498,0.616161,-1.396105,432.198,4.92332,294.609,308.0995,27.0942,-1.828985,-9.60645,0.273693,0.3159155,0.1332185,0.142326,2.42288,0.5379285
1,10.5,0.636,-1.79,3.665,1.049,48.972,8.176,-7.405,2.12,78.6805,98.641,409.883,0.87,133.281,358.295,178.682,27.76,275.447,311.08,4.15,196.298,-1.25178,-1.396535,-1.22578,81.289,78.92095,428.071,4.61419,139.8275,17.19585,281.488,308.462,1.03661,1.04983,0.669606,0.200121,-1.52725,0.1630345,282.035,-1.605405,79.4449,3.58415,1.04661,1.10391,0.710033,-0.67748,431.7015,4.87908,297.837,312.0815,55.01315,-1.04065,-9.067285,0.339032,0.404424,0.159212,0.1796355,2.54572,0.59631
1,11.5,0.672,-0.9595,3.734,1.00792,95.252,12.667,-6.9425,2.1305,73.7375,98.645,409.302,1.16,205.76,518.088,266.6,38.048,275.908,315.281,4.13475,242.042,-0.4980105,-0.628266,-0.52801,76.9424,74.7113,426.716,4.541835,215.76,27.8767,282.1465,312.341,1.12107,1.13498,0.692357,0.252877,-0.829154,0.226408,413.202,-0.8999595,71.1357,3.68224,1.15794,1.17304,0.766264,-0.134415,430.916,4.901765,302.07,317.596,98.1674,-0.302791,-8.40269,0.389671,0.453874,0.176652,0.240818,2.60532,0.618809
1,12.5,0.686035,-0.46,3.72,1.121295,114.3705,16.06815,-6.361,2.15,69.919,98.59575,408.296,1.52,235.6,585.193,304.618,42.93,277.65,318.8615,4.190985,244.911,0.0584301,0.0586273,0.326023,73.4637,69.9893,425.143,4.61074,231.266,30.4386,283.907,315.549,1.14778,1.16464,0.721946,0.2804525,0.0705288,0.2635465,453.519,-0.11786645,64.4334,3.74805,1.22326,1.25315,0.792971,0.895841,429.754,4.8684,307.101,324.51,118.4025,0.5105085,-8.05463,0.419418,0.504026,0.194588,0.285653,2.60098,0.645295
1,13.5,0.6974335,0.05,3.869,1.147,122.894,17.668,-6.016,2.2175,67.01,98.51535,408.097,1.69,224.7,572.997,293.2,42.696,279.309,321.345,4.13263,247.019,0.528589,0.515155,0.693547,69.30585,66.1134,424.815,4.48184,242.282,28.14695,283.7595,319.05,1.210465,1.206865,0.738777,0.298959,0.839518,0.279709,456.7275,0.64053,59.611,3.98836,1.25943,1.29635,0.821206,1.35762,429.547,4.775415,306.624,324.554,113.367,0.928121,-7.78465,0.445975,0.521212,0.198067,0.302691,2.78644,0.635067
1,14.5,0.72,0.428,3.85,1.163,103.8915,16.3096,-5.841,2.32,64.9125,98.4741,407.1135,1.81,168.655,481.94,232.726,35.51305,281.1,322.466,4.05127,233.37,1.17301,0.7749815,1.10552,68.8031,66.1639,424.341,4.56841,213.368,25.6123,286.2355,319.8705,1.23573,1.24809,0.7489595,0.2879685,1.31535,0.243507,429.7025,0.957765,58.2916,3.96727,1.2825,1.32562,0.834053,1.79447,429.2795,4.79796,305.91,326.6795,108.083,1.221095,-7.6138,0.441179,0.532153,0.200158,0.28598,2.76401,0.629597
1,15.5,0.703827,0.545,3.893,0.951,70.197,11.576,-5.711,2.34817,65.73915,98.47295,407.08,1.815,108.33,333.15,164.1,25.0434,281.4865,321.6225,4.06076,178.769,1.50897,0.7672665,1.0322755,68.222,66.179,424.265,4.79503,149.887,18.5165,284.934,318.393,1.23204,1.19161,0.729543,0.206166,1.29858,0.185068,308.9205,0.9475295,57.2859,3.8407,1.28225,1.28095,0.805927,1.716095,428.7275,4.82846,304.694,324.026,67.6321,1.27126,-7.48236,0.412507,0.5028665,0.1862605,0.218692,2.69405,0.6311535
1,16.5,0.655,0.64,3.755085,0.6969685,35.54195,5.76527,-5.781,2.390175,66.55,98.5,407.2045,1.78,30.1685,171.821,86.4464,12.96,280.794,320.459,4.08732,115.305,1.52168,0.685313,1.02286,68.8075,68.5291,424.09,4.72345,84.3978,10.27775,284.746,317.061,1.14322,1.131835,0.7017295,0.1456185,1.29134,0.131156,168.37,1.070693,59.3722,3.92523,1.17883,1.21806,0.775215,1.65196,428.783,4.88951,303.626,318.866,38.0972,1.129105,-7.48735,0.386183,0.4539515,0.1676645,0.1462905,2.73729,0.5876925
1,17.5,0.5686655,0.34,3.571865,0.521666,0.697055,1.27354,-5.93428,2.402505,69.1817,98.5,406.883,1.58,-16.585,34.35765,16.007,3.490155,279.7925,317.2435,4.08709,32.489,1.03488,0.3992185,0.609405,71.10255,70.48415,423.8885,4.76011,21.1199,3.61447,284.835,313.7325,1.034555,1.041275,0.6506675,0.09625275,1.01416,0.0808003,44.20355,0.5962055,62.2697,3.66295,1.07291,1.10863,0.705463,1.27706,428.612,4.85049,301.876,314.593,9.51557,0.690733,-7.80327,0.317313,0.379595,0.143351,0.130794,2.55782,0.536741
1,18.5,0.501,-0.028333315,3.48,0.3845,-9.219,-0.267,-6.172,2.376905,72.245,98.5259,407.4075,1.38,-32.812,0,-0.167,0.607714,279.9305,315.193,4.033655,0.4539475,0.797491,0.0832101,0.237446,74.14905,72.97585,423.9925,4.82084,-0.2687655,0.7931445,284.52,311.387,0.917277,0.907088,0.569539,0.0970713,0.465306,0.08418455,0.732662,-0.12593915,66.23745,3.53455,0.914374,0.955332,0.628012,0.724408,428.673,4.95368,299.932,311.666,0.263182,0.1220535,-8.47068,0.261124,0.3065825,0.126338,0.139636,2.51244,0.513167
1,19.5,0.507405,-0.32,3.62885,0.4395605,-11.5983,-0.2273785,-6.493,2.356645,73.6417,98.54,407.809,1.2,-29.26,0,-0.383564,0.5454035,278.235,313.66,4.07,0.346071,0.652722,-0.0562075,0.139785,76.7988,73.8693,424.253,4.71563,-0.735276,0.7395245,284.3125,310.763,0.896545,0.903732,0.562947,0.0982227,0.3760295,0.0912904,0.02476115,-0.3199785,69.4659,3.56725,0.9371365,0.966037,0.631892,0.4460635,429.416,4.92971,298.491,311.362,-0.071348,-0.05989115,-8.93175,0.257138,0.308553,0.1190925,0.1369905,2.45417,0.507858
1,20.5,0.524,-0.5335,3.661,0.552291,-11.821,-0.319,-6.66,2.323,75.28,98.56225,408.3435,1.085,-28.056,0,-0.38,0.5516255,278.9,312.8,4.09958,0.3451805,0.568876,-0.243315,-0.0749313,78.1454,75.6587,424.563,4.54219,-0.706881,0.6784455,284.605,310.016,0.921624,0.905425,0.5736365,0.0964648,0.2945365,0.092639,0.0240147,-0.294155,73.8331,3.684735,0.9627445,0.986277,0.6309265,0.171022,429.252,4.87676,296.533,310.721,-0.0763118,-0.284958,-9.00462,0.270749,0.312575,0.125753,0.142855,2.602115,0.53585
1,21.5,0.511923,-0.85,3.71724,0.564,-12.965,-0.3006085,-6.8025,2.301,76.088,98.5429,408.23,1.05,-25.255,0,-0.36,0.479879,278.6175,312.387,4.077,0.345012,0.348653,-0.397454,-0.197823,79.1833,76.1828,424.7005,4.662785,-0.567671,0.6228415,283.518,309.8365,0.9159605,0.9143115,0.5716465,0.09979225,0.0596982,0.09583345,0.02356665,-1.1679935,74.8157,3.761535,0.95581,0.971938,0.624071,0.167471,429.653,4.91654,295.109,310.5665,-0.0816777,-0.2581565,-8.90729,0.2603835,0.310594,0.1232725,0.138289,2.68061,0.5317565
