DOY2,HR2,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,TA_1_1_1,RH_1_1_1,CO2_1_1_1,H2O_1_1_1,WS_1_1_1,USTAR_1_1_1,TS_1_1_1,G_1_1_1,G_1_1_2,G_1_1_3,PA_1_1_1,FC_1_1_1,SC_1_1_1,LE_1_1_1,SLE_1_1_1,H_1_1_1,SH_1_1_1,NEE
1,0.25,0,0,0,1,265.0862385,306.0033271,-53,-0.785,71.475995,403.624094,3.815538,3.072554,0.361386,2.353645,-7,-8.260398,-7.5627345,98.8333525,0.249943,0.091456,0.163632,0.0467945,-11.248162,-0.033213,0.6055985
1,0.75,0,0,0,1,264.947431,305.047785,-47,-0.915574,72.29262,403.610807,3.867541,3.014061,0.3555045,2.3221185,-7.5,-8.537317,-7.729998,98.8294725,0.214673,0.055578,0.1209265,0.139149,-11.299877,-0.013538,0.543924
1,1.25,0,0,0,1,262.853485,305,-48.386267,-1.047,73.10213,403.842109,3.846332,2.972077,0.346599,2.307558,-7.919328,-8.735068,-8,98.83146,0.222741,0.052756,0.149943,0.114022,-10.778078,-0.001602,0.428427
1,1.75,0,0,0,1,260.5135292,304.1846826,-53,-1.17,74.2,403.89958,3.861398,3.051924,0.343176,2.289597,-8,-9,-8,98.83998,0.236681,0.055815,0.1117885,-0.102291,-11.935467,0.018923,0.494221
1,2.25,0,0,0,1,260.433862,304.214462,-50,-1.26,74.3577,403.894195,3.853932,2.982869,0.344505,2.2711395,-8,-9,-8,98.84528,0.233633,0.089419,0.07796,-0.0689835,-10.7752615,0.0142475,0.50831
1,2.75,0,0,0,1,261.19442015,303.8702948,-50.760178155,-1.45,75.1,403.9485435,3.813629,2.975575,0.3507795,2.236925,-8,-9.183533,-8,98.84588,0.240138,0.057913,0.101537,-0.114946,-9.993838,0.001386,0.4734705
1,3.25,0,0,0,1,260.5045891,303.225683,-50.89400593,-1.535,75.715675,403.7737985,3.7934925,3.037561,0.362495,2.2327,-8.065205,-9.155381,-8,98.82864,0.286058,0.046189,0.208797,-0.039679,-9.897822,-0.029362,0.526834
1,3.75,0,0,0,1,263,302.9001175,-48,-1.56,76.276855,404.0509255,3.8232165,2.9393145,0.346431,2.207775,-8.154092,-9.181198,-8,98.83543,0.249428,0.0739485,0.1054395,0.0765525,-9.9992815,-0.007528,0.467016
1,4.25,0,0,0,1,262.5308792,302,-39,-1.7051425,76.561665,404.3586155,3.842621,2.964555,0.345893,2.1842955,-8.181425,-9.084507,-8.1080445,98.80368,0.244701,0.0648035,0.1404395,0.1700595,-8.984758,-0.0021465,0.493245
1,4.75,0,0,0,1,262,302,-42,-1.91,76.79848,403.77228,3.917155,2.97,0.342594,2.1374785,-8.260661,-9.105714,-8.080915,98.8,0.2779865,0.059451,0.315838,-0.104865,-9.871296,0.001401,0.488864
1,5.25,0,0,0,1,262.1175095,301.141505,-39.4261815,-1.956023,77.587145,403.756478,3.9106775,2.988948,0.3442275,2.1581815,-8.335088,-9.2013585,-8.3215345,98.8,0.252247,0.0517575,0.065249,-0.2601745,-7.934581,0.0165945,0.498276
1,5.75,0,0,0,1,262.6816367,300.61296285,-36.9845575,-2.040168,77.680975,403.910992,3.826651,2.968152,0.344055,2.1359165,-8.349822,-9.3023045,-8.407452,98.813355,0.2019605,0.039944,0.020436,-0.0206175,-8.068497,0.050734,0.4262325
1,6.25,0,0,0,1,261.9403172,300.0060625,-34.886520005,-2.07,77.81223,403.841481,3.75452,2.964539,0.355984,2.1044405,-8.582667,-9.2349075,-8.3794245,98.83572,0.211274,0.090474,0,0.1021315,-7.9514505,0.049686,0.438196
1,6.75,0,0,0,1,260.952836,299.87992005,-39.238440065,-2.1175,78.59532,404.498727,3.786969,2.975579,0.3653,2.086726,-8.887211,-9.5,-8.6037125,98.86461,0.2249615,0.097029,0.139014,-0.0870425,-9.403927,0.0229675,0.528142
1,7.25,3.5024,0.167180181,1,1.1804095,259.495534,298.96905065,-35,-2.359639,78.673135,404.461167,3.741049,3.0043065,0.353587,2.070849,-8.946364,-9.293527,-8.4194885,98.9,0.281304,0.074942,0.122813,0.386697,-8.998862,0.047896,0.4683535
1,7.75,36.9094325,3,20.0943775,4,258.3506136,299,-16.13132823,-2.4545,78.19727,404.790158,3.691721,3.037961,0.382625,2.0686,-9,-9.289332,-8.156593,98.9,0.272777,0.078548,0.151141,1.045199,-6.998789,0.075743,0.512875
1,8.25,117.669,10,62.76976456,9,259.8526205,300.1293065,15.07180201,-2.16,76.4,405.055641,3.7083165,3.007726,0.398497,2.0679175,-9,-9.168954,-8.236061,98.920015,0.290371,-0.0470605,1.449519,1.546704,-0.999853,0.089508,0.384198
1,8.75,218.8746,17.792935,116.312206,15.756497,259.7734362,303,59.63987315,-1.89,75.384275,405.222841,3.726208,3.004556,0.4448335,2.043694,-8.9272475,-9.2571885,-8,98.9455875,0.398335,-0.103717,4.0181305,1.5941955,14.001667,0.096159,0.3535595
1,9.25,340.8518,26,182,24,262.9651177,305.669249,111,-1.4713485,73.54823,404.5875515,3.790918,2.9384925,0.494289,2.0504,-8.416438,-9.1009825,-8,98.977095,0.255583,-0.204174,7.531502,1.158248,37.377784,0.116239,0.3493775
1,9.75,456.0786,33.77058036,242,29.494713,262.351121,309.685351,160,-0.9293995,71.17188,404.459756,3.826899,3.036463,0.524769,2.079002,-8.132443,-9,-8,99.0030875,-0.004617,-0.225395,9.7255005,1.3644795,62.032914,0.049153,0.313837
1,10.25,551.1503469,40,291.3698575,37.37502,265.354784,312.1107215,209.9323405,-0.405306,67.86289,403.767933,3.8096685,3.1586675,0.561059,2.0935,-7.988637,-8.872853,-8,99.01725,-0.142932,-0.217945,13,0.7040685,89.683921,-0.0034185,0.226385
1,10.75,622.3299383,45,323.8320322,42.4506022,268,315.55089,244,0.109945,65.64,402.980656,3.799681,3.311286,0.575781,2.1774185,-7.5,-8.5,-7.070221,99.01977,-0.373241,-0.26418,16.0126515,0.761792,109.59272,-0.0971,0.262334
1,11.25,712.7384,51.5,386,47.774684,270.1215081,318.0404037,281,0.602342,63.29323,402.4935695,3.9370925,3.399459,0.5919395,2.2081,-7,-8.387012,-7.0149895,98.990965,-0.355184,-0.2376665,17.930013,1.142205,120.751749,-0.879715,0.254986
1,11.75,722.3614,54,383,47,269,321,282,1.068896,60.73,401.845344,3.812542,3.448847,0.617901,2.3097,-6.17191,-8.0004595,-7,98.963125,-0.441943,-0.196426,19,0.5289235,147.0349285,-0.718194,0.2482225
1,12.25,726.173868,56,396.628686,49,269.960167,323,296.269805,1.52,58.73146,401.664233,3.8155175,3.559347,0.618392,2.365732,-5.75,-7.6551715,-6.770311,98.89971,-0.477058,-0.177342,19.095147,0.761012,148.280582,-0.9400615,0.271848
1,12.75,751.2069,52,418.3395291,48,271,324,302.7470781,1.619799,57.51,401.8149335,3.8458165,3.446079,0.610499,2.3978785,-5.129249,-7,-6.220383,98.866365,-0.488786,-0.133522,19.403584,0.499008,153.872938,-0.3319425,0.263054
1,13.25,702.9864,50.42977679,384.89925655,47,272.7619527,324.9890681,277.7806318,2.15,56.2,401.632755,3.840461,3.5421555,0.630724,2.5042855,-4.7721435,-7.0197585,-6.047317,98.80431,-0.568138,-0.118866,18,0.5837005,145.900783,-0.192501,0.248422
1,13.75,671.999938,48.938795,381.159944,45.771815415,271.1808586,325.3794595,264.58640135,2.308427,54.815,401.255884,3.864343,3.5233345,0.618317,2.5077265,-4.5,-6.622854,-6,98.8,-0.482931,-0.074117,16.317321,0.63328,132,-0.044097,0.270512
1,14.25,594.8494,43,339.4246902,42,272,326.5668955,223.06418715,2.327402,53.67194,401.225769,3.8751545,3.539566,0.6307985,2.531087,-4.5,-6.703343,-6,98.783925,-0.332419,-0.050719,16,0.7318315,119.329322,-0.011166,0.23147
1,14.75,463.6831645,37,264.00492565,33.89138969,270,325.6154,161.29622455,2.4184465,53.24,401.305269,3.840207,3.599585,0.6250885,2.572577,-4.230476,-6.5,-6,98.784785,-0.295387,-0.0241415,12.439337,0.408444,99.95559,0.01372,0.340676
1,15.25,351.51450125,29,202.8893125,27.337817025,271.5883912,324.9232585,106.53613075,2.4495,53.25138,400.865714,3.859271,3.569181,0.5855425,2.6241,-4.00539,-6.5,-6,98.7923075,-0.188266,-0.026468,10.6668945,0.559117,67.800107,0.025761,0.3060605
1,15.75,237.41600265,20.227826,133.451456,19.178037,272,323.828448,50.361087735,2.37,53.622695,400.784834,3.8592835,3.497274,0.564724,2.625347,-4,-6.5761085,-6.026279,98.789405,-0.1432755,0.0207875,9.496703,0.4910405,42.483814,0.0385085,0.327678
1,16.25,130.185251,11,72.608797995,12,272,322,7.0712895,2.27,54.47999,400.130612,3.861535,3.392535,0.530321,2.6165,-4.5816295,-6.5805145,-6,98.79303,0.050244,0.058,6.097011,0.185109,15.837656,0.0508105,0.372262
1,16.75,42.84910885,4,23.101666435,5,270.6531864,320,-30.02465552,2.1,55.128435,400.764169,3.8720375,3.151877,0.4580915,2.6488,-5,-6.8769635,-6.046144,98.7852525,0.081994,0.128544,2.580895,0.571611,-2.0125295,0.042909,0.469491
1,17.25,4.774355967,0.346937277,2,1.715384,269.955772,318.4142018,-61.14539116,1.87,56.59071,401.5572855,3.831719,3.0028395,0.392759,2.6374,-5.225978,-7,-6.523629,98.802395,0.113611,0.164919,1.51327,0.259538,-8.642402,0.02945,0.4381365
1,17.75,0.078898,0,0,1,268.785685,317,-68,1.575,58.565065,401.521968,3.934838,2.998777,0.343584,2.6232,-5.755791,-7.380722,-7,98.80117,0.136333,0.181616,1.04585,0.3398285,-10.672137,0.054368,0.541432
1,18.25,0,0,0,1,268.2350552,316,-67.551758,1.418,59.865575,401.337217,3.923431,3.02935,0.333901,2.595,-6,-7.992978,-7,98.818865,0.14603,0.168597,0.8042325,0.2843455,-10.339011,0.03812,0.57508
1,18.75,0,0,0,1,267,315,-65.15669005,1.217238,61.346885,401.982451,3.865449,3.035103,0.334479,2.590942,-6,-8.035887,-7,98.828015,0.23071,0.164432,0.615185,0.2196385,-11.001248,0.027174,0.5293535
1,19.25,0,0,0,1,267.8517462,313,-60.9008716,0.9005995,62.556425,401.781866,3.862489,3.0083455,0.358831,2.5702,-6.5,-8.2982575,-7.0200135,98.84166,0.2517535,0.1516825,0.6482425,0.13182,-11.6702285,0.022993,0.549359
1,19.75,0,0,0,1,267,311.6590769,-59,0.615844,63.91,402.27458,3.846179,3.032897,0.3651895,2.5388,-6.5,-8.375941,-7.2402475,98.828615,0.250703,0.135249,0.5973745,0.106198,-11.3354555,0.014648,0.569876
1,20.25,0,0,0,1,266,310.57858175,-59.562495195,0.424,65.19242,402.738831,3.860181,3.043778,0.355246,2.486286,-7,-8.5,-7.786035,98.827855,0.213666,0.076519,0.538821,0.114936,-11.1408865,0.006351,0.527053
1,20.75,0,0,0,1,264.76827605,310,-62.81012559,0.28713,65.86165,402.7228525,3.8550985,3.067882,0.336668,2.4639,-7,-8.5,-7.876233,98.842745,0.2723365,0.156995,0.4512945,0.095363,-11.657162,0.008334,0.5428165
1,21.25,0,0,0,1,265.915229,309.55963275,-62.04467098,0.19,66.12,402.99971,3.785486,3.003835,0.358209,2.447766,-7.132595,-8.5420385,-8,98.840395,0.217741,0.076216,0.432887,-0.031176,-11.360493,0.008178,0.508867
