DOY2,HR2,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,TA_1_1_1,RH_1_1_1,CO2_1_1_1,H2O_1_1_1,WS_1_1_1,USTAR_1_1_1,TS_1_1_1,G_1_1_1,G_1_1_2,G_1_1_3,PA_1_1_1,FC_1_1_1,SC_1_1_1,LE_1_1_1,SLE_1_1_1,H_1_1_1,SH_1_1_1,NEE
1,0.25,0.2026435,0.016912,0,1.715471917,300.1906078,324,-8.562394,3.4525,84.6,414.781176,5.503856,3.9089525,0.539164,4.12064375,-4,-6,-5.1445615,99.49965,0.6324305,0.286907,2.90845825,1.75560725,-1.86247625,0.06985525,1.07489775
1,0.75,0.203055078,0.020217038,0,1.732402,300,323,-8.119661335,3.22583875,85.175,414.898449,5.481828,3.858471,0.54391,4.08972975,-4,-6,-5.97611825,99.4756425,0.613497,0.262173,2.97862325,1.8343225,-1.413758,0.18732225,1.09953825
1,1.25,0.202048642,0.016063724,0,1.82964447,300.0418758,322.1480878,-8.7353789595,3.053039,86.574705,414.76443,5.454229,3.828652,0.5436555,4.05429175,-4.5,-6,-6,99.49178,0.619091,0.243596,2.444219,1.774839,-1.8032035,0.320881,0.860377
1,1.75,0.2012610595,0.01775723,0,1.83017848875,301.2713298,322,-9,2.835,86.2,414.882227,5.342863,3.77067625,0.5390675,4.0278845,-4.5,-6.5,-6,99.48968,0.617176,0.250835,2.8059315,1.464254,-1.998919,0.710649,0.911138
1,2.25,0.200149253,0.016721096,0,1.8058590395,300.3801896,321.6578178,-9.4651249175,2.5720895,85.85923,414.879543,5.371113,3.8579575,0.53869025,4.00163275,-4.547495,-6.458655,-6,99.5,0.57513875,0.283529,2.570204,1.53500175,-1.6609005,0.541884,0.903561
1,2.75,0.1985914505,0.018376587,0,1.75503836125,301.535794375,321.4316486,-8.13019945775,2.5047135,86.45,414.9650885,5.302949,3.886653,0.52614875,3.984955,-4.931985,-6.5,-6,99.5,0.6993025,0.251572,2.820185,1.4313975,-1.529501,0.3210665,1.002327
1,3.25,0.200391996,0.02224,0,1.775606765,301.4425026,320.0449907,-7.9417307025,2.51248875,87.3,414.74060925,5.3448,3.80661175,0.5510895,3.9462905,-5,-6.6773575,-6.022485,99.5,0.77200475,0.2709465,2.7734655,1.4481175,-1.4962015,0.0777795,0.9480355
1,3.75,0.194114463,0.017061298,0,1.68838,301,319.9354675,-7.20960463,2.21085625,87.5858075,415.24874175,5.3225725,3.779755,0.526278,3.94665175,-5,-6.5,-6,99.5,0.6992465,0.28996575,2.2797,1.657779,-1.18718075,0.13361,0.883194
1,4.25,0.1947321505,0.0152264865,0,1.712318182,300.34460815,319.5350187,-7.8245179005,2.20858225,87.675,414.87437175,5.37781275,3.836438,0.544953,3.918051,-5,-6.5,-6.0449675,99.5,0.670015,0.26125225,2.74272175,1.7226545,-0.999804,0.303031,0.8965325
1,4.75,0.1919055,0.0170486845,0,1.740940938,299.735474,319,-7,2.1354555,88.1,414.6644725,5.4511585,3.8011415,0.54445325,3.89825275,-5,-6.5,-6.007935,99.48392,0.68420275,0.24926825,3,1.60001875,-1.469665,0.51515475,0.9815225
1,5.25,0.1950095875,0.0158575,0,1.675893457,297.32020875,319,-7.37199841725,1.997137,88.674235,415.19131225,5.39881125,3.842778,0.54650325,3.87564825,-5,-6.90554425,-6.26989425,99.5,0.666399,0.29529375,2,1.250454,-0.71340775,0.59926525,0.937652
1,5.75,0.19660675,0.01932384375,0,1.6380477705,296.5756545,318.99406675,-7.9481655,1.65133525,89.06387,415.616618,5.401578,3.795481,0.5644175,3.83463575,-5,-7,-6.314947,99.49787,0.651041,0.275391,2,1.31691975,-0.88855875,1.230489,0.92060275
1,6.25,0.195260503,0.02002925,0,1.6492755105,298.241136875,318,-7.1317663155,1.66,89.445355,415.6122635,5.406252,3.84755175,0.550154,3.811951,-5.236461,-6.59122725,-6.35611525,99.5,0.68504725,0.29586,2.061636,1.54540625,-0.65494875,1.1576865,0.82823
1,6.75,0.21996875,0.0176633115,0,1.727580119,297.07703325,317.515893425,-7.30959451975,1.44425,89.2919375,415.79600375,5.4652935,3.8058,0.5611175,3.82974675,-5.47574575,-6.979284,-6.430994,99.50448,0.7208125,0.32376,2.6758025,1.39137525,-1.36731025,1.3497015,0.907
1,7.25,6.132164,0.56408297975,2.15233575,2.26563225,297.978366925,317,-6,1.5375,89.15769,415.620742,5.349807,3.7918955,0.546393,3.759256,-5.67506,-6.92466,-6.467174,99.52533,0.688018,0.30561,2.6537065,2.120157,-1.2007085,1.0482845,0.90538275
1,7.75,62.8690738325,7,35.979912,10.291122,298.23720775,317,0.5384185,1.63170925,88.09679,415.936202,5.3589595,3.834693,0.5577855,3.7333695,-5.608957,-7,-6.520676,99.5478275,0.756651,0.355576,3,3.00857875,-0.4722215,1.421193,1.007143
1,8.25,206.420112375,20,109.36847925,20.0033438425,298.00551675,318.7016032,27.2955444025,1.815,87.39346,416.39418,5.43843075,3.8529285,0.56935,3.75999575,-5.5,-6.928185,-6.70171625,99.5850425,0.899369,0.23602975,5.244215,4.234782,10.2738575,1.11174725,0.965736
1,8.75,370.166255,32.974129,198,28.702351,299,321.721983,92.391012,2.202702,86.275,416.033832,5.418764,3.910665,0.6393515,3.7284385,-5,-6.5,-6.1315895,99.59251625,1.3454405,0.138446,9.91585875,4.7262295,31.112687,1.497579,1.0460995
