DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,SW_IN,SW_OUT,TA,RH
1,0.25,-0.708615,-72.98956,-78.78975,-11.728255,0.70505935,0.1271566,-16.49573,410.2218,2.427848,0.271068675,0.214151675,0.1800644,0.0715475,-3.898188725,-3.244908025,-16.693725,46.4212875
1,0.75,-0.8883928,-44.90012,-65.708835,-16.2942625,0.8362828,0.1321168,-16.351665,409.5552,2.39817475,0.3442252,0.2450854,0.1726536,0.06856,-3.930890125,-3.298786275,-16.553925,28.09335
1,1.25,-0.7715394,-50.0609,-76.55674,-11.8273225,0.5681721,0.1324704,-16.468125,409.6416,1.98761975,0.29652505,0.290154,0.1841234,0.06732,-3.788894,-3.156921,-16.688,24.2609925
1,1.75,-0.686485,-62.23049,-87.3716025,-10.832462,0.68224545,0.141497175,-15.7078625,409.51995,2.372498,0.3332691,0.32425925,0.22760865,0.071865,-3.789558,-3.17191,-17.0834,35.7262725
1,2.25,-0.6009882,-47.41972,-29.812765,-21.86906,0.513301725,0.1368484,-15.93222,407.21085,2.355829,0.3136266,0.2640944,0.2051848,0.0680975,-3.7685696,-3.110337,-17.434,46.877055
1,2.75,-0.5002438,-39.7349625,-20.066575,-11.146915,0.6073476,0.137311375,-16.10417,409.0862,2.176938,0.29411935,0.236334375,0.186746425,0.06261,-3.6553562,-2.9934676,-17.5689,48.134365
1,3.25,-0.604000825,-55.4562925,-24.8242225,-25.42754,0.6240546,0.1232155,-16.643735,408.1712,2.05115175,0.32655685,0.27462125,0.208367625,0.066565,-3.9328662,-3.2884898,-17.7044,49.6997575
1,3.75,-0.54412515,-36.8493725,-14.81256,-9.84826025,0.77617365,0.143704325,-16.95404,408.6276,2.336154,0.32048385,0.3201727,0.216577675,0.06804,-3.7663072,-3.1521902,-17.879675,50.88704
1,4.25,-0.6422981,-73.700635,-32.1258725,-19.44362,0.871663225,0.1220393,-16.89324,402.3556,2.314994,0.342627975,0.2871171,0.204492225,0.065705,-3.562909,-2.9281724,-17.852925,51.7863
1,4.75,-0.4802198,-38.63273,-15.02655,-12.7678295,0.579575075,0.1470428,-16.90612,408.1046,2.3086,0.42746965,0.3160874,0.2277496,0.06526,-3.7451008,-3.1280198,-17.861575,54.1770375
1,5.25,-0.51958365,-80.480615,-66.528705,-14.5856775,0.795022375,0.1274716,-17.07552,391.988975,2.280016,0.357664825,0.280330925,0.24077535,0.065495,-3.744751,-3.0677264,-18.9906,35.6585
1,5.75,-0.654008525,-96.4563375,-36.70269,-18.751715,0.81013015,0.129430775,-17.111545,405.585225,2.32679,0.351851625,0.333570875,0.205269575,0.0665825,-3.7420512,-3.1225304,-17.93205,34.561145
1,6.25,-0.5747148,-114.5876,-23.288125,-76.5142825,0.5804248,0.1368474,-16.9449075,334.1248,2.33649525,0.3494508,0.317422,0.2173096,0.06134,-3.593564,-2.9522202,-17.8084,61.1877
