DOY2,HR2,FC,LE,H,CO2,PA,TA,RH,PPFD_IN,SW_IN,NETRAD,TS_1_1_1,TS_1_2_1,USTAR,WS,NEE
1,0.25,0.214,0.102,-0.826,392.612,89.419,-1.789,89.103,0,0,-9.58,-0.169,1.193,0.1235,0.817,0.5755
1,0.75,0.366,0.178,-0.659,391.962,89.423,-1.932,88.8145,0,0,-8.96,-0.1895,1.1715,0.131,0.7335,0.57
1,1.25,0.321,0.24,-1.347,391.388,89.438,-1.98,89.9915,0,0,-8.201,-0.1935,1.1345,0.124,0.745,0.574
1,1.75,0.314,0.09,-1.5055,392.178,89.429,-2.169,90.3495,0,0,-7.5315,-0.2,1.0955,0.1315,0.689,0.572
1,2.25,0.388,0.221,-1.906,394.7,89.451,-2.276,90.5,0,0,-7.495,-0.212,1.1095,0.1355,0.7475,0.5645
1,2.75,0.247,0.0395,-1.7085,391.95,89.4725,-2.25,90.03,0,0,-7.516,-0.205,1.147,0.13,0.749,0.573
1,3.25,0.293,0.164,-0.438,392.434,89.483,-2.396,90.7,0,0,-6.841,-0.2125,1.1275,0.139,0.819,0.5715
1,3.75,0.398,0.297,-1.794,392.9995,89.486,-2.48,89.9,0,0,-7.689,-0.192,1.1555,0.126,0.782,0.556
1,4.25,0.301,0.243,-1.039,394.0395,89.5,-2.642,90.6865,0,0,-7.754,-0.2115,1.13,0.119,0.704,0.5485
1,4.75,0.159,0.0125,-0.885,393.714,89.5,-2.818,90.006,0,0,-7.4205,-0.2205,1.104,0.148,0.693,0.553
1,5.25,0.294,0.1265,-0.7945,395.173,89.506,-2.616,90.206,0,0,-6.0995,-0.2265,1.0465,0.154,0.758,0.557
1,5.75,0.4955,0.082,-1.577,393.375,89.515,-2.77,90.3875,0,0,-6.4305,-0.227,1.048,0.144,0.741,0.5555
1,6.25,0.4085,-0.014,-1.722,393.69,89.5,-2.714,91.125,0,0,-6.2925,-0.2305,1.1,0.119,0.7825,0.5475
1,6.75,0.291,0.002,-1.4095,393.6695,89.545,-2.641,90.6,0,0,-6.807,-0.224,1.1215,0.145,0.778,0.5555
1,7.25,0.336,0.169,-0.514,393.508,89.573,-2.749,91.3,0,0,-6.4315,-0.2305,1.123,0.135,0.7675,0.534
1,7.75,-0.032,0.086,-1.1765,394.108,89.585,-2.887,91.568,14.899,0,-3.1645,-0.287,1.077,0.1305,0.776,0.407
1,8.25,0.01,0.133,-0.917,394.1865,89.5815,-2.731,90.45,63.1965,32.1735,0.772,-0.2875,1.064,0.137,0.749,-0.199
1,8.75,0.033,1.326,-2.9255,393.249,89.6,-2.091,87.828,150.307,88.607,11.167,-0.365,0.962,0.145,0.6815,-0.2335
1,9.25,-0.073,2.196,1.629,394.828,89.6,-1.163,86.107,223.4905,120.8535,27.415,-0.528,0.8615,0.147,0.6925,-0.454
1,9.75,-0.1475,7.382,5.863,392.145,89.569,0.183,79.998,336.352,185.0885,50.42,-0.5465,0.799,0.16,0.695,-0.4445
1,10.25,-0.384,9.479,12.8905,390.042,89.558,0.6795,78.236,391.735,209.292,56.7035,-0.406,0.8305,0.193,0.8335,-0.786
1,10.75,-0.777,10.909,26.554,386.907,89.576,1.4335,73.89,466.278,281.0105,73.071,-0.3815,0.8475,0.213,0.905,-0.797
1,11.25,-0.565,10.153,27.9265,385.514,89.566,2.0915,72.812,520.9685,291.6005,86.773,-0.1705,0.9815,0.236,0.889,-0.854
1,11.75,-0.843,11.841,29.917,385.383,89.496,2.599,72.9,542.9485,312.782,83.826,-0.1135,0.9695,0.2655,1.059,-1.223
1,12.25,-0.7065,11.165,32.0415,384.922,89.505,2.7515,70.069,536.48,275.35,88.6275,-0.0475,1.048,0.238,1.0375,-1.126
1,12.75,-0.8455,13.378,37.372,384.9065,89.469,2.706,71.503,560.28,317.839,86.9,-0.0605,1.0735,0.2595,0.916,-0.779
1,13.25,-0.582,10.991,35.193,384.823,89.445,3.143,71.169,592.371,337.447,92.08,0.0495,1.0625,0.238,1.011,-0.947
1,13.75,-0.6565,9.686,25.6465,384.949,89.431,3.2485,68.0725,564.639,297.122,79.346,0.043,1.046,0.2525,1.076,-1.284
1,14.25,-0.5805,8.503,23.212,384.718,89.4425,3.4095,67.066,427.39,295.006,65.055,0.105,1.11,0.248,0.99,-0.758
1,14.75,-0.617,6.563,9.711,384.416,89.451,3.68,67.3,339.3245,165.3905,43.88,0.1095,1.2235,0.2565,0.978,-0.4065
1,15.25,-0.5595,5.152,7.6125,384.385,89.449,3.435,69.238,243.53,124.4555,27,0.1085,1.237,0.27,1.043,-0.4045
