DOY2,HR2,FC,H,LE,USTAR,WS,NETRAD,PPFD_IN,SW_IN,TA,RH,VPD,PA,G,TS_1_1_1,TS_1_2_1
1,0.25,0.05825,-10.155,-0.7525,0.069,0.602,-34.4075,0,0,-2.4525,76.859,0.31,89.9,-2.26125,1.4845,0.7995
1,0.75,0.161,-3.07,-0.235,0.09,0.4885,-33.06,0,0,-2.46,76.575,0.33,89.9,-2.269,1.44925,0.80675
1,1.25,0.11975,-2.6125,-0.14,0.09,0.73,-34.985,0,0,-2.676,76.625,0.3225,89.9,-2.25775,1.41625,0.79375
1,1.75,0.0785,-8.06,-1.0625,0.08425,0.537,-30.8625,0,0,-2.505,77.425,0.3,89.9,-2.25975,1.4945,0.801
1,2.25,0.2055,-3.7525,-0.625,0.0785,0.4745,-34.04,0,0,-2.5325,77.775,0.31,89.82575,-2.2585,1.51975,0.795
1,2.75,0.1245,-18.51,-0.3725,0.072,0.512,-33.8275,0,0,-2.5125,78.823,0.29,89.9,-2.26125,1.54375,0.787
1,3.25,0.138,-12.2,-1.405,0.08875,0.6285,-32.4025,0,0,-2.5075,77.5015,0.38,89.82575,-2.266,1.49175,0.779
1,3.75,0.07,-10.97,0.37,0.0785,0.58075,-31.1275,0,0,-3.0345,76.3,0.34,89.82575,-2.29275,1.4885,0.793
1,4.25,0.604,-29.23,-0.53,0.08775,0.435,-31.9425,0,0,-3.2325,77.8,0.3025,89.9,-2.09025,1.4665,0.784
1,4.75,0.15975,-1.7225,-2.95,0.076,0.447,-32.55,0,0,-2.9615,77.975,0.28,89.925,-2.0855,1.45125,0.7835
1,5.25,0.313,-1.32,0.49,0.0795,0.447,-33.59225,0,0,-3.54675,77.9,0.25,89.925,-2.0855,1.36525,0.77375
1,5.75,0.18675,4.0675,5.5,0.08275,0.447,-30.93,0,0,-3.40575,78.33775,0.2725,89.925,-2.0805,1.4535,0.78525
1,6.25,0.1165,8.82,11.22,0.07675,0.4485,-29.725,0,0,-3.1725,77.6,0.26,89.925,-2.08175,1.44375,0.77475
1,6.75,0.5375,14.245,3.74,0.07475,0.44925,-30.235,0,0,-3.075,78.8,0.2525,90,-2.07925,1.4165,0.783
1,7.25,-1.09075,3.435,8.455,0.088,0.512,-32.02,0,0,-3.0925,79.25,0.2925,90,-2.07875,1.417,0.7675
1,7.75,-2.46575,12.26,15.825,0.0735,0.46125,-19.79,6.24125,1.61525,-3.34875,79.55,0.25,90,-2.0805,1.49025,0.772
1,8.25,-2.266,10.72,6.6875,0.10125,0.55925,-9.46875,29.34375,11.2295,-3.3175,79.3,0.26,90,-2.08,1.065,0.7555
1,8.75,-2.832,15.29,9.7175,0.1065,0.46175,1.47525,52.8275,11.36475,-3.1285,76.78525,0.3175,90,-2.08125,0.643,0.72525
1,9.25,-2.609,11.8725,14.2775,0.125,0.4565,17.6875,94.8405,19.19075,-2.3385,75.075,0.31,90,-2.06475,0.762,0.7075
1,9.75,-2.985,11.785,17.925,0.11,0.447,39.975,157.05,37.8055,-1.61,72.925,0.5175,90,-2.025,0.7595,0.6315
1,10.25,-3.56075,13.92,9.0775,0.1305,0.43875,47.8975,167.35,38.9795,-0.9495,67.3675,0.6975,90.02525,-2.025,0.97475,0.58
1,10.75,-3.83625,-1.015,14.7225,0.1805,0.447,59.84,191.325,50.43825,-0.7145,65.715,0.8575,90.02525,-2.02475,1.07975,0.54725
1,11.25,-4.29,5.345,18.605,0.16,0.47025,74.15,228.26,45.2335,-0.14375,62.37175,0.94,90.02525,-2.025,1.15,0.45075
1,11.75,-4.067,-1.79,20.36,0.146,0.56475,75.125,221.775,62.86675,0.104,60.55475,0.89,90,-2.01775,1.19825,0.34825
1,12.25,-4.605,3.6325,10.33,0.146,0.64375,88.15,288.895,64.75225,0.424,59.05,1.16,89.925,-2.02375,1.217,0.23125
1,12.75,-4.54925,-2.745,3.97,0.2045,0.68575,78.075,238.4125,69.003,0.63,58.46625,1.1175,89.925,-2.0225,1.282,0.258
1,13.25,-3.52875,2.375,4.83,0.22,0.8175,64.215,193.1,53.0385,0.64525,58.01775,1.305,89.9,-2.0225,1.36,0.3535
1,13.75,-4.323,-5.44,0.56,0.196,0.7805,52.9375,158.3375,34.04,0.626,56.665,1.16,89.82575,-2.01975,1.503,0.34725
1,14.25,-4.401,-18.01,-1.06,0.20575,0.85525,54.365,152.35,40.393,0.8335,54.63,1.1,89.801,-2.01925,1.53675,0.468
1,14.75,-3.7615,-16.24,-4.07,0.195,0.6665,41.1025,127.975,39.47625,0.8275,54.3925,1.13,89.801,-2.024,1.5715,0.51625
1,15.25,-4.05275,-19.145,-1.32,0.1965,0.7605,22.2475,88.4,34.50175,1.08075,56.605,0.8425,90.55025,-2.0435,1.5815,0.5985
1,15.75,-3.176,-13.255,-0.26,0.157,0.73475,2.91925,50.2375,16.32475,0.5715,56.5375,0.74,90.55025,-2.101,1.6165,0.68025
1,16.25,-2.523,-17.955,-4.67,0.143,0.702,-17.7425,21.395,8.3125,0.425,61.2575,0.785,90.65075,-2.3585,1.61625,0.71025
1,16.75,-2.4295,-17.3,0.11,0.1905,0.59775,-45.26,4.02075,1.07425,0.0715,66.53,0.6975,90.65075,-2.3485,1.60875,0.7965
1,17.25,-1.2825,-7.18,-0.89,0.146,0.82325,-50.1,0,0,-0.2525,68.94,0.62,89.72525,-2.35625,1.57975,0.8305
1,17.75,0.288,-15.08,-2.45,0.1155,0.736,-51.215,0,0,-0.96775,70.675,0.66,89.72525,-2.3235,1.59325,0.8475
1,18.25,0.24275,-9.525,-1.18,0.1125,0.60075,-48.095,0,0,-1.1365,70.825,0.65,89.801,-2.30575,1.56525,0.873
1,18.75,0.173,-9.93,-0.31,0.071,0.44775,-41.54,0,0,-1.4535,72.05,0.4825,89.801,-2.30675,1.5465,0.87575
1,19.25,0.07,-13.65,-1.44,0.0805,0.486,-43.835,0,0,-1.719,74.7,0.415,89.801,-2.2975,1.53375,0.858
1,19.75,0.4355,-20.695,-0.3,0.073,0.447,-43.615,0,0,-1.95,74.2445,0.4075,89.801,-2.28825,1.44625,0.8505
1,20.25,0.03075,-19.58,-0.25,0.084,0.485,-37.28,0,0,-1.912,75.225,0.345,89.801,-2.27875,1.429,0.84175
1,20.75,0.108,-27.575,-1.49,0.062,0.44725,-38.81,0,0,-2.1725,77.125,0.375,89.801,-2.291,1.528,0.82375
1,21.25,0.19275,-7.4925,-1.16,0.071,0.4665,-34.74,0,0,-2.2125,76.625,0.46,89.82575,-2.26875,1.45275,0.80975
1,21.75,0.12975,-2.915,-0.68,0.0815,0.555,-43.985,0,0,-2.325,77.825,0.44,89.82575,-2.26625,1.47425,0.80375
1,22.25,0.143375,-4.7175,-0.04,0.0835,0.4495,-46.4,0,0,-2.3275,77.825,0.44,89.82575,-2.27075,1.47325,0.80175
1,22.75,0.157,-6.64,-1.85,0.073,0.47125,-44.625,0,0,-2.4025,77.975,0.33,89.9,-2.26625,1.48675,0.801
1,23.25,0.207,-3.97,-0.72,0.078,0.46075,-40.8075,0,0,-2.3175,79.25,0.3125,89.9,-2.2555,1.4645,0.79975
1,23.75,0.207,-0.685,-1.84,0.0655,0.45225,-39.9675,0,0,-2.4075,80.125,0.275,89.9,-2.257,1.41675,0.80025
2,0.25,0.2635,-10.155,-0.7525,0.071,0.42375,-36.35,0,0,-2.24525,81.25,0.265,89.9,-4.463,0.74925,0.65625
2,0.75,0.0335,-3.07,-0.235,0.05775,0.35025,-29.71,0,0,-2.30375,82.25,0.26,89.9,-4.3185,0.75175,0.652
2,1.25,0.2,-2.6125,-0.14,0.07675,0.44775,-28.84,0,0,-2.475,82.425,0.19,89.9,-4.1385,0.74675,0.65575
2,1.75,0.179,-8.06,-1.0625,0.0545,0.44725,-31.88,0,0,-2.465,82.025,0.225,89.9,-4.311,0.73825,0.64275
2,2.25,0.158,-3.7525,-0.625,0.0835,0.462,-29.11,0,0,-2.625,82.35,0.2425,89.82575,-4.1705,0.74025,0.64225
2,2.75,0.225375,-18.51,-0.3725,0.08825,0.447,-27.84,0,0,-2.8375,83.125,0.205,89.9,-4.1265,0.731,0.65275
2,3.25,0.29275,-12.2,-1.405,0.089,0.4975,-26.56,0,0,-2.9,82.9,0.19,89.82575,-4.10075,0.729,0.66275
2,3.75,0.199,-10.97,0.37,0.107,0.44925,-26.82,0,0,-3.0525,81.875,0.2,89.82575,-4.262,0.73225,0.668
2,4.25,0.29325,-29.23,-0.53,0.091,0.47225,-24.95,0,0,-3.1825,81.2,0.2,89.9,-4.081,0.73675,0.671
2,4.75,0.3875,-1.7225,-2.95,0.097,0.44925,-26.17,0,0,-3.1875,81.125,0.19,89.925,-4.05375,0.70475,0.66525
2,5.25,0.2525,-1.32,0.49,0.092,0.457,-24.26,0,0,-3.3745,80.225,0.18,89.925,-4.0235,0.7135,0.65525
2,5.75,0.57875,4.0675,5.5,0.075,0.45,-23.61,0,0,-3.57925,80.075,0.18,89.925,-4.013,0.72225,0.66225
