DOY2,HR2,USTAR,TA,WS,FC,SC,H,LE,G,RH,PA,NETRAD,PPFD_IN,SW_IN,CO2,VPD,TS_1_1_1,TS_1_2_1,NEE
1,0.25,0.45975,0.59875,1.489,0.791,0.22975,-4.4,4.63,-0.9255,95.95,88.601,-2.155,0,0,367.65,1.1775,0.31925,1.32325,0.699
1,0.75,0.534,0.69475,1.6305,0.946,0.1885,-1.2475,6.255,-0.926,96.35,88.601,-3.4315,0,0,367.85,1.1375,0.3885,1.348,0.869
1,1.25,0.527,0.422,1.77925,0.7865,0.088,-5.6225,7.47,-0.92675,96.575,88.601,-2.69525,0,0,367.9625,1.215,0.36575,1.35725,0.638
1,1.75,0.477,0.45725,1.46375,0.895,0.121,-5.98,8.1925,-0.91825,97.075,88.601,-2.4365,0,0,368.105,1.2025,0.33325,1.309,0.892
1,2.25,0.468,0.745,1.498,0.7895,0.089,-4.81,7.115,-0.922,96.3,88.6505,-2.02825,0,0,368.3,1.1275,0.38275,1.32975,0.7695
1,2.75,0.532,0.7235,1.595,0.648,0.29175,-4.585,8.405,-0.9115,96.625,88.6505,-2.64075,0,0,368.44,1.11,0.35175,1.323,0.50575
1,3.25,0.476,0.75575,1.49475,0.70725,0.22,-2.9875,6.58,-0.902,96.25,88.6505,-2.84775,0,0,368.35,1.1025,0.39875,1.34,0.47575
1,3.75,0.4815,0.126,1.38225,0.9215,0.246,-2.38,7.0575,-0.87525,96.1,88.6505,-2.31325,0,0,368.2775,1.0275,0.3685,1.3535,0.8865
1,4.25,0.445,0.08575,1.4245,0.8005,0.3015,-1.2475,6.165,-0.85525,96.125,88.601,-2.158,0,0,368.36,0.9975,0.38375,1.3265,0.463
1,4.75,0.5445,0.16475,1.57425,0.406,0.454,-3.1225,5.33,-0.85375,95.575,88.601,-2.22275,0,0,369.0725,0.8975,0.4,1.35,0.394
1,5.25,0.498,0.2215,1.54175,0.86,0.0415,-4.8825,4.9225,-0.84925,96.475,88.601,-1.60425,0,0,368.9325,0.915,0.35875,1.32425,1.10875
1,5.75,0.45,0.267,1.16275,0.60675,0.21675,-3.23,8.8025,-0.847,96.775,88.601,-1.507,0,0,368.9925,0.9425,0.3175,1.3285,0.519
1,6.25,0.456,-0.116,1.43125,0.743,0.241,-5.54,6.475,-0.83475,96.45,88.601,-1.897,0,0,368.87,0.8775,0.2815,1.26,0.477
1,6.75,0.479,-0.136,1.4265,0.8125,0.409,-3.0475,8.125,-0.847,96.325,88.601,-1.56825,0,0,367.955,0.8475,0.29325,1.2765,0.5825
