DOY2,HR2,FC,LE,H,G_1_1_1,G_1_1_2,G_1_1_3,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,G_2_1_1,G_3_1_1,NEE
1,0.25,0.41,0.0475,-1.972605,-2.12821,-3.1,-2,414.25,5.460145,90.341,-1.8637,0.29,-0.8793,-2.4227,-2.239,88.91315,0,0,0,278.0667,302.8,-27.67,-0.11,0.38,1.1875,1.871,2.93,4.37,0.090575867,0.385,0.42,0.1,1.06,-2.05161,-2.0026,1.015
1,0.75,0.47,0.12,-1.985,-2.128255,-3.1,-2,414.348,5.379595,90.374,-1.998784111,0.3,-0.50723,-2.38,-2.253,88.0415,0,0,0,275.57,303,-29.62,-0.15,0.37,1.164,1.846,2.93,4.377,0.1,0.3976,0.43,0.1035,1.044786659,-2.05171,-2.0026,1.0205
1,1.25,0.38,0.007,-1.42,-2.12816,-3.1,-2,415.25,5.27776,90.3885,-2.311061014,0.300570892,-0.7852,-2.489835,-2.4175,88.46667,0,0,0,277.585,303.33,-29.73,-0.17,0.295,1.13,1.833,2.94,4.37,0.091,0.4319,0.422695,0.105,1.03,-2.32389,-2.0026,0.987
1,1.75,0.416,0.02726,-1.37,-2.12838,-3.1,-2,415.079755,5.3,90.413,-2.126352875,0.3,-1.027595,-2.287,-2.279,89.2335,0,0,0,276.13333,303.085,-28.896665,-0.158,0.277,1.0995,1.822,2.92,4.38,0.101762554,0.42,0.467775,0.1,0.953,-3.7931,-2.0026,1.01
1,2.25,0.39,0.097,-1.4489,-2.128685,-3.1,-2,415.45,5.2,90.426,-2.28713,0.31,-1.10512,-2.3163,-2.3,89.8365,0,0,0,279.03,303.63165,-26.4165,-0.173,0.26,1.09,1.84,2.925,4.3775,0.102,0.445,0.45,0.11,1.015,-3.947635,-2.00265,0.9275
1,2.75,0.3815,0.15967,-1.13,-2.14609,-3.1,-2,415.6,5.2,90.40615,-2.258855,0.2941,-1.10726,-2.436,-2.27,90.16,0,0,0,280.67,302.935,-23.22165,-0.223,0.195,1.025,1.8005,2.9175,4.396,0.1,0.434346842,0.47,0.11,1.04,-4.238485,-2.00265,0.984
1,3.25,0.37,0.212,-1.61,-2.6916,-3.1,-2,415.55,5.24174,90.4186,-2.295,0.322522524,-1.3543,-2.34,-2.371,89.8915,0,0,0,283.8,302.866665,-24.774985,-0.269,0.188,1.01,1.8075,2.93,4.3715,0.09781,0.43715,0.455265,0.11995,1.03,-4.544905,-2.0027,0.895
1,3.75,0.48,-0.015055,-1.1574247195,-2.1289,-3.1,-2,414.3,5.2,90.39,-2.21,0.28913,-1.28826,-2.531,-2.49,90.1,0,0,0,285.48335,302.8333,-25.87,-0.21,0.17,1.0205,1.785,2.92,4.35,0.109,0.455,0.4675,0.1,0.99409,-3.89541,-2.0027,0.8315
1,4.25,0.42,0.29208,-1.6195,-2.65265,-3.1,-2,414.1,5.2,90.4,-2.25,0.28824,-1.186615,-2.47967,-2.372,89.864665,0,0,0,284.33,301.89835,-25.885,-0.284,0.163,0.979,1.7495,2.915,4.362,0.107,0.44,0.5,0.11,0.985893112,-3.36744,-2.0027,1.075
1,4.75,0.35,0.159,-1.61,-3.08708,-3.1,-2,415.198,5.2,90.39,-2.52181,0.29563,-1.388985,-2.47,-2.2927,90.158,0,0,0,281.3,301.75,-21.9785,-0.31,0.15,0.968,1.736,2.93,4.367,0.086,0.44,0.45,0.1012,0.98,-3.485,-2.0027,0.7795
1,5.25,0.316,0.2391,-0.78,-3.1919,-3.1,-2,414.2,5.2,90.37,-2.585,0.29,-1.429,-2.7097,-2.56,90.45,0,0,0,282.268335,301.07,-27.37,-0.353,0.09,0.935,1.719,2.91,4.356,0.1,0.40163,0.46,0.10192,0.98,-4.57915,-2.002735,0.607
1,5.75,0.357,0.24,-1.14737,-3.197215,-3.1,-2,415.308,5.2,90.39,-2.7875,0.28,-1.28535,-2.72,-2.6237,90.76,0,0,0,281.87,301.45,-24.385,-0.4085,0.0545,0.89,1.7155,2.9015,4.355,0.09984,0.395,0.4302,0.09455,1,-4.631355,-2.00266,0.9815
1,6.25,0.315,0.27,-1.05624,-3.2,-3.1,-2,415.55,5.2,90.42,-2.7105,0.28849,-1.434175,-2.73933,-2.63,90.7125,0,0,0,280.55,301.3333,-26.58,-0.451,0.08,0.88,1.736,2.927,4.35,0.11,0.41689,0.43373,0.1032,0.96755,-4.47703,-2.00273,0.909
1,6.75,0.2676,0.20992,-0.836,-3.2,-3.1,-2,415.05583,5.384595,90.4245,-2.94,0.28,-1.324045,-2.903,-2.51,90.513665,0,0,0,281.685,301.93,-24.693,-0.504,0.05,0.87,1.726,2.906,4.35,0.116,0.423533281,0.496414952,0.105,1.02,-4.853115,-2.00266,0.697
1,7.25,0.19,0.04782,-0.875,-3.2,-3.1,-2,416.1,5.3619961045,90.44,-2.78,0.27,-1.58073,-2.994,-2.623,90.735,0,0,0,279.755,300.83333,-23.84,-0.546,0.031,0.85,1.717,2.905,4.3415,0.1,0.388535727,0.48,0.11,0.983,-4.872875,-2.00261,0.3725
1,7.75,0.0777,0.2879,-0.798,-3.2,-3.1,-2,416.65,5.3,90.46,-3.04,0.29,-1.66697,-3.055,-2.7565,90.496,12.315,0,0,271.6,299.831665,-24.799809425,-0.59,-0.032,0.8335,1.683,2.883,4.335,0.0934476075,0.4006,0.43,0.1,0.96,-5.13249,-2.00277,0.6835
1,8.25,0.09,0.15986,-1.4281,-3.2,-3.1,-2,416.28835,5.17124,90.5,-2.718885,0.302895742,-1.5317,-2.9,-2.53,88.2545,63.125,29.218335,11.15,266.8,300.4667,-4.325,-0.574,-0.03,0.788,1.662,2.87,4.3,0.09,0.42818,0.45,0.09877,0.9185,-5.1325,-2.0679,-0.076
1,8.75,0.215,1.003,-0.4811,-3.2,-3.1,-2,414.7,5.3445,90.47061,-1.820335,0.41,-1.45167,-2.1995,-1.728,85.47,161.58,85.53667,24.795,273.37,305.435,29.29,-0.513,-0.059,0.723,1.436,2.76,4.24,0.093075,0.42,0.47,0.13,0.79,-3.34898,-2.003,-0.416
1,9.25,0.09,3.81831,3.27425,-3.2,-3.1,-2,414.15,5.6,90.432,-0.971775,0.4,0.46836,-1.4425,-0.61,81.0967,238.2,117.79333,29.66,268.59,310.375,59.27,-0.36,0.025,0.758,1.475,2.77,4.207,0.131,0.39,0.42,0.16,0.67,-2.85456,-2.002435,-0.53
1,9.75,0.05,9.973,13.9,-3.19328,-3.1,-2,409.6,5.7,90.4124,1.06,0.33,1.8713,-0.565,1,75.85,328.8,174.8,37.69,272,314.5,97.20333,-0.15,0.036,0.736,1.444,2.75,4.22,0.169,0.456615,0.45,0.22125,0.7137,-2.05089,-2.002125,-0.0435
1,10.25,-0.401,13.43323478,30.74,-2.12795,-2.95,-2,406.8,5.71052,90.42895,1.96,0.36221,2.794835,0.3795,1.64,71.58,414.67,218.33,39.92,277.783335,319.6,132.615,0.19,0.31,0.787,1.497,2.785,4.251,0.19,0.53,0.5,0.2759,0.8109,-2.05022,-2.00209,-0.32
