DOY2,HR2,FC,LE,H,G_1_1_1,G_2_1_1,G_3_1_1,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS
1,0.25,1.09598175,1.3839775,0.68,-0.39915,-2.0515775,-2,425.84883,6.1810125,90.8725,1.3975,0.4605125,1.20496,0.946,1.8,93.16667,0,0,0,297.733315,316.56667,-6.6117,0.604,1.063,1.966,2.7135,3.42675,4.83825,0.2392375,0.845,0.8504375,0.320255,1.47597922775
1,0.75,0.93,1.7216,0.44262605375,-0.478855,-2.075855,-2,427,6.112865,90.86,1.4041,0.493575,1.174355,0.9975,1.49935,93.21665,0,0,0,300.04,317.25,-6.35265,0.61675,1.0595,1.917,2.70025,3.4315,4.84025,0.250355,0.86577,0.837975,0.27324,1.501875
1,1.25,0.94,1.353665,0.5365,-0.877845,-2.0964,-2,425.6,6.163528974,90.88475,1.32,0.4781,1.2478775,0.92,1.739575,93.3441675,0,0,0,298.730825,317.32,-6.99475,0.5585,0.98575,1.88,2.69425,3.43875,4.8395,0.256165,0.89285,0.85,0.29623,1.326
1,1.75,1.09,2.01712,0.4825,-1.06372,-2.0519525,-2,425.9,6.180725,90.87,1.379765,0.489545,1.52192,0.934,1.7,93.6135,0,0,0,300.93,316.7,-7.1,0.5025,0.94375,1.902,2.6775,3.44675,4.83325,0.25057,0.87,0.88037,0.297015,1.33
1,2.25,0.8775,1.4233,0.683765,-0.904125,-2.1,-2,425.083805,6.2,90.883,1.175,0.4779025,1.25566,0.93,1.72,93.26667,0,0,0,301.431665,316.03333,-4.0003,0.4515,0.9135,1.8475,2.621,3.457,4.828,0.2319318725,0.87,0.841765,0.2779225,1.33
1,2.75,0.8,1.37278,0.920990559,-1.28615,-2.1,-2,428.148355,6.20254,90.89,1.21,0.50014,0.87862,0.745,1.1933,93.1,0,0,0,303.985,315.73,-5.76,0.4205,0.90375,1.79,2.598,3.473,4.85675,0.212545,0.78856,0.81612,0.26,1.338
1,3.25,0.94,2.181,1.085,-1.87645,-2.1,-2,427.7946825,6.2279760795,90.8725,1.198475,0.447835,0.7550975,0.71,1.06,93.1499975,0,0,0,304.1,316.115,-4.9466675,0.4495,0.90025,1.78,2.5805,3.45875,4.846,0.253775,0.805185,0.84643,0.2781575,1.36026503175
1,3.75,1.0025,1.62194049075,1.32834,-1.97244,-2.1,-2,427.3,6.082165,90.8515,1.03,0.459965,0.710505,0.529,1.05325,93.598,0,0,0,305.7000025,316.03,-4.091985,0.4585,0.8945,1.765,2.552,3.449,4.836,0.27,0.8592675,0.77986,0.32,1.33
1,4.25,0.8725,1.864905,0.8389075,-1.7929875,-2.1,-2,424.9166875,6.00727,90.86725,0.72,0.4673675,0.838105,0.22,1.0235,93.7324975,0,0,0,303.8525,315.9608325,-5.11,0.45125,0.88175,1.73,2.518,3.4325,4.835,0.282,0.841875,0.8123,0.288865,1.37
1,4.75,0.761,1.650765,1.07675,-1.4186675,-2.1,-2,425.756165,5.961095,90.866,0.886225,0.439385,1.026455,0.31,1.06,94.2499975,0,0,0,303.6525,315.2825,-3.28975,0.42725,0.88225,1.707,2.47775,3.42475,4.8355,0.28,0.797583796,0.7754675,0.2825,1.3847540085
