DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,TA,PA,NETRAD,G_1_1_1,G_2_1_1,TS_1_1_1,TS_2_1_1,PPFD_IN
1,0.25,-0.105386,-7.49601,2.83372,0.180676,2.07089,0.291689,-2.48435,412.112,4.86667,0.799267,0.577102,0.354781,0.216438,-4.07478,98.31555,-8.120195,-7.61105,-7.19016,1.087505,0.9853285,0.0925055
1,0.75,-0.104103,-9.08697,2.325665,0.329323,1.99927,0.283601,-2.32026,410.432,4.690235,0.68755,0.533666,0.334882,0.214267,-4.045255,98.30525,-7.201605,-7.5415,-7.05736,1.086685,0.9845935,0.106828
1,1.25,-0.128527,-8.73737,3.0152,0.150963,1.893525,0.32564,-2.478575,411.223,4.60984,0.770312,0.5954745,0.391319,0.1888845,-4.230475,98.27475,-6.719125,-7.54315,-7.055375,1.085295,0.9838545,0.140851
1,1.75,-0.1626845,-8.916465,0.940612,0.295641,2.009445,0.3586155,-2.829225,411.532,4.78257,0.848104,0.6375185,0.4223845,0.1899425,-4.017885,98.26655,-6.72128,-7.52947,-7.0554,1.08359,0.9782045,0.1104585
1,2.25,-0.1327895,-9.05131,1.44527,0.2493875,1.84525,0.324781,-3.28785,410.392,4.81647,0.799651,0.626282,0.4134025,0.171897,-3.88763,98.2688,-6.61513,-7.53577,-7.01004,1.05798,0.956608,0.0327
1,2.75,-0.1169015,-9.948215,2.338115,0.192046,1.93128,0.313247,-2.850175,411.19,4.94543,0.782234,0.578134,0.3820075,0.161934,-4.17609,98.2745,-7.37874,-7.54893,-7.05339,1.05393,0.954308,0.0836
1,3.25,-0.1136315,-11.82155,2.0581,0.202179,1.829015,0.2998145,-2.929575,411.344,4.88294,0.76276,0.60242,0.3911135,0.1880505,-4.50297,98.2773,-9.47813,-7.58062,-7.14649,1.05018,0.955598,0.0944
1,3.75,-0.119414,-10.3245,3.543725,0.126101,1.8746,0.305956,-3.74939,411.386,4.762595,0.781108,0.640054,0.384657,0.167352,-4.89587,98.2945,-9.73698,-7.56169,-7.12865,1.04668,0.957143,0.0235
1,4.25,-0.131998,-10.5322,3.30449,0.125955,1.96982,0.332105,-3.45937,411.7965,4.48958,0.832075,0.598105,0.41659,0.185096,-4.37933,98.34,-9.83133,-7.55816,-7.20981,1.02295,0.95833,0.0277
1,4.75,-0.124036,-9.04129,3.61325,0.222795,2.04341,0.319507,-3.43423,411.708,4.53384,0.852523,0.660434,0.430419,0.16303,-4.23025,98.3188,-9.37694,-7.60309,-7.27952,0.996684,0.937052,0.0339
1,5.25,-0.14763,-11.39435,3.923855,0.145721,2.16837,0.344836,-3.11955,411.3275,4.45458,0.844887,0.693256,0.440645,0.179443,-4.310335,98.3517,-8.67642,-7.588125,-7.260265,0.980776,0.894815,0.021815
1,5.75,-0.161475,-14.5629,2.98013,0.11131,2.1145,0.372447,-3.35821,413.511,4.36522,0.880896,0.679839,0.458842,0.1902,-4.10113,98.36855,-7.964375,-7.62183,-7.15443,0.965991,0.8914925,0.03115
1,6.25,-0.130528,-10.3703,2.95231,0.306182,1.9693,0.333004,-3.54299,411.235,4.03522,0.820278,0.629543,0.427759,0.158209,-3.96654,98.3813,-6.19907,-7.62525,-7.13632,0.9354675,0.886855,0.0377
1,6.75,-0.129422,-13.1462,4.06211,0.384627,1.891885,0.3260765,-3.596235,411.1045,4.30459,0.825252,0.657445,0.4207245,0.156186,-4.096855,98.38795,-7.938805,-7.65389,-7.28813,0.9130305,0.8860645,0.03425
1,7.25,-0.1317945,-9.81728,3.54384,0.195299,1.83049,0.331991,-3.303825,410.8795,4.15867,0.8096835,0.660572,0.420238,0.165954,-3.960575,98.39465,-7.699465,-7.68113,-7.28048,0.965257,0.89689,0.231539
1,7.75,-0.128515,-7.65788,4.985135,0.2661725,1.795575,0.314814,-3.256135,410.911,3.809375,0.8050605,0.6642735,0.421776,0.151325,-3.822355,98.4138,-6.349215,-7.69486,-7.301315,1.002177,0.9192315,5.671795
1,8.25,-0.130751,-5.836845,5.16442,0.255996,1.816935,0.3245275,-3.366355,413.173,4.20599,0.7889675,0.6313195,0.422838,0.129893,-3.760875,98.44115,-0.6302805,-7.72245,-7.174805,1.005575,0.953515,37.44845
1,8.75,-0.144155,1.703615,7.95952,0.295048,1.987845,0.338731,-3.069435,412.211,4.09709,0.8218675,0.7191605,0.4399925,0.1430985,-3.567635,98.44735,6.587015,-7.756765,-7.17563,1.000754,0.9480515,83.18005
