DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,TA,PA,NETRAD,G_1_1_1,G_2_1_1,TS_1_1_1,TS_2_1_1,PPFD_IN
1,0.25,-0.0018755,6.20542550000001,38.3964125,9.98031625,4.380443,0.63715795,11.981155,572.193875,12.2940125,1.6364235,1.296963,0.76011305,0.92429965,11.77981,100.1074175,7.8640555,11.34514575,8.96041775,3.97975375,4.01473175,0.338305975
1,0.75,0.00172150000000001,12.4702425,34.015125,8.61339299999999,4.352842,0.6566569,12.439643,502.8142,9.66771,1.6307165,1.3870615,0.83115755,0.6147402,12.214325,100.10085,6.78960025,12.8629075,9.806307,4.15436925,4.18201,0.31320065
1,1.25,0.0024346,15.523885,224.268149999999,37.09726,4.29109675,0.661613,13.8348625,507.705875,9.37499299999997,1.54970975,1.70518825,0.842662375,0.843423049999999,12.556405,100.10432,6.18837825,14.20045,10.62514225,4.36662625,4.377159,0.30386375
1,1.75,0.0012805,14.107863,21.21479,45.224775,4.801979,0.734691475,13.33494775,531.345,9.07831500000001,1.7674185,1.34280725,0.8280452,0.957495449999999,11.72936425,100.10703,6.28188725,14.20123,10.034237,4.60550725,4.59372475,0.2971631
1,2.25,0.000954249999999986,9.96371150000001,19.72742,21.69725,4.07027175,0.844585699999999,13.10296125,583.18075,8.726816,1.7000485,1.3906115,0.811426425,2.63391824999999,11.49858,100.07216,5.554278,9.40918399999999,10.129762,4.863742,4.834644,0.2961038
1,2.75,0.00290324999999999,7.88614424999998,27.7876625,10.1333235,4.2341135,0.658613625,13.13466725,620.92475,10.47904,1.6638755,1.34604325,0.824153725,0.623563225,11.67999,100.06978,4.857588,8.23990999999999,10.292254,4.970442,5.038568,0.2872144
1,3.25,0.00443125,15.8394869999999,40.85877,40.7577,4.45840175,0.665569175,13.381735,683.8915,8.707656,1.6747715,1.45067775,0.88352675,1.2334917,11.995128,100.06174,6.58922799999999,8.39440999999999,10.472796,4.694426,5.008102,0.2908644
1,3.75,0.0028495,5.3724115,42.367,7.74206599999999,4.689005,0.7163082,8.834123,723.9009,9.51410375,1.721717,1.4789255,0.83313185,0.5172463,11.927464,100.02042,5.81308199999999,8.894312,11.06048,4.499406,4.879858,0.2998
1,4.25,0.00289335,7.99450050000001,43.6455900000002,16.595624,4.6497395,0.6400459,8.601331,711.336875,11.147988,1.6346535,1.3625565,0.7911943,0.40632525,11.720288,99.96856,6.565838,9.43965,11.691144,4.384572,4.79324,0.3005662
1,4.75,0.0028964,6.9102425,32.0217875,13.33887,4.2145485,0.6016189,8.6418725,706.7717,12.2640325,1.5391875,1.4775715,0.74191475,0.78374675,11.733426,99.92404,5.09774,9.084478,12.033262,4.356198,4.727152,0.3082474
