DOY2,HR2,FC_1_1_1,H_1_1_1,LE_1_1_1,NEE,TAU_1_1_1,USTAR_1_1_1,CO2_1_1_1,H2O_1_1_1,H2O_SIGMA_1_1_1,CO2_SIGMA_1_1_1,WS_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,PA_1_1_1,RH_1_1_1,VPD_1_1_1,TA_1_1_1,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,T_SONIC_1_1_1,T_SONIC_SIGMA_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,SG_1_1_1,SG_2_1_1
1,0.25,0.53814,-10.193,4.2224,0.66074,-0.0522011817419996,0.203616832479899,405.468594891198,3.50678452257448,0.0498430718051675,0.690107639585769,2.785017,0.668636528200039,0.510634329593037,0.252976616032026,98.77131,79.34246,1.1048,-0.724435,0.085241675,-0.048019635,0,0.6685769,280.70245,306.42325,-24.26799,0.7628468,0.1893508,0.92029425,0.7744247,1.7684685,-8.6206955,-9.1410385,-9.360681,-9.1988185,-0.782826514719975,-0.529456620927458
1,0.75,0.555235,-8.94735,4.0285,0.6509,-0.0507386316305891,0.200300992415775,405.559123750921,3.50457749823426,0.049813656864975,0.737775415325337,2.922162,0.633424073770212,0.507204620029461,0.248666486448134,98.761055,79.571015,1.0453,-0.86829,0.084333055,-0.05411105,0,0.7204434,281.996,306.5972,-19.968055,0.6768252,0.1938207,0.8995259,0.743753,1.760086,-8.6451885,-9.187285,-9.340464,-9.2453785,-0.626428866766074,-0.538445780687695
1,1.25,0.540125,-9.0591,4.308,0.695745,-0.0552089844781438,0.210839625296874,405.446136553658,3.51329775705744,0.0503402018566568,0.7537201933969,2.957649,0.669424764500134,0.508234879656902,0.24987649615103,98.76839,80.17979,0.94945,-1.029415,0.084046975,-0.055747775,0,0.7123507,283.2366,305.9661,-17.665745,0.5698481,0.1875604,0.879819,0.743691,1.7481025,-8.6378945,-9.3251945,-9.468221,-9.39629,-0.942574040137744,-0.717242509309016
1,1.75,0.61789,-7.8968,3.6276,0.69211,-0.0588508314371824,0.21113837997699,404.732132268115,3.50085298113098,0.0487005953832409,0.700086498835096,3.110487,0.665607657375285,0.519236379245269,0.265756820235673,98.78763,80.601625,0.850735,-1.1416,0.0880929,-0.05359234,0,0.6863319,283.638,305.9718,-18.02303,0.4516119,0.18444885,0.865787,0.7145791,1.747195,-8.782603,-9.296124,-9.406304,-9.532911,-0.857154377356695,-0.593987132194965
1,2.25,0.54342,-6.9142,3.84465,0.598165,-0.0499504471434372,0.201121659837984,405.456053743017,3.48805580625649,0.0480196461172236,0.727854894511075,2.9497295,0.649933004334223,0.508151609084181,0.251850242910168,98.73122,80.81688,0.82571,-1.4321,0.08476277,-0.05743061,0,0.6634111,279.2547,305.894,-16.23112,0.36629055,0.1814015,0.8434,0.7050382,1.714482,-8.791007,-9.329099,-9.37555,-9.439635,-0.675453441845161,-0.622581221786267
1,2.75,0.54963,-7.5734,4.1925,0.66605,-0.058300831598309,0.215719379659053,405.28219183074,3.49215406602513,0.0485611097785559,0.710391633096614,3.002432,0.654789827994966,0.517464456776105,0.256301329710479,98.75686,81.33461,0.80208,-1.5159,0.08456855,-0.064153465,0,0.68470535,279.99125,304.4473,-17.77807,0.3157742,0.194773,0.772984,0.69270865,1.686985,-8.8605375,-9.394333,-9.612152,-9.6302025,-0.82682567441552,-0.735040004694089
1,3.25,0.556705,-8.8922,4.66065,0.62836,-0.0601340628886931,0.22158963849393,405.52588205552,3.48365247752261,0.0452719529898587,0.682204800663407,3.1052075,0.667177253698044,0.542874411649078,0.262919153295128,98.77811,82.14534,0.74636,-1.5586,0.08391944,-0.06364401,0,0.7062919,278.791,304.9847,-17.53649,0.30284135,0.18904315,0.7667872,0.6902524,1.664484,-8.810809,-9.351795,-9.623487,-9.805161,-0.63358392473276,-0.663899926823745
1,3.75,0.57421,-6.9319,4.0635,0.65808,-0.056965297502392,0.209125094157449,405.432991542623,3.45804991116011,0.0497763132131811,0.720065984796672,3.047905,0.648211145424822,0.535852988100121,0.265870172961619,98.758875,83.58091,0.73615,-1.8062,0.08396634,-0.06334221,0,0.6225051,280.9776,304.481,-15.89148,0.2123788,0.195996,0.7637751,0.6728259,1.64151,-8.791091,-9.228062,-9.780798,-9.805407,-0.715129719488769,-0.632032154501922
1,4.25,0.58825,-7.15,4.82985,0.63178,-0.0587028608412092,0.21484809121339,405.025667406373,3.45660101473544,0.0492938589531684,0.69129111947595,3.187862,0.663004114923688,0.547804470558208,0.264605207385746,98.754775,83.74244,0.75136,-1.79845,0.08371623,-0.06141988,0,0.5684774,277.55575,304.36865,-15.948165,0.01853062,0.1620917,0.7489132,0.63666195,1.6028845,-8.8033775,-9.336923,-9.783545,-9.768628,-0.88551680546689,-0.831224036929771
1,4.75,0.59188,-6.8893,3.8533,0.63511,-0.0576218433162527,0.214194129440922,404.755242032985,3.41077879498385,0.0468028647474152,0.696387276219874,3.15879,0.671807125905101,0.534714661723759,0.263930899361198,98.7328,85.736665,0.72167,-1.9227,0.08387328,-0.06441141,0,0.5492344,275.2597,303.0667,-15.72464,-0.2012496,0.1638168,0.730953,0.6029432,1.578122,-8.830545,-9.2991395,-9.826396,-9.623116,-0.789091267519733,-0.826617618113391
1,5.25,0.540145,-6.87665,2.3639,0.58421,-0.053259506884676,0.208995023971783,405.133358834656,3.28362312645574,0.042955237044748,0.681408311149095,3.077372,0.649143006688879,0.516367220139238,0.263014198724426,98.733395,86.304615,0.65561,-1.88465,0.08492578,-0.063876125,0,0.551097,275.9153,303.66475,-16.09126,-0.3043137,0.167793,0.7222419,0.61060655,1.576818,-8.9552785,-9.397885,-9.982771,-9.7143905,-0.657333670523051,-0.546291905299878
1,5.75,0.5916,-6.4063,3.9206,0.6486,-0.0523782958807123,0.201946517219176,405.337478426761,3.24605280163712,0.0462969622310863,0.720114780848984,2.998423,0.631577015536879,0.539051568627143,0.256923793630685,98.73628,85.736315,0.65281,-2.00015,0.086272575,-0.064074445,0,0.6264908,275.61325,303.2032,-15.639005,-0.3405157,0.1612496,0.71981695,0.61301115,1.571276,-9.10629,-9.410456,-10.03636,-9.8448985,-0.696816711834892,-0.635141527590783
1,6.25,0.57634,-6.21755,4.12095,0.63475,-0.0627111273743848,0.221572549842413,405.451795772323,3.24080334901703,0.0482712216972732,0.686436679154868,2.995273,0.659104500764798,0.541736174921388,0.264274257857877,98.75259,86.28943,0.56769,-2.0354,0.08669313,-0.06533656,0,0.6548498,276.9153,302.9219,-16.20652,-0.5556492,0.1630409,0.6991852,0.5926878,1.551611,-9.220051,-9.4005865,-10.10308,-9.916487,-0.695917680155717,-0.803072141083307
1,6.75,0.56003,-6.9057,4.1844,0.66483,-0.0602707937519174,0.216509668449517,404.960498683469,3.23715287167839,0.0482986430440375,0.673078434929939,3.181195,0.647204684309197,0.570378993911038,0.264471531849223,98.7977,86.08228,0.611955,-2.0838,0.1110471,-0.05835281,0,0.6955342,279.8126,302.9164,-15.53687,-0.6345308,0.1714646,0.6955913,0.5624781,1.543676,-9.177104,-9.5486085,-10.13364,-9.909716,-0.749237728698558,-0.745394222690739
1,7.25,0.500275,-6.1969,4.15405,0.56121,-0.0611751877970692,0.221637157392474,405.60612428453,3.24972227937669,0.0483397344546984,0.684622531347305,3.135568,0.670995151955459,0.555675477574561,0.274105425392634,98.79703,85.61529,0.588405,-2.0837,2.62815,0.4721242,0.31344,1.498026,277.5854,302.1572,-15.26809,-0.7791308,0.1658874,0.6865992,0.5513988,1.540912,-9.251844,-9.653779,-10.16008,-9.858618,-0.693827439313798,-0.488725464411128
1,7.75,0.516935,-4.3074,4.69705,0.58973,-0.0683188968882985,0.23069703477193,406.361787455186,3.25748359791105,0.0524259420018053,0.661096420484669,3.349854,0.703324278154299,0.569520209087554,0.270681972513798,98.8243,86.439325,0.61851,-2.0984,26.2392,6.172786,16.166,8.511938,284.2104,303.0157,-9.948924,-0.81036315,0.16945305,0.6844437,0.5267438,1.542553,-9.231934,-9.6676885,-10.18127,-9.795458,-1.34257937247421,-1.47815353945278
1,8.25,0.275795,-0.080303,8.3512,0.27542,-0.0744097008598971,0.240642606934504,406.166247642042,3.4243632915577,0.0639261825288482,0.591351295485624,3.377878,0.725639464342997,0.571587299843068,0.28708106848171,98.85183,84.70495,0.74107,-1.7153,78.52036,20.96898,49.0765,24.51253,283.97935,306.59395,3.047674,-0.7019903,0.1821594,0.4925324,0.454738,1.5313835,-9.09375,-9.817804,-10.18003,-9.7643715,-1.19024007570603,-1.60819042304104
1,8.75,0.015515,4.5624,12.808,0.013705,-0.0790266752995907,0.251002127913399,405.028638771306,3.52382258464321,0.0826516753957396,0.662087610269749,3.552677,0.754113621414287,0.615258418702725,0.307790265952939,98.84162,81.76813,0.89449,-1.4507,149.5396,36.81438,89.9685,40.778685,284.9876,308.57285,25.25332,-0.2247191,0.1993346,0.52052675,0.43434555,1.5371515,-8.8203715,-9.309308,-10.033247,-9.7518355,0.0685193721470724,-0.0160226849856557
1,9.25,-0.20303,10.663,17.897,-0.20303,-0.0927079303428721,0.2706228794254,405.41246604338,3.59827545260643,0.0900365208928361,0.713221441384807,3.712287,0.802506538004588,0.715498941867368,0.318320250293717,98.86448,79.28785,1.07335,-1.0159,218.4871,50.638835,134.52,54.61194,283.675,310.7054,42.90144,0.1909146,0.2375648,0.607061,0.4820516,1.5271005,-8.461562,-8.803428,-9.4939315,-9.266243,1.71426159654914,1.96131929894678
1,9.75,-0.49223,19.332,22.785,-0.52381,-0.101759310413326,0.282733812492892,405.038139609166,3.60369967763901,0.107068064688905,0.789112249641739,3.8098735,0.844110518851533,0.750454894946835,0.324716091287731,98.87814,77.230025,1.2341,-0.72154,276.9617,74.35003,174.02,72.48894,285.2899,313.6651,69.73597,0.60248545,0.2502994,0.654344,0.5293308,1.542468,-8.284458,-8.2707335,-9.0341895,-8.858789,2.60918723469055,2.82908953643189
1,10.25,-0.73102,24.595,25.771,-0.74336,-0.102525292300269,0.285286026934758,404.995694595484,3.65204652265406,0.108123534802339,0.93687414124771,4.038774,0.861579878919492,0.805407824026538,0.33297732602945,98.90303,75.50003,1.3926,-0.43055,339.70005,82.7889,212.09,80.80626,284.29895,316.0138,75.12376,1.008989,0.2831462,0.65525365,0.55963275,1.5502045,-8.1174095,-7.885155,-8.67621,-8.8029155,3.15717478570601,3.23413374423352
1,10.75,-0.985355,33.699,28.981,-1.05145,-0.115239971504467,0.298115837081273,404.530597652172,3.65515766252949,0.128438824227646,1.04363159960265,4.079919,0.938593140641086,0.89537844165397,0.344964387901987,98.92693,72.17155,1.544,-0.20097,441.9771,91.78165,260.03,91.2544,286.3539,317.1928,95.77672,1.604471,0.3120888,0.7083198,0.5918467,1.564165,-7.840218,-7.4333475,-8.366777,-8.679743,3.72956652026675,3.45938001048622
1,11.25,-1.0418,33.505,33.0615,-1.08455,-0.116440883008066,0.302420547213531,404.290647828709,3.69439929380148,0.13717861516885,1.0904515129107,4.085201,0.916103188741668,0.913993508770693,0.344898448125973,98.8513,70.2554746473891,1.6992,0.075933,478.2364,93.27246,271.62,98.90707,286.3996,318.8108,113.6437,1.878952,0.2828686,0.7265661,0.6060897,1.514748,-7.602009,-6.9687405,-7.835882,-8.048379,5.14475565879809,4.62328066686797
1,11.75,-1.0013,35.85,32.594,-0.99334,-0.116069916403395,0.30267314912046,404.263765232279,3.72084991312275,0.13606242460137,1.17304721981571,4.139057,0.927547061762277,0.898092742446174,0.34348143997744,98.850225,70.51451,1.7916,0.37162,511.3556,94.39178,309.95,102.6779,282.5551,320.1155,113.4825,2.1377425,0.32204815,0.823348,0.6595961,1.53016,-7.248487,-6.4566295,-7.181049,-7.569965,5.16048098356501,3.87638329335124
1,12.25,-1.1896,40.7255,31.582,-1.2322,-0.112013290006507,0.300942233102441,404.517082450573,3.70140749256441,0.139927640723239,1.18091620922166,4.2237995,0.924932022020114,0.962282200650131,0.350346453235343,98.83813,69.76382,1.89475,0.80321,512.0112,98.31212,324.86,102.7662,281.916,320.0851,117.9266,2.3510225,0.3237853,0.9847673,0.7838101,1.592465,-6.388477,-6.2244335,-6.799632,-6.610641,4.77671643424637,4.83440281316521
1,12.75,-1.2303,37.401,32.749,-1.2303,-0.108644973661444,0.29049591621664,404.741474968087,3.77775307087335,0.141865002761413,1.11999752604585,4.171009,0.960596911420418,0.932980400807219,0.35282324519015,98.80249,69.1039511363265,1.93695,0.93429,540.0771,94.20564,332.82,108.5293,283.5302,321.4212,117.7943,2.586635,0.3101548,1.126933,0.9314983,1.604325,-5.891472,-5.6002705,-6.102275,-6.492533,5.29404083565967,5.1077821635317
1,13.25,-1.26915,34.811,33.77,-1.26915,-0.113923606594021,0.302753214297969,403.939654134756,3.81426218647811,0.144447690159974,1.06409000582498,4.1640885,0.923437525433677,0.93750934994944,0.347456976108679,98.79497,66.8435,2.0047,0.96435,510.0075,81.88448,320.74,94.19518,285.0887,323.1595,116.5234,2.700239,0.29129255,1.336801,1.087177,1.612946,-5.470028,-5.27749,-5.890546,-5.745686,4.76713997041858,4.69094015626018
