DOY2,HR2,FC_1_1_1,H_1_1_1,LE_1_1_1,NEE,TAU_1_1_1,USTAR_1_1_1,CO2_1_1_1,H2O_1_1_1,H2O_SIGMA_1_1_1,CO2_SIGMA_1_1_1,WS_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,PA_1_1_1,RH_1_1_1,VPD_1_1_1,TA_1_1_1,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,T_SONIC_1_1_1,T_SONIC_SIGMA_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,SG_1_1_1,SG_2_1_1
1,0.25,-0.65621,-65.099,-14.2774,-0.52951025,-0.261896435701009,0.0237198842295778,393.688810432832,0.541024934455213,0.0110281088408159,0.201172499082784,0.4339937725,0.151563908783879,0.140984073798908,0.0241711879990454,97.0020345,48.64728,0,-16.4817,0.004339379825,0.0031767166,0,-0.91991722,167.47227,233.624435,-93.3503185,0.4411367625,0.03006506225,-4.9605089,-4.3911542,-1.734532675,-44.793748,-37.007295,-51.691259,-47.91863,-12.9888144715402,-13.8742016077583
1,0.75,-0.50493,-63.597625,-9.62576,-0.518088,-0.241945072263298,0.0350079378334315,393.042102938795,0.564222226086225,0.011175641953664,0.175135339787579,0.603863325,0.177055676564746,0.180147481745771,0.0307487961945463,96.99772,48.30284,0,-16.757,0.01164859025,0.002495510375,0,-0.61299288,166.4216125,230.4324125,-93.16770675,0.621126595,0.032787335,-5.087955,-4.463614,-1.738427,-45.63855,-37.2023275,-50.44286,-47.31498,-12.3318812493417,-12.6085829632589
1,1.25,-0.613809,-59.08205,-8.69138,-0.354248,-0.283462454462319,0.0356708121430933,393.594178037397,0.51084721761785,0.00825673336261606,0.178654799453632,0.59770821,0.153258966366823,0.179187844108471,0.0356817108268234,96.96138425,48.165911,0,-17.1561,0.00714978665,0.003708420825,0,-0.56030885,165.1936225,230.0406625,-93.140982,0.5973570025,0.034846983,-5.18614885,-4.57409725,-1.79478965,-46.4279035,-37.84065325,-49.225448,-52.892403,-12.4640877097032,-10.2765150622492
1,1.75,-0.830535,-59.14885,-8.49094,-0.19265,-0.337941835737062,0.0417653407728965,393.494707575776,0.470808919972008,0.0103637776279538,0.162550058782838,0.52054101,0.148858416696106,0.203675236818887,0.0305132217923607,96.919399,48.87464,0,-17.67905,0.009008540275,0.004835565125,0,-0.459774825,163.32541,229.693865,-92.573494,0.5311682,0.031879818,-5.2088823,-4.70082695,-1.8452158,-46.511572,-38.52442,-50.26956125,-51.618647,-11.6053346401028,-10.7868324500306
1,2.25,-0.60728,-58.153475,-10.81475,-0.350685,-0.26823014395749,0.0378317470219427,393.610913214135,0.51737003010679,0.00848948803217385,0.183602117567902,0.48464,0.176833571865258,0.166864234733811,0.0310113202596773,96.8810885,50.60364,0,-18.1708,0.0085215294,0.002257452375,0,-1.01485824,164.4828175,228.9562875,-92.409452,0.3778075925,0.026584199,-5.3650716,-4.89281315,-1.927275,-46.621747,-39.15686,-49.95700875,-51.142098,-9.56849663112842,-14.229191944726
1,2.75,-0.4569105,-59.561675,-10.32165,-0.3764605,-0.239081360763904,0.0416793239205452,393.845636503755,0.507309778380589,0.00828751376033161,0.173380834269004,0.55477453,0.139605042248775,0.195401545125531,0.0242000372550586,96.84523325,51.940653,0,-18.7676,0.0091559223,0.003868255,0,-1.284999325,162.50294,230.19026,-92.42675975,0.34481299,0.026838402,-5.42002205,-5.065417,-2.03358635,-46.64348575,-39.901772,-49.425817,-54.371712,-9.026324263017,-11.8396788660765
1,3.25,-0.75164125,-69.351525,-10.5794,-0.37365,-0.277485247460358,0.0307016834914778,393.654014365217,0.497748162747581,0.00967083740009211,0.215168975079948,0.6163753125,0.195113707520865,0.176097210904777,0.0228163966187616,96.851082,49.572934,0.0005202,-19.2123,0.0071149522,0.004586146775,0,-0.860567775,163.26687,229.0494425,-92.4689225,0.08887677,0.0315665025,-5.4669397,-5.2195946,-2.1324558,-46.451821,-40.723262,-48.76071,-56.573241,-10.5013248991234,-12.7873458305534
1,3.75,-0.687082,-53.3632,-12.061275,-0.68388675,-0.268131304025884,0.0233436026129491,393.433916223703,0.502374378897861,0.00953747331287074,0.164828164944354,0.636397175,0.178552728153184,0.162600765621346,0.0215742287047409,96.82054875,50.33100375,0,-19.011,0.0100445832,0.004597680625,0,-1.105343975,162.911425,228.606425,-92.16314075,0.39178791,0.032604949,-5.49218225,-5.274504625,-2.190381125,-47.64348625,-41.349318,-47.51828225,-57.43715125,-10.5619704098456,-11.9858243219809
1,4.25,-1.233725,-57.49375,-8.25666,-0.626893749999999,-0.269398254501817,0.0459080281932062,393.266034330981,0.483751824656114,0.00990552500288734,0.164269542883285,0.593349,0.177552407439483,0.184297011326781,0.0263739793503142,96.86145875,47.20622875,0,-19.243375,0.0096863684,0.0024839934,0,-0.69507675,162.7647,228.4003,-91.984859,0.2701816625,0.031600696,-5.591772,-5.234803875,-2.23203625,-48.30025625,-42.168296,-47.0188725,-56.566845,-13.4534158625798,-11.7867269794868
1,4.75,-0.5316715,-51.9746,-7.02425,-0.4615535,-0.232253599043935,0.0385561276878297,393.633202670907,0.453199586674943,0.00957624529840306,0.177296140783328,0.6385786625,0.206888059498445,0.190624026850564,0.0252147713264699,96.85707525,50.079587,0,-19.3782,0.0085231615,0.002862717,0,-1.3854636,162.68602,229.01466,-91.292967,0.112357792,0.0315612175,-5.57268105,-5.27193385,-2.2712622,-48.1952905,-42.7243555,-46.6771725,-55.34957125,-11.303104596619,-10.6930115722221
