DOY2,HR2,FC,LE,H,CO2,H2O,USTAR,TA,RH,PA,VPD,WS,NETRAD,PPFD_IN,SW_IN,LW_IN,SW_OUT,LW_OUT
1,0.25,-0.0705973,-8.668365975,-85.75024025,380.267789,1.3610618475,0.074024963775,-10.326874,19.0481555,76.76473,0.135534856,1.0350595375,-113.115694,0,0,167.821362,0,259.57465875
1,0.75,-0.055703375,-5.868245295,-88.394672775,380.10649725,1.315039895,0.0677386183,-10.21064,20.013836,76.75081125,0.144640845,1.176625385,-114.03872625,0,0,166.678838,0,259.14178125
1,1.25,-0.098468475,-7.07536525,-88.993251,380.34334,1.283955,0.066324683,-10.912066,19.405971,76.75975125,0.110296554,1.1373966325,-113.4182525,0,0,166.77746,0,258.07175925
1,1.75,-0.0525473,-7.37123553,-87.8337021,380.40557525,1.32633278,0.0658069442,-10.46137825,20.0995745,76.73400625,0.130303169,0.99096144,-112.89685,0,0,167.150154,0,259.22886075
1,2.25,-0.0787575,-7.6495996375,-87.5914708,380.39463625,1.310454895,0.069236053325,-10.82208975,19.9041435,76.72603,0.1358948595,0.990240142,-113.9694185,0,0,167.77,0,259.0445775
1,2.75,-0.01745255,-7.54022905,-89.1939897,381.21655125,1.40586323,0.051339853,-10.937742,20.194237,76.71359625,0.11536204065,0.9506922165,-112.91590125,0,0,168.481004,0,258.54949425
1,3.25,-0.028396625,-7.12433095,-86.86375425,381.385362,1.36937994,0.0596650596,-11.093742,19.7422595,76.725085,0.1346644,0.85439246625,-112.047575,0,0,168.333454,0,257.469102
1,3.75,-0.0640706,-7.8259047325,-86.6704058,381.4897625,1.45571582,0.0743794282,-11.651605,20.36156,76.73940875,0.120106335,0.887432831,-110.786315,0,0,169.287718,0,256.73518425
1,4.25,-0.050616775,-6.13133183,-85.37319685,381.4546805,1.3051200125,0.0557895236,-11.643015,20.6748435,76.720475,0.13750872,0.665054634,-110.4944895,0,0,170.34596,0,256.191584
1,4.75,-0.061175,-7.95690673,-84.0405012,381.268475,1.46975584,0.05873434095,-11.277387,20.955679,76.714125,0.1301996725,0.927306945,-110.231084,0,0,169.73194,0,256.69311775
1,5.25,-0.075752125,-7.585468725,-87.9652394,380.982524,1.5300440625,0.046779272625,-11.179901,21.433385,76.72300125,0.1294231835,0.882779706,-109.286874,0,0,169.061268,0,256.50572575
1,5.75,-0.066771775,-8.9909121775,-87.13870955,380.550428,1.4953857625,0.058129438,-11.1795015,21.711046,76.7216625,0.128673671,0.8641233675,-109.8338325,0,0,168.763166,0,255.66320225
1,6.25,-0.100049375,-6.6985955875,-87.366464,381.275189,1.4834185,0.068350792,-11.186245,21.545506,76.7376625,0.12783227525,0.9265050535,-110.330601,0,0,169.073634,0,256.761904
1,6.75,-0.0822335,-8.36066668,-82.5610624,381.24396925,1.38111664,0.0625009584,-11.2571885,21.011264,76.72584125,0.0989044058,0.8251926955,-110.66920875,0,0,169.27622,0,257.2129385
1,7.25,-0.1812695,-5.651968115,-79.252129825,381.29523625,1.3817190875,0.0615833339,-11.5320925,20.281177,76.7688675,0.0774138519,0.8157063115,-104.3570675,1.7601782,0.5106027075,170.04956,0.10917376625,256.046139
1,7.75,-0.6469995,0.198943444,-62.69622095,381.75279675,1.3139246875,0.077487335975,-11.055651,19.7545595,76.79162375,0.0913612298,0.756958419,-75.4650964,14.5769106,22.709773,169.632382,2.0112624,259.667847
1,8.25,-1.8121625,1.50469452,-34.63187715,380.97813,1.39680262,0.117332525,-10.43367275,19.440807,76.81631,0.086919645875,0.73160704875,-22.510752625,32.80936025,29.77619,171.339128,3.997986225,265.931844
1,8.75,-2.5291,2.3074712,-16.067239625,380.758586,1.40047982,0.1566854435,-10.01711325,18.309238,76.82178,0.112017927175,0.70803487125,15.23756225,64.454819,38.11464275,172.608716,7.82678765,271.067932
