DOY2,HR2,CO2,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,PA,RH,TA,VPD,TS_1,TS_2,TS_3,TS_4,TS_5,NETRAD,PPFD_IN,PPFD_OUT
1,0.25,427.2551955,8.573233,2373.576303,1.211213,16.8137655,-6.509597,1.9024185,1.083715,0.1389275,-0.0231735,0.421797,0.169046,12.533831,0.280959,102.02,90.6,6.536,0.900064,9.405,9.575,9.403333,9.8175,10.4,-50.2112675,0,0
1,0.75,429.556334,8.325997,2410.052488,0.933018,15.748015,-4.916447,1.582581,1.1123675,0.1266335,-0.023076,0.4041395,0.1654755,12.181737,0.2765955,102,91.2,6.38,0.830952,9.4,9.58,9.395,9.815,10.39,-46.161972,0,0
1,1.25,431.512248,8.1734195,2414.027657,1.019308,17.211834,-5.4670345,1.587075,1.039443,0.1167935,-0.0172895,0.409387,0.145819,12.106772,0.263615,102,91.555,6.219,0.802017,9.393333,9.59,9.3958335,9.82,10.395,-44.877384,0,0
1,1.75,427.760763,8.4207465,2433.643706,0.798962,16.978178,-4.245082,1.271389,1.125798,0.129318,-0.0206405,0.383282,0.158298,12.1424555,0.282421,102.02,91.525,6.1495,0.759924,9.376667,9.56,9.3883335,9.82,10.395,-46.971831,0,0
1,2.25,428.5993075,8.257935,2415.269147,0.902341,17.0104395,-4.606369,2.077832,1.06819,0.135457,-0.0239825,0.435402,0.158073,12.144948,0.270815,102.03,91.79,5.973,0.726675,9.366667,9.56,9.39,9.82,10.4,-40.985915,0,0
1,2.75,425.363038,8.1359285,2409.6189265,1.0451,15.394879,-4.2046375,1.75249,1.068607,0.140336,-0.026159,0.3981265,0.167639,12.086163,0.266528,102.03,91.7,5.81,0.719791,9.343333,9.54,9.3841665,9.82,10.4,-38.512605,0,0
1,3.25,429.637902,7.916578,2436.594711,1.1237275,15.549731,-4.6484305,1.44133,1.052997,0.13558,-0.022726,0.415228,0.168288,11.81487,0.254483,102.03,92.11,5.7875,0.7084035,9.31,9.51,9.383333,9.82,10.41,-37.253521,0,0
1,3.75,427.7713055,8.127077,2446.337609,1.488335,17.285103,-4.056957,3.284245,1.049937,0.134943,-0.0243445,0.4027975,0.1642895,11.662856,0.2562825,102.03,92.4,5.811,0.688078,9.2666665,9.51,9.3866665,9.815,10.41,-37.5298775,0,0
1,4.25,429.1876845,8.1808615,2465.2988185,1.2133865,17.5828035,-2.754787,2.562149,1.0468885,0.140544,-0.024394,0.395781,0.159606,11.5249905,0.25931,102.03,92.5,5.576,0.684794,9.2433335,9.485,9.386667,9.805,10.4,-36.561577,0,0
1,4.75,430.071198,8.173163,2481.343624,1.1053225,14.665269,-4.6196655,2.1733365,1.043746,0.129537,-0.022408,0.401988,0.161741,11.483869,0.256081,102.025,92.7,5.484,0.643895,9.2,9.44,9.383333,9.78,10.39,-35.915493,0,0
1,5.25,430.659284,7.862029,2458.840077,0.997011,14.230416,-3.7577065,2.741118,1.010431,0.124502,-0.0194245,0.4100945,0.1717835,11.006309,0.2547855,102.02,92.9,5.3595,0.6339115,9.14,9.42,9.39,9.785,10.39,-35.123578,0,0
1,5.75,428.447329,8.035375,2437.620087,1.0548275,16.1047825,-3.950082,2.924411,1.0699035,0.1283,-0.020665,0.3959365,0.174337,10.983346,0.281691,102.02,92.98,5.32,0.604033,9.14,9.41,9.395,9.8,10.405,-35.7788675,0,0
1,6.25,428.469521,7.927763,2424.009665,0.928711,15.592126,-2.943611,1.888124,1.014781,0.132479,-0.0233175,0.4228475,0.1654555,10.938537,0.263765,102.03,93.2,5.2495,0.587022,9.136667,9.39,9.3958335,9.8,10.425,-32.7305525,0,0
1,6.75,428.256339,8.0669515,2440.20316,0.956075,14.872957,-2.458886,2.470271,1.101615,0.135555,-0.024678,0.4131405,0.1701965,10.84142,0.2607105,102.05,93.2,5.2325,0.569482,9.13,9.39,9.396667,9.77,10.42,-36.821494,0,0
1,7.25,429.133739,7.997432,2450.532369,0.981777,14.937644,-3.115037,2.351092,1.0475195,0.1331475,-0.023936,0.412188,0.173611,10.9495655,0.2676485,102.06,92.87,5.14,0.567773,9.133333,9.37,9.406667,9.8,10.43,-36.7908355,7.590133,0.56391
1,7.75,432.236718,7.902555,2483.206287,0.8217485,16.5875235,-1.876782,4.49971,1.1183495,0.140533,-0.027353,0.4067025,0.174741,10.7827915,0.258604,102.07,92.83,5.3395,0.5989485,9.1233335,9.35,9.3925,9.8025,10.44,-15.0352115,61.18068,5.545113
1,8.25,431.211503,8.345984,2415.53331,1.1358475,16.676735,2.660784,10.331021,1.1564875,0.154625,-0.031685,0.42674,0.203238,10.889251,0.249076,102.1,92.33,5.635,0.684565,9.136667,9.38,9.38,9.8,10.43,12.8534665,166.3187855,19.736842
1,8.75,431.349301,8.803308,2282.822784,0.904274,18.452083,9.005372,15.4194995,1.240982,0.171363,-0.043161,0.466337,0.228227,11.382225,0.2909755,102.11,90.5,6.494,0.909481,9.133333,9.41,9.3641665,9.815,10.42,49.761625,297.0588235,35.9962405
1,9.25,427.1190155,9.26083,2263.167457,0.85614,21.168846,16.958428,24.70716,1.4305325,0.195129,-0.05571,0.5241655,0.262079,12.115836,0.3094125,102.13,88.3,7.3205,1.243541,9.165,9.42,9.3466665,9.81,10.445,104.295775,430.929791,36.654135
1,9.75,422.803821,9.614827,2209.202304,0.7628815,18.5757625,23.722257,29.6307795,1.6508105,0.2114385,-0.073004,0.549538,0.281177,12.6344145,0.315118,102.15,85.5,8.03,1.572268,9.22,9.44,9.34,9.82,10.45,155.633803,548.956357,46.804511
1,10.25,419.414817,9.83058,2192.1457825,0.853587,20.505172,25.9006945,35.821043,1.681514,0.233009,-0.068807,0.595718,0.29613,13.2761365,0.372271,102.15,83.7,8.805,1.950697,9.276667,9.46,9.366667,9.835,10.46,206.1600345,692.59962,54.229323
1,10.75,417.658619,9.759513,2173.5318025,0.843176,21.443551,35.403949,37.854113,1.823079,0.244683,-0.0723615,0.621907,0.316289,13.825443,0.397584,102.14,80.8,9.5,2.5125525,9.3966665,9.525,9.386667,9.84,10.47,250.1760565,777.0398485,58.646617
1,11.25,415.812441,9.7629305,2150.449209,0.856242,23.571817,41.312752,37.167505,1.792115,0.247802,-0.077896,0.680548,0.3219655,14.803721,0.390434,102.105,76.37,10.045,3.0681215,9.4283335,9.49,9.326667,9.785,10.45,283.450704,852.1385435,60.902256
1,11.75,413.15623,9.9577045,2128.9259625,0.8408435,21.6524705,49.164435,38.2372845,1.841828,0.250146,-0.077334,0.710865,0.3231585,15.340571,0.418625,102.085,73.57,10.78,3.462989,9.51,9.61,9.346667,9.785,10.475,302.112676,904.8387095,64.473684
1,12.25,413.049722,9.723467,2131.643943,0.9280365,24.326403,45.422752,38.931005,1.8909235,0.2622575,-0.083545,0.714685,0.337369,15.879719,0.413442,102.05,71.35,11.275,3.966416,9.586667,9.655,9.36,9.83,10.4875,302.3239435,919.354839,61.654135
1,12.75,412.85274,9.661657,2107.3639,0.701188,21.975553,51.4428815,39.4480235,1.966942,0.270696,-0.089526,0.725933,0.345061,16.318179,0.403426,102.01,69.31,11.67,4.336382,9.6316665,9.675,9.35,9.82,10.5,298.028169,920.683112,58.270677
1,13.25,411.73559,9.972175,2087.1679925,0.858018,22.6883495,49.450184,35.8467045,1.963522,0.264164,-0.0881055,0.7389415,0.3429985,16.918789,0.394141,101.99,67.08,12.105,4.629992,9.636667,9.69,9.356667,9.8175,10.4825,282.042254,883.852807,55.357143
1,13.75,410.7163955,10.007937,2089.136751,0.714374,19.40233,40.762607,32.825886,1.868133,0.2602675,-0.080675,0.713176,0.327841,17.215887,0.376845,101.94,66.585,12.47,5.063907,9.663333,9.71,9.3666665,9.82,10.515,240.56338,814.990512,50.37594
1,14.25,410.622197,10.091338,2071.878718,0.651337,19.413716,34.933517,31.120041,1.928228,0.260338,-0.082204,0.710461,0.332046,17.645293,0.3308445,101.93,65.91,12.64,5.355928,9.68,9.75,9.373333,9.8375,10.495,211.338028,733.776091,46.3345865
