DOY2,HR2,CO2,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,PA,RH,TA,VPD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,NETRAD,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,PPFD_IN_1_1_2,PPFD_OUT_2_1_1,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,431.706865,8.5642055,2373.576303,1.292285,14.94461,-6.4846305,1.654287,1.1630605,0.137815,-0.022239,0.421797,0.169054,14.0062045,0.274576,101.995,90.845,6.7855,0.8944595,9.7,9.7133335,9.87,9.57,10.03,10.59,10.375,10.45,8.96,10.3875,10.925,11.65,-49.527439,0,0,0.159744,0,-0.479233,-2.334063,1.122754,307.511788,347.0834445
1,0.75,434.0833015,8.388051,2410.052488,0.994332,14.232288,-4.85867,1.7234445,1.1220395,0.132764,-0.022719,0.41245,0.1654755,13.7518405,0.2701635,101.98,91.28,6.653,0.8280495,9.676667,9.6916665,9.85,9.575,10.03,10.59,10.375,10.44,8.935,10.3958335,10.925,11.64,-46.971831,0,0,0.159744,0,-0.479233,-2.552881,1.122754,306.416553,346.814874
1,1.25,435.1280445,8.2843585,2413.4238085,1.0785935,15.728769,-5.522782,1.773998,1.064233,0.1190755,-0.0172895,0.415833,0.145819,13.576996,0.2685555,101.97,91.7,6.494,0.803932,9.676667,9.67,9.81,9.5833335,10.03,10.59,10.38,10.45,8.895,10.405,10.94,11.65,-44.929577,0,0,0.159744,0,-0.479233,-2.5164115,1.047904,305.119764,345.576283
1,1.75,432.109373,8.389791,2433.5460835,0.897654,15.712206,-5.088563,1.181546,1.1341995,0.130318,-0.020318,0.387138,0.159187,13.635973,0.282421,101.985,91.9,6.539,0.766662,9.675,9.65,9.79,9.5758335,10.03,10.59,10.38,10.41,8.84,10.42,10.94,11.65,-43.3865205,0,0,0.159744,0,-0.479233,-2.407002,1.047904,306.3635105,346.025637
1,2.25,432.463856,8.257958,2417.806329,0.9761375,13.277731,-4.806898,1.98562,1.075989,0.137126,-0.024601,0.428306,0.159064,13.333667,0.276938,102,91.9,6.339,0.731124,9.675,9.61,9.8,9.5741665,10.025,10.59,10.38,10.42,8.805,10.425,10.94,11.65,-40.866349,0,0,0.159744,0,-0.479233,-2.407002,1.122754,309.074184,345.84143
1,2.75,430.4586665,8.09906,2429.3512005,1.0749405,13.209067,-4.7830285,1.271537,1.105566,0.142702,-0.0259255,0.401481,0.1642355,13.096105,0.268647,102,92.35,6.207,0.740891,9.7,9.55,9.79,9.5641665,10.03,10.59,10.39,10.42,8.78,10.42,10.94,11.62,-38.239437,0,0,0.159744,0,-0.479233,-2.188184,1.047904,310.6849515,344.92905
1,3.25,433.078603,7.974061,2423.841109,1.063671,15.049038,-4.428201,1.514275,1.103483,0.136512,-0.0228795,0.413385,0.168288,12.926771,0.257674,101.99,92.3,6.143,0.729448,9.726667,9.526667,9.78,9.56,10.05,10.59,10.385,10.41,8.715,10.4225,10.95,11.65,-37.253521,0,0,0.159744,0,-0.479233,-2.5164115,1.122754,311.757226,345.1964525
1,3.75,434.1081945,8.163772,2419.8941545,1.3256085,14.48463,-4.2934335,2.812434,1.05685,0.137534,-0.023929,0.410513,0.162616,12.656026,0.264188,101.975,92.465,6.0315,0.7087065,9.66,9.5116665,9.765,9.5691665,10.0425,10.59,10.39,10.39,8.69,10.42,10.98,11.67,-38.309859,0,0,0.159744,0,-0.479233,-2.334063,1.122754,308.021805,344.612929
1,4.25,433.071576,8.3059735,2454.788025,1.125227,15.178853,-3.4239785,2.357188,1.0480865,0.139474,-0.0221555,0.403105,0.156814,12.499456,0.262465,101.96,92.445,5.979,0.700038,9.625,9.5166665,9.73,9.5625,10.045,10.59,10.39,10.375,8.67,10.415,10.98,11.68,-36.1765645,0,0,0.159744,0,-0.479233,-2.3705325,1.047904,308.382327,344.005606
1,4.75,432.6135545,8.203585,2491.5940795,1.143787,14.4036585,-4.664519,2.245722,1.071116,0.135041,-0.022987,0.399545,0.161741,12.2243,0.261457,101.95,92.7,5.95,0.668154,9.55,9.48,9.71,9.516667,10.05,10.58,10.39,10.35,8.68,10.4175,10.99,11.665,-36.302817,0,0,0.159744,0,-0.479233,-2.261123,1.047904,309.673619,343.296952
1,5.25,434.992088,7.979872,2466.8696485,1.0535665,12.712517,-3.748554,2.579576,1.05058,0.131967,-0.0206785,0.411386,0.173011,12.328013,0.255919,101.965,92.9,5.803,0.648726,9.53,9.46,9.71,9.536667,10.04,10.585,10.385,10.33,8.68,10.415,10.99,11.66,-34.784232,0,0,0.159744,0,-0.479233,-2.115244,1.047904,312.9093835,343.3365855
1,5.75,432.429522,8.1517725,2462.482206,1.028978,14.45933,-4.282206,2.1178695,1.0879905,0.1312935,-0.0229365,0.4123385,0.173725,12.1764945,0.266483,101.97,92.99,5.665,0.6183045,9.55,9.463333,9.69,9.535,10.05,10.59,10.4,10.33,8.645,10.425,11,11.65,-33.4148615,0,0,0.159744,0,-0.479233,-2.1881835,0.973054,313.44801,343.407744
1,6.25,431.501253,7.927763,2452.904076,1.002376,14.680284,-3.018586,1.221887,1.070131,0.134092,-0.0230405,0.434166,0.168895,12.036562,0.265645,101.98,93.1,5.6,0.621275,9.54,9.45,9.67,9.52,10.05,10.59,10.39,10.3,8.615,10.43,10.995,11.655,-31.771246,0,0,0.159744,0,-0.479233,-1.969365,1.047904,314.211844,342.6123205
1,6.75,432.365259,8.2852025,2432.8730745,0.963109,13.550003,-2.980276,2.19555,1.114786,0.135555,-0.0236985,0.4146325,0.1676345,11.950857,0.258365,101.99,93.06,5.547,0.601871,9.5,9.44,9.66,9.533333,10.05,10.59,10.385,10.28,8.575,10.42,10.99,11.68,-33.635981,0,0,0.159744,0,-0.479233,-2.042305,1.047904,315.510853,342.550387
