DOY2,HR2,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,SC_1_1_1,G_1_1_1,H_1_1_1,LE_1_1_1,WS_1_1_1,USTAR_1_1_1,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,TS_1_1_1,TS_1_2_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,T_SONIC_1_1_1,CO2_2_1_1,SC_1_1_2,G_1_1_2,G_1_1_3,SH_1_1_1,TAU_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,NEE_1_1_1,CO2_2_2_1,CO2_2_3_1,CO2_2_4_1,CO2_2_5_1,SC_1,SC_2,FCH4_1_1_1,CH4_1_1_1
1,0.25,408.9023165,11.2,1.959596552,0.5075077555,-2.9955,-5.568335415,9.753036,2.1687825,0.38836275,101.987,93.7843344075,8.869884,2.653755538,10.0175,11.6025,-10.5249175,-0.1748115,1.961525,332.54755,349.836,-0.041371,8.8003055,434.30416675,0.1995945,-4.39175,-4.42275,1.55635,-0.00541125,0.698426,0.5450395,0.51985625,2.19435575,444.27499975,457.879167,462.4375,462.4,0.89180725,0.7808185,3.785,2122.39
1,0.75,409.648179,10.92,2.141002283,0.55314738025,-3.08,-5.8150006,7.2739875,2.1425275,0.4128785,101.9835,93.73823714,8.701875,2.58457454575,9.97,11.61,-10.048315,-0.17018025,1.91615,333.07185,349.9145,-0.04209175,8.3607385,434.066667,0.493681,-4.668,-4.5025,1.7133545,-0.007012,0.661815,0.5570615,0.469291,2.8504125,443.783333,459.29999975,464.7708335,464.5041665,0.88981,1.537895,5.54,2138.7475
1,1.25,408.49150175,10.7175,1.98840152125,0.537529,-3.097,-5.0148272,10.9496,2.211735,0.40806203375,101.955721,94.16047781,8.68661275,2.5665025,9.9075,11.575,-9.87,-0.271389,1.968871,333.424,350.2549,-0.0387555,8.2350535,433.733333,0.364858,-4.40325,-4.401,1.0321755,-0.0062775,0.698014,0.573866,0.458376,2.36530725,447.9791665,466.058333,468.6666665,468.8833335,0.58110375,2.201312,4.2125,2116.17
1,1.75,409.0653655,10.53,1.9825,0.49137,-3.270583333,-5.83202078,14.0199635,2.2060825,0.42894171425,101.9625,94.18594404,8.381361,2.52263832775,9.87,11.53,-9.184081,-0.1957965,1.9361185,332.2068,349.889,-0.0407275,8.25432225,434.366667,0.5356435,-4.4445,-4.3385,1.414679,-0.007104,0.64317,0.583698,0.5061335,2.1684415,448.90833325,466.05,475.2375,474.5708335,0.475146,3.799251,10.018,2149.835
1,2.25,409.48199775,10.48797675,2.2083882545,0.4958105,-3.3095,-6.5018955,12.5005755,2.21013,0.4176180295,101.97705,94.43,8.41631,2.44652,9.87,11.5,-8.564325,-0.2775355,1.9298245,332.2758,349.6778,-0.0390085,7.819437,434.5,0.8413185,-4.469,-4.3255,1.436086,-0.008439,0.682953,0.598071,0.5162605,2.9742465,449.325,466.0833335,471.558333,471.4583335,0.49584575,1.21002525,4.057,2146.74
1,2.75,409.5948355,10.22592472,1.71806075,0.4723075355,-3.3235,-5.683143,11.8683425,2.175446,0.403238,101.962,94.470727955,8.4189975,2.39508143825,9.8325,11.49,-8.8763505,-0.3093595,1.962774,331.0233,350.38775,-0.043156,8.1010435,436.14166675,0.237724,-4.32975,-4.32075,1.78302175,-0.0091695,0.7424395,0.5725775,0.5210375,2.193017,449.4791665,475.54999975,483.775,483.158333,0.723526,3.389441,4.64,2133.16
1,3.25,409.9344059,10.095,1.852971,0.5084634485,-3.43375,-5.011465,8.0680715,2.2666985,0.4317625,101.94,94.422945,8.287952,2.3111357335,9.7925,11.4925,-8.249836,-0.2691905,1.937146,331.1875,349.833,-0.0432695,8.01163525,436.6,0.448036,-4.32125,-4.14975,1.48731,-0.0086585,0.7317715,0.58564075,0.55217025,1.959881,450.125,472.95416675,479.82916675,465.583333,0.72337,5.77421475,4.80375,2142.51
1,3.75,409.1931015,10.090322,1.8,0.31,-3.32725,-4.9437382,15.11204525,2.2093565,0.398236,101.925,94.7661415625,8.13876,2.30843775,9.74,11.49,-8.5497825,-0.149027,1.931967,330.601675,349.29695,-0.043492,7.516569,437.158333,0.6253725,-4.3415,-4.31575,2.66544375,-0.007221,0.698426,0.571166,0.5002105,2.3542945,454.0583335,470.8,476.7,476.05,0.70881325,4.55349375,7.8155,2132.74
1,4.25,409.45675,10.2219,1.970411,0.400097,-3.49825,-4.31705191,10.563517,2.2129245,0.38686385275,101.94,95.1615,8.1458125,2.217886311,9.74,11.4825,-7.7022945,-0.32,1.911431,330.4965,348.7454,-0.045812,7.962718,436.529167,0.482822,-4.79475,-4.302,2.059006,-0.00648,0.710193,0.578348,0.543681,2.38512425,454.866667,473.5916665,473.775,474.2666665,0.406684,3.67767175,8.4265,2143.52
1,4.75,410.12436525,10.124846,1.6543125,0.393431,-3.59641666675,-3.948719485,10.232075,2.23919,0.435041077,101.94235,95.178821675,7.7754585,2.22265959975,9.6875,11.47,-7.08141775,-0.2529675,1.878527,329.9805,347.467675,-0.0443835,7.812313,436.1,0.2005075,-4.8765,-4.18775,1.113002,-0.00631125,0.687848,0.583412,0.5256825,1.974163,455.5958335,477.06249975,477.579167,477.11666675,0.495056,4.701729,7.0185,2119.3
1,5.25,409.58853,10.06,1.738158,0.50142175,-3.76975,-4.040885,9.505277,2.2841,0.398136746,101.939025,95.298355,7.71287,2.210376444,9.64,11.48,-7.244545,-0.3005445,1.8708925,330.469525,347.157,-0.0430835,7.521494,437.3416665,0.484697,-4.83675,-4.172,0.996668,-0.00706125,0.70032775,0.58096,0.5186905,2.5135655,455.245833,479.21250025,481.2208335,480.5791665,0.68384,8.4546,5.51925,2135.2125
1,5.75,409.0987145,10.06,1.85754275,0.5639551005,-3.75925,-3.84371175,12.0779,2.25463,0.425575416,101.9535,95.4065235,7.539301,2.140416827,9.62,11.47,-6.0485305,-0.198159,1.8640745,332.4572,347.31175,-0.04666925,7.660438,438.7958335,0.2331405,-4.90975,-3.999,1.931697,-0.0056485,0.7326235,0.6047345,0.5599135,1.8136805,457.2916665,467.5583335,479.1916665,476.8416665,0.656884,7.375221,6.406,2115.61
1,6.25,409.91704575,9.948877,1.99,0.584243,-3.7205,-3.16399736,14.08840775,2.236235,0.418790044,101.997,95.4976275,7.57397,1.974372248,9.6575,11.4525,-6.243312,-0.200261,1.92515625,332.280525,346.90625,-0.04311,7.4020245,439.7708335,0.4241605,-4.8775,-4.185,2.0176035,-0.00588,0.773541,0.614824,0.547405,2.05470075,459.95,464.1,473.1833335,472.34166675,0.612841,1.854529,5.31775,2126.725
1,6.75,409.59510075,9.89,1.78,0.5697285,-3.8105,-4.871611575,12.439784,2.22047,0.4009338105,102.00575,95.75357,7.2203125,2.0056884555,9.6525,11.4425,-5.35651525,-0.111277,1.94848725,334.5591,347.086675,0.12370725,7.269392,439.783333,0.1993855,-4.976,-4.38675,1.75848075,-0.007216,0.792568,0.589295,0.552438,2.02105125,459.0541665,467.904167,474.06666675,474.38750025,0.58705875,2.41106025,5.1645,2133.5575
1,7.25,410.31046125,9.9575,1.88,0.51,-3.89325,-4.162432,15.62107725,2.24,0.3980517755,102.03575,95.7648,7.357602,1.906572589,9.5575,11.44,-1.938337,5.714022,4.3889455,335.9583,348.77,13.177845,8.186,439.458333,-0.1647895,-5.037,-4.439,1.8361465,-0.010441,0.720364,0.595131,0.511308,1.870712,459.50000025,471.8166665,476.1375,476.083333,0.92438375,6.7122305,2.7905,2127.565
1,7.75,409.42525,9.98,1.015726,0.39916375,-4.07933333325,-4.25488505,11.31587375,2.26655,0.432826,102.01725,95.6532963,7.3713275,1.92571821225,9.5125,11.44,9.441934,52.53039,19.37617,331.866,348.75,87.9299875,7.42495,438.5083335,-0.421593,-5.1685,-4.5585,7.563417,-0.010751,0.717482,0.611891,0.533914,1.391442,456.616667,473.15,476.016667,477.533333,0.844518,-1.761189,2.275,2142.395
1,8.25,410.376495,9.94,0.954965424,0.333728,-3.91741666675,3.00405775,15.27564025,2.27147325,0.46166075,102.0245,95.21547109,7.8486625,2.2026113175,9.4825,11.45,44.886,131.23225,31.97096,332.289875,350.9796,253.242075,7.6668455,437.6333335,-0.236478,-5.0995,-4.38825,12.5751125,-0.0188195,0.751634,0.633971,0.5423565,0.8408605,459.6208335,475.40000025,477.0916665,477.225,0.838685,-2.158111,14.71225,2163.09
1,8.75,412.06744,10.093,0.74,0.111241,-3.54083333325,27.377042,30.6439025,2.49019,0.548915,102.0592345,94.4463625,8.70207,2.5682095,9.43,11.4625,103.9252,218.1837,39.673825,336.459,354.292,445.39735,8.173,438.46666675,-0.248536,-4.587,-3.24375,16.6810195,-0.02661175,0.903884,0.69671225,0.67721275,0.742473,454.80000025,467.76666675,471.466667,470.90000025,1.007299,-2.249123,8.003,2159.57
1,9.25,411.81242625,10.07795,0.014588,0.030715,-3.068,67.539739,51.787079,2.6183695,0.61417433425,102.057955,92.8482425,9.397271,3.069559,9.4525,11.47,172.9615,298.98875,45.330775,338.6914,358.5813,629.8775,9.01768125,435.4,-0.06217325,-3.8915,-1.08475,20.148801,-0.049545,1.015335,0.81622,0.789681,-0.049994,443.15,461.2333335,468.825,468.6,0.29392175,-1.126733,7.05575,2141.6875
